Date,Open,High,Low,Close,Volume
2021-06-24,87.6667,88.4333,77.0667,80.2667,184926
2021-06-25,82.2333,86.5333,76.8667,82.7,95065
2021-06-28,85.1333,93.2667,83.4333,91.1667,222651
2021-06-29,93.8667,93.8667,83.7,86.8,201654
2021-06-30,82.2,88.8333,80.6667,81.2333,194935
2021-07-01,81.3333,83.3333,76.7333,77.5,97159
2021-07-02,76.8,83.3333,76.7333,80.0333,80545
2021-07-05,79.1,82.9,79.1,81.9333,33571
2021-07-06,82.6,84,79.9333,80.7,67032
2021-07-07,81.8667,83.0667,80,80.5333,37626
2021-07-08,80.6333,82.2,77.7333,79.3333,40900
2021-07-09,79.9667,81.3333,78.6667,79.8667,27619
2021-07-12,80.0667,82,79.3333,81.2,31309
2021-07-13,81.9667,82,79.3333,79.8667,26785
2021-07-14,81.6667,81.6667,79.4667,80.4667,28569
2021-07-15,80.6667,81.2,78.8,79.1667,14994
2021-07-16,79.9333,85.6667,79.1667,85.0333,82395
2021-07-19,85.2667,88.6333,83.1333,87.7667,100653
2021-07-20,88.2667,88.7667,82.8,87.9667,93150
2021-07-22,93.3333,93.3333,88.6667,89.6667,231249
2021-07-23,90.6667,93.3333,88.2333,89.4667,43012
2021-07-26,89.4667,89.9333,87.3,88.3667,67690
2021-07-27,90,90,85.7333,86.2333,41976
2021-07-28,86.5,86.8667,82.6667,86.1667,54573
2021-07-29,86.6667,89.3,78.4,83.2,85363
2021-07-30,85.6,89.3333,85.6,88.6667,54588
2021-08-02,89.5,97.2,88.7,95.6333,248560
2021-08-03,99.2667,107.9667,95.7,105.3,652473
2021-08-04,109.3333,122.6,100.0333,119.5,971704
2021-08-05,121.6667,129,112.2667,122.7667,606849
2021-08-06,122.7667,126.8333,117.3333,119.2667,129424
2021-08-09,122.5333,123.3333,115,115.7,66171
2021-08-10,119,119.1333,104.1333,108.7,172861
2021-08-11,106.8,113.3333,98.6667,111.1667,217996
2021-08-12,111.3333,118.1333,110.1667,111.3333,89160
2021-08-13,120.8667,121.3,113.0667,114.9333,271377
2021-08-16,115.3333,116.0333,110.0667,112.6667,71479
2021-08-17,113.3667,115.3333,110.0667,111.1333,51861
2021-08-18,114.4333,114.6,108,110,35817
2021-08-20,109.9333,109.9333,102.6667,105.5333,68437
2021-08-23,107.1667,108.5,98.7,101.2333,71020
2021-08-24,106.6667,111.3333,102,111.3333,112771
2021-08-25,111.5333,122,111.5333,120.3667,178309
2021-08-26,122,123.2667,116.4333,116.9333,52969
2021-08-27,118.5333,119.5333,114.7333,116.0333,41299
2021-08-30,118.6667,119.3667,114,114.1333,36948
2021-08-31,117.5333,117.5333,113.6333,115.0667,44044
2021-09-01,115.9333,117.3,110.9333,113.3667,50497
2021-09-02,115.5333,119.3333,112.7333,116.8333,70864
2021-09-03,117.6333,127.3333,117.6333,124.6,406266
2021-09-06,129.3333,136.6667,128,135.4333,322624
2021-09-07,138.6333,145.8,132.1667,133.1,273493
2021-09-08,135.3333,135.3333,127.2,130.1,63984
2021-09-09,132,132.9667,128.4,129.5,49279
2021-09-13,136.6667,142.4333,134.1333,142.4333,163672
2021-09-14,146,152.4667,140.1667,141.0333,188448
2021-09-15,142.4333,155.1333,140.0667,155.1333,122031
2021-09-16,170.6333,170.6333,158.9,163.7,373620
2021-09-17,164.6667,166.6667,147.9667,160.3333,192690
2021-09-20,160,176.3667,150.7,171.3667,299458
2021-09-21,173.3333,179.9333,163.1333,179.4667,281364
2021-09-22,180,188.4333,174,188.0667,305034
2021-09-23,189,193.9333,181.7333,186.7,157425
2021-09-24,184.7,188.6667,183.3333,184.2667,85840
2021-09-27,182.6667,185,175.0667,177.2333,83437
2021-09-28,180.6667,186.0667,178.6667,186.0667,76050
2021-09-29,186,192.5333,182,183.4,80875
2021-09-30,185.3333,186.6667,180.7333,183,32581
2021-10-01,180,186.6,179.8667,182.5,34597
2021-10-04,185.9667,188,180.1333,181.6333,49549
2021-10-05,183.3,185.9,174.6667,175.5667,68197
2021-10-06,173.8,183.3333,173.8,178.9667,90739
2021-10-07,179.2,179.6,174,174.5333,37311
2021-10-08,177.3,182.6667,173.9667,181.2,62277
2021-10-11,184.6667,184.6667,172.1667,175.2333,52054
2021-10-12,176.5,183.3333,175.4333,179.0667,63838
2021-10-13,182,183.8333,176.4,183.2333,51664
2021-10-14,182.6667,192,180.7,190.7333,134937
2021-10-18,199.9667,200.2667,192,200.0667,89212
2021-10-19,205.8667,208.5667,190.6667,194.0333,105450
2021-10-20,195.3333,197.0667,184.3333,184.3333,140931
2021-10-21,189.9333,189.9333,176.7,183.0667,54817
2021-10-22,181.2333,187.3333,181.2333,182.2667,29818
2021-10-25,188.6333,188.6333,174.4,178.1,44716
2021-10-26,179.9667,187,176.2333,184.5333,46548
2021-10-27,188,193.7333,185.1,192.7,62473
2021-10-28,199,199,187.6667,190.3667,70932
2021-10-29,190,192.7333,184,189.9,38619
2021-11-01,190,199.3667,189.9,199.3667,86832
2021-11-02,199.4667,202.6667,191.5667,194.2,49828
2021-11-03,203.9,203.9,203.9,203.9,17458
2021-11-04,214.0667,214.0667,214.0667,214.0667,25432
2021-11-08,224.7667,224.7667,218.3667,224.7667,286948
2021-11-09,236,236,217.3333,225.4,221217
2021-11-10,223.3333,236.6667,220.1667,231.4667,163561
2021-11-11,234,238.2,228,232.8,89863
2021-11-12,234,244.4333,228.7333,244.4333,97765
2021-11-15,255.8667,256.6333,245.7,251.2,202378
2021-11-16,253.3333,263.6,253.2,261.8667,94998
2021-11-17,266,270.5,258.5333,267.3333,107730
2021-11-18,275.6,275.6,253.9667,253.9667,100450
2021-11-22,253,253.3333,241.3,241.3,56869
2021-11-23,229.2667,241.8667,229.2667,240.2,118618
2021-11-24,240.3333,252.2,240.3333,252.2,42660
2021-11-25,257.3333,262.4667,243.3333,246.2,99090
2021-11-26,243.3333,252.6667,233.9,234.6667,69211
2021-11-29,224.8333,230,222.9333,222.9333,70869
2021-11-30,222,232.6667,220.9333,224.4,58095
2021-12-01,222.5667,235,217.4,219.0333,38779
2021-12-02,224,229.9667,220.6667,229.9667,49515
2021-12-03,241.3333,241.4333,232.5667,241.4333,36841
2021-12-06,251.3,251.3,230.6667,232,81408
2021-12-07,243.1333,254.6667,232.3333,250.2,175287
2021-12-08,254.6333,261.3333,241.3333,244.6,92083
2021-12-09,250,252.6333,243.5333,245.0667,41778
2021-12-10,246.6667,256.6333,242.3333,253.3333,93361
2021-12-13,258.2,258.6333,242.7333,245.0667,80580
2021-12-14,245.3333,257,240.5667,254.9667,99787
2021-12-15,252.4,256.6667,250.9667,252.9333,49471
2021-12-16,250.3333,290,247.5,282.2333,244354
2021-12-17,289.3333,298,269.3333,274.8333,304093
