Date,Open,High,Low,Close,Volume
2025-03-27,36.66,36.76,35.5,36.08,12016
2025-03-28,36.99,37,35.96,36.46,5252
2025-04-01,36.99,36.99,35.52,35.96,1410
2025-04-02,35.96,36.46,35.59,36.42,4150
2025-04-03,36.42,37.44,35.75,37.14,4695
2025-04-04,37.32,37.32,36.12,36.16,3013
2025-04-07,36.34,37,34.37,35.48,2649
2025-04-08,35.65,36.28,35.15,36.13,6497
2025-04-09,35.97,35.97,35,35.01,4760
2025-04-11,35.88,36.11,35.25,35.78,2274
2025-04-15,37.3,37.3,36,36.21,3934
2025-04-16,37.14,37.14,36.4,37.02,3778
2025-04-17,37.02,37.78,36.95,37.66,1567
2025-04-21,39.1,39.7,38.41,38.65,9016
2025-04-22,38.8,39.69,38.65,38.77,146140
2025-04-23,40.5,40.5,38.08,38.69,2592
2025-04-24,38.7,38.83,38.57,38.72,2566
2025-04-25,38.72,39.11,37.47,37.72,539
2025-04-28,38.8,39.03,38.05,38.68,308246
2025-04-29,39.71,39.92,38.53,38.61,256800
2025-04-30,38.8,38.8,37.7,37.9,3111
2025-05-02,38.54,38.59,37.71,37.75,136211
2025-05-05,38.02,38.02,37.41,37.9,1284
2025-05-06,37.9,37.9,35.9,36.02,9805
2025-05-07,36.61,36.61,35.8,36.05,5995
2025-05-08,36.77,36.77,35.47,35.54,4065
2025-05-09,35.93,36.26,35.5,36.12,6294
2025-05-12,36.98,37.41,36.95,37.37,5341
2025-05-13,37.95,38.42,37.38,37.99,2609
2025-05-14,37.99,44.74,36.28,38.21,13080
2025-05-15,38.21,38.4,37.96,38.15,4007
2025-05-16,38.15,38.68,38.12,38.49,6537
2025-05-19,38.68,39.65,37.72,39.18,31187
2025-05-20,40.16,40.16,38.65,38.7,24552
2025-05-21,38.7,39.23,38.7,39.08,910
2025-05-22,39.45,39.55,38.44,38.84,3348
2025-05-23,40,40,38.65,39.06,3997
2025-05-26,39.38,39.38,38.95,39.1,2680
2025-05-27,39.29,39.29,38.4,39.17,2675
2025-05-28,39.36,39.6,39.25,39.59,7886
2025-05-29,39.95,39.95,39.26,39.37,1960
2025-05-30,39.38,41.5,39.3,40.68,15639
2025-06-02,41.69,43,40.39,41.69,78118
2025-06-03,48.8,48.8,41.11,41.38,28205
2025-06-04,42.21,43,40.95,41.57,129454
2025-06-05,42.4,42.4,40.87,41.37,17197
2025-06-06,42.4,43,40.92,41.76,143685
2025-06-09,41.96,42.6,41.77,42.22,40802
2025-06-10,42.43,42.45,41.62,42,19164
2025-06-11,42,42.23,41.34,41.56,18346
2025-06-12,41.77,41.77,40.77,40.79,32513
2025-06-13,40.73,41.13,40.32,40.53,14828
2025-06-16,40.73,41,39.93,40.65,146292
2025-06-17,40.65,41.37,40.3,40.35,6896
2025-06-18,40.55,40.55,40.04,40.2,13295
2025-06-19,40.5,40.5,39.06,39.29,17687
2025-06-20,39.99,40.29,39.49,39.97,19341
2025-06-23,40.17,40.17,39.68,39.89,5075
2025-06-24,40.1,41.14,40.1,40.41,9862
2025-06-25,40.62,42,40.41,40.79,8891
2025-06-26,40.88,40.89,40.24,40.62,12929
2025-06-27,40.63,42,40,40.92,13175
2025-06-30,41.74,42.37,40.89,42.1,198107
2025-07-01,42.95,42.95,41.6,42.35,24826
2025-07-02,42.57,42.57,41.79,41.95,12821
2025-07-03,41.96,42,41.5,41.54,6117
2025-07-04,42.46,42.46,41.37,41.78,6047
2025-07-07,41.98,42.1,41.35,41.64,8388
2025-07-08,41.64,41.85,41.36,41.52,9030
2025-07-09,41.72,41.73,41.2,41.41,7307
2025-07-10,40.79,41.48,40.58,41.07,4827
2025-07-11,41.08,41.14,40.33,40.91,13904
2025-07-14,40.91,41.58,40.91,41.18,5774
2025-07-15,41.51,41.79,41,41.68,8126
2025-07-16,42.02,42.49,41.58,42.4,13278
2025-07-17,43.25,43.25,41.97,42,23434
2025-07-18,42.22,42.22,41.59,41.72,29743
2025-07-21,42.56,42.56,41.34,41.5,9252
2025-07-22,41.7,41.79,40.71,40.85,41450
2025-07-23,41.7,41.7,40.26,40.85,36514
2025-07-24,41.5,41.5,40.55,41.49,7926
2025-07-25,40.65,41.69,40.65,40.86,7587
2025-07-28,40.86,41.68,40.36,40.39,3658
2025-07-29,41.39,41.39,40.17,40.52,2507
2025-07-30,40.72,40.95,40.25,40.28,8685
2025-07-31,40.25,40.25,39.59,39.93,10212
2025-08-01,39.81,39.88,39.32,39.49,8343
2025-08-04,39.49,40.02,39.45,39.94,7580
2025-08-05,40.74,40.74,39.64,39.89,3572
2025-08-06,40.08,40.28,39.6,39.98,7910
2025-08-07,40.17,40.17,39.53,40.09,21180
2025-08-08,40.29,40.76,39.96,40.09,2115
2025-08-11,40.09,40.92,39.89,40.84,6924
2025-08-12,40.86,41.01,40.81,40.82,1954
2025-08-13,41.84,41.84,40.59,40.72,13061
2025-08-14,40.92,40.99,40.49,40.76,2837
2025-08-18,40.96,41.46,40.88,41.1,13015
2025-08-19,42.12,42.12,40.76,41.38,2408
2025-08-20,41.58,41.59,40.97,41.26,5958
2025-08-21,41.47,41.52,41.18,41.23,1513
2025-08-22,41.43,41.43,40.7,40.78,4074
2025-08-25,39.76,41.25,39.76,40.58,5351
2025-08-26,40.78,40.78,39.8,39.86,4312
2025-08-28,40.85,40.85,39.32,39.43,6730
2025-08-29,39.42,39.52,38.53,38.9,8648
2025-09-01,39.8,39.93,39.38,39.83,9655
2025-09-02,40.82,40.82,39.65,39.87,3640
2025-09-03,39.07,40.34,39.07,40.11,5076
