Date,Open,High,Low,Close,Volume
2024-09-27,145,152.25,144,150.9,2337000
2024-09-30,158.4,158.4,158.4,158.4,285000
2024-10-01,166.3,166.3,166.3,166.3,44000
2024-10-03,174.6,174.6,158.15,173.2,859000
2024-10-04,165.2,167.5,164.55,164.55,106000
2024-10-07,156.35,156.35,156.35,156.35,9000
2024-10-08,148.55,162.5,148.55,156.55,312000
2024-10-09,153.4,163.25,148.75,155.25,186000
2024-10-10,152,152.9,147.5,147.85,187000
2024-10-11,144.45,154,140.45,149.65,305000
2024-10-14,147.8,149,136,137.55,281000
2024-10-15,137.55,142,131,132.3,179000
2024-10-16,133,148.45,133,147.25,326000
2024-10-17,152.95,174.9,152.95,157.5,241000
2024-10-18,159.9,162.9,153,156.05,95000
2024-10-21,157.95,158,138,142.5,177000
2024-10-22,140.15,142.5,137.1,140.5,75000
2024-10-23,140,148,137,141.3,59000
2024-10-24,141.3,142,137,139.45,56000
2024-10-25,138.6,138.6,131.85,134.05,72000
2024-10-28,133.7,142.8,131,142.3,88000
2024-10-29,144.5,144.5,137.1,143.4,32000
2024-10-30,147.5,148,131,136.05,224000
2024-10-31,137,138.95,135.8,137.65,34000
2024-11-01,140,145,140,143.65,28000
2024-11-04,141,143,136.6,139,28000
2024-11-05,138.05,143,136,139.4,46000
2024-11-06,140,143.5,140,141.4,31000
2024-11-07,144,156,140,151.5,318000
2024-11-08,155,171.9,153,166.8,238000
2024-11-11,169,171.4,150,152.95,89000
2024-11-12,152,160,152,158.1,62000
2024-11-13,150,154,143.25,146.5,194000
2024-11-14,146,150,146,148,10000
2024-11-18,148,158,148,154.85,35000
2024-11-19,154.45,154.45,149,149.3,14000
2024-11-21,146.05,146.05,144,144,25000
2024-11-22,149,150.85,145.2,149.25,19000
2024-11-25,149,154.9,149,154.15,27000
2024-11-26,152.3,152.85,148.5,150.45,18000
2024-11-27,152.75,152.75,145.3,148.75,11000
2024-11-28,153,157.55,152.5,156.2,55000
2024-11-29,158,162,155,156.15,76000
2024-12-02,160,187.35,160,185.55,345000
2024-12-03,184.85,215,184.85,205.65,384000
2024-12-04,207,213,200,202.95,94000
2024-12-05,205,207.85,199.95,201.65,34000
2024-12-06,201,202.1,192.1,202,74000
2024-12-09,202,208.7,199.3,202.6,40000
2024-12-10,202.95,203,197.25,202.9,40000
2024-12-11,204.95,208,202.5,203.5,41000
2024-12-12,201,201,190.6,191.8,47000
2024-12-13,190.5,197.7,186,194.5,21000
2024-12-16,194.25,196,190,195,6000
2024-12-17,198,198,190.05,194.95,8000
2024-12-18,198.5,198.5,185,191.05,29000
2024-12-19,198,198,187,194.55,23000
2024-12-20,195,195,185.05,186.45,19000
2024-12-23,186.55,186.55,174.75,175.35,34000
2024-12-24,176,177,174.9,176.4,20000
2024-12-26,177.4,177.4,168.35,170.1,8000
2024-12-27,172,176.9,170,172,19000
2024-12-30,172,177.85,166.05,170,24000
2024-12-31,171,181.95,170.55,171.9,47000
2025-01-01,175.9,176.55,172,172.8,20000
2025-01-02,173.5,174.35,169,169.5,23000
2025-01-03,169.5,177,164.3,170.1,43000
2025-01-06,165.5,168.4,161.4,161.7,17000
2025-01-07,179.1,179.1,164.6,165.35,19000
2025-01-08,168,171.95,166.05,171.95,7000
2025-01-10,166.2,168.9,163,163,6000
2025-01-13,172.45,172.45,153.25,155.15,25000
2025-01-14,160,163,156.5,162.5,17000
2025-01-15,165,166,158.05,161.9,12000
2025-01-16,161,167,159,162.95,10000
2025-01-17,153,168.5,153,162,8000
2025-01-20,159.55,162,156.5,159.05,6000
2025-01-21,164.7,168.5,155,156,21000
2025-01-22,159.2,159.2,153.2,154.7,6000
2025-01-23,157.55,158.65,156,158,10000
2025-01-24,158.15,158.15,153.5,154.5,10000
2025-01-27,152,152,145,145,26000
2025-01-28,145,145,140,140,9000
2025-01-29,147.95,147.95,144,146.3,7000
2025-01-30,146,152,145,148.5,12000
2025-01-31,151.5,152,151,151,5000
2025-02-01,148.05,148.5,145.6,148.45,9000
2025-02-03,152.1,153,145,153,5000
2025-02-04,150,150,150,150,1000
2025-02-05,152,156.8,152,156.8,2000
2025-02-06,159.9,161,156.9,157,9000
2025-02-10,152,152,152,152,1000
2025-02-11,147,147,137,139.3,28000
2025-02-12,136.3,139,134,138.75,25000
2025-02-13,139.2,139.2,138,138,2000
2025-02-14,136.2,136.2,130.05,130.5,15000
2025-02-17,128,128,121,124.9,28000
2025-02-18,123,127.9,123,127.8,4000
2025-02-19,130,130,108,108.65,179000
2025-02-20,109,112.4,107.1,108.75,119000
2025-02-21,109,113.95,108.4,108.9,36000
2025-02-24,110.2,112.6,106.5,110.9,8000
2025-02-25,111,111,105.5,109.7,7000
2025-02-27,109,109.9,104.25,105.1,19000
2025-02-28,102.1,104,100.15,101.05,9000
2025-03-03,103,104,96,96,32000
2025-03-04,92.05,98.5,91.2,95,39000
2025-03-05,98.5,99.75,97,99.75,91000
2025-03-06,101.2,104.7,100,102.5,46000
2025-03-07,103,103.9,99.5,100.95,16000
2025-03-10,99,104,98,98,24000
2025-03-11,94.05,97,94,95.5,20000
2025-03-12,97,98.8,96,97.3,12000
2025-03-13,98,98.25,94,94.5,35000
2025-03-17,94.5,96.5,92,92.5,35000
2025-03-18,91,95,87.9,87.9,118000
2025-03-19,89.9,92.25,86.35,88.65,104000
2025-03-20,92,93.05,88.25,91.9,42000
2025-03-21,93,96.45,93,95.15,28000
2025-03-24,98,99.9,96,98.05,43000
2025-03-25,99.9,100.95,93.15,93.5,24000
2025-03-26,92,95,88.85,89.55,143000
2025-03-27,87.05,94,87.05,94,782000
2025-03-28,98.2,98.2,93,93.1,63000
2025-04-01,97.45,97.5,92.1,94.6,19000
2025-04-02,98,99.3,95.1,98.55,36000
2025-04-03,98,103.45,96.1,103.45,10000
2025-04-04,108.55,108.6,102.5,108.6,22000
2025-04-07,106.45,106.45,106.45,106.45,5000
2025-04-08,108.55,108.55,108.55,108.55,9000
2025-04-09,106.4,106.4,106.4,106.4,16000
2025-04-11,107.15,107.15,104.3,104.3,7000
2025-04-15,104.3,106.35,102.25,106.35,11000
2025-04-16,108.45,108.45,108.45,108.45,3000
2025-04-17,110.6,110.6,110.6,110.6,4000
2025-04-21,112.8,112.8,112.8,112.8,1000
2025-04-22,115.05,115.05,115.05,115.05,1000
2025-04-23,117.35,117.35,117.35,117.35,3000
2025-04-24,119.65,119.65,119.65,119.65,1000
2025-04-25,122,122,122,122,4000
2025-04-28,124.4,124.4,124.4,124.4,6000
2025-04-29,126.85,126.85,126.85,126.85,7000
2025-04-30,129.35,129.35,129.35,129.35,43000
2025-05-02,127,131.9,127,131,14000
2025-05-05,133.6,133.6,133.6,133.6,5000
2025-05-06,136.25,136.25,136.25,136.25,5000
2025-05-07,138.95,138.95,133.8,133.8,13000
2025-05-08,131.15,131.15,131.15,131.15,2000
2025-05-09,128.55,128.55,128.55,128.55,9000
2025-05-12,128.55,128.55,126,127.5,11000
2025-05-13,124.95,124.95,124.95,124.95,19000
2025-05-14,122.45,122.45,122.45,122.45,5000
2025-05-15,121,122,121,122,5000
2025-05-16,124.4,124.4,124.4,124.4,6000
2025-05-19,126.85,126.85,126.85,126.85,2000
2025-05-20,129.35,129.35,129.35,129.35,3000
2025-05-21,131.9,131.9,131.9,131.9,2000
2025-05-22,131,134.5,131,132,6000
2025-05-23,134.6,134.6,134.6,134.6,4000
2025-05-26,137.25,137.25,137.25,137.25,5000
2025-05-27,139.95,139.95,137,139.95,32000
2025-05-28,142.7,142.7,142,142.7,15000
2025-05-29,145.55,145.55,145.55,145.55,9000
2025-05-30,142.65,142.65,142.65,142.65,2000
2025-06-02,139.8,139.8,139.8,139.8,5000
2025-06-03,139.8,139.8,137,137,13000
2025-06-04,134.3,134.3,134.3,134.3,4000
2025-06-05,131.65,131.65,131.65,131.65,9000
2025-06-06,129.05,134.25,129.05,134.25,16000
2025-06-09,140.95,140.95,130,137.7,47000
2025-06-10,144.5,144.5,140,140,10000
2025-06-11,141,146,137,141,24000
2025-06-12,141,141,140.9,140.9,2000
2025-06-13,140.9,142,136.5,139.4,17000
2025-06-16,140,140,140,140,13000
2025-06-17,146,147,144,144,13000
2025-06-18,144,144,144,144,1000
2025-06-20,137,138,136.8,136.8,19000
2025-06-23,130.2,135,130.2,135,5000
2025-06-24,135,135,135,135,2000
2025-06-25,135,135.5,132,132,7000
2025-06-26,137.95,137.95,137.95,137.95,1000
2025-06-27,144,144,135.05,135.05,4000
2025-06-30,135.45,136,135,135,13000
2025-07-01,135.55,140,130.15,136.25,13000
2025-07-02,138.8,139.95,138.8,139.95,2000
2025-07-03,139,139,136.8,136.8,3000
2025-07-04,135,135,134.5,134.5,2000
2025-07-08,128,134,128,133.25,6000
2025-07-09,132.05,133,131,131,12000
2025-07-10,130.1,134.95,128,128,14000
2025-07-11,130.05,135.95,128.05,135,27000
2025-07-14,137.95,137.95,130.5,131.4,14000
2025-07-15,128.8,131.5,126.4,129,37000
2025-07-16,129,129,126,126.6,15000
2025-07-17,127,127,120,123.05,34000
2025-07-18,121.55,123,121.3,122.45,11000
2025-07-21,121,131,121,127,16000
2025-07-22,126,129.5,126,129.45,9000
2025-07-23,126.55,128.45,126.55,128.2,12000
2025-07-24,134.85,136.5,131,131,17000
