Date,Open,High,Low,Close,Volume
2015-09-07,110.95,111,108.2,108.5,20590
2015-09-08,109,110.5,107.15,108.25,23497
2015-09-09,109.85,112.9,109.5,110.55,47854
2015-09-10,110.1,112.2,109.05,111.9,29212
2015-09-11,111.6,112.05,109.55,110,19642
2015-09-14,110.95,110.95,109.6,110.05,11619
2015-09-15,109.65,110.45,109.65,110.05,1042
2015-09-16,109.7,110.4,109.2,109.5,14002
2015-09-18,110.1,112.2,110.05,111.75,16388
2015-09-21,111.9,116.5,111.15,115.15,103292
2015-09-22,116.1,118.4,115.3,116.3,113086
2015-09-23,115.3,117.7,115.2,116.8,25380
2015-09-24,116.35,117.75,116,117.4,30504
2015-09-28,117.5,121,117.5,118.4,115865
2015-09-29,120.9,121,118.1,118.8,110144
2015-09-30,119.2,119.2,118,118.9,16699
2015-10-01,116.35,119.1,116.35,118.75,19251
2015-10-05,119.05,119.05,118.4,118.85,24149
2015-10-06,119.8,119.8,118.15,118.9,57978
2015-10-07,118.55,121,118.1,120.35,63951
2015-10-08,121.4,121.4,113.6,114.05,23576
2015-10-09,115,116,113.1,113.6,34878
2015-10-12,114,116.4,112.5,113.5,26506
2015-10-13,115.5,115.5,112.55,114.5,11926
2015-10-14,117,119,113.5,115.35,22619
2015-10-15,117.45,117.45,114.05,114.7,5944
2015-10-16,114,115,113.4,114.05,3496
2015-10-19,114.4,114.4,113,113.45,5006
2015-10-20,113.9,115,112.6,113.3,4689
2015-10-21,112.5,114.45,112.5,113.2,8549
2015-10-23,113,114.4,112.6,112.75,2977
2015-10-26,113.15,113.7,112.25,113.2,7592
2015-10-27,116.9,117,114,114.85,45494
2015-10-28,116,116,113.35,114.1,7816
2015-10-29,114.9,115,113.3,114.7,7263
2015-10-30,114.7,115,113.6,113.75,10357
2015-11-02,113,124.45,112.5,122.75,245892
2015-11-03,126,126,119,120.35,426589
2015-11-04,119,120.45,117.5,118.85,72891
2015-11-05,117.6,119.35,117.6,118.5,19891
2015-11-06,117.55,120.95,117.55,119.25,84247
2015-11-09,118,119.9,117.6,118.95,25981
2015-11-10,119.25,120,115,119.75,26133
2015-11-11,117,122,113.8,118.65,3950
2015-11-13,119.4,120.8,118.9,119.8,13693
2015-11-16,117,119.85,111.85,118,324064
2015-11-17,114,119.1,114,118.1,49401
2015-11-18,117,117.9,115.5,116.8,26586
2015-11-19,116,117.45,114.3,114.75,5585
2015-11-20,115,116.35,110.5,110.75,33705
2015-11-23,111.1,112.8,107.4,109.4,16078
2015-11-24,108.2,109.65,108,108.7,10506
2015-11-26,108.75,115.95,108.7,113.65,29416
2015-11-27,118,118,112.2,113.1,33505
2015-11-30,112.5,118.9,111,116.6,161029
2015-12-01,116.4,121.5,114.4,120.5,162246
2015-12-02,122.75,122.75,110.3,111.8,331067
2015-12-03,111.55,114,110.15,110.6,29186
2015-12-04,107.85,111,107.85,109.65,15174
2015-12-07,109.8,111.4,107.7,108.95,12390
2015-12-08,110.25,114.75,104.1,107.3,48296
2015-12-09,107.95,107.95,103.5,104.2,15320
2015-12-10,106,107.9,99.5,102.45,96640
2015-12-11,101.7,103.6,98,98.45,23159
2015-12-16,100.5,103,99.4,100.55,6020
2015-12-17,100.55,102,99.5,99.95,10253
2015-12-18,99.95,102,98,98.95,10934
2015-12-21,98.35,99.65,97.05,98.35,18670
2015-12-22,98.35,99,96.5,97.75,48477
2015-12-23,97.75,102.4,97,101.55,19121
2015-12-24,101,104.3,100.55,103.5,10122
2015-12-28,104,104.8,102.1,103.1,8142
2015-12-29,102.8,104.45,100.2,102.25,50510
2015-12-30,101.85,104.2,101.85,102.55,36544
2015-12-31,101.85,103.45,101.3,102,17019
2016-01-01,102,103.9,102,102.25,2134
2016-01-04,102.25,104.4,102.25,103.9,43044
2016-01-05,102,105.85,102,104.2,14099
2016-01-06,103.6,108.95,103.35,104.25,36750
2016-01-07,103.35,103.5,99.7,100.95,6687
2016-01-08,103.85,106.7,101.1,103.8,46314
2016-01-11,103.8,103.8,99.5,99.95,11741
2016-01-12,100.05,101.2,96.35,97.85,32559
2016-01-13,97.5,99.85,92,95.25,27563
2016-01-14,93.8,98,90.45,95.25,7073
2016-01-15,95,95.85,92.5,93.3,7838
2016-01-18,92,94.3,88.2,89.15,16828
2016-01-19,89,93.9,89,92.95,4343
2016-01-20,92,92.8,87,88.8,8570
2016-01-21,88.1,90.05,86.2,88.55,3305
2016-01-22,92.8,93,89.9,92.1,4334
2016-01-25,91.3,94.8,90,91.85,4288
2016-01-27,91.3,92.45,90.25,90.65,2377
2016-01-28,93.95,93.95,91.6,91.75,2217
2016-01-29,93.45,93.45,90.05,93.25,1710
2016-02-01,95,95.75,90.6,93,1692
2016-02-02,92,96.55,90.5,90.9,3899
2016-02-03,90,92.55,87.45,89.2,3405
2016-02-04,88.35,92.4,88,89,3853
2016-02-05,92.95,92.95,86.05,89.9,1337
2016-02-08,89,89,84.65,87.9,6017
2016-02-09,87,88.05,85.1,86.95,7771
2016-02-10,89.05,89.05,85.25,86.8,16504
2016-02-11,86,86,75.65,77.35,4676
2016-02-12,83.5,83.5,72,77.6,11996
2016-02-15,76,82.8,74.5,77.6,3073
2016-02-16,83,83,77.05,77.55,34056
2016-02-17,76,80.8,75,76.6,42234
2016-02-18,79.85,84,79,81.05,8048
2016-02-19,83.8,83.8,79.55,80.2,5698
2016-02-22,79.3,81.85,77.4,79.1,2742
2016-02-23,78.75,80.3,78.75,79.05,2700
2016-02-24,80.15,80.35,76,77.45,35648
2016-02-25,76.5,77,73.75,75.4,697
2016-02-26,75.05,82,75.05,78.5,5134
2016-02-29,77,79.95,75.3,79.5,28035
2016-03-01,79.75,80,77.25,80,20683
2016-03-02,78.55,87,78.55,79.45,4147
2016-03-03,79.5,82.8,79.45,80.55,8208
2016-03-04,80.2,82.4,80,80.8,5961
2016-03-08,80.1,86.95,78.65,79.9,51112
2016-03-09,81.85,81.85,79.45,81.25,11520
2016-03-10,81.2,82,79,80.9,14565
2016-03-11,80.85,82,79.65,80.25,10024
2016-03-14,80.3,82,79,80.3,45720
2016-03-15,79.8,80.3,76.8,79.4,18121
2016-03-16,80,80,78.05,78.5,58784
2016-03-17,79.1,81.25,78.1,79.3,60741
2016-03-18,78.15,79.65,78,78.55,44189
