Date,Open,High,Low,Close,Volume
2021-12-13,13,13.65,13,13.65,11
2021-12-14,14.3,14.3,14.3,14.3,13
2021-12-16,15,15,15,15,16
2021-12-17,15.75,15.75,15.75,15.75,3
2021-12-21,16.5,16.5,16.5,16.5,10
2021-12-22,17.3,17.3,17.3,17.3,2
2021-12-23,18.15,18.15,18.15,18.15,8
2021-12-24,19.05,19.05,19.05,19.05,1
2021-12-27,20,20,20,20,1
2021-12-28,21,21,21,21,3
2021-12-29,22.05,22.05,22.05,22.05,4
2021-12-30,23.15,23.15,23.15,23.15,2
2021-12-31,24.3,24.3,24.3,24.3,2
2022-01-03,25.5,25.5,25.5,25.5,9
2022-01-04,26.75,26.75,26.75,26.75,10
2022-01-05,28.05,28.05,28.05,28.05,1
2022-01-06,29.45,29.45,29.45,29.45,1
2022-01-07,30.9,30.9,30.9,30.9,1
2022-01-10,32.4,32.4,32.4,32.4,14
2022-01-11,34,34,34,34,129
2022-01-12,35.7,35.7,35.7,35.7,7
2022-01-13,37.45,37.45,37.45,37.45,233
2022-01-14,39.3,39.3,39.3,39.3,1
2022-01-17,41.25,41.25,41.25,41.25,3
2022-01-18,43.3,43.3,43.3,43.3,2
2022-01-19,45.45,45.45,45.45,45.45,1
2022-01-20,47.7,47.7,47.7,47.7,30
2022-01-21,50.05,50.05,50.05,50.05,3
2022-01-24,52.55,52.55,52.55,52.55,1
2022-01-25,55.15,55.15,55.15,55.15,1
2022-01-27,57.9,57.9,57.9,57.9,3
2022-01-28,60.75,60.75,60.75,60.75,15
2022-01-31,63.75,63.75,63.75,63.75,1
2022-02-01,66.9,66.9,66.9,66.9,1
2022-02-02,70.2,70.2,70.2,70.2,2
2022-02-03,73.7,73.7,73.7,73.7,1
2022-02-04,77.35,77.35,77.35,77.35,1
2022-02-07,81.2,81.2,81.2,81.2,6
2022-02-08,85.25,85.25,85.25,85.25,7
2022-02-09,89.5,89.5,89.5,89.5,5
2022-02-10,93.95,93.95,93.95,93.95,7
2022-02-11,98.6,98.6,98.6,98.6,5
2022-02-14,103.5,103.5,103.5,103.5,3012
2022-02-15,108.65,108.65,108.65,108.65,5
2022-02-16,114.05,114.05,114.05,114.05,12
2022-02-17,119.75,119.75,119.75,119.75,5
2022-02-18,125.7,125.7,125.7,125.7,5
2022-02-21,131.95,131.95,131.95,131.95,5
2022-02-22,138.5,138.5,138.5,138.5,2
2022-02-23,145.4,145.4,145.4,145.4,31
2022-02-24,152.65,152.65,152.65,152.65,1
2022-02-25,160.25,160.25,160.25,160.25,1
2022-02-28,168.25,168.25,168.25,168.25,1
2022-03-02,176.65,176.65,176.65,176.65,2
2022-03-03,185.45,185.45,185.45,185.45,1
2022-03-04,194.7,194.7,194.7,194.7,1
2022-03-07,204.4,204.4,204.4,204.4,1
2022-03-08,214.6,214.6,214.6,214.6,10
2022-03-09,225.3,225.3,225.3,225.3,1
2022-03-10,236.55,236.55,236.55,236.55,1
2022-03-11,248.35,248.35,248.35,248.35,1
2022-03-14,260.75,260.75,260.75,260.75,1
2022-03-16,273.75,273.75,273.75,273.75,1
2022-03-17,287.4,287.4,287.4,287.4,3
2022-03-21,301.75,301.75,301.75,301.75,1
2022-03-22,316.8,316.8,316.8,316.8,1
2022-03-23,332.6,332.6,332.6,332.6,1
2022-03-24,349.2,349.2,349.2,349.2,1
2022-03-25,366.65,366.65,366.65,366.65,1
2022-03-28,384.95,384.95,384.95,384.95,200
2022-03-29,404.15,404.15,404.15,404.15,4
2022-03-30,424.35,424.35,424.35,424.35,6
2022-03-31,445.55,445.55,445.55,445.55,1
2022-04-01,467.8,467.8,467.8,467.8,11
2022-04-04,491.15,491.15,491.15,491.15,9
2022-04-05,480,515.7,480,515.7,11841
2022-04-06,489.95,489.95,489.95,489.95,5917
2022-04-07,465.5,465.5,465.5,465.5,1757
2022-04-08,442.25,442.25,442.25,442.25,909
2022-04-11,420.15,420.15,420.15,420.15,675
2022-04-12,399.15,399.15,399.15,399.15,573
2022-04-13,379.2,379.2,379.2,379.2,393
2022-04-18,360.25,360.25,360.25,360.25,613
2022-04-19,342.25,342.25,342.25,342.25,72006
2022-04-20,325.15,325.15,325.15,325.15,538
2022-04-21,308.9,331,308.9,317.55,906355
2022-04-22,318.8,328.7,305.1,318.9,66344
2022-04-25,321,321,303,303,16613
2022-04-26,287.85,299.4,287.85,288.85,11222
2022-04-27,276.1,290,274.45,274.65,26256
2022-04-28,284.95,288.35,261.05,288.35,6171
2022-04-29,295,302.75,274,300.65,11138
2022-05-02,312.85,312.85,285.65,295.1,14864
2022-05-04,295,306.8,280.35,280.35,3973
2022-05-05,270,284.8,266.35,270.35,4900
2022-05-06,275.95,275.95,257.1,264.1,5308
2022-05-09,251.1,265,250.9,251.45,4362
2022-05-10,250.9,263,240.75,246.85,2887
2022-05-11,245,257,234.55,244.9,2152
2022-05-12,244.9,256,232.7,242.4,1735
2022-05-13,251.9,254.5,250,252.95,12961
2022-05-16,262.95,265.55,245,261.95,2850
2022-05-17,250,265,249.05,261.2,2678
2022-05-18,265.95,265.95,252,262,1226
2022-05-19,249.2,265,249.2,256.95,1836
