Date,Open,High,Low,Close,Volume
2025-08-01,90,94.5,85.5,94.5,2129600
2025-08-04,99.2,99.2,90.05,94.85,265600
2025-08-05,93.9,93.9,90.15,91.3,62400
2025-08-06,90.9,90.9,86.75,86.95,67200
2025-08-07,86.75,86.75,85.05,85.95,73600
2025-08-08,86.9,87.7,85.1,87.1,16000
2025-08-11,89.4,90,86.6,87,28800
2025-08-12,89.4,90,89.4,89.95,12800
2025-08-13,87.2,88,87.2,88,3200
2025-08-14,87.5,88.8,87.5,88.8,3200
2025-08-18,85.25,89.1,85.25,86.9,19200
2025-08-19,87,99,86.95,93.55,366400
2025-08-20,95.5,104.8,92.2,99.85,257600
2025-08-21,103.95,105.9,101.2,102.4,78400
2025-08-22,104.7,104.7,102.95,104,64000
2025-08-25,107,118,107,116.1,115200
2025-08-26,118.8,128,118.1,121.75,152000
2025-08-28,122,137.6,122,130.5,161600
2025-08-29,134.25,139.65,121,122.2,129600
2025-09-01,117.3,118.55,103.05,104.5,433600
2025-09-02,104.5,107.75,103,105.95,54400
2025-09-03,105.9,106.1,103.2,105.5,120000
