Date,Open,High,Low,Close,Volume
2023-07-14,215,222,200.6,202.65,30232142
2023-07-17,203,206.25,192.5,200.3,5901876
2023-07-18,199,203.3,193.5,195.15,2018980
2023-07-19,196,197.45,192.2,192.6,1124340
2023-07-20,191.5,192.5,180.7,182.05,2141732
2023-07-21,180.95,190.9,179.2,187.5,2807828
2023-07-24,187.65,190.95,182.5,185.75,1969514
2023-07-25,187.4,189.65,185,188.8,1014816
2023-07-26,189.5,195.95,189.2,191.7,1702416
2023-07-27,192.25,193.45,190.25,192.3,571040
2023-07-28,192.3,209,192,207,4297024
2023-07-31,209.2,213,206.5,207.55,2198476
2023-08-01,208,209.9,202.5,203.4,1029376
2023-08-02,202.45,204.2,193.9,195.55,1491660
2023-08-03,198.4,198.4,192.1,193.5,700610
2023-08-04,195.35,199.8,195,196.95,536828
2023-08-07,198.85,201.45,195.75,197,393822
2023-08-08,197.95,198.9,194.3,196.5,527138
2023-08-09,196.2,203.4,193.9,200.3,772356
2023-08-10,199.2,207.85,193,194.85,1699122
2023-08-11,195.95,201.6,194.05,198.55,1082594
2023-08-14,199.95,205.2,195.55,202.95,950398
2023-08-16,204.9,206.7,198,199,1099960
2023-08-17,201.45,204,198.05,202.75,844184
2023-08-18,205,212.1,202.75,203.5,2019334
2023-08-21,207.5,209.85,200.55,206.05,1337782
2023-08-22,206.5,209.35,205.05,206.7,798986
2023-08-23,208.25,216.15,206.2,209.2,2165990
2023-08-24,210.4,213.5,209.5,211.3,855058
2023-08-25,210.3,211.4,205.55,207.55,799932
2023-08-28,209.9,211.8,205.55,206.8,465914
2023-08-29,208.95,209.2,201.75,202.3,538590
2023-08-30,204.2,205.1,200,202.8,458644
2023-08-31,204,207.2,200,203.55,729542
2023-09-01,204.45,206.25,202.15,204.05,386904
2023-09-04,205,206.2,201.5,202.2,467514
2023-09-05,204,204,194.5,195,1266874
2023-09-06,197,202.35,196,199.3,924210
2023-09-07,199,201,197,198.05,419564
2023-09-08,199,202.5,198.5,201,755702
2023-09-11,200.5,202.3,198.05,198.95,477950
2023-09-12,198.95,200.7,190,197.45,870536
2023-09-13,198.25,204,195.15,200.65,820232
2023-09-14,202.45,210,200.95,208.3,1205278
2023-09-15,209.5,244.5,209.45,239.4,13090612
2023-09-18,235.9,240.85,230.55,236.7,2807750
2023-09-20,235.8,247.35,232.15,234.3,1680600
2023-09-21,234,254.5,233.9,243.95,4175046
2023-09-22,244.25,253.2,240,249.9,1740832
2023-09-25,256.2,267.5,256,262.3,3278960
2023-09-26,265,269.8,260,266.3,1420666
2023-09-27,266.5,313.2,265.4,304.3,10037758
2023-09-28,307,337,306.9,314.25,11233364
2023-09-29,317.05,317.3,298.75,308.25,1944170
2023-10-03,305.5,328.9,301,321.1,1875140
2023-10-04,322,337.45,315,327.2,1916578
2023-10-05,330,333.4,315.5,319,990480
2023-10-06,319,325.85,319,322.3,543102
2023-10-09,320.4,322.3,300.6,304,921048
2023-10-10,307.5,320.5,306.1,308.05,1232144
2023-10-11,311.35,330,310,325.4,1520222
2023-10-12,326.5,343,324.45,328.35,2065152
2023-10-13,328.75,334.2,319.55,325.35,721012
2023-10-16,326.5,333.5,319.55,330.7,948668
2023-10-17,335,347.9,331.35,334.5,1305690
2023-10-18,336.8,341.5,332.55,339.9,604984
2023-10-19,341.7,345,335,343.4,583326
2023-10-20,343.2,362,342.5,348.65,1009454
2023-10-23,349.8,355.1,313.8,317.45,1502256
2023-10-25,321.5,327,305,309.1,687358
2023-10-26,310.4,312.5,291,307,762822
2023-10-27,310.05,322.5,310.05,312.9,417956
2023-10-30,315.15,333,315,330.5,525452
2023-10-31,336.5,339,330,336.55,497996
2023-11-01,339.5,346,327.5,332.8,603398
2023-11-02,339,344.5,333.7,339.5,598316
2023-11-03,341.7,373.5,341,373.5,3581120
2023-11-06,391,391.4,359,361.9,2307630
2023-11-07,364,369.35,345.7,355.15,1240236
2023-11-08,357.5,363,345.55,347.7,804080
2023-11-09,349.55,356.9,345.1,350.9,760618
2023-11-10,349,349,316,328.7,1824432
2023-11-12,341,344.2,332.85,342,370764
2023-11-13,345,357.5,336.5,347.95,1152024
2023-11-15,353.5,353.5,338.5,347.4,801192
2023-11-16,349,351.4,343,344.1,532586
2023-11-17,344,344.45,333.95,338.4,491390
2023-11-20,341,359,340.7,350.3,1038632
2023-11-21,353.5,356.7,346.5,353.9,439872
2023-11-22,355.35,372,347.5,351.4,1466058
2023-11-23,353.45,379,352.5,370.7,1959768
2023-11-24,372.5,382.4,363.15,365.65,886746
2023-11-28,367.2,370.95,361.05,363.8,399204
2023-11-29,365.5,367.3,355,360.7,402196
2023-11-30,361,373.5,358.3,359.55,514424
2023-12-01,360.25,371.95,360.25,367.4,613486
2023-12-04,377.5,392.5,370.3,386.3,1409510
2023-12-05,388.3,388.3,367.5,376.05,833546
2023-12-06,377.4,384,367.75,370.3,386952
2023-12-07,371.2,374,360,364,522060
2023-12-08,365.1,368.7,354,360.5,491808
2023-12-11,361.65,367.5,359.4,362.9,357984
2023-12-12,364.5,381.25,363.7,378.55,1121372
2023-12-13,377.9,386,370.05,372.45,584924
2023-12-14,375.5,411.6,372.5,380.2,3751642
2023-12-15,383.4,388.7,370,374.4,908680
2023-12-18,375.5,380,364.1,374.65,655566
2023-12-19,374.9,377,369.5,372.95,453352
2023-12-20,373.5,385.3,357.5,360.35,1294014
2023-12-21,359,367.4,352,362.2,564812
2023-12-22,364,369.15,359.3,363.75,398928
2023-12-26,364.7,369,360,361.15,340724
2023-12-27,364.3,366,353.5,356.1,522234
2023-12-28,356.25,359.85,348.5,351.6,523990
2023-12-29,352.2,355.8,346.15,348.3,585214
2024-01-01,347.5,354.7,347.45,352,224374
2024-01-02,353.4,353.4,344.2,346.4,366116
2024-01-03,343.5,359.1,340.7,357.75,677248
2024-01-04,358.7,363.4,354.5,361.7,513564
2024-01-05,362,364.9,353.95,358.9,411990
2024-01-08,358.9,365,354.75,358.35,320400
2024-01-09,361.35,370.4,358.35,364.75,732052
2024-01-10,366.85,378.5,364.15,367.7,921568
2024-01-11,419.9,425,384,388.9,5390510
2024-01-12,389.8,405.6,389.8,397.4,1594328
2024-01-15,400,400,384.5,387,595298
