Date,Open,High,Low,Close,Volume
2018-04-10,355.61,355.61,354.22,354.22,160
2018-04-11,419,419,303.35,354.28,251
2018-04-12,355.43,356.25,355.43,355.83,128
2018-04-13,358.39,358.59,357.11,358.14,186
2018-04-16,375,375,357.21,357.4,535
2018-04-17,359.48,359.93,359.48,359.93,51
2018-04-18,350,375,344.95,358.49,809
2018-04-19,360.14,360.54,358.92,358.92,4
2018-04-20,359.64,359.84,359.64,359.84,30
2018-04-23,359.85,361.92,359.85,361.32,148
2018-04-24,361.92,361.92,360.48,360.48,17
2018-04-25,361.35,361.35,361.35,361.35,15
2018-04-26,362.05,363.42,362.05,363.42,3
2018-04-27,365,366.52,365,365.7,32
2018-04-30,366.19,367.45,366.19,367.45,30
2018-05-02,367.85,368.65,366.59,366.94,173
2018-05-03,367.72,367.72,367.72,367.72,2
2018-05-04,365.09,366.35,365,365,125
2018-05-07,366.3,367.92,366.3,367.26,272
2018-05-08,369.7,369.7,367.85,367.85,279
2018-05-09,368.24,369.24,367.38,367.58,396
2018-05-10,369.18,370.64,368.18,368.18,267
2018-05-11,369.77,371.99,369.77,371.99,252
2018-05-14,371,372.73,371,371,107
2018-05-15,375,375.72,375,375.72,21
2018-05-16,375,375,370,370,6
2018-05-17,370.16,370.16,369.18,369.18,39
2018-05-18,366.16,366.16,363.71,363.71,99
2018-05-21,364.95,364.96,361.87,361.87,417
2018-05-22,363.51,363.51,360.78,361.19,11
2018-05-23,361.75,361.75,360.96,360.96,79
2018-05-24,360.24,360.24,360.01,360.01,349
2018-05-25,364.76,364.76,364.75,364.75,17
2018-05-28,368.05,369.08,368.05,369.08,69
2018-05-29,368.44,368.44,365.36,365.36,114
2018-05-30,365.27,365.27,364.41,364.41,3
2018-05-31,366.35,366.35,366.35,366.35,2
2018-06-01,370,371.64,370,370.63,48
2018-06-04,369.11,369.11,369.11,369.11,29
2018-06-05,366.71,366.71,365.69,365.69,5
2018-06-06,367.48,367.48,367.03,367.03,3
2018-06-07,371.8,371.8,371.8,371.8,2
2018-06-08,371.43,371.43,369.16,370,293
2018-06-11,372.36,373.84,372.36,372.77,42
2018-06-12,373.2,373.2,372.52,372.52,36
2018-06-13,374.96,374.96,374.96,374.96,38
2018-06-14,373.66,373.66,371.2,371.2,97
2018-06-15,372.53,374.21,371.53,372.12,147
2018-06-18,375.5,375.5,371,371,111
2018-06-19,376,380,376,376,4
2018-06-20,378,396,371.42,371.82,266
2018-06-21,373.51,373.51,373.51,373.51,23
2018-06-22,378,380,371.61,371.61,4
2018-06-25,374.74,374.94,374,374,44
2018-06-26,372.83,373.82,372.5,372.5,304
2018-06-27,373.71,373.71,369.56,369.56,22
2018-06-28,378,387,362.95,366.42,190
2018-06-29,370.69,370.69,370.28,370.28,112
2018-07-02,370.45,370.45,370.25,370.45,64
2018-07-03,375,439.7,370,415.98,88
2018-07-04,380,385,370.39,373.88,126
2018-07-05,374.95,374.95,372.53,372.53,70
2018-07-06,374.19,375,373.47,373.47,35
2018-07-09,380,399,374,374.5,94
2018-07-10,379.32,379.91,378.61,379.8,62
2018-07-11,381.16,381.41,380.96,381.2,26
2018-07-12,383.28,387,380.5,383.5,75
2018-07-13,385.79,385.79,382.92,382.92,38
2018-07-16,383.83,384.03,380,380,278
2018-07-17,382.47,382.47,380.76,380.76,35
2018-07-18,385.15,385.35,381.37,382.69,38
2018-07-19,382.51,382.9,380.38,380.38,794
2018-07-20,383.95,384.54,382.42,383.96,70
2018-07-23,384.81,384.81,382.69,383.58,46
2018-07-24,383,388.03,383,386.56,236
2018-07-25,387.52,387.52,387.52,387.52,8
2018-07-26,388.77,388.97,387.03,387.43,34
2018-07-27,390,392.35,390,391.74,22
2018-07-30,391.74,393.3,391.74,392.47,120
2018-07-31,392.47,394.47,392.47,394.47,13
2018-08-01,395.71,395.71,392.16,393.92,11
2018-08-02,390.36,392.31,390.36,392.31,16
2018-08-03,391.5,393.75,391.5,393.75,159
2018-08-06,395,397.22,395,395.04,93
2018-08-07,395.13,395.73,395.13,395.16,6
2018-08-08,395.85,398.45,395.85,398.45,43
2018-08-09,399.14,399.54,397.95,397.95,1515
2018-08-10,398.52,398.72,396.56,397.91,68
2018-08-13,394.96,394.96,394.96,394.96,64
2018-08-14,396.9,397.79,396.41,397.79,62
2018-08-16,397.24,397.24,396,396.2,27
2018-08-17,398.61,399.19,398.61,398.79,93
2018-08-20,399.37,402.56,399.37,402.56,101
2018-08-21,401,402.18,400.37,400.37,15
2018-08-23,401,403.28,401,403.28,18
2018-08-24,403.92,403.92,402,402,29
2018-08-27,405,405.94,405,405.52,62
2018-08-28,406,408.21,406,408.21,46
2018-08-29,406,409.01,406,408.21,6
2018-08-30,406,406.61,404.59,406.21,19
2018-08-31,407,421,395.5,405.93,213
2018-09-03,406,448,395.5,424.7,182
2018-09-04,406,406,400.45,400.45,267
2018-09-05,401.31,401.31,397.36,399.13,104
2018-09-06,401.11,402.7,397.66,402.7,10148
2018-09-07,401.93,402.32,400.93,401.32,27
2018-09-10,395,401.06,393,398.34,43
2018-09-11,399.58,399.58,391.98,393.28,181
2018-09-12,394.61,394.61,392.25,392.25,79
2018-09-14,398.86,399.26,398,398,176
2018-09-17,401,416,393.72,394,323
2018-09-18,395.63,395.63,395,395.62,114
2018-09-19,393.36,393.79,388.42,388.42,45
2018-09-21,393.58,394.36,383.32,383.32,124
2018-09-24,390,416,375,381.67,341
2018-09-25,380.02,384.54,378.23,384.54,563
2018-09-26,386.13,386.13,381.96,383.68,38
2018-09-27,385.14,385.14,383.39,384.06,13
2018-09-28,390,405,373.7,379.94,294
2018-10-01,375,384.49,373,384.49,161
2018-10-03,384,384,378.46,378.64,255
2018-10-04,375,375,368.19,370.02,720
2018-10-05,368.77,368.77,361.25,361.25,556
2018-10-08,360.65,364.6,357.5,362.45,73
2018-10-09,362.85,362.85,362.55,362.55,7
2018-10-10,366,380,355,366.03,139
2018-10-11,366,366,356.3,357,119
2018-10-12,361,366,361,366,174
2018-10-15,370,377,364.24,365.75,166
2018-10-16,369.73,370.53,369,370.06,89
2018-10-17,370,373.82,370,370.3,357
2018-10-19,370,370,358.96,358.96,57
2018-10-22,363.05,363.72,361,361,676
2018-10-23,357,358.19,356.3,357.78,14
2018-10-24,359.02,359.02,356.99,358.02,99
2018-10-25,355.81,355.81,355.1,355.12,35
2018-10-26,353,353.19,351.29,352.06,168
2018-10-29,352.37,356.32,350.77,356.32,108
2018-10-30,359.49,359.49,357.36,357.36,123
2018-10-31,358.56,362.34,355,362.34,28
2018-11-01,363.6,363.97,362,363.97,167
2018-11-02,366,369.89,366,369.66,81
2018-11-05,371,381,367.4,367.4,180
2018-11-06,367.4,370.3,367.4,370.3,215
2018-11-07,375,375,370.32,371.45,53
2018-11-09,371.53,372.14,370.66,370.66,42
2018-11-12,375,390,370.92,371.12,140
2018-11-13,366.74,369.29,366.74,369.29,99
2018-11-14,370.31,370.31,370.11,370.11,17
2018-11-15,365,372.61,365,372.61,52
2018-11-16,372.08,374.96,372.08,373.68,15
2018-11-19,376,386,373.68,373.68,170
2018-11-20,376,376.91,374.59,374.59,72
2018-11-21,374.8,374.8,369.82,370,80
2018-11-22,373.03,373.23,370,370,55
2018-11-26,369.82,370.01,369.82,370,95
2018-11-27,372.81,375.39,371.72,375.39,87
2018-11-28,376,377.89,375.78,377.49,54
2018-11-29,380.87,382.29,379.15,382.25,291
2018-11-30,383.1,383.1,382,382.3,32
2018-12-03,383.77,383.77,383.77,383.77,15
2018-12-04,381.14,381.14,381.14,381.14,2
2018-12-05,379.22,379.46,378,378,63
2018-12-06,374.79,374.79,371.28,372.14,89
2018-12-07,374.84,376.87,373.81,376.87,27
2018-12-10,370,371.56,368.28,368.94,219
2018-12-11,365.24,368.84,365.24,368.56,111
2018-12-12,371,377.9,371,377.22,58
2018-12-13,371,380.28,371,379.53,30
2018-12-14,378.71,379.94,378.28,378.28,52
2018-12-17,380.3,383.03,380.3,383.03,220
2018-12-18,381.19,381.19,379.27,379.27,81
2018-12-19,384.93,385.11,383,384.28,178
2018-12-20,383.15,383.55,383.14,383.14,497
2018-12-21,383.58,383.58,377.32,377.32,7
2018-12-24,377,380,370.94,371.12,39
2018-12-26,368.7,372.58,367.16,372.58,260
2018-12-27,376.25,376.25,373.95,376.04,19
2018-12-28,378.1,378.45,378.1,378.45,11
2018-12-31,380,399.9,376.1,378.3,55
2019-01-01,376.07,376.27,376.07,376.27,6
2019-01-02,380,397,378.53,379.14,21
2019-01-03,376.55,376.55,375,375,4
2019-01-04,380,381,373.1,375.34,18
2019-01-07,380,380.27,379.66,379.66,7
2019-01-08,381,391,370.55,378.88,197
2019-01-09,382.23,382.23,378.23,380.94,91
2019-01-10,382.21,382.4,382,382.01,83
2019-01-11,381.9,381.9,379.02,379.02,17
2019-01-14,377.86,377.86,377,377,99
2019-01-15,385,390,380.2,381.72,82
2019-01-16,381.72,384.67,381.72,382.13,794
2019-01-17,384.59,384.59,381.97,381.97,223
2019-01-18,386,390,382.64,382.74,55
2019-01-21,386,387.1,386,387.03,80
2019-01-22,390,399,383.82,384.4,53
2019-01-23,384.4,384.77,382.65,382.77,44
2019-01-24,390,399,380,381.78,31
2019-01-25,390,395,378.71,378.71,81
2019-01-28,379,379,376.2,376.94,50
2019-01-29,381,391,372,374.39,114
2019-01-30,376.99,376.99,374.66,375.91,36
2019-01-31,380,382.92,376.62,382.45,73
2019-02-01,384.17,386.45,382.83,384.31,195
2019-02-04,383.28,385.3,382.89,385.3,153
2019-02-05,386,396,385.55,386.6,36
2019-02-06,386,390.5,386,390.5,64
2019-02-07,386,391.42,386,390.28,13
2019-02-08,395,396,385.43,385.43,7
2019-02-11,384.54,390,383.75,385.23,56
2019-02-12,390,399,380.48,381.9,449
2019-02-13,382.18,383.5,381.07,381.07,168
2019-02-14,390,398,377.73,378.7,161
2019-02-15,385,386,375.2,375.7,101
2019-02-18,374.95,376.44,374.5,375,196
2019-02-19,380,390,371.88,372.01,133
2019-02-20,372,376.15,372,375.5,67
2019-02-21,377.55,378.07,377.55,378.07,20
2019-02-22,380,385,377.62,377.62,17
2019-02-25,379.67,379.87,379.67,379.87,7
2019-02-26,385,391,377.99,378.38,187
2019-02-27,383.33,383.33,378,378.04,22
2019-02-28,381,381,377.27,378.54,26
2019-03-01,385,386,378.66,378.66,94
2019-03-05,385,389,379.12,384.85,73
2019-03-06,386,386.98,385.01,386,2047
2019-03-07,387.54,388.94,386.6,388.13,27
2019-03-08,387.61,387.61,385.45,386.06,161
2019-03-11,389.12,391.63,389.12,391.63,279
2019-03-12,395,404,393.58,394.3,79
2019-03-13,398,407,395.21,397.38,134
2019-03-14,400,400.31,396.73,396.73,468
2019-03-15,400,401.83,400,401.45,67
2019-03-18,403.66,404.86,401.98,401.98,73
2019-03-19,406,416,401.7,403,239
2019-03-20,406,406.25,405.61,406.25,49
2019-03-22,406,412,402.92,402.92,187
2019-03-25,406,416,397.5,397.93,183
2019-03-26,405,411,399.22,405.06,66
2019-03-27,410,410,402.21,402.8,1283
2019-03-28,410,415,403.38,407.41,150
2019-03-29,410,420,406.55,409,262
2019-04-01,403,415,403,411,102
2019-04-02,415,423,409.88,412.63,76
2019-04-03,413,414.65,412.61,412.61,37
2019-04-04,415,416,408.25,408.25,247
2019-04-05,409.21,410.18,409.21,409.97,12
2019-04-08,410,416,400,408.15,75
2019-04-09,415,420,407.16,409.23,39
2019-04-10,411.21,411.61,407.38,407.38,89
2019-04-11,413,415,405.61,405.61,181
2019-04-12,409.09,409.09,409.09,409.09,2
2019-04-15,410.16,411.57,410.16,411.57,74
2019-04-16,415,420,412.87,413.44,388
2019-04-18,418,420,412.54,414.15,32
2019-04-22,414,414,406.73,407.71,78
2019-04-23,413,416.95,406.58,406.58,47
2019-04-24,411,416.95,408.03,411.29,150
2019-04-25,415,416,398.95,414.6,385
2019-04-26,410.9,410.9,410.9,410.9,120
2019-04-30,415,416.95,408.22,411,3121
2019-05-02,411,416.95,410.23,413.59,31
2019-05-03,412.44,413.1,411.31,411.91,13
2019-05-06,408.7,408.82,406.54,406.54,160
2019-05-07,410.25,410.25,405.87,406.36,1123
2019-05-08,400,402.9,395.95,399.7,548
2019-05-09,398.7,398.7,396,396,87
2019-05-10,396.74,397.95,395.7,396,112
2019-05-13,395.28,396.95,390.75,392.54,4262
2019-05-14,396,406,391.82,394.06,300
2019-05-15,398,400,393.7,393.75,345
2019-05-16,400,401,392.82,394.46,51
2019-05-17,400,405,397.43,401.89,3413
2019-05-20,408.78,416.53,407.25,416.15,856
2019-05-21,421,480,410.45,410.45,719
2019-05-22,416,417,411.71,413.66,463
2019-05-23,416,424,409.27,410.71,652
2019-05-24,416,423,412.33,416,118
2019-05-27,419.75,421.06,419.59,419.59,47
2019-05-28,423,423,416.22,420.97,248
2019-05-29,420.84,420.84,418,418,92
