Date,Open,High,Low,Close,Volume
2015-09-07,26.63,28.61,25.88,26.26,11710
2015-09-08,25.93,27.53,25.5,27.06,14087
2015-09-09,28.24,28.24,26.59,27.1,20954
2015-09-10,26.92,27.48,25.93,26.68,18521
2015-09-11,27.06,27.43,26.3,26.49,9596
2015-09-14,28,28.14,26.49,27.86,20273
2015-09-15,27.81,28.19,26.87,27.06,7099
2015-09-16,27.29,27.58,26.87,27.29,3348
2015-09-18,27.58,28.14,27.06,27.2,16659
2015-09-21,27.62,28.14,27.06,27.81,9357
2015-09-22,27.81,28.75,27.1,27.48,15562
2015-09-23,27.48,28.14,26.96,27.76,8545
2015-09-24,27.43,28.19,27.34,27.86,8447
2015-09-28,28.14,28.38,27.53,27.67,14415
2015-09-29,27.58,28.05,27.29,27.81,9633
2015-09-30,27.62,30.78,27.48,28.9,35036
2015-10-01,28.47,34.65,28.09,29.7,87044
2015-10-05,30.59,30.92,28.99,29.79,17498
2015-10-06,29.23,30.88,29.23,30.12,14907
2015-10-07,29.7,30.64,29.65,30.17,12683
2015-10-08,30.17,30.55,29.23,29.74,9782
2015-10-09,30.64,31.82,30.4,30.92,44755
2015-10-12,31.11,31.58,30.73,30.73,15290
2015-10-13,30.4,31.54,30.17,30.4,21636
2015-10-14,30.17,31.96,29.32,30.73,26574
2015-10-15,31.11,34.79,31.11,33.75,143772
2015-10-16,33.85,34.32,32.1,32.38,40913
2015-10-19,32.48,33.61,32.05,32.95,49693
2015-10-20,32.62,33.61,32.15,32.71,23060
2015-10-21,32.43,32.95,31.96,32.38,14998
2015-10-23,33.56,33.56,31.39,31.68,26622
2015-10-26,32.15,32.48,31.58,31.87,19596
2015-10-27,31.68,32.24,31.63,32.01,11336
2015-10-28,32.15,33,31.58,32.05,28659
2015-10-29,32.05,32.57,29.6,30.97,20691
2015-10-30,31.58,31.96,30.78,31.21,15469
2015-11-02,30.59,31.77,30.59,31.25,9772
2015-11-03,31.87,32.34,31.39,31.91,21930
2015-11-04,32.67,32.67,31.21,31.39,13311
2015-11-05,31.11,31.96,29.41,29.51,27842
2015-11-06,30.17,31.11,28.75,29.7,41001
2015-11-09,29.51,29.98,28.85,29.56,31309
2015-11-10,28.75,30.12,25.93,27.2,82528
2015-11-11,29.13,29.18,27.58,28.33,16100
2015-11-13,28.47,28.66,27.34,28.47,16918
2015-11-16,29.89,29.89,27.72,28.28,11869
2015-11-17,28.28,29.6,28.28,28.66,12266
2015-11-18,28.28,29.65,28.28,28.71,9804
2015-11-19,29.65,29.7,28.47,28.9,12347
2015-11-20,28.28,29.46,28.28,29.08,6651
2015-11-23,28.28,29.56,28.28,28.99,11121
2015-11-24,28.33,29.89,28.33,29.23,11104
2015-11-26,28.75,31.11,28.75,29.84,32245
2015-11-27,29.65,30.97,29.65,29.93,19040
2015-11-30,28.94,30.55,28.94,30.03,15387
2015-12-01,30.55,30.78,30.31,30.55,5255
2015-12-02,30.22,32.34,30.22,31.77,35908
2015-12-03,31.11,34.88,30.64,33.09,128848
2015-12-04,33.19,33.89,31.39,32.2,60346
2015-12-07,32.24,32.67,31.3,31.49,12493
2015-12-08,32.71,32.71,31.11,31.25,11900
2015-12-09,31.16,31.16,30.17,30.22,11589
2015-12-10,31.06,31.54,30.73,31.02,15356
2015-12-11,31.25,31.63,29.7,30.07,12636
2015-12-16,32.05,33.23,31.49,31.96,25831
2015-12-17,32.67,33.33,31.77,32.86,56433
2015-12-18,33,33.09,31.91,32.05,22288
2015-12-21,33.23,33.89,32.48,33.47,364893
2015-12-22,33.04,33.85,32.29,32.53,31724
2015-12-23,33.66,34.27,32.38,33.52,55756
2015-12-24,33,33.94,33,33.61,21007
2015-12-28,34.03,34.03,32.05,33.23,21444
2015-12-29,33.94,33.94,32.43,32.57,27276
2015-12-30,33.37,33.37,32.24,32.38,16350
2015-12-31,33.33,33.33,32.05,32.29,9272
2016-01-01,32.53,33.85,32.05,33.33,26114
2016-01-04,32.57,34.18,32.57,33.61,63868
2016-01-05,33.85,33.89,32.81,33.33,143396
2016-01-06,33.47,36.15,33.09,34.27,987096
2016-01-07,34.27,34.51,31.63,32.1,98349
2016-01-08,32.53,33,31.54,31.96,60075
2016-01-11,32.9,32.9,30.69,30.97,618662
2016-01-12,31.11,31.77,29.23,29.46,124856
2016-01-13,29.46,30.64,26.4,27.39,213405
2016-01-14,27.72,27.72,25.41,26.73,123516
2016-01-15,27.25,27.53,25.55,25.97,49750
2016-01-18,27.15,27.15,23.1,24.13,84028
2016-01-19,23.99,24.94,23.33,24.51,76097
2016-01-20,24.32,24.32,22.72,23.1,86375
2016-01-21,24.04,24.32,22.72,23.05,48507
2016-01-22,23.95,25.03,23.33,24.46,52158
2016-01-25,24.98,25.36,23.76,24.65,30002
2016-01-27,24.65,25.64,24.04,25.08,26944
2016-01-28,24.18,25.88,24.18,24.98,42499
2016-01-29,24.61,26.07,24.61,25.83,33691
2016-02-01,25.83,28.24,25.83,27.48,84378
2016-02-02,27.48,27.91,25.74,25.93,48920
2016-02-03,25.6,25.69,24.46,24.84,36274
2016-02-04,25.93,25.93,24.46,24.75,27697
2016-02-05,24.98,25.6,24.42,25.22,15204
