Date,Open,High,Low,Close,Volume
2020-10-05,1.995,2.2,1.995,2.2,80000
2020-11-02,2.27,2.29,2.27,2.29,120000
2020-11-03,2.36,2.38,2.36,2.38,120000
2020-11-06,2.3,2.3,2.3,2.3,40000
2020-11-14,2.32,2.32,2.32,2.32,40000
2020-11-18,2.3,2.3,2.3,2.3,80000
2020-11-27,2.2,2.2,2.2,2.2,40000
2020-12-02,2.1,2.1,2.1,2.1,40000
2020-12-08,1.995,1.995,1.995,1.995,80000
2020-12-09,1.9,2.09,1.9,2.09,80000
2020-12-10,2.1,2.18,2.1,2.18,80000
2020-12-14,2.18,2.18,2.18,2.18,80000
2021-01-21,2.075,2.075,2.075,2.075,120000
2021-01-28,1.975,1.975,1.975,1.975,320000
2021-02-16,1.88,1.88,1.88,1.88,80000
2021-02-17,1.88,1.88,1.88,1.88,40000
2021-02-18,1.895,1.895,1.895,1.895,40000
2021-02-19,1.88,1.88,1.88,1.88,80000
2021-02-24,1.945,1.945,1.945,1.945,80000
2021-03-10,1.945,2.04,1.945,2.04,80000
2021-03-15,2,2,2,2,40000
2021-03-19,2,2.02,2,2.02,80000
2021-04-08,1.92,1.92,1.92,1.92,40000
2021-04-27,2,2,2,2,40000
2021-05-07,2.1,2.1,2.1,2.1,40000
2021-05-17,2.08,2.08,2.08,2.08,40000
2021-05-27,1.98,1.98,1.98,1.98,400000
2021-05-28,1.895,1.895,1.895,1.895,40000
2021-05-31,1.875,1.875,1.875,1.875,440000
2021-06-02,1.895,1.895,1.895,1.895,40000
2021-06-07,1.805,1.805,1.805,1.805,40000
2021-06-10,1.85,1.88,1.715,1.715,160000
2021-06-16,1.63,1.63,1.63,1.63,40000
2021-06-23,1.55,1.71,1.55,1.68,920000
2021-06-24,1.7,1.72,1.7,1.72,280000
2021-06-25,1.75,1.77,1.635,1.645,800000
2021-06-28,1.65,1.72,1.6,1.625,600000
2021-06-29,1.7,1.705,1.7,1.705,880000
2021-06-30,1.7,1.75,1.62,1.75,160000
2021-07-01,1.725,1.75,1.7,1.74,520000
2021-07-02,1.7,1.74,1.7,1.74,200000
2021-07-07,1.825,1.825,1.66,1.705,1080000
2021-07-08,1.71,1.72,1.71,1.72,600000
2021-07-09,1.76,1.76,1.7,1.71,520000
2021-07-12,1.795,1.795,1.775,1.79,280000
2021-07-14,1.875,1.875,1.705,1.815,1000000
2021-07-15,1.73,1.815,1.725,1.725,560000
2021-07-19,1.64,1.7,1.64,1.7,600000
2021-07-20,1.73,1.775,1.73,1.77,720000
2021-07-22,1.825,1.825,1.825,1.825,200000
2021-07-23,1.735,1.75,1.735,1.75,480000
2021-07-26,1.825,1.835,1.81,1.835,720000
2021-07-27,1.925,1.925,1.865,1.925,1480000
2021-07-28,2.015,2.02,1.925,2.02,1120000
2021-07-29,2.025,2.025,2.025,2.025,40000
2021-07-30,2.005,2.125,2,2.125,560000
2021-08-02,2.22,2.225,2.125,2.21,240000
2021-08-03,2.26,2.32,2.26,2.32,200000
2021-08-04,2.32,2.415,2.3,2.385,360000
2021-08-05,2.385,2.495,2.385,2.495,200000
2021-08-06,2.57,2.61,2.57,2.605,320000
2021-08-09,2.62,2.71,2.615,2.71,160000
2021-08-10,2.8,2.81,2.8,2.8,160000
2021-08-11,2.775,2.8,2.66,2.8,360000
2021-08-12,2.68,2.68,2.68,2.68,40000
2021-08-16,2.6,2.6,2.6,2.6,40000
2021-08-25,2.47,2.47,2.47,2.47,40000
2021-08-26,2.47,2.47,2.47,2.47,80000
2021-08-27,2.47,2.52,2.35,2.495,160000
2021-08-31,2.385,2.595,2.38,2.595,160000
2021-09-01,2.65,2.72,2.535,2.675,680000
2021-09-02,2.795,2.795,2.555,2.58,834270
2021-09-03,2.65,2.65,2.455,2.52,172360
2021-09-06,2.625,2.645,2.625,2.645,358600
2021-09-07,2.7,2.775,2.7,2.775,511390
2021-09-08,2.85,2.85,2.64,2.72,358650
2021-09-09,2.72,2.75,2.585,2.675,205600
2021-09-13,2.79,2.805,2.7,2.79,1196390
2021-09-14,2.845,2.925,2.665,2.81,1878900
2021-09-15,2.885,2.885,2.67,2.67,1013340
2021-09-16,2.67,2.765,2.56,2.705,421250
2021-09-17,2.775,2.775,2.62,2.7,811860
2021-09-20,2.715,2.715,2.575,2.59,269690
2021-09-21,2.645,2.645,2.465,2.465,267570
2021-09-22,2.45,2.585,2.37,2.58,156270
2021-09-23,2.52,2.64,2.5,2.53,117430
2021-09-24,2.58,2.58,2.405,2.405,258710
2021-09-27,2.36,2.475,2.305,2.41,76360
2021-09-28,2.49,2.53,2.315,2.52,2322710
2021-09-29,2.5,2.62,2.395,2.425,611690
2021-09-30,2.48,2.49,2.39,2.455,119430
2021-10-01,2.4,2.565,2.355,2.49,124260
2021-10-04,2.61,2.61,2.45,2.6,2258480
2021-10-05,2.605,2.64,2.575,2.595,258430
2021-10-06,2.63,2.63,2.495,2.565,394330
2021-10-07,2.6,2.6,2.31,2.375,538460
2021-10-08,2.56,2.56,2.38,2.42,390090
2021-10-11,2.58,2.58,2.37,2.42,300520
2021-10-12,2.48,2.66,2.235,2.59,4725910
2021-10-13,2.6,2.7,2.44,2.48,2264880
2021-10-14,2.435,2.585,2.4,2.42,399740
2021-10-18,2.4,2.465,2.18,2.215,638140
2021-10-19,2.31,2.31,2.01,2.04,1358740
2021-10-20,2.125,2.2,2.025,2.07,1610100
2021-10-21,2.07,2.17,2,2.14,1535880
2021-10-22,2.18,2.225,2.035,2.04,1876880
2021-10-25,2.115,2.115,1.985,2.005,716680
2021-10-26,2.06,2.06,1.945,2,1676100
2021-10-27,2.025,2.04,1.975,2,1830120
2021-10-28,2.045,2.045,1.9,2,322610
2021-10-29,1.99,2,1.9,1.905,609230
2021-11-01,1.92,1.97,1.87,1.885,561220
2021-11-02,1.935,1.935,1.795,1.815,1055850
2021-11-03,1.855,1.905,1.83,1.905,328730
2021-11-04,1.97,2,1.935,1.99,179350
2021-11-08,2,2.02,1.925,1.97,758320
2021-11-09,2,2.01,1.93,1.945,1053770
2021-11-10,1.915,1.995,1.915,1.95,1223080
2021-11-11,1.98,2.045,1.925,1.98,529810
2021-11-12,2.035,2.075,1.96,2.075,1819120
2021-11-15,2.15,2.175,1.98,2.145,1802630
2021-11-16,2.225,2.25,2.15,2.25,608340
2021-11-17,2.3,2.36,2.295,2.36,611080
2021-11-18,2.47,2.475,2.35,2.47,1240220
2021-11-22,2.545,2.59,2.35,2.42,4101990
2021-11-23,2.455,2.54,2.375,2.54,716580
2021-11-24,2.635,2.665,2.545,2.665,747650
2021-11-25,2.71,2.775,2.7,2.775,667250
2021-11-26,2.9,2.91,2.855,2.91,1248180
2021-11-29,3.02,3.055,2.765,3.03,2164960
2021-11-30,3.09,3.18,3.03,3.165,993570
2021-12-01,3.265,3.32,3.08,3.31,1102180
2021-12-02,3.38,3.475,3.335,3.475,608340
2021-12-03,3.64,3.645,3.64,3.645,234380
2021-12-06,3.825,3.825,3.825,3.825,403030
2021-12-07,4.015,4.015,4.015,4.015,120480
2021-12-08,4.215,4.215,4.215,4.215,396340
2021-12-09,4.425,4.425,4.01,4.385,2653390
2021-12-10,4.6,4.6,4.405,4.595,2173500
2021-12-13,4.78,4.82,4.51,4.815,1416290
2021-12-14,4.965,5.055,4.85,5.055,964000
2021-12-15,5.305,5.305,5.305,5.305,111130
2021-12-16,5.57,5.57,5.57,5.57,245050
2021-12-17,5.845,5.845,5.295,5.845,3544570
2021-12-20,6.135,6.135,5.845,6.135,2638160
2021-12-21,6.435,6.435,5.83,6.045,5320700
2021-12-22,6.2,6.2,5.745,6.12,3381320
2021-12-23,5.85,6.1,5.85,5.93,1824220
2021-12-24,5.82,6.05,5.635,5.955,2964800
2021-12-27,6.19,6.25,5.92,6.23,2712610
2021-12-28,6.5,6.54,6.31,6.54,1809070
2021-12-29,6.7,6.865,6.7,6.865,1460480
2021-12-30,7.2,7.205,7.01,7.205,907500
2021-12-31,7.565,7.565,7.565,7.565,211070
2022-01-03,7.94,7.94,7.6,7.94,1453400
2022-01-04,8.335,8.335,7.545,8.335,1359030
2022-01-05,8.75,8.75,8.745,8.75,756650
2022-01-06,9.185,9.185,9.05,9.185,739370
2022-01-07,9.64,9.64,9.64,9.64,413960
2022-01-10,10.12,10.12,10.12,10.12,338810
2022-01-11,10.625,10.625,10.625,10.625,228840
2022-01-12,11.155,11.155,10.095,10.75,5615570
2022-01-13,10.215,10.215,10.215,10.215,65440
2022-01-14,9.705,9.705,9.705,9.705,157300
2022-01-17,9.22,9.22,9.22,9.22,502570
2022-01-18,8.76,8.76,8.76,8.76,852100
2022-01-19,8.325,9.195,8.325,9.195,2023180
2022-01-20,9.595,9.65,9.595,9.65,290440
2022-01-21,10.13,10.13,10.13,10.13,277370
2022-01-24,10.635,10.635,9.63,10.345,3692950
