Date,Open,High,Low,Close,Volume
2022-04-04,477.99,477.99,400,403.7,10915
2022-04-05,439.48,439.48,387.02,399.36,8850
2022-04-06,406.24,478,384,448.33,26315
2022-04-07,448.2,454,425.02,432.03,10080
2022-04-08,445.13,445.6,420.02,433.89,3780
2022-04-11,444.98,464,418,419.87,12345
2022-04-12,421,429.8,396,413.13,9440
2022-04-13,412.78,420,402,409.72,4435
2022-04-18,419.8,419.98,391.21,413.59,7025
2022-04-19,408.55,426,408.55,420.2,2640
2022-04-20,411.98,437.79,411.98,427.71,5830
2022-04-21,420.42,439.13,420.42,434.55,2100
2022-04-22,439.13,449.98,424.31,444.58,7200
2022-04-25,444.62,449.8,424.19,427.84,10415
2022-04-26,434.58,439.8,415.01,430.45,4795
2022-04-27,422,431.59,408.81,412.6,3960
2022-04-28,404.4,427.56,397.21,400.95,27070
2022-04-29,404.17,412,396.62,404.81,22010
2022-05-02,405,416.71,395.11,412.23,3505
2022-05-04,404.12,414.46,400,409.27,2945
2022-05-05,404.01,410.98,389.96,400.62,18930
2022-05-06,396.89,409.9,394.1,401.55,6955
2022-05-09,400.01,424,396.02,416.14,18230
2022-05-10,413.91,416,394.23,401.35,5810
2022-05-11,404.8,405.89,322.04,339.83,109045
2022-05-12,334,345,308.25,314.15,27580
2022-05-13,319.8,335.27,316,324.45,18615
2022-05-16,328,350,320,343.92,12820
2022-05-17,346.76,367,346.76,358.37,5060
2022-05-18,352.34,375.2,350.78,359.92,2870
2022-05-19,352,360,346.57,350.78,7740
2022-05-20,351.09,363.99,350,352.04,965
2022-05-23,361.79,367.99,353.02,357.68,3440
2022-05-24,360.64,363.98,348.63,357.7,16560
2022-05-25,359.04,368.16,350.42,353.67,17060
2022-05-26,374.8,374.8,339.99,351.81,3225
2022-05-27,349.99,370,349.99,363.36,2940
2022-05-30,379.79,404.99,360.4,380.91,3315
2022-05-31,367,388,366.31,384.16,2030
2022-06-01,382.38,400,380,386.26,4110
2022-06-02,386.06,386.07,372.32,379.08,2100
2022-06-03,395.45,395.45,366.06,383,2580
2022-06-06,395.18,395.18,376.01,388.15,8775
2022-06-07,384.42,387.35,378.39,386.16,6230
2022-06-08,377.22,389,377,383,1070
2022-06-09,376.01,383.98,360,382.79,5805
2022-06-10,382.02,384.81,377.19,380.09,1275
2022-06-13,377.99,377.99,360.2,363.67,2415
2022-06-14,365.19,370.09,359,361,31690
2022-06-15,367.63,367.63,358.05,360.12,1980
2022-06-16,362.09,369.51,357.8,359.84,36895
2022-06-17,350,388,350,371.53,5410
2022-06-20,379.99,379.99,340.25,346.85,84580
2022-06-21,366,366,353.2,363.19,11895
2022-06-22,366.48,369.59,359.13,360.47,29570
2022-06-23,363,365.48,356.26,358.54,78395
2022-06-24,356.58,364.96,356.58,360.01,2525
2022-06-27,364.37,366,360.69,363.79,385
2022-06-28,361.82,368.9,361.4,362.76,335
2022-06-29,363.52,380,360,379.72,5040
2022-06-30,371.52,385.27,370,380.16,8400
2022-07-01,382.99,383,370,372.75,4170
2022-07-04,366.33,389.99,364.05,380.69,4990
2022-07-05,376.68,387.6,376.68,381.02,1085
2022-07-06,390,390,370,372.54,1460
2022-07-07,384.14,384.14,371.2,375.25,3185
2022-07-08,383.79,390.62,370.23,381.5,71015
2022-07-11,384,389.85,382.16,387.08,2655
2022-07-12,383.63,395,379.18,389.35,4820
2022-07-13,387.58,394.98,382.39,385.79,28100
2022-07-14,382.89,391.8,381.88,389.48,4200
2022-07-15,392.08,394,373.8,384.38,2545
2022-07-18,398,398,380,384.97,3195
2022-07-19,388,388,382,382.99,4845
2022-07-20,384.99,385,375.69,381.72,5340
2022-07-21,383.08,392.88,375,386.25,11165
2022-07-22,392.98,392.98,385,390.08,3860
2022-07-25,387.18,395,379.48,392.05,5210
2022-07-26,383.73,392.36,381.99,390.38,1900
2022-07-27,382.01,391.5,380.81,390.99,1215
2022-07-28,388.06,389.39,385.45,386.55,875
2022-07-29,379.39,388.86,379.39,382.07,2825
2022-08-01,383.71,402.6,383.71,399.42,19780
2022-08-02,394.38,428,394.38,410.2,14305
2022-08-03,430.8,432,394,402.98,4115
2022-08-04,419.21,440,392.42,413.74,68650
2022-08-05,418.94,420,398,401.3,4240
2022-08-08,381.01,410.03,381.01,402.79,3605
2022-08-10,414.67,420,381.59,387.41,3605
2022-08-11,384,400.41,381.07,390.03,6035
2022-08-12,412.19,417,382.71,385.97,5760
2022-08-16,391.76,395.95,377.89,384.72,3460
2022-08-17,412.99,412.99,380.21,397.84,4255
2022-08-18,409.6,409.6,397.86,407.69,52795
2022-08-19,399.54,411.83,388.45,400,26360
2022-08-22,413.81,413.81,380.2,393.83,5575
2022-08-23,397.18,402.62,379.99,382.98,15330
2022-08-24,386.11,388.8,368.72,383.5,9945
2022-08-25,383.5,397,362.3,369.55,13700
2022-08-26,384.8,387.99,369.55,378.02,10370
2022-08-29,375.99,391.8,372.01,388.49,12950
2022-08-30,393.4,393.4,382.42,390.88,4800
2022-09-01,393.8,393.8,383.34,388.44,2190
2022-09-02,384.47,392,380.26,388.47,2850
2022-09-05,393.67,398.99,380.41,386.06,7400
2022-09-06,397.6,397.6,385.21,392.06,2625
2022-09-07,397.8,400,387.8,394.27,4115
2022-09-08,388,414.29,385.01,389.22,75805
2022-09-09,393.25,395.98,388.2,391.99,2825
2022-09-12,391.99,393.32,387.2,390.55,10600
2022-09-13,390.28,412.67,390.28,403.33,11890
2022-09-14,417.6,417.6,400.52,410.89,99705
2022-09-15,419.6,419.8,404.4,406.99,3935
2022-09-16,416.99,416.99,388.2,394.53,4565
2022-09-19,403.6,418.99,380.4,387.36,8965
2022-09-20,385.08,400.85,380.71,385.16,8350
2022-09-21,397.76,404.23,386.13,400.91,37785
2022-09-22,400.93,404.52,391,403.19,6915
2022-09-23,396.04,404.59,395.08,402.23,990
2022-09-26,400.23,402.2,376.52,382.15,14200
2022-09-27,392,392,370.12,378.38,6815
2022-09-28,376.44,379.95,368.62,370.38,2935
2022-09-29,377.42,390,367.05,383.48,4405
2022-09-30,378.62,396.8,372.01,388.36,3515
2022-10-03,397.7,397.7,360,375.53,7670
2022-10-04,390.59,394,373.4,379.74,2575
2022-10-06,389,389,360.12,367.35,24515
