Date,Open,High,Low,Close,Volume
2015-09-07,284.25,306.7,284.25,290.65,50333
2015-09-08,297.75,302.9,289,292.05,86737
2015-09-09,298,300.5,290.4,291.85,61106
2015-09-10,291,295.45,288,290.2,44101
2015-09-11,291.5,295.8,283.6,286.55,68796
2015-09-14,288,292.8,285.1,287.8,15317
2015-09-15,298.9,298.9,282.05,283.05,25564
2015-09-16,291.8,291.8,274,275.5,45839
2015-09-18,278,282.75,271,273.85,81432
2015-09-21,271,289.5,271,287.95,67586
2015-09-22,288,291.4,276.1,277.6,35153
2015-09-23,275.1,288.35,275.1,286.45,24594
2015-09-24,282.7,287.9,282,283.25,15307
2015-09-28,289.35,294.8,282.5,286.85,44346
2015-09-29,279.65,284.4,279.5,281.15,17293
2015-09-30,283.05,288.6,280.75,282.4,26791
2015-10-01,281.25,287.9,281.25,282.95,52436
2015-10-05,287,289.9,282.55,283.3,38614
2015-10-06,287,289,283.7,287.9,25575
2015-10-07,292,292,285.35,286.25,24425
2015-10-08,289,289.4,283.4,286.4,21971
2015-10-09,287.7,289.45,285,285.25,12765
2015-10-12,288.7,288.7,282.5,283.05,8608
2015-10-13,283.45,285,277.5,279.15,17945
2015-10-14,280,283.4,275,276.5,25311
2015-10-15,276.1,283,276.1,280,36711
2015-10-16,281,288.9,277.25,285.6,43571
2015-10-19,287,287,277.9,283.4,46495
2015-10-20,280.05,285,279.25,280.15,36637
2015-10-21,278,287.8,277.6,278.65,29854
2015-10-23,285,285.9,274.25,275.65,18071
2015-10-26,276.5,278.35,271.5,273.25,14278
2015-10-27,274.25,274.35,263.5,264.35,49734
2015-10-28,264,274,260.5,264.55,135605
2015-10-29,264.9,270,260.3,261.85,44595
2015-10-30,261.1,267,261.1,264.25,427577
2015-11-02,260.3,269.35,257,262.75,39040
2015-11-03,263.7,274,261.9,266.2,466206
2015-11-04,265.2,273.5,213,268.95,1920492
2015-11-05,265.2,274,257.6,263.05,535755
2015-11-06,263.95,264,241.9,248.55,52344
2015-11-09,244.45,257,234.45,251.5,55452
2015-11-10,251.7,255.85,250,252.25,27566
2015-11-11,258.9,259.85,253.5,254.65,8349
2015-11-13,252.15,254.9,247.05,248.05,29601
2015-11-16,242.5,252.2,242.5,250.05,55986
2015-11-17,252.7,252.7,247.85,249.15,29195
2015-11-18,243.65,252.75,243.65,246.9,37218
2015-11-19,249.85,250,243.5,243.9,66203
2015-11-20,245.1,246.25,240.75,242.75,21549
2015-11-23,240.25,245,240.25,241.5,15336
2015-11-24,241.75,243.6,240,242.95,82265
2015-11-26,243.25,247.75,242,243.05,40439
2015-11-27,241,245,241,243.25,18652
2015-11-30,241.6,243.1,237.2,239.5,295592
2015-12-01,238.5,241.75,238,238,434927
2015-12-02,236,240,236,238.9,23153
2015-12-03,239.5,240,235.25,236.5,27448
2015-12-04,235.2,238.1,230.6,232.75,50249
2015-12-07,231,247.35,231,242.05,78485
2015-12-08,240.05,245.05,235.25,237.4,15358
2015-12-09,234.25,237.45,228.5,231.45,24762
2015-12-10,232.35,234,227,233,14796
2015-12-11,231.05,237.95,230,235.05,30087
2015-12-16,239.05,242.85,235.1,238.25,9584
2015-12-17,234.25,246.95,234.25,244.45,125435
2015-12-18,239.65,248.55,239.5,242.7,50525
2015-12-21,236.55,259.5,236.55,244.1,86142
2015-12-22,241.3,248.1,239,240.3,28219
2015-12-23,241.15,245,239.25,243.3,72385
2015-12-24,245,247.5,242.5,243.65,41866
2015-12-28,248,248,243.45,243.9,26877
2015-12-29,243.95,246.8,241,242.45,83976
2015-12-30,243.55,245.65,241.25,242.4,13230
2015-12-31,243.05,244.5,240,241,10514
2016-01-01,238.15,245.5,238,243.65,14026
2016-01-04,246.95,246.95,240,241.2,16861
2016-01-05,240.3,244.4,236.35,242.2,10041
2016-01-06,239.05,251.7,239,242.35,50472
2016-01-07,241.55,242,235.05,236.6,30818
2016-01-08,235.15,244,231.85,239.7,24155
2016-01-11,234.05,241,232.5,236.7,13075
2016-01-12,243.75,247,228,229.65,31806
2016-01-13,234.35,234.35,223,225.35,35207
2016-01-14,223,228,218.55,226.6,17392
2016-01-15,228.75,230,224.25,226.45,26778
2016-01-18,223.05,226.55,207.7,219.35,38019
2016-01-19,216.05,226.9,215.25,222.1,14878
2016-01-20,220,222.9,213.4,220.6,71891
2016-01-21,221.95,233.6,218,222.15,18666
2016-01-22,225,228,222,223.4,9574
2016-01-25,222.45,228.75,222.1,226.45,11073
2016-01-27,224.3,228.7,223.2,224.1,90646
2016-01-28,225.05,228.75,223.25,224.45,6985
2016-01-29,223.05,231.5,223,226.4,12624
2016-02-01,232,237,229.1,230.4,38548
2016-02-02,231,232.8,225.15,226.75,8997
2016-02-03,222.2,228.5,218.35,221.1,10000
2016-02-04,225.5,225.55,220.3,221.25,16178
2016-02-05,221.05,225.6,221,222.95,13477
2016-02-08,224.05,226.4,221.5,225.1,9317
2016-02-09,224.9,225.05,221,221.45,7240
2016-02-10,221.9,221.9,215.6,220.05,9830
2016-02-11,217.55,222.5,208,221.25,68079
2016-02-12,220.3,235.7,210,221.9,202517
2016-02-15,223.95,228.5,223,226.85,11718
2016-02-16,225.15,227.9,225.1,225.75,3444
2016-02-17,221.2,227.05,220,222.8,4213
2016-02-18,220.55,229.95,220.55,226.1,19357
2016-02-19,221.55,227,221.55,222.8,3678
2016-02-22,225,225,221,221.4,3783
2016-02-23,221.15,224.05,215.1,219.5,5390
2016-02-24,216.25,219.85,208,209.75,211798
2016-02-25,209.2,211.5,203,207.65,10560
2016-02-26,210.95,210.95,205.15,208.25,5457
2016-02-29,209,227,203,205.75,16486
2016-03-01,208,215.8,202.85,214.6,23211
2016-03-02,211,229.9,211,221.9,17499
2016-03-03,220.15,227.75,219.05,226.35,25358
2016-03-04,226.7,230,224.05,227.75,12145
2016-03-08,229.4,232.7,227.1,229.75,9868
2016-03-09,225.55,232.7,225.5,231.15,6579
2016-03-10,229.55,229.55,226,226.85,5883
2016-03-11,227.35,230.3,227,228.15,15823
2016-03-14,228,230.8,227.5,227.95,6861
2016-03-15,226.35,229.75,218.65,220.05,13435
2016-03-16,222.5,223.9,215.05,220.8,6909
2016-03-17,224.95,225,218,219.65,5631
2016-03-18,223.8,223.85,220,220.85,11076
2016-03-21,222.9,229.45,220,227.8,28077
2016-03-22,227.8,230,223,224.4,14741
2016-03-23,224.05,226.7,222.2,224.25,5038
2016-03-28,222.1,225.8,220,222.6,14597
2016-03-29,223.95,223.95,215.05,219.9,17835
2016-03-30,223.6,230.4,223,226.7,18479
2016-03-31,229.7,242.3,227.1,235,83090
2016-04-01,233.65,241.7,233.65,240,12611
2016-04-04,240,244,230,230.05,412606
2016-04-05,230.65,241.75,230.65,239.85,13518
2016-04-06,245,253,237.3,250.1,33330
2016-04-07,252.1,254.7,244.6,248.35,8536
2016-04-08,244.7,250,242,243.6,9076
2016-04-11,241.05,262,241,259.1,66205
2016-04-12,267,277,265,275.45,228697
2016-04-13,283,286.8,273,276.4,75064
2016-04-18,274,282.85,270.1,278.9,40801
2016-04-20,276.5,283.35,275.15,278.6,39395
2016-04-21,280,286,273.1,274.4,54234
2016-04-22,272.05,275.1,270,270.45,6137
2016-04-25,266.1,285.65,263.3,264.85,59606
2016-04-26,267.5,269.85,261.5,262.25,32886
2016-04-27,260.1,276,259.25,261.95,56907
2016-04-28,263,268.8,263,268.2,17635
2016-04-29,268.15,270.95,262.35,264.65,13675
2016-05-02,264,274,260.1,266.3,12985
2016-05-03,267.15,271,267,269.2,22259
2016-05-04,264.2,269.75,264.2,268,12260
2016-05-05,269.2,272,265.5,269.65,57276
2016-05-06,268.85,270.6,266.85,270.05,12884
2016-05-09,271,275,269.2,272.05,14892
2016-05-10,273,282,270,280.1,45635
2016-05-11,277,282,274.95,281.2,10982
2016-05-12,283.7,300.5,282,288.4,94497
2016-05-13,290,300.2,285.25,295,58613
2016-05-16,298,299.8,291.1,295.15,12235
2016-05-17,297.9,307,294,300.05,338245
2016-05-18,301,307.65,301,305.35,25873
2016-05-19,306,309.7,295.5,299.1,24766
2016-05-20,300,300.05,288,289.3,16454
2016-05-23,289.3,297.6,281.5,282.35,13793
2016-05-24,280.5,284.9,276,279.65,6918
2016-05-25,282.6,292.9,282.2,290.4,21175
2016-05-26,309.8,348.45,309.8,348.45,483845
2016-05-27,374,374,339.1,349.15,426067
2016-05-30,342.5,361.9,337,352.9,137041
2016-05-31,354,363.3,348,357.65,70557
2016-06-01,360,362.2,351,360.6,53491
2016-06-02,358.9,363.3,355,361.7,42676
2016-06-03,360,386,358.95,375.4,285998
2016-06-06,375,385.4,375,382.45,60098
2016-06-07,383.2,396.8,379.95,384.9,138071
2016-06-08,387.5,395.5,380,380.65,54363
2016-06-09,383.55,386.8,374,375.7,40700
