Date,Open,High,Low,Close,Volume
2024-08-09,7.48,7.48,7.48,7.48,52835
2024-08-12,7.62,7.62,7.62,7.62,30398
2024-08-13,7.77,7.77,7.77,7.77,19583
2024-08-14,7.92,7.92,7.92,7.92,20813
2024-08-16,8.07,8.07,8.07,8.07,28121
2024-08-19,8.23,8.23,8.23,8.23,49339
2024-08-20,8.39,8.39,8.39,8.39,15117
2024-08-21,8.55,8.55,8.55,8.55,25595
2024-08-22,8.72,8.72,8.72,8.72,22113
2024-08-23,8.89,8.89,8.89,8.89,68619
2024-08-26,9.06,9.06,9,9,1097191
2024-08-27,8.82,8.82,8.82,8.82,659634
2024-09-10,86.43,86.43,86.43,86.43,9154
2024-09-11,84.7,84.7,84.7,84.7,2586
2024-09-12,83,83,83,83,1755
2024-09-13,81.34,81.34,81.34,81.34,3769
2024-09-16,79.71,79.71,79.71,79.71,1394
2024-09-17,78.11,78.11,78.11,78.11,1745
2024-09-18,76.54,76.54,76.54,76.54,2522
2024-09-19,75,75,75,75,1975
2024-09-20,73.5,73.5,73.5,73.5,2131
2024-09-23,69.82,69.82,69.82,69.82,5575
2024-09-24,66.32,66.32,66.32,66.32,9383
2024-09-25,63,63,63,63,4726
2024-09-26,59.85,59.85,59.85,59.85,2543
2024-09-27,56.85,62.84,56.85,56.85,364581
2024-09-30,54,54,54,54,13562
2024-10-01,51.3,51.3,51.3,51.3,5994
2024-10-03,48.73,48.73,48.73,48.73,15690
2024-10-04,46.29,46.29,46.29,46.29,5790
2024-10-07,43.97,43.97,43.97,43.97,4612
2024-10-08,41.77,44.4,41.77,41.77,136490
2024-10-09,39.68,39.68,39.68,39.68,25899
2024-10-10,37.69,37.69,37.69,37.69,13348
2024-10-11,35.8,39.57,35.8,39.57,174964
2024-10-14,41.54,41.54,41.54,41.54,104003
2024-10-15,43.61,43.61,43.61,43.61,171504
2024-10-16,45.79,45.79,45.57,45.79,124629
2024-10-17,48.07,48.07,48.07,48.07,55170
2024-10-18,47.1,47.1,47.1,47.1,79218
2024-10-21,46.55,48.04,46.55,48.04,62613
2024-10-22,48.04,48.04,47.07,47.07,12893
2024-10-23,46.12,46.12,46.12,46.12,14522
2024-10-24,45.19,45.19,45.19,45.19,3898
2024-10-25,44.28,44.28,44.28,44.28,3652
2024-10-28,43.39,43.39,43.39,43.39,35193
2024-10-29,42.52,42.52,42.52,42.52,1892
2024-10-30,41.66,41.66,41.66,41.66,12294
2024-10-31,41.06,41.24,41.06,41.24,14835
2024-11-01,40.41,40.41,40.41,40.41,10567
2024-11-04,39.6,39.66,39.6,39.66,41970
2024-11-05,39.11,40.45,39.11,40.45,4920
2024-11-06,41.25,41.25,41.25,41.25,9629
2024-11-07,42.07,42.07,42.07,42.07,1462
2024-11-08,42.91,42.91,42.91,42.91,4487
2024-11-11,43.76,43.76,43.76,43.76,2656
2024-11-12,44.63,44.63,44.63,44.63,62038
2024-11-13,43.73,43.73,43.73,43.73,4472
2024-11-14,42.85,42.85,42.85,42.85,4439
2024-11-18,41.99,41.99,41.99,41.99,2342
