Date,Open,High,Low,Close,Volume
2025-07-01,64.8,65.75,61.6,64.55,2248000
2025-07-02,63,64,61.75,63.1,188000
2025-07-03,61.25,66.25,60.15,66.25,212000
2025-07-04,69.55,69.55,68,69.15,332000
2025-07-07,70,71.25,65.7,65.9,144000
2025-07-08,63.3,69.15,63.3,69.15,152000
2025-07-09,69,72.6,69,72.6,66000
2025-07-10,76.2,76.2,76,76.2,172000
2025-07-11,79.5,80,78,80,168000
2025-07-14,84,84,77.2,82,192000
2025-07-15,84,84,71.1,73.4,164000
2025-07-16,73.9,75.75,73.5,75.2,38000
2025-07-17,75,75,72,72.95,26000
2025-07-18,73.2,75.55,73.15,73.4,34000
2025-07-22,66.35,73.6,66.35,68.35,64000
2025-07-23,72.7,73.45,69.5,69.95,36000
2025-07-24,71.35,71.35,67,67.35,54000
2025-07-25,67,67,65.7,66,32000
2025-07-28,65.05,66.75,65,65.05,32000
2025-07-29,66.5,66.6,64.05,65.1,58000
2025-07-30,66.75,66.75,64.05,64.15,12000
2025-07-31,66.6,66.6,64.35,64.85,16000
2025-08-01,66.4,66.4,62.5,63.05,24000
2025-08-04,64,64.95,63,64.95,42000
2025-08-05,63.05,63.5,62.85,63.5,52000
2025-08-06,62.5,62.5,60.25,61.95,60000
2025-08-07,62,62,61.1,61.1,6000
2025-08-08,63.8,63.8,60,61.1,66000
2025-08-11,60,60,54.05,55,82000
2025-08-12,57,59,57,58,36000
2025-08-13,58.5,60,58,59.9,34000
2025-08-14,60.05,61,59.9,59.9,54000
2025-08-18,59.9,60,59.9,60,14000
2025-08-19,60,60,58.1,59.2,10000
2025-08-22,59.95,62,59.85,60,134000
2025-08-25,59.95,60,59.7,60,44000
2025-08-26,60,66.45,60,66.05,162000
2025-08-28,67,67.2,63.45,63.45,22000
2025-08-29,65.8,66.85,64.2,64.55,34000
2025-09-01,66.9,74.95,66.9,70.3,178000
2025-09-02,72,77.5,71.15,74.25,158000
2025-09-03,74.25,76,73.6,74.95,58000
