Date,Open,High,Low,Close,Volume
2024-03-14,260,273,260,273,655200
2024-03-15,286.65,286.65,286.65,286.65,29400
2024-03-18,300.95,300.95,300.95,300.95,36000
2024-03-19,315.95,315.95,315,315.95,334200
2024-03-20,329.9,331.7,325,331.7,57600
2024-03-21,348.25,348.25,348.25,348.25,4200
2024-03-22,365.65,365.65,365.65,365.65,12000
2024-03-26,383.9,383.9,347.4,383.9,251400
2024-03-27,395,395,364.7,369.5,137400
2024-03-28,369.5,370,351.05,358.65,75600
2024-04-01,370,380,330,349.05,75000
2024-04-02,358.9,358.9,344,352.2,34800
2024-04-03,345.5,350,345,346.95,58200
2024-04-04,340,347.95,325.05,339.75,69000
2024-04-05,338,349,336,343,15000
2024-04-08,344,411.6,340.2,411.6,219000
2024-04-09,425,439,396,412.25,111000
2024-04-10,419.95,436.95,410.1,431.1,52200
2024-04-12,439.5,473,426,456.4,78000
2024-04-15,455,460,432.2,437.35,79800
2024-04-16,435,449.95,410,445.1,57600
2024-04-18,423.05,445,423.05,425.75,43800
2024-04-19,430,434,420,426.25,28200
2024-04-22,468.95,468.95,438.6,450.85,19800
2024-04-23,450.85,450.85,437.55,440,13800
2024-04-24,456,456,425,433,16200
2024-04-25,426.05,435,423,429.25,15600
2024-04-26,429.25,430.05,422,427.85,16200
2024-04-29,432,432,411,415.5,22800
2024-04-30,425,425,410,418,27600
2024-05-02,417,418,404,411.15,47400
2024-05-03,412.05,427,412.05,422.25,18000
2024-05-06,440,451,431,437.6,36600
2024-05-07,434.8,437.6,425,426.75,22800
2024-05-08,437,437,410.15,420.7,28200
2024-05-09,416,426,406.6,409,13800
2024-05-10,415,424,401.05,422.65,36000
2024-05-13,410,418.95,402.15,411.05,15600
2024-05-14,415.05,424,405,421.7,35400
2024-05-15,415.05,419,409.05,412,11400
2024-05-16,419,419,410.05,415,14400
2024-05-17,419.5,427,419,426.9,8400
2024-05-18,426.9,427,421,421.65,7200
2024-05-21,435,435,416.5,418,28800
2024-05-22,423,423,415,417.5,8400
2024-05-23,420.05,423,418,422,13200
2024-05-24,426,426,418,418,6000
2024-05-27,420,420,401.55,407.45,18600
2024-05-28,408,416,392,408,34800
2024-05-29,405,410,391.05,406.5,16800
2024-05-30,448,455,420,421.9,52200
2024-05-31,436.8,436.8,410,421.05,14400
2024-06-03,423,440,423,434.1,45000
2024-06-04,420.5,425,393,400,42000
2024-06-05,405,419,400,417.35,6600
2024-06-06,420,420,413.3,415,18600
2024-06-07,414,421.95,414,417,5400
2024-06-10,430,430,421.5,428.5,6600
2024-06-11,429.95,514.2,429.95,514.2,211200
2024-06-12,569.75,617,530,617,210000
2024-06-13,623.95,671,575.05,647,130200
2024-06-14,647,707.6,595,696.45,87600
2024-06-18,764,766.05,730.05,764.8,127800
2024-06-19,824.5,824.5,715,717.9,112800
2024-06-20,744.95,755,720,724.65,33000
2024-06-21,724.65,735,694,700,42000
2024-06-24,690,690,668,669.45,21600
2024-06-25,651,719.95,650,680.1,61800
2024-06-26,671,671,640.05,642.95,28200
2024-06-27,650,698.95,640,650.6,26400
2024-06-28,655,655,640,642.5,4200
