Date,Open,High,Low,Close,Volume
2016-05-23,6.05,6.05,5.85,5.85,2100
2016-05-24,5.9,5.9,5.7,5.75,9
2016-05-26,5.95,5.95,5.95,5.95,100
2016-05-27,5.95,6.15,5.8,5.8,14176
2016-05-30,5.7,5.8,5.55,5.55,30662
2016-05-31,5.4,5.6,5.35,5.35,3914
2016-06-01,5.4,5.6,5.4,5.6,200
2016-06-02,5.85,5.85,5.6,5.85,2220
2016-06-03,5.95,6.2,5.95,6,13144
2016-06-06,6.2,6.2,5.8,6,2031
2016-06-07,6.3,6.45,6.2,6.2,6536
2016-06-08,5.9,6.8,5.9,6.8,19993
2016-06-09,7.25,7.45,6.65,7.1,37882
2016-06-10,7.6,7.8,7.1,7.4,63113
2016-06-13,7.35,7.75,7.25,7.65,19502
2016-06-14,7.5,8,7.5,7.9,29732
2016-06-15,8.25,8.25,7.85,8.05,33940
2016-06-16,8.35,8.35,7.65,7.65,14409
2016-06-17,7.75,7.8,7.4,7.4,7574
2016-06-20,7.65,7.75,7.25,7.75,16400
2016-06-21,7.5,8.1,7.5,7.6,22094
2016-06-22,7.9,7.9,7.25,7.3,22719
2016-06-23,7.6,7.6,7.2,7.4,16164
2016-06-24,7.65,7.65,7.15,7.4,3648
2016-06-27,7.25,7.6,7.25,7.3,525
2016-06-28,7.35,7.65,7.35,7.6,6300
2016-06-29,7.4,7.6,7.4,7.45,13211
2016-06-30,7.4,7.5,7.35,7.35,17643
2016-07-01,7.6,7.6,7.2,7.5,12733
2016-07-04,7.55,8.25,7.55,8.25,46641
2016-07-05,8.65,9.05,8.2,9.05,102481
2016-07-07,9,9.3,8.5,8.85,51427
2016-07-08,9.2,9.7,8.9,9.7,69983
2016-07-11,10.15,10.15,10,10.15,159772
2016-07-12,10.65,10.65,10.25,10.55,119741
2016-07-13,10.7,10.85,10.05,10.4,108032
2016-07-14,10.2,10.2,9.9,9.9,67154
2016-07-15,10,10,9.45,9.65,36326
2016-07-18,9.45,10.1,9.2,9.5,90158
2016-07-19,9.85,9.85,9.2,9.65,5020
2016-07-20,9.5,10.05,9.25,9.55,39645
2016-07-21,9.45,9.55,9.3,9.35,3254
2016-07-22,9.35,9.65,9.3,9.35,7401
2016-07-25,9.45,9.65,9.15,9.2,30339
2016-07-26,9.4,9.65,9.15,9.55,37945
2016-07-27,9.35,9.6,9.35,9.35,5562
2016-07-28,9.55,9.65,9.05,9.3,11623
2016-07-29,9.4,9.65,9.2,9.35,8231
2016-08-01,9.75,9.75,9.1,9.15,12284
2016-08-02,9.25,9.25,8.75,8.75,19741
2016-08-03,8.8,9.1,8.35,8.5,25815
2016-08-04,8.5,8.75,8.4,8.65,34975
2016-08-05,8.3,9.05,8.3,9,18168
2016-08-08,9.05,9.45,9.05,9.45,4458
2016-08-09,9.9,9.9,9.2,9.65,109648
2016-08-10,9.9,9.9,9.3,9.5,10693
2016-08-11,9.45,9.6,9.05,9.05,11203
2016-08-12,9.25,9.25,8.7,8.95,8537
2016-08-16,9.2,9.2,8.55,8.55,12500
2016-08-17,8.95,8.95,8.5,8.95,24080
2016-08-18,9.35,9.35,8.95,9.35,23953
2016-08-19,9.35,9.8,9.35,9.8,39967
2016-08-22,9.8,10.25,9.8,10.2,85732
2016-08-23,10.35,10.6,10.1,10.4,65722
2016-08-24,10,10.9,10,10.85,168548
2016-08-25,10.75,10.85,10.35,10.35,50900
2016-08-26,10.65,10.65,9.95,10.05,15167
2016-08-29,10.45,10.5,9.6,10.5,21564
2016-08-30,10.8,10.8,10,10.1,18054
2016-08-31,10.2,10.2,9.65,9.7,5394
2016-09-01,9.6,10.15,9.5,9.85,10085
2016-09-02,10.5,10.5,9.6,9.6,16997
2016-09-06,10.5,10.5,9.35,9.45,4927
2016-09-07,10.2,10.2,9.2,9.3,13361
2016-09-08,9.95,9.95,9.2,9.5,20036
2016-09-09,10,10,9.25,9.55,77824
2016-09-12,10.35,10.35,8.95,8.95,11933
2016-09-14,8.9,9.75,8.9,9.15,16988
2016-09-15,9.1,9.8,8.7,9.15,11813
2016-09-16,9.05,9.75,9.05,9.5,15762
2016-09-19,9.3,10,9.25,9.55,32699
2016-09-20,9.9,9.9,9,9.25,38668
2016-09-21,9.2,9.5,8.85,9.15,35255
2016-09-22,9.3,9.65,9.05,9.4,25936
2016-09-23,9.15,9.6,8.55,9.25,24338
2016-09-26,9.35,9.35,8.8,9,11301
2016-09-27,9.15,9.15,8.75,8.95,7797
2016-09-28,9.1,9.1,8.65,8.8,33179
2016-09-29,8.7,9.15,8.5,8.7,46060
2016-09-30,8.75,9.5,8.15,8.9,436
2016-10-03,9.15,9.4,8.6,8.75,6016
2016-10-04,8.4,8.9,7.95,8.7,17280
