Date,Open,High,Low,Close,Volume
2015-09-07,34.1,37.9,33.8,34,325
2015-09-08,32.25,37.5,32.25,37.5,198
2015-09-11,37.4,42.1,37,37.25,776
2015-09-14,34.8,35.1,34.8,35.1,152
2015-09-15,35,39.5,35,39.5,172
2015-09-18,36.1,40.95,36.1,40.95,90
2015-09-21,37.5,40.7,36,40.5,96
2015-09-22,39,44,36.65,37.15,621
2015-09-24,38.1,38.1,38.1,38.1,14
2015-09-28,35.3,35.3,35.3,35.3,300
2015-09-30,38,38.5,35.1,38.5,708
2015-10-01,35.6,39.5,35.6,37.6,1051
2015-10-05,36.3,36.3,36.3,36.3,50
2015-10-06,35.5,35.5,35.45,35.45,250
2015-10-07,38.9,40,38,38.9,327
2015-10-09,38,38,36.6,36.6,325
2015-10-13,38,38,38,38,50
2015-10-14,40,40,40,40,10
2015-10-16,40,40,36.6,39,375
2015-10-19,36.65,39.95,36.65,39.95,250
2015-10-20,40,40,40,40,200
2015-10-21,37.3,37.85,37.3,37.85,3
2015-10-23,36.6,41,36.6,41,2002
2015-10-26,41.1,41.1,38.6,38.6,325
2015-10-27,36.7,41.5,32.7,39.75,2432
2015-10-28,36,41,36,39,156
2015-10-29,36.5,39.8,36.5,38.9,77
2015-10-30,36.2,39.4,36.2,38.4,1050
2015-11-02,36.4,36.4,36.4,36.4,50
2015-11-03,36.95,37.2,36.95,37.2,250
2015-11-04,37.9,37.9,37,37,27
2015-11-06,36.3,36.3,36.25,36.25,135
2015-11-09,34.55,36,34.45,36,1280
2015-11-10,34.3,34.3,34.3,34.3,41
2015-11-13,33.3,36,33.3,36,238
2015-11-16,36,36,34.2,34.2,40
2015-11-17,32.7,32.7,32.7,32.7,18
2015-11-18,34.3,34.3,34.3,34.3,50
2015-11-20,34.65,34.65,34.3,34.3,475
2015-11-23,34.5,35.8,34.1,35.25,2261
2015-11-24,35.8,36.95,34,35.45,13851
2015-11-26,35.25,37,35.05,37,32900
2015-11-27,38.7,38.8,35.6,35.9,543
2015-11-30,37.15,37.65,36.7,36.75,900
2015-12-01,37,37,35.85,35.85,151
2015-12-02,36,37.6,36,37.6,882
2015-12-03,35.75,39.45,35.75,39.4,2126
2015-12-04,41.35,41.35,40.9,41.35,1380
2015-12-07,41.35,41.35,40.95,40.95,130
2015-12-08,42.5,42.5,38.95,38.95,147
2015-12-09,37.3,40.85,37.05,37.05,3250
2015-12-10,35.4,38,35.4,37.9,23
2015-12-11,36.25,38.95,36.1,36.1,7
2015-12-16,38.1,38.1,38.1,38.1,182
2015-12-17,38,38,38,38,20
2015-12-18,36.8,39.8,36.8,39.75,406
2015-12-22,39.7,41.4,39.7,41.4,4813
2015-12-23,43.3,43.3,40.9,42,699
2015-12-24,40,41.9,40,41.9,11
2015-12-28,39.95,43.5,39.95,43.5,108
2015-12-29,43.95,43.95,41.8,43,150
2015-12-30,41,44.5,40.85,42,890
2015-12-31,41.2,43.75,41.15,42,950
2016-01-01,45.9,45.9,39.7,44.55,260
2016-01-04,46.45,46.45,41.2,44.35,370
2016-01-05,40.4,42.5,40.4,42.5,187
2016-01-06,46.75,46.75,40.5,44.9,55
2016-01-07,45.6,45.6,40.45,41.95,567
2016-01-08,40.25,42,40.25,41,560
2016-01-11,44,44,44,44,220
2016-01-12,45.9,45.9,42,45.85,1115
2016-01-13,45,45,45,45,50
2016-01-14,41.3,41.3,41.3,41.3,60
2016-01-15,41,41,39,39,400
2016-01-18,36.3,38,36.3,37,1140
2016-01-19,37.05,37.05,37,37,2
2016-01-20,40.6,40.6,35.5,35.5,31
2016-01-22,36,36,35,35,150
2016-01-25,36,38.5,36,38.35,2067
