Date,Open,High,Low,Close,Volume
2022-05-27,29.75,29.75,29.75,29.75,10000
2022-05-30,31.2,31.2,31.2,31.2,12000
2022-05-31,32.75,32.75,32.75,32.75,5000
2022-06-01,34.35,34.35,34.35,34.35,11000
2022-06-02,36.05,36.05,36.05,36.05,4000
2022-06-03,37.85,37.85,37.85,37.85,7000
2022-06-06,39.7,39.7,39.7,39.7,4000
2022-06-07,41.65,41.65,37.75,37.75,59000
2022-06-08,35.9,35.9,35.9,35.9,2000
2022-06-09,34.15,34.15,34.15,34.15,2000
2022-06-10,32.45,32.45,32.45,32.45,50000
2022-06-13,30.85,30.85,30.85,30.85,7000
2022-06-14,29.35,29.35,29.35,29.35,3000
2022-06-15,27.9,30.8,27.9,30.8,17000
2022-06-16,32.3,32.3,30,31,22000
2022-06-17,31,31,29.5,31,7000
2022-06-20,29.45,29.45,29.45,29.45,2000
2022-06-21,29.45,29.45,28,28.3,10000
2022-06-22,27.15,29,26.9,27.65,6000
2022-06-23,28.75,28.8,26.3,27.45,12000
2022-06-24,28.4,28.4,26.15,27.95,4000
2022-06-27,27.8,27.8,26.6,26.6,7000
2022-06-28,27,27.9,27,27.9,2000
2022-06-29,27.1,28.5,27,28.5,3000
2022-06-30,29.75,29.75,29.75,29.75,1000
2022-07-01,30,31.2,30,31.2,19000
2022-07-04,31.25,32.75,31.25,32.7,25000
2022-07-05,33,34,32.75,33.15,22000
2022-07-06,34.5,34.5,31.5,33.3,23000
2022-07-07,33.4,34,31.65,31.7,21000
2022-07-08,30.2,30.5,30.2,30.25,3000
2022-07-11,28.75,31.7,28.75,30.65,23000
2022-07-12,31,31,30,30.05,8000
2022-07-13,31.45,31.45,30.05,30.05,2000
2022-07-14,28.55,31,28.55,31,2000
2022-07-15,32.2,32.2,32.2,32.2,1000
2022-07-18,32.2,33,32.2,33,2000
2022-07-19,33.9,34.15,31.5,31.5,7000
2022-07-20,32.5,32.7,31.5,31.5,6000
2022-07-21,32.25,32.5,30.05,30.05,5000
