Date,Open,High,Low,Close,Volume
2023-10-12,97,101.85,97,101.85,10396
2023-10-13,106.9,106.9,106.9,106.9,9685
2023-10-16,112.2,112.2,112.2,112.2,3706
2023-10-17,117.8,117.8,117.8,117.8,2605
2023-10-18,123.65,123.65,123.65,123.65,2381
2023-10-19,129.8,129.8,129.8,129.8,1273
2023-10-20,136.25,136.25,136.25,136.25,3593
2023-10-23,143.05,143.05,143.05,143.05,1622
2023-10-25,150.2,150.2,150.2,150.2,2330
2023-10-26,157.7,157.7,157.7,157.7,3814
2023-10-27,173.45,173.45,173.45,173.45,2243
2023-10-30,190.75,190.75,190.75,190.75,5592
2023-10-31,200.25,200.25,200.25,200.25,16213
2023-11-01,210.25,210.25,210.25,210.25,13458
2023-11-02,220.75,220.75,220.75,220.75,3538
2023-11-03,231.75,231.75,231.75,231.75,5607
2023-11-06,243.3,243.3,243.3,243.3,3274
2023-11-07,255.45,255.45,255.45,255.45,3284
2023-11-08,260.55,260.55,260.55,260.55,18455
2023-11-09,265.75,265.75,265.75,265.75,9275
2023-11-10,271.05,271.05,271.05,271.05,4451
2023-11-12,276.45,276.45,276.45,276.45,1602
2023-11-13,281.95,281.95,281.95,281.95,8979
2023-11-15,287.55,287.55,287.55,287.55,4073
2023-11-16,281.8,281.8,281.8,281.8,31083
2023-11-17,276.2,286.95,276.2,286.85,110149
2023-11-20,289,292.55,284.8,284.8,93069
2023-11-21,279.1,285,279.1,280,42084
2023-11-22,280,280,274.4,274.4,42794
2023-11-23,274.4,279.85,270.5,279.85,49814
2023-11-24,285.4,285.4,285.4,285.4,10806
2023-11-28,289.9,289.9,280,280,15922
2023-11-29,280,285.6,275.05,285.6,32111
2023-11-30,279.9,284,279.9,283.5,21432
2023-12-01,289,289,280.1,285,7190
2023-12-04,284,284,279.3,279.3,10474
2023-12-05,278.1,278.1,273.75,273.75,16865
2023-12-06,279,279,273.5,273.5,26514
2023-12-07,270.3,274.3,270.3,271.15,8004
2023-12-08,272.1,272.1,266,266,16248
2023-12-11,260.75,260.75,260.7,260.7,17145
2023-12-12,256.05,257.15,256.05,257,7724
2023-12-13,251.95,252,251.9,251.9,12135
2023-12-14,246.9,250,246.9,246.9,18567
2023-12-15,242,242,242,242,8898
2023-12-18,242,246.9,230,237.6,26696
2023-12-19,235,241.9,228.1,233.7,17593
2023-12-20,226.45,245.35,226.45,236.45,26608
2023-12-21,235,239,224.65,225.3,41583
2023-12-22,220.05,228.95,220.05,226.9,13973
2023-12-26,221.2,234.5,221.2,229.4,15965
2023-12-27,234.5,235,230,233.95,13988
2023-12-28,238.6,245.6,235.05,245.6,23050
2023-12-29,256,256,247.2,253.45,17219
2024-01-01,260,266.1,249,251.45,20772
2024-01-02,249,251.4,240,243.6,10028
2024-01-03,243.35,245,231.45,243.65,9712
2024-01-04,243.45,251.8,236.05,242.35,19240
2024-01-05,241.95,245,235,237,15418
2024-01-08,237,248,235,236.35,17564
2024-01-09,236.35,248,236.35,245.45,23707
2024-01-10,246.95,257.7,246.95,257.7,13249
2024-01-11,265,270.55,259.05,270.55,15571
2024-01-12,284,284.05,284,284.05,13375
2024-01-15,298.25,298.25,289.75,298.25,94062
2024-01-16,292.3,292.3,292.3,292.3,22337
2024-01-17,286.45,286.45,286.45,286.45,59272
2024-01-18,280.75,281,280.75,280.75,42961
2024-01-19,275.15,275.2,275.15,275.2,54222
2024-01-20,269.7,280.7,269.7,280.7,22623
2024-01-23,278,283.9,275.1,283.9,5569
2024-01-24,278.25,278.25,278.25,278.25,3077
2024-01-25,280,280,272.7,272.7,3322
2024-01-29,268,268,267.25,267.25,4561
2024-01-30,261.9,261.9,261.9,261.9,8301
2024-01-31,256.7,256.7,256.7,256.7,5518
2024-02-01,251.65,255,251.6,255,5854
2024-02-02,249.9,255,249.9,255,6432
2024-02-05,252,255,252,252,5006
2024-02-06,252.25,257,252,257,10368
2024-02-07,260.2,262.1,260,262.1,8368
2024-02-08,267.3,267.3,267.3,267.3,3325
2024-02-09,272.6,272.6,272.6,272.6,5195
2024-02-12,278.05,278.05,267.15,267.15,29763
2024-02-13,261.8,261.8,261.8,261.8,9796
2024-02-14,261.8,261.8,258.05,261.8,1056
2024-02-15,261.8,261.8,256.6,256.6,7638
2024-02-16,260,261.7,260,261.7,5582
2024-02-19,257,262.95,257,262.95,15323
2024-02-20,265,268.2,265,268.2,7494
2024-02-21,264.25,271.9,262.85,262.85,19375
2024-02-22,267.85,267.85,266,267.8,3866
2024-02-23,262.45,272.85,262.45,268.05,55910
2024-02-26,268.05,268.05,254.65,254.65,37592
2024-02-27,241.95,249.4,241.95,246.2,41157
2024-02-28,240,245.9,233.9,233.9,37243
2024-02-29,230.8,230.85,222.2,224,29711
2024-03-01,215.6,235.2,215.6,235.2,17567
2024-03-02,243.7,243.7,232.5,237.45,7776
2024-03-04,237.45,239,225.6,226,28812
2024-03-05,218,226,214.7,214.7,16328
2024-03-06,213,213,204,206.85,35256
2024-03-07,205.35,217.15,202,217.15,236750
2024-03-11,223.95,223.95,206.3,209.35,26550
2024-03-12,206.4,214,198.9,200.5,21885
2024-03-13,200.5,209.95,190.5,190.5,20904
2024-03-14,190.5,197.25,182.5,190.45,31298
2024-03-15,191.85,191.85,180.95,181.4,31809
2024-03-18,174,188.6,174,181.75,24134
2024-03-19,177,182.75,177,180.15,9339
2024-03-20,180.15,189.15,176,186.45,16924
2024-03-21,189.9,195.75,185.6,194.95,15524
2024-03-22,194.95,202,194.95,201.45,25385
2024-03-26,208.65,208.65,191.4,191.4,15576
2024-03-27,191.4,194.95,181.85,182.25,36130
2024-03-28,182.25,188.7,174.9,176.5,14808
2024-04-01,171.05,185.3,171.05,185.3,3224
2024-04-02,190.05,194.55,190.05,194.55,2128
2024-04-03,204,204.25,195.1,204.25,7371
2024-04-04,211.5,214.45,204.25,214.45,17338
2024-04-05,222.95,225.15,208.1,224.75,9155
2024-04-08,229.9,231,216.55,217.9,6664
2024-04-09,211.1,228.7,211.1,226.85,9161
2024-04-10,230.4,237.9,228.4,232,13771
2024-04-12,231.95,231.95,220.4,221.25,6584
2024-04-15,220.85,220.85,210.2,212,5311
2024-04-16,209,219.9,203.2,218,7041
2024-04-18,220.5,222,210,210.5,6447
2024-04-19,209.95,218.5,205.95,214.7,8137
2024-04-22,214.7,224,208.5,212,4313
2024-04-23,208,213,203.1,205.7,9696
2024-04-24,205.7,211.9,198.1,201.7,10619
2024-04-25,204.9,205.9,199,202.1,5139
2024-04-26,197.95,207.8,197,203.4,8223
2024-04-29,200.6,204.8,197,203.65,7809
2024-04-30,196.05,208.15,196.05,204.2,8386
2024-05-02,198.25,205.8,198.25,198.95,6256
2024-05-03,198.7,201.9,195.65,195.75,5068
2024-05-06,195,199.9,192.4,192.75,3931
2024-05-07,194,195.7,188.5,190.4,4706
2024-05-08,190.4,193.55,187.2,189.65,1925
2024-05-09,190,191.7,187,188.6,2093
2024-05-10,194.9,194.9,182,183.05,2585
2024-05-13,185,185,179.85,180.3,3963
2024-05-14,186.65,186.65,180.35,183.45,2285
2024-05-15,186.65,187,180,186,2773
2024-05-16,186,190,180.65,183.5,5020
2024-05-17,185.4,186.35,182,184.9,3692
2024-05-18,187.8,187.8,182.25,186.5,547
2024-05-21,181.45,186.45,177.2,177.75,7814
2024-05-22,177.75,180,170.4,171.65,7218
2024-05-23,170,177,168.4,174.25,5646
2024-05-24,174.05,178.7,168.4,174.7,10757
2024-05-27,173.95,173.95,166,166.1,8364
2024-05-28,167.75,167.75,160,161.85,7205
2024-05-29,160,162.95,155,158.05,10817
2024-05-30,155.65,163.2,155.6,158.05,3634
2024-05-31,155.25,155.25,151.05,152.9,9217
2024-06-03,156.9,157.3,147.05,149.7,10695
2024-06-04,145.2,146.8,142.25,142.25,9604
2024-06-05,135.65,149.35,135.15,149.35,14209
2024-06-06,146.2,156.8,146.2,154.85,4931
2024-06-07,153.15,159.85,153.15,157.15,6454
2024-06-10,157.1,163,153.25,160.23,3708
2024-06-11,157.1,164.8,153.6,156.31,6825
2024-06-12,153.5,164.12,153.21,161.91,10682
2024-06-13,162,166.55,153.81,154.55,24758
2024-06-14,152,156.68,148.5,149.96,12041
2024-06-18,149.96,152.29,142.46,142.63,29040
2024-06-19,143.93,143.93,140,141,13422
2024-06-20,140.01,140.1,134.01,137.6,30730
2024-06-21,139,144.48,136.15,144.48,15116
2024-06-24,144.6,151.7,144.6,151.7,26082
2024-06-25,158.89,159.28,157,159.28,8738
2024-06-26,166.99,167.24,165,167.24,20855
2024-06-27,175.6,175.6,163,170.76,40778
2024-06-28,172,172.98,163,170.2,14838
2024-07-08,162,162,161.69,161.69,864
2024-07-15,153.6,153.6,153.6,153.6,6509
2024-07-22,145.92,145.92,145.92,145.92,2074
2024-07-29,138.62,138.62,138.62,138.62,2292
2024-08-05,131.68,131.68,131.68,131.68,1317
2024-08-12,125.09,125.09,125.09,125.09,16437
2024-08-19,118.83,128,118.83,125.84,267183
2024-08-26,125.84,132.13,121,132.13,20154
2024-09-02,138.73,138.73,138.73,138.73,24076
2024-09-03,145.66,145.66,145.66,145.66,5137
2024-09-04,152.93,152.94,152.93,152.94,2360
2024-09-05,160.58,160.58,154.6,160.58,79102
2024-09-06,161.6,168.6,161.6,168.6,110581
2024-09-09,172,177.03,171.59,177.03,43295
2024-09-16,185.8,185.88,185.8,185.88,37503
2024-09-23,195,195.17,195,195.17,30588
2024-09-30,203,203,185.41,185.41,6794
2024-10-07,176.13,176.13,176.13,176.13,107
2024-10-14,176.13,176.13,167.32,167.32,8749
2024-10-21,159.1,159.1,158.95,158.95,1742
2024-10-28,152,152,151,151,46
2024-11-01,145.5,157.9,143.5,152.57,7373
2024-11-04,152.57,152.57,144.94,149.77,19961
2024-11-05,143,156.93,143,154.46,12451
2024-11-06,154,157.6,146.73,148.21,17160
2024-11-07,148.21,153,147,151.08,5016
2024-11-08,154,154,147.01,151,4034
2024-11-11,157.9,157.9,146.15,149.35,13581
2024-11-12,145.02,152,142.11,150,10188
2024-11-13,145,147,142.5,142.5,4782
2024-11-14,142.5,146.89,136,140,4584
2024-11-18,144.2,147,134.03,142.26,13434
2024-11-19,144.5,146.4,138.15,139.03,9352
2024-11-21,139.03,139.03,133.11,135.77,7176
2024-11-22,136.5,136.5,128.98,132.39,8060
2024-11-25,137.44,138,128,131.65,11608
2024-11-26,134.99,134.99,128,128.87,8587
2024-11-27,128.87,133.89,128,133.82,4804
2024-11-28,133.9,135.5,127.4,127.58,12850
2024-11-29,127.12,130.9,125,130,20001
2024-12-02,130,136.4,127,130.45,6411
2024-12-03,136.9,136.97,136.9,136.97,3009
2024-12-04,143.81,143.81,143.81,143.81,450
2024-12-05,151,151,151,151,11292
2024-12-06,158.55,158.55,158.55,158.55,479
2024-12-09,157,159.1,150.62,150.62,47244
2024-12-10,150,150,143.08,143.08,46918
2024-12-11,139.9,143,135.92,140,26948
2024-12-12,136.4,144.97,133,133,40134
2024-12-13,133,139.65,129.51,139.17,7183
2024-12-16,145.99,146.12,145,146.12,7610
2024-12-17,152,153.42,148.31,152.37,32226
2024-12-18,148.05,150.15,145.06,148.97,4650
2024-12-19,141.55,149.69,141.52,146.3,11446
2024-12-20,148.94,150,139.26,141.48,8963
2024-12-23,141.48,148.55,141.48,148,6909
2024-12-24,149,153,143.01,150.08,18817
2024-12-26,152.4,152.4,144.1,150,7657
2024-12-27,148,153.87,146,148.3,6091
2024-12-30,141.06,150.99,141.06,143.6,22964
2024-12-31,141.01,148.59,141.01,143.75,2337
2025-01-01,147.97,150.93,144,150.93,11256
2025-01-02,151,152,145.15,150.53,7475
2025-01-03,149,150.95,149,149.9,6969
2025-01-06,145.21,147,142.4,142.41,4120
2025-01-07,144.5,145.99,140.01,142.72,4950
2025-01-08,146,148,141,145.61,3846
2025-01-09,147,147,140,142.98,6847
2025-01-10,138,142.47,135.92,136.78,5080
2025-01-13,138.8,141.89,129.94,129.94,5182
2025-01-14,136.36,136.36,125.02,129.83,8232
2025-01-15,131,131,126.17,127.74,7178
2025-01-16,126.7,132.8,126.7,130.71,1407
2025-01-17,130.71,133.9,125.22,133.44,959
2025-01-20,133.44,133.5,127.52,130.96,1687
2025-01-21,128,135.45,124.5,125.62,7393
2025-01-22,125,128.99,123,125.35,1626
2025-01-23,121.25,126.99,119.25,126.39,2813
2025-01-24,126,129.61,121.01,128.39,1733
2025-01-27,123.05,129.79,122,122.63,2198
2025-01-28,123.24,126.78,117.2,119.04,2895
2025-01-29,117.05,122.89,117.05,122.01,2760
2025-01-30,122.01,126.99,121,123.84,453
2025-01-31,123.84,123.84,118,120,3477
2025-02-01,120,120,114.05,118.27,2786
2025-02-03,119.99,119.99,114.11,114.11,2605
2025-02-04,118.95,118.99,113.1,114.1,5385
2025-02-05,119.69,119.69,114.11,114.86,6082
2025-02-06,119.94,119.94,114.96,115.07,4491
2025-02-07,119.93,119.93,110.2,118.58,11167
2025-02-10,118.58,121,112.8,112.84,2568
2025-02-11,115,115,107.19,108.96,8394
2025-02-12,104.15,111.94,103.51,109.6,12050
2025-02-13,109.6,113,109.6,109.72,5564
2025-02-14,110,110.4,105.25,108.61,3647
2025-02-17,104.9,109.99,104.9,105.91,2479
2025-02-18,106.43,106.43,100.61,102.03,3607
2025-02-19,97.31,105,97.31,100.1,12258
2025-02-20,98.25,104.98,98.25,101.63,3535
2025-02-21,100,103.8,98.06,99.39,7188
2025-02-24,101.78,101.78,98,101.27,3051
2025-02-25,96.31,103.5,96.31,99.96,21640
2025-02-27,98.4,99,94.96,94.96,2387
2025-02-28,99,99,90.21,91.98,2661
2025-03-03,87.41,90,87.38,87.38,6363
