Date,Open,High,Low,Close,Volume
2020-11-02,18,18.04,18,18.02,67500
2020-11-03,18,18,18,18,7500
2020-11-04,18,18,18,18,22500
2020-11-05,18,18,18,18,22500
2020-11-06,18,18,18,18,7500
2020-11-09,18,18,18,18,15000
2020-11-10,18.02,18.02,18,18,22500
2020-11-12,18,18.18,18,18.18,15000
2020-11-13,18,18,18,18,7500
2020-11-17,18,18,18,18,30000
2020-11-18,18,18,18,18,15000
2020-11-19,18,18,18,18,15000
2020-11-20,18,18,18,18,7500
2020-11-23,18,18,18,18,7500
2020-11-24,18,18,18,18,22500
2020-11-26,18,18,18,18,15000
2020-12-02,18,18.6,18,18,210000
2020-12-03,18,18,18,18,22500
2020-12-04,18.04,18.1,18,18,30000
2020-12-07,18,18,18,18,7500
2020-12-10,21.56,21.56,18.02,18.02,97500
2020-12-11,18.4,18.4,18.38,18.38,22500
2020-12-14,18,18,18,18,15000
2020-12-15,21.34,21.36,20.6,20.6,52500
2020-12-16,21.56,21.56,20,20,60000
2020-12-17,18.8,18.8,18.8,18.8,7500
2020-12-18,18.8,21.48,18.8,20.88,180000
2020-12-21,18.66,18.66,18.4,18.4,30000
2020-12-22,17.5,17.5,17.5,17.5,7500
2020-12-23,17.2,18,17.2,18,15000
2020-12-24,18.04,18.04,18.04,18.04,7500
2020-12-28,18.1,18.1,18,18.04,37500
2020-12-29,18,18,18,18,75000
2020-12-30,18,18.04,18,18.04,90000
2021-01-01,18,18,18,18,7500
2021-01-04,18,18,18,18,15000
2021-01-06,16.8,16.8,16.8,16.8,15000
2021-01-07,18.6,20.16,18.6,18.8,75000
2021-01-08,19.6,19.6,18.48,19.56,30000
2021-01-11,19.4,19.4,18.54,18.54,15000
2021-01-12,18.2,18.2,18.2,18.2,7500
2021-01-14,17.92,17.92,17.92,17.92,7500
2021-01-15,17.9,17.9,17.3,17.3,15000
2021-01-18,17,17,17,17,7500
2021-01-19,16.9,16.9,16.9,16.9,7500
2021-01-20,13.52,17.36,13.52,17.36,15000
2021-01-29,18,18,18,18,7500
2021-02-01,18,18,18,18,15000
2021-02-03,18,18,18,18,7500
2021-02-08,18,18,18,18,7500
2021-02-09,18,18,18,18,15000
2021-03-02,17.96,18,14.88,18,30000
2021-03-03,18,18.8,18,18.8,15000
2021-03-04,16.1,16.8,16.1,16.8,15000
2021-03-15,18,18,17.6,17.6,15000
2021-03-16,17.6,17.6,17.6,17.6,7500
2021-03-18,16.12,18.1,16.12,18.1,15000
2021-03-24,18.2,18.2,16.8,17.6,22500
2021-04-06,15.26,16.8,15.26,16.8,15000
2021-04-26,16.8,18.4,16.8,18.4,15000
2021-04-28,18.38,18.6,18.38,18.6,30000
2021-05-11,16,19.58,16,18,37500
2021-05-24,18.4,19.2,18.4,18.5,45000
2021-05-25,19.98,22,19.98,20.32,37500
2021-05-26,24,24.38,21.06,24.38,52500
2021-05-27,29.2,29.24,29.2,29.24,45000
2021-05-28,32.16,32.16,32.16,32.16,7500
2021-05-31,35.36,35.36,35.36,35.36,7500
2021-06-01,38.88,38.88,38.88,38.88,15000
2021-06-02,40.82,40.82,40.82,40.82,15000
2021-06-03,42.86,42.86,42.86,42.86,7500
2021-06-04,45,45,45,45,15000
2021-06-07,47.24,47.24,47.24,47.24,15000
2021-06-08,49.6,49.6,49.6,49.6,15000
2021-06-09,52.08,52.08,52.08,52.08,7500
2021-06-10,54.68,54.68,54.68,54.68,7500
2021-06-11,57.4,57.4,57.4,57.4,7500
2021-06-14,60.26,60.26,60.26,60.26,7500
2021-06-15,63.2,63.2,63.2,63.2,7500
2021-06-16,66.36,66.36,66.36,66.36,7500
2021-06-17,69.66,69.66,69.66,69.66,7500
2021-06-18,73.14,73.14,66.18,73.14,202500
2021-06-21,73.14,76.78,73.14,76.78,37500
