Date,Open,High,Low,Close,Volume
2015-09-07,300,300,254.8,264.35,18063
2015-09-08,272.1,273.65,252.5,258.85,39988
2015-09-09,262,281.7,260.35,269.6,45155
2015-09-10,268.35,279.95,258,278.45,6867
2015-09-11,278.45,291.5,271.5,274.95,34649
2015-09-14,275,285.4,271.6,280.25,4212
2015-09-15,284.8,286.05,272,276,3879
2015-09-16,275.05,283.5,272.55,275.65,7714
2015-09-18,273.3,296.3,273.3,290.3,9728
2015-09-21,287,296,268.5,274.65,229002
2015-09-22,278,283.75,269.8,272.05,8357
2015-09-23,273,274.55,263.8,271,5568
2015-09-24,269,276.75,267,271.55,1812
2015-09-28,273.35,273.35,263,264.15,3038
2015-09-29,269.85,278,262.4,273,11440
2015-09-30,278.7,293,270.25,290.5,10608
2015-10-01,292.05,304,292,292.6,15697
2015-10-05,297.8,299,282.5,287.45,239620
2015-10-06,295,310,292,306.1,17182
2015-10-07,305,331.9,303,319.1,40433
2015-10-08,320,329.95,320,325.75,17524
2015-10-09,323,342,323,333.9,13958
2015-10-12,333.9,343,330.1,333.4,6452
2015-10-13,335,343,335,341.2,12286
2015-10-14,336.05,347,328.5,345.95,25996
2015-10-15,346.25,355.5,336.05,350.45,24089
2015-10-16,351.05,364,343.95,359.1,28393
2015-10-19,351.3,358.95,343.45,346.25,54884
2015-10-20,349.95,352,340.45,343.75,34973
2015-10-21,347,348.4,333.4,339.65,56908
2015-10-23,340.3,357.8,340,344.5,19768
2015-10-26,349,351.95,343,345.2,32160
2015-10-27,342,347,335.3,338.55,6112
2015-10-28,339.75,344,330,334.3,30561
2015-10-29,336,338.9,325.15,329.85,3474
2015-10-30,338.95,339.5,325,329.4,50010
2015-11-02,329.9,333,323.55,328.4,36295
2015-11-03,328.95,330.1,321,322.4,10666
2015-11-04,324,329.4,321.2,322.1,13029
2015-11-05,333,333,311,312.65,4256
2015-11-06,314,319.5,305.6,310.2,6571
2015-11-09,308,309.95,300,307.55,2767
2015-11-10,305,316,300,312.75,36912
2015-11-11,317.8,344,316,324.95,17988
2015-11-13,329.9,329.9,312.6,319.2,12232
2015-11-16,315,325.35,307.55,319.2,14891
2015-11-17,317.05,321.7,312.2,317.9,5195
2015-11-18,318.05,321.95,306.15,310.95,23727
2015-11-19,318.95,323,310.6,320.4,16924
2015-11-20,324.4,335.9,320.3,328.35,16850
2015-11-23,330.05,343,330,333.4,30540
2015-11-24,339.85,341.05,326.1,330.6,40532
2015-11-26,330.2,334.5,323.6,328.2,44933
2015-11-27,325.65,335,321.55,331.9,13988
2015-11-30,333.8,334.35,325,332.05,8279
2015-12-01,333,342,332.95,334.85,9378
2015-12-02,335.55,338.05,330.25,332.85,9348
2015-12-03,330.05,335,326.1,327.9,8945
2015-12-04,334.85,335,316.05,318.8,30235
2015-12-07,319.6,328.7,319.6,327.7,24507
2015-12-08,328.9,331,322.25,324.45,12566
2015-12-09,322.15,329.4,314.7,323.1,10634
2015-12-10,324.45,328.9,320,324.7,4758
2015-12-11,324.1,333.8,307.55,310.35,10920
2015-12-16,319.05,321.35,308.45,316.35,5559
2015-12-17,324.85,324.85,315,320.85,2874
2015-12-18,351.1,355,335.35,338.15,596282
2015-12-21,340.3,343.5,332,338.35,70550
2015-12-22,337.9,342,332.5,334.15,23309
2015-12-23,335.9,339.9,325,328.6,25223
2015-12-24,330,332.6,318.25,321.65,21102
2015-12-28,324.05,324.05,311,313.75,20540
2015-12-29,313.75,322,312.05,314.45,17396
2015-12-30,319,322,313,313.9,9259
2015-12-31,315.05,317.95,308.6,311.1,9736
2016-01-01,308.15,323,308.1,319.15,14417
2016-01-04,322.75,322.75,310.25,312.25,14210
2016-01-05,317,317.7,312,313.25,9378
2016-01-06,317.9,321.9,312.15,317.8,11783
2016-01-07,315,316.75,309.95,311.6,15260
2016-01-08,315,315,308.6,314.8,6980
2016-01-11,314.95,314.95,308,311.95,5673
2016-01-12,315,315,300,303.05,7973
2016-01-13,304.6,309.1,286.7,297.4,17430
2016-01-14,297.4,304,288,301,8223
2016-01-15,308,308,292,294.5,8196
2016-01-18,312,312,275,278.05,17809
2016-01-19,280,297.95,268.25,290.15,15045
2016-01-20,289,289,276.15,280.5,13057
2016-01-21,286,286,275.55,276.5,3605
2016-01-22,284,285,277,278.95,4364
2016-01-25,290,290,276.15,279.25,18995
2016-01-27,281.3,285,275.05,279.5,3065
2016-01-28,275,283.9,273.6,276,7163
2016-01-29,281.95,282.8,277.1,279.05,1992
2016-02-01,280.05,287,277,278.2,3418
2016-02-02,279,283,276,278.6,5054
2016-02-03,275,275.15,269.5,270.75,10114
2016-02-04,270,274.75,262.35,267.3,59129
2016-02-05,266.35,272,263,268,5742
2016-02-08,273.95,274,262,264.15,120758
2016-02-09,260.05,267.45,260.05,262.65,14631
2016-02-10,264.05,264.5,258.5,259.4,79832
2016-02-11,262,262,240.1,245.95,7532
2016-02-12,246,246.3,230.75,235.15,39511
2016-02-15,238.05,248.8,235.1,236.35,22248
2016-02-16,240.05,240.05,225.5,228.2,7322
2016-02-17,231,231,219.5,220.75,5061
2016-02-18,222,232,216.45,219.4,8972
2016-02-19,224.9,228.7,218,220.45,9751
2016-02-22,228.9,244.9,221.3,230.2,30833
2016-02-23,230.65,237.9,220.25,224.6,26755
2016-02-24,221.05,223.8,216,216.6,21117
2016-02-25,222.95,222.95,209,210.45,28966
2016-02-26,212,217.95,198.65,199.75,127710
2016-02-29,202.85,203,185,196.35,42827
2016-03-01,198.95,211.15,195,209.75,57824
2016-03-02,215,219.7,211,214.9,21780
2016-03-03,220.05,223,215,217.45,43216
2016-03-04,216.05,227.6,213.05,223.95,65136
2016-03-08,221,225.95,214.1,216.35,26427
2016-03-09,217.55,222.35,215.15,216.3,19868
2016-03-10,222.95,233.15,212.7,215,70510
2016-03-11,214.1,217,208.3,209.8,39768
2016-03-14,212.05,224,212,221.5,42843
2016-03-15,223,230,220.2,223.1,118817
2016-03-16,220,224.8,212,216.8,41203
2016-03-17,223.95,224,214.9,217.1,26518
2016-03-18,220.95,229,218,225.25,15560
2016-03-21,224.85,240,221.4,235.85,33556
2016-03-22,235.85,251,231.35,248.35,25778
2016-03-23,246.2,249,232.35,238.95,22004
2016-03-28,240.35,248,237.5,244.15,12156
2016-03-29,242,250,241,249,12495
2016-03-30,250,255,247.2,253.35,18723
2016-03-31,254.95,259,244.95,253.9,22901
2016-04-01,253.95,258.8,236.15,237.8,86139
2016-04-04,239.7,250,238.5,247.9,25333
2016-04-05,245.05,247.6,239,242.4,23712
2016-04-06,242.4,249.7,241.05,245.15,8062
2016-04-07,245.15,248.85,239.35,240.65,21351
2016-04-08,242.1,244.55,230.1,240.6,17298
2016-04-11,241.55,250.9,241.55,246.25,16493
2016-04-12,247.95,250,246,247.75,11340
2016-04-13,249.9,261.9,243.1,247.45,33992
2016-04-18,249.45,255,245,246.25,12074
2016-04-20,260.1,264.6,248.3,250.25,96758
2016-04-21,252.55,255.8,250.6,254.55,33190
2016-04-22,256.95,295,254,278,307007
2016-04-25,279,280.7,267,271.3,45971
2016-04-26,264.85,275,264.5,269.85,23391
2016-04-27,272.75,275.85,268,271.05,15240
2016-04-28,274.45,274.5,265.1,266.8,14363
2016-04-29,265,271.95,264,265.35,7260
2016-05-02,265.35,272.25,259.5,264,14024
2016-05-03,264,269,258.6,262.05,8728
2016-05-04,258,275,258,267.55,24501
2016-05-05,268,278.05,267.15,276.25,21644
2016-05-06,271.3,274.95,267,268.7,7527
2016-05-09,274.95,274.95,266.35,267.95,4665
2016-05-10,268,271.9,264,265.05,22191
2016-05-11,265.05,269,265,265.3,5476
2016-05-12,268.9,275.55,264.25,274.95,36522
2016-05-13,275,278,268.25,270.15,5869
2016-05-16,269.95,271.8,265.1,269.1,13506
2016-05-17,277.75,277.75,268.15,270.15,22229
2016-05-18,269.05,272,266,268.75,16191
2016-05-19,267.5,271.95,263.4,265.05,10092
2016-05-20,265,276,262.35,265,10019
2016-05-23,267.1,269.95,260,262.85,17211
