Date,Open,High,Low,Close,Volume
2020-10-05,80,81,80,81,10000
2020-10-06,80,83,80,82.5,26000
2020-10-07,84.7,84.7,82.55,83.05,11121
2020-10-08,81.35,81.35,78.9,78.9,85736
2020-10-09,82.55,82.55,79,79.95,7489
2020-10-12,80,80,79,79,12502
2020-10-13,79,79.6,79,79,525
2020-10-14,79.95,79.95,79,79,1904
2020-10-15,79,79,78,78,4500
2020-10-16,80,80,78,78.05,3050
2020-10-19,78,78.5,78,78.5,5008
2020-10-20,78,79.5,78,78.05,3768
2020-10-21,78.05,78.05,78,78.05,7615
2020-10-22,78.5,78.95,78,78.9,4511
2020-10-23,78,78,78,78,2005
2020-10-26,79.95,79.95,78,78.5,4607
2020-10-27,78,78.75,78,78,791
2020-10-28,78,78,78,78,2001
2020-10-29,81.55,81.55,78,78,21
2020-10-30,78,78,78,78,4052
2020-11-02,78,78,77,77,4003
2020-11-03,77,78,76,78,6001
2020-11-04,79.5,79.5,79.5,79.5,1
2020-11-05,78,78,77,77,4670
2020-11-06,79.5,79.5,77,77,2411
2020-11-09,78,78,78,78,808
2020-11-10,79.95,79.95,77,77.3,7635
2020-11-11,77,80,77,77,2712
2020-11-12,77.9,79.95,77,79.95,2102
2020-11-13,77,81,77,79.5,109
2020-11-14,79.95,79.95,77,78.05,155
2020-11-17,77,80.95,77,78.05,3142
2020-11-18,79.95,79.95,77,79,2121
2020-11-19,78.25,78.25,77,77.1,4059
2020-11-20,77,79.4,77,78,537
2020-11-23,77,78.95,77,77,4050
2020-11-24,77,79.5,76.9,76.9,4351
2020-11-25,77,77,75,75,8272
2020-11-26,75,75,71.3,72.05,15447
2020-11-27,72,75.45,70,70.95,23337
2020-12-01,70,74.4,70,73,5038
2020-12-02,73,76.65,73,74,1822
2020-12-03,77.7,77.7,72,72.15,6597
2020-12-04,74,75.6,73,74.65,11532
2020-12-07,75.55,76,73.5,76,1335
2020-12-08,79.8,79.8,73.55,74.05,3487
