Date,Open,High,Low,Close,Volume
2019-07-22,103.95,103.95,94,100.425,29656
2019-07-23,92.95,101.5,92.95,99,51158
2019-07-24,100.05,100.05,96.5,96.55,12358
2019-07-25,95.2,98.5,95,96.3,12554
2019-07-26,90,96.25,90,94.975,9730
2019-07-29,86.5,98.525,86.5,92.75,5466
2019-07-30,88,97.5,86.275,88.95,4376
2019-07-31,86.25,91.85,80.475,88.825,22156
2019-08-01,81,89.85,81,87.5,2404
2019-08-02,82,95,82,88.55,18556
2019-08-05,82,97.5,82,91.1,25686
2019-08-06,91.1,94.475,91.1,93.725,37146
2019-08-07,97.5,97.5,92.5,92.625,26432
2019-08-08,87.2,97.475,87.2,92.5,3232
2019-08-09,90.5,92.55,90.25,91.775,5264
2019-08-13,93,93,87.525,90.2,4746
2019-08-14,92.5,95.05,92.475,94.5,8990
2019-08-16,96.25,100.025,95.925,98.75,34284
2019-08-19,104.425,104.425,95.05,96.575,8092
2019-08-20,95.85,97.5,92.55,93.625,7314
2019-08-21,99.675,99.675,91.75,93,8680
2019-08-22,95,95,90.05,90.425,4870
2019-08-23,90,90.5,90,90.5,500
2019-08-26,90.5,94,90.5,90.625,2302
2019-08-27,94,95.15,90.525,91.525,2646
2019-08-28,91.525,93.95,91.5,93.9,182
2019-08-29,93.9,93.9,91.5,92.2,1468
2019-08-30,94.95,94.95,93,93.725,1810
2019-09-03,91.05,98,91,96.375,6954
2019-09-04,96.375,96.375,93,93.025,1584
2019-09-05,93.125,97.4,93,96.5,10292
2019-09-06,95,97.45,91.675,95.225,13020
2019-09-09,96.75,96.75,92.5,95,646
2019-09-11,99,99,92.525,94.475,4490
2019-09-12,93.5,96.975,92.75,92.75,2290
2019-09-13,93.5,95.3,92.525,93,5830
2019-09-16,97.4,97.4,91.825,93.3,10192
2019-09-17,92.55,93.55,91.525,91.725,5228
2019-09-18,92.475,93.125,92,92.075,8752
2019-09-19,92.4,95,92.25,92.75,33136
2019-09-20,95.75,104.425,93.8,94.25,6832
2019-09-23,102.5,102.5,92.025,99.9,51160
2019-09-24,106,106,98.025,98.4,10628
2019-09-25,100,100,95.375,99.25,23396
2019-09-26,100,104.9,94.15,94.275,16826
2019-09-27,99.775,99.775,94.1,97.725,7902
2019-09-30,97.5,98.25,94.525,95.2,3352
2019-10-01,98.25,98.25,93,94.9,3358
2019-10-03,97.475,97.475,91.95,92.375,4038
2019-10-04,96,96,90.025,90.55,4466
2019-10-07,90.85,96.45,89.5,90,8190
2019-10-09,90.025,94.475,90.025,92.575,1878
2019-10-10,94.5,94.5,88.1,93.5,7420
2019-10-11,92.95,92.95,89,92.925,1940
2019-10-14,91,94.75,88.45,92.125,3662
2019-10-15,91.25,94,91.025,91.5,2488
2019-10-16,93.8,94.425,91,94.075,8700
2019-10-17,94,94,92,92.975,4120
2019-10-18,92.5,94.4,90,92.95,6518
2019-10-22,90.05,96.5,90.05,94.4,1488
2019-10-23,92,95,90.55,92.2,7584
2019-10-24,95.2,95.8,91,91.475,23528
2019-10-25,95.7,95.7,87.6,90,14762
2019-10-29,98.45,98.45,87.025,87.8,56732
2019-10-30,91.225,91.875,82.625,83.65,20038
2019-10-31,82.725,85.4,80.075,82.6,35630
2019-11-01,85.4,89.1,79.25,83.05,28102
2019-11-04,83.025,92.35,83.025,89.525,18050
2019-11-05,91.925,91.975,87.525,89.8,16488
2019-11-06,91.2,91.2,86,87.85,14124
2019-11-07,85.5,89.5,85.5,86.675,11736
2019-11-08,84.525,90,84.525,88.95,3082
2019-11-11,89.725,91.975,89.5,91.175,31948
2019-11-13,92.425,95,92,94.675,92958
2019-11-14,97.75,113.6,97.525,113.6,387622
2019-11-15,117.45,123.525,111.05,118.55,275698
2019-11-18,115,122.5,115,120.9,29732
2019-11-19,122,124.45,117.5,122.825,65314
2019-11-20,122,122.5,110,118.325,21960
2019-11-21,117.975,123.7,112.775,121.45,26018
2019-11-22,120.9,127.5,119,124.975,57260
2019-11-25,124,127,123.05,125.55,81728
2019-11-26,126.5,126.95,120.525,122.3,15742
2019-11-27,126,126,120.075,121.9,10052
2019-11-28,125.875,125.875,120.275,122.425,9958
2019-11-29,124.5,124.5,121,121.6,7284
2019-12-02,121.5,125,121.5,122.925,22412
2019-12-03,122,124.475,121.65,122.075,4592
2019-12-04,122.5,124.5,122.25,123.55,4208
2019-12-05,124.95,124.95,120.6,122.525,14062
