Date,Open,High,Low,Close,Volume
2024-01-03,175,183.5,160.1,166.1,333000
2024-01-04,169.9,196,168.9,179.25,1158000
2024-01-05,183.85,192,181,190.35,444000
2024-01-08,204.45,215,198,204.45,485000
2024-01-09,214,222,202.15,213.45,333000
2024-01-10,217.9,225,210,219.35,287000
2024-01-11,224.85,224.85,216,221.65,97000
2024-01-12,228.95,228.95,211.1,216.5,184000
2024-01-15,217.1,226.4,213,219,113000
2024-01-16,223.4,223.4,200,212.85,118000
2024-01-17,210,222.95,210,218.6,154000
2024-01-18,219,224.9,215.1,221.7,103000
2024-01-19,224,225.5,216.4,224.85,101000
2024-01-20,225,239.9,224.5,230.3,156000
2024-01-23,232,245,229,230.4,114000
2024-01-24,230.05,236,219.25,223.9,96000
2024-01-25,229.95,229.95,220.55,221.45,32000
2024-01-29,220,220,204.05,212.25,87000
2024-01-30,215,218,211,214.65,48000
2024-01-31,214,218.25,213,213.5,69000
2024-02-01,212.5,212.5,208.25,211,21000
2024-02-02,214,244,214,232,198000
2024-02-05,237,237.8,213.3,215.15,111000
2024-02-06,222.9,226,216.3,225.45,60000
2024-02-07,228.75,228.75,216,216.45,87000
2024-02-08,221.95,244.95,218,240.05,236000
2024-02-09,254.95,268.5,250,263.35,342000
2024-02-12,263.35,274.95,246.3,254.35,111000
2024-02-13,260.1,305.2,215.85,269.9,435000
2024-02-14,323,323.85,311.25,323.85,264000
2024-02-15,340,349,310,336.85,267000
2024-02-16,334.6,340,325,335.05,61000
2024-02-19,334,348,328,345.55,66000
2024-02-20,335.05,380.1,332.7,372.95,272000
2024-02-21,387.5,387.5,354.3,360.2,96000
2024-02-22,363,363,340,355.9,102000
2024-02-23,358,358.75,341,344.85,37000
2024-02-26,357.95,357.95,335.1,347.7,47000
2024-02-27,342.05,342.5,320,322.05,77000
2024-02-28,328.95,332,318.05,321.05,67000
2024-02-29,326,328.5,310,314.35,70000
2024-03-01,332,345.75,330,345.75,37000
2024-03-02,363,363,349.7,351.2,122000
2024-03-04,368.95,368.95,335.9,336.75,35000
2024-03-05,342.95,343,320.5,323.5,64000
2024-03-06,318,329,310,316.9,60000
2024-03-07,326,326,320,324.9,11000
2024-03-11,324.95,331,301,305.55,47000
2024-03-12,305.55,305.55,276,281.6,154000
2024-03-13,281.6,290,253.45,262,150000
2024-03-14,261,284.9,249.6,267.75,228000
2024-03-15,260,273,258,259.3,102000
2024-03-18,263,285.2,263,283.3,51000
2024-03-19,289,295.65,265,268.2,46000
2024-03-20,270,271.95,262.2,267.1,21000
2024-03-21,274.7,285,270.05,276.05,37000
2024-03-22,283.4,283.4,269,269.8,22000
2024-03-26,271,283.95,271,275.2,23000
2024-03-27,276,276,262,265.45,44000
2024-03-28,267.1,286,267.1,279.25,52000
2024-04-01,284.95,307.15,284.95,296.8,68000
2024-04-02,300,303,297,303,14000
2024-04-03,304,308,287,289.2,68000
2024-04-04,292,298,284.2,291.85,31000
2024-04-05,282,299.75,282,286.5,74000
2024-04-08,289.95,290,281.2,283.9,19000
2024-04-09,277,310,276,301.9,76000
2024-04-10,319,330,302,303.55,53000
2024-04-12,305,309,301.05,308.1,46000
2024-04-15,281.25,308,281.25,298.8,35000
2024-04-16,302,313.95,300.05,310,48000
2024-04-18,315.15,341,315.15,333.8,151000
2024-04-19,330,330,318.05,326.75,44000
2024-04-22,330,342,324.05,325.45,86000
2024-04-23,325,328.95,316,317.7,33000
2024-04-24,307.15,314,301,304,49000
2024-04-25,318.55,323.55,310,321.15,34000
2024-04-26,320,321,315,316.7,31000
2024-04-29,320,338.95,319.45,327.15,53500
2024-04-30,323.25,359,323,355.45,164000
2024-05-02,355.45,360,341.5,341.8,42000
2024-05-03,346,375.95,346,372.2,172000
2024-05-06,390,401,370,387.55,117500
2024-05-07,401,401,360,367.5,66000
