Date,Open,High,Low,Close,Volume
2015-09-07,126.05,133.9,123.6,127,60470
2015-09-08,127,131.9,126.55,129.65,29589
2015-09-09,132.9,136.75,129.6,131.55,38248
2015-09-10,130,132.45,128,131.4,20409
2015-09-11,132,133.85,130.4,131.6,22939
2015-09-14,131.05,134.9,131.05,133.3,38761
2015-09-15,134.5,139.9,132.9,135.65,70336
2015-09-16,136.4,139.6,135,138.2,47026
2015-09-18,140.1,152,139.1,144.3,209588
2015-09-21,144.45,150.7,142,149.5,98560
2015-09-22,153.3,158,146,146.9,123135
2015-09-23,146.3,150.75,143,148.05,63801
2015-09-24,149.45,153,142.75,143.5,86228
2015-09-28,145.75,145.75,141,143.9,59036
2015-09-29,142,148.8,141.25,145.7,65337
2015-09-30,148.7,156,147.25,154.55,125375
2015-10-01,157.85,174.45,157.8,172.15,427256
2015-10-05,175.35,206.55,175.35,202.8,674526
2015-10-06,206.2,217,196.7,201.65,523222
2015-10-07,206.95,206.95,188,190.9,192291
2015-10-08,188.1,201.9,187.2,200.05,260278
2015-10-09,203.6,209.85,201.05,205.8,205393
2015-10-12,207.75,216,202.05,212,231535
2015-10-13,213.85,222.8,205.2,211.25,276118
2015-10-14,211.15,219.9,204,217.95,173135
2015-10-15,220,225,214,218.65,141106
2015-10-16,220.5,220.8,210,211,118563
2015-10-19,212.75,213.6,206.1,208.95,123285
2015-10-20,210,214.8,205,205.95,85285
2015-10-21,207.85,210.8,203.2,204.3,89507
2015-10-23,207.85,207.85,190.3,192.45,201142
2015-10-26,194.7,199.8,190,193.05,116934
2015-10-27,194.8,197.6,192,195,53166
2015-10-28,196,196.7,188.2,189.9,49924
2015-10-29,189,193,186.3,189.7,73764
2015-10-30,192,195,176.1,179.8,171868
2015-11-02,175.15,177.95,165.1,168.3,204555
2015-11-03,171.1,175,168.7,170.55,100381
2015-11-04,172.5,173.6,166.1,167.3,67930
2015-11-05,167.3,169.9,162.1,165.15,84492
2015-11-06,165.55,169.85,155,157.7,125731
2015-11-09,155.1,163.9,145,160.5,113618
2015-11-10,156.15,167.9,156.15,165.55,74400
2015-11-11,167.5,169.9,167.5,169,26638
2015-11-13,167.25,169.9,163.2,166.65,40955
2015-11-16,169.3,169.75,161.1,162.85,33081
2015-11-17,161.35,165,161.35,163.55,24608
2015-11-18,164,175,163.05,171.05,74599
2015-11-19,170.5,178.3,170.5,177,73320
2015-11-20,179.7,194.9,178.7,187.3,160816
2015-11-23,188.7,193.35,182.5,184.5,76358
2015-11-24,186.55,190,183.1,186.5,52379
2015-11-26,188.75,188.75,179.9,181.35,50078
2015-11-27,184.85,185.9,178,179.95,59741
2015-11-30,184.75,184.75,178.25,180.35,25815
2015-12-01,181.4,182.35,174.4,175.25,41778
2015-12-02,178,178,172.1,174.35,38452
2015-12-03,173.15,173.15,164.6,165.9,157736
2015-12-04,164.4,173,162.35,171.95,97931
2015-12-07,172.05,177.05,170,171,52963
2015-12-08,171.05,174.95,168.1,169.2,38957
2015-12-09,169.2,170,161,162.25,80287
2015-12-10,164,168.8,163.1,165.15,28415
2015-12-11,161.4,168.2,160.1,161.75,54767
2015-12-16,168.9,172,164.2,168.45,76873
