Date,Open,High,Low,Close,Volume
2015-09-07,18.37,18.69,18.05,18.42,2916903
2015-09-08,18.6,19.38,18.37,19.2,3108420
2015-09-09,19.38,19.66,19.15,19.29,2363221
2015-09-10,19.01,19.34,18.83,19.15,1727747
2015-09-11,19.2,19.34,18.56,18.74,1562238
2015-09-14,18.69,18.88,18.51,18.83,683734
2015-09-15,18.92,19.11,18.28,18.42,2522582
2015-09-16,18.46,18.74,18.28,18.46,2145703
2015-09-18,18.79,19.61,18.79,19.38,8469920
2015-09-21,19.24,19.84,18.97,19.47,4206801
2015-09-22,19.57,19.84,19.11,19.24,3850358
2015-09-23,19.01,19.61,18.92,19.38,3493048
2015-09-24,19.43,22.69,19.29,21.59,21747065
2015-09-28,21.54,21.95,20.9,21.13,4379571
2015-09-29,21.08,21.4,20.58,20.94,3786881
2015-09-30,20.99,21.5,20.71,20.81,3159725
2015-10-01,20.94,21.13,20.39,20.53,2229019
2015-10-05,20.62,20.9,20.62,20.76,1855957
2015-10-06,20.9,20.9,20.44,20.67,5198931
2015-10-07,20.81,21.13,20.62,20.81,3748474
2015-10-08,20.81,20.99,20.58,20.67,1942114
2015-10-09,20.71,20.9,20.26,20.39,3228551
2015-10-12,20.48,20.71,20.35,20.62,2905977
2015-10-13,20.67,20.81,20.48,20.67,2661877
2015-10-14,20.58,21.08,20.53,20.94,3462746
2015-10-15,21.13,21.45,20.85,20.9,4834892
2015-10-16,20.94,21.27,20.71,20.81,4783327
2015-10-19,21.36,21.36,20.62,20.71,5565683
2015-10-20,20.58,20.94,20.58,20.67,1770156
2015-10-21,20.53,20.62,20.21,20.35,2475374
2015-10-23,20.44,20.62,20.07,20.16,2349166
2015-10-26,20.16,20.21,19.89,19.93,1758533
2015-10-27,19.8,20.07,19.66,19.75,3206871
2015-10-28,19.66,19.66,19.06,19.2,4358676
2015-10-29,19.24,19.43,18.83,18.92,10459331
2015-10-30,18.92,19.01,18.69,18.79,2946466
2015-11-02,18.88,19.01,18.51,18.97,3426949
2015-11-03,18.92,19.11,18.65,18.69,2033077
2015-11-04,18.79,19.75,18.74,19.2,6701285
2015-11-05,19.24,19.24,18.83,18.88,1791999
2015-11-06,18.88,18.92,18.74,18.83,1556402
2015-11-09,18.56,19.06,18.19,18.92,1991461
2015-11-10,19.11,19.11,18.65,18.69,1164765
2015-11-11,19.06,19.11,18.69,18.79,1103384
2015-11-13,18.65,18.79,18.6,18.69,1046984
2015-11-16,18.6,18.97,18.51,18.79,3656908
2015-11-17,18.88,18.92,18.74,18.79,2672861
2015-11-18,18.74,18.92,18.37,18.46,2068319
2015-11-19,18.6,18.83,18.37,18.51,3320624
2015-11-20,18.56,18.79,18.37,18.46,4332070
2015-11-23,18.6,18.6,18.37,18.42,4446360
2015-11-24,18.37,18.42,18.23,18.37,7707186
2015-11-26,18.28,18.51,18.28,18.37,9925727
2015-11-27,18.37,18.69,18.33,18.42,7324414
2015-11-30,18.42,18.51,18.37,18.37,3016784
2015-12-01,18.42,19.52,18.42,19.29,9662182
2015-12-02,19.43,19.61,19.01,19.11,5540722
2015-12-03,18.97,19.11,18.6,18.69,3656121
2015-12-04,18.56,18.83,18.51,18.56,2470346
2015-12-07,18.69,18.74,18.51,18.56,2180358
2015-12-08,18.46,18.6,18.28,18.33,1411499
2015-12-09,18.1,18.23,17.73,17.77,3306989
2015-12-10,17.82,17.91,17.5,17.68,4511526
2015-12-11,17.68,17.73,17.32,17.5,5797006
2015-12-16,17.73,17.91,17.68,17.77,6577072
2015-12-17,17.91,18,17.68,17.73,5175733
2015-12-18,17.73,17.77,17.64,17.68,4753926
2015-12-21,17.68,17.91,17.68,17.77,3382656
2015-12-22,17.77,18.05,17.68,17.73,3170159
2015-12-23,17.77,18,17.64,17.96,5516879
2015-12-24,17.87,18,17.77,17.91,2927820
2015-12-28,17.82,18.28,17.82,17.96,4852942
2015-12-29,17.96,18,17.87,17.96,5576398
2015-12-30,17.91,18,17.91,17.96,9066300
2015-12-31,17.96,18,17.68,17.77,3020055
2016-01-01,17.73,18.1,17.73,18.05,1921323
2016-01-04,18.05,18.46,17.87,17.96,3321839
2016-01-05,18,18.42,17.91,18.33,3113760
2016-01-06,18.46,18.69,17.91,18.42,5071219
2016-01-07,18.05,18.28,17.87,17.96,6227690
2016-01-08,18.05,18.23,17.91,17.96,2000595
2016-01-11,17.96,18.05,17.73,17.91,4351005
2016-01-12,17.96,18.05,17.59,17.64,3780384
2016-01-13,17.68,17.87,17.04,17.59,7284912
2016-01-14,17.45,17.68,17.22,17.64,6367125
2016-01-15,17.55,17.73,16.67,16.86,6258202
2016-01-18,16.81,17.13,16.44,16.58,4069711
2016-01-19,16.63,17.18,16.63,16.86,3307426
2016-01-20,16.72,17.04,16.12,16.49,9591470
2016-01-21,16.58,16.95,16.58,16.81,3724012
2016-01-22,16.99,17.18,16.81,16.9,3786275
2016-01-25,17.13,17.18,16.76,16.86,2320903
2016-01-27,16.9,17.13,16.72,16.99,1793590
2016-01-28,16.95,17.22,16.81,16.9,9788802
2016-01-29,16.81,17.04,16.81,16.95,3993148
2016-02-01,17.18,17.27,16.9,17.13,5752403
2016-02-02,17.09,17.64,17.04,17.5,4330497
2016-02-03,17.32,17.41,16.9,16.99,3790225
2016-02-04,16.99,17.18,16.58,16.67,5382039
2016-02-05,16.67,17.18,16.67,17.04,1897140
2016-02-08,17.18,17.45,16.95,17.04,3239816
2016-02-09,16.76,16.99,16.67,16.86,1047254
2016-02-10,16.63,16.86,16.53,16.63,2741753
2016-02-11,16.49,16.53,15.66,15.75,5554551
2016-02-12,15.85,16.53,15.43,16.31,5480422
2016-02-15,16.4,17.09,16.4,16.72,2308169
2016-02-16,16.95,16.95,15.94,16.03,2928979
2016-02-17,16.08,16.17,15.66,15.75,5541136
2016-02-18,15.89,16.12,15.52,15.75,3066495
2016-02-19,15.75,15.8,15.25,15.48,4633201
2016-02-22,15.57,15.71,15.48,15.57,1917401
2016-02-23,15.66,15.66,15.43,15.48,2057193
2016-02-24,15.43,15.57,15.34,15.39,2063531
2016-02-25,15.39,15.43,15.25,15.29,3843822
2016-02-26,15.43,15.52,15.16,15.29,2847797
2016-02-29,15.39,15.39,15.02,15.29,2907183
2016-03-01,15.29,15.52,15.25,15.43,3495336
2016-03-02,15.66,16.08,15.66,15.98,6497995
2016-03-03,16.08,16.35,15.89,16.31,2483805
2016-03-04,16.49,16.58,16.08,16.35,3726755
2016-03-08,16.49,16.49,16.08,16.21,2833661
2016-03-09,16.21,16.35,15.89,16.26,2259759
2016-03-10,16.26,16.31,16.08,16.21,1777874
2016-03-11,16.21,16.21,15.94,15.98,2328585
2016-03-14,16.03,16.08,15.89,15.94,4169509
2016-03-15,15.89,15.98,15.85,15.94,1720438
2016-03-16,15.89,15.94,15.71,15.8,1247803
2016-03-17,15.94,16.08,15.75,15.94,3788202
2016-03-18,15.94,16.4,15.85,16.21,7408136
2016-03-21,16.35,16.49,16.17,16.35,2901064
2016-03-22,16.4,16.44,16.12,16.31,2036015
2016-03-23,16.26,16.44,16.17,16.31,1693873
2016-03-28,16.35,16.4,15.94,15.98,2759101
2016-03-29,15.98,16.08,15.71,15.75,2880160
2016-03-30,15.85,16.12,15.8,16.03,2706378
2016-03-31,16.12,16.31,15.94,16.21,3808571
2016-04-01,16.12,16.81,16.12,16.72,3388515
