Date,Open,High,Low,Close,Volume
2016-08-29,341,352.5,320,329.95,422433
2016-08-30,332.3,345.25,332.05,335.1,201574
2016-08-31,338,341.3,323.3,325.6,118152
2016-09-01,326,335,321,323.15,109841
2016-09-02,328.65,341,323.3,338.75,274560
2016-09-06,341,341,331.5,334.25,68048
2016-09-07,335.95,349.95,333,348,351090
2016-09-08,350.95,359.95,345.3,349.75,233463
2016-09-09,350.2,350.2,334.95,341.25,120276
2016-09-12,332,334.8,324,326.2,261984
2016-09-14,330,334.5,327,330.75,144506
2016-09-15,332.45,342,331.25,334.9,116485
2016-09-16,338,340.65,330,333.8,114781
2016-09-19,334.95,353,334,343.9,343195
2016-09-20,345,354,335.1,351.4,228859
2016-09-21,356,360.8,348.05,352.25,277455
2016-09-22,355,359.9,345.2,349.9,92960
2016-09-23,350.2,357,347,349.9,82923
2016-09-26,345.2,355,342.1,349.1,74710
2016-09-27,348.3,354.4,343.9,346.2,46889
2016-09-28,348.45,349.8,343.8,345.1,33523
2016-09-29,346,348.9,321,331.75,203254
2016-09-30,327.75,340.5,327.5,337.05,47352
2016-10-03,336.05,358,336.05,353.45,124411
2016-10-04,355,358,347.1,349.9,34460
2016-10-05,352.6,353.7,342.25,345.3,29202
2016-10-06,345,356,338.1,342.6,39532
2016-10-07,344.95,347,335.1,335.95,31480
2016-10-10,339.35,345.75,332.25,333.4,33297
2016-10-13,333.05,333.9,322.5,324.65,73009
2016-10-14,328.95,336.15,323.45,331.8,60470
2016-10-17,330,331,320,321.95,18266
2016-10-18,324.7,340,322.1,338.2,99287
2016-10-19,337.95,345.3,333,341.15,35016
2016-10-20,340.15,346,337.2,339.5,22052
2016-10-21,335.5,347.3,335,339.15,30082
2016-10-24,342.6,345,338,340.75,28107
2016-10-25,339.25,346.5,337,341.35,62113
2016-10-26,340.8,345.7,337,339.65,57624
2016-10-27,339.95,348,339,345.6,131614
2016-10-28,347.5,351.9,342.05,348.9,104981
2016-10-30,345.15,352,345,349.25,21332
2016-11-01,349,359.95,342,357.15,50359
2016-11-02,351.5,355.35,341.5,343.95,32308
2016-11-03,341.45,348.95,333.45,336.95,18286
2016-11-04,337,337,322.4,330.6,25600
2016-11-07,332.45,336.45,317,321.75,35370
2016-11-08,322,328.75,316.1,326.25,49026
2016-11-09,275.1,319.9,265,313.8,66051
2016-11-10,319,330,304.1,310.55,23353
2016-11-11,305,314.9,295,299.95,32927
2016-11-15,306,314.7,276,288.65,51469
2016-11-16,293.95,308.85,280.05,302.4,60019
2016-11-17,297.15,306.95,289,299.25,49891
2016-11-18,300.15,314.95,295.15,302.8,49730
2016-11-21,302.8,306.9,289,290.4,133356
2016-11-22,295.95,299.75,292.5,295.95,16922
2016-11-23,297,318,292,313.45,79149
2016-11-24,311,319,307,316.55,17504
2016-11-25,319.9,328.8,312.3,323.45,67437
2016-11-28,323.9,323.95,315,319.95,40913
2016-11-29,325,329.3,312,327.5,58274
2016-11-30,329.45,331,321.3,323.85,37370
2016-12-01,327.75,333.25,322.15,326.25,31188
2016-12-02,328.65,328.65,316.2,318.35,14155
2016-12-05,321.95,325,315.2,323.1,11409
2016-12-06,323.05,341.75,323,338.3,60090
2016-12-07,339.95,354.6,333.3,338.2,43884
2016-12-08,340.65,345,336.3,344.6,10247
2016-12-09,340,364,340,351.5,95226
2016-12-12,353.7,353.7,341.5,343.3,18398
2016-12-13,345.95,348,340.95,344.65,4529
2016-12-14,343.95,345,337,338.9,10771
2016-12-15,339.95,346,335.1,343,13643
2016-12-16,347,353,342.25,348.75,23327
2016-12-19,350,351,342.5,349.6,21290
2016-12-20,345.05,350,340,344.2,14463
2016-12-21,344.25,347.5,342,344.9,9637
2016-12-22,341.2,349.45,322,334.95,25810
2016-12-23,332.75,342.6,331.8,340.15,16216
2016-12-26,339.95,342,335,340,31106
2016-12-27,342.8,348,337,344.7,58875
2016-12-28,350,353.9,341,342.9,14709
2016-12-29,344.95,359.95,344.95,350.25,102247
2016-12-30,351.05,372.8,348.5,350.8,299548
2017-01-02,354.45,355.8,344.15,350.75,36617
2017-01-03,347.5,353.8,344,345.65,23713
2017-01-04,347.45,348.65,340.2,341.3,17286
2017-01-05,339.55,361.9,339.55,349.85,79681
2017-01-06,351,353.85,343.1,347.65,12073
2017-01-09,345.05,354.4,341.5,351.9,41095
2017-01-10,352.45,358.75,350.05,354.35,34094
2017-01-11,354.05,357.95,347.9,355.3,16359
2017-01-12,357,358.5,345.5,349.5,15168
2017-01-13,345.5,354.4,345,352.25,14409
2017-01-16,345.2,354.25,345.1,350.4,4735
2017-01-17,353.85,353.85,345,347.5,7718
2017-01-18,351,363.4,347,359.6,96839
2017-01-19,358,375,357.95,368.7,99545
2017-01-20,367.9,384,364,374.1,158649
2017-01-23,379.8,394.4,365,378.8,187176
2017-01-24,387,387,375.1,378.75,65825
2017-01-25,382,382,376.35,379.6,34900
2017-01-27,379.6,380,375.1,378.5,12998
2017-01-30,379.35,380.45,372.95,374.45,44028
2017-01-31,387.9,387.95,371.45,376.1,84711
2017-02-01,368.65,382,368.65,379.4,38675
2017-02-02,380.25,383.7,373.25,378.15,19185
2017-02-03,380,380.2,372.05,378.9,43057
2017-02-06,389.7,405,376,399.95,227286
2017-02-07,405,422.2,400.3,407.2,302964
2017-02-08,408,437.05,407.9,424.75,542727
2017-02-09,428.75,431.2,418,421.55,124707
2017-02-10,420.5,427.6,418.25,421.2,46594
2017-02-13,421.55,435,412.05,424.4,75759
2017-02-14,424,425,410.2,413.15,32424
2017-02-15,413,413.5,391,395.3,123866
2017-02-16,395.05,414,380,409.1,113080
2017-02-17,410.05,432.5,410.05,425.5,106005
2017-02-20,425.55,447,424.55,438.35,119625
2017-02-21,441,447,436,444.1,61109
2017-02-22,444,451.15,440,443.55,62219
2017-02-23,443.95,443.95,428.05,430.7,35459
2017-02-27,430.75,436,405.85,424.25,40528
2017-02-28,424.85,440,422.9,427.3,15727
2017-03-01,433,435,424.6,431.7,18983
2017-03-02,434.65,436.5,415.25,419.3,40685
2017-03-03,419.3,427.95,414.65,424.65,18577
2017-03-06,431,432,416.3,419.35,40801
2017-03-07,419.9,429,413.25,420.85,88858
2017-03-08,421.05,433,418,423.45,68830
2017-03-09,424.95,427.55,417.5,420.05,28822
2017-03-10,423.7,427,419.5,420.65,29899
2017-03-14,428.45,440.8,420.65,437.75,49969
2017-03-15,437.95,447,434.85,444.4,88007
2017-03-16,450.5,468,445.05,460.45,184116
2017-03-17,465.45,474.95,450.1,468.5,73211
2017-03-20,473,478.25,454,459.85,32471
2017-03-21,461.25,462.5,445,448.25,28968
2017-03-22,443.5,450,442.25,443.1,23937
2017-03-23,445.65,451.35,437.55,448,17863
2017-03-24,449.95,452,444.7,446.4,41736
2017-03-27,448,460,430,435.05,76769
2017-03-28,438,444.8,432,436.45,24733
2017-03-29,436,450,427.9,428.95,41377
2017-03-30,429,434.4,428,432.4,15074
2017-03-31,432.05,438.9,423,428.5,30710
2017-04-03,430,434.3,422.15,424.8,38915
2017-04-05,426,438,422.65,425.55,54616
2017-04-06,426.15,430.95,413.25,418.25,42905
2017-04-07,417.95,431.6,413.5,415,97470
2017-04-10,416,420,407.65,412.3,38326
2017-04-11,412,416,407.5,410,37017
2017-04-12,411.05,432.5,410,411.55,134652
2017-04-13,413.75,424.45,412.2,415.85,33867
2017-04-17,416,424,416,418.95,22426
2017-04-18,420.1,422,412,414.3,21480
2017-04-19,414,424.75,414,420.95,23829
2017-04-20,421.85,425.5,419.05,420.55,18835
2017-04-21,422.05,432,418.75,427.3,40478
2017-04-24,429.95,434.7,416.35,419.95,74118
2017-04-25,421.95,428.05,418.1,419.45,34264
2017-04-26,420,425,411,416.2,26769
2017-04-27,419.8,419.8,403,409.85,42641
2017-04-28,412.3,420,409.65,417.45,17839
2017-05-02,416,417.8,409,410.95,25163
2017-05-03,411.35,411.35,397.1,400.5,42044
2017-05-04,405,405,390,392.35,37373
2017-05-05,392.45,405,390,396,29634
2017-05-08,394.05,400.05,392.05,397.75,15180
2017-05-09,396.05,404.25,394,403.1,34524
2017-05-10,404.05,410,397,397.95,47991
2017-05-11,398.1,404.05,393,394.55,13375
2017-05-12,393.05,403,386.1,395.4,24362
2017-05-15,399.65,399.65,391,393.5,12344
2017-05-16,393.2,393.5,385,389.7,10714
2017-05-17,394.85,394.9,372,374.2,32456
2017-05-18,385,385,345,368.9,80849
2017-05-19,372,382,366.15,377.5,134837
2017-05-22,383,388.45,370.1,374.1,18163
2017-05-23,374.95,374.95,356,364.7,27208
2017-05-24,372,372,351,354.95,15233
2017-05-25,375,410,375,389.15,491648
2017-05-26,390,431.45,390,420.8,336165
2017-05-29,417.95,425.05,415.7,422.45,56118
2017-05-30,422.9,422.9,400.5,417.6,41261
2017-05-31,418.95,421.6,408.85,415.15,30691
2017-06-01,420,420.05,412.85,414.8,35687
2017-06-02,415.95,436.4,415.95,421.65,152327
2017-06-05,434.95,449.9,426,447.2,272667
2017-06-06,455,455,436.65,442.9,62510
2017-06-07,449,459.5,445,456.2,80177
2017-06-08,458.9,462.95,450.55,459.95,35470
2017-06-09,462,474.15,455,469.35,78016
2017-06-12,474.8,475,460,460.35,33838
2017-06-13,465.6,479.9,459.15,462.05,106866
2017-06-14,464.9,469.3,456,457.85,95013
2017-06-15,456.9,466.7,456,459.9,32982
2017-06-16,466.8,474.9,460.05,472.3,86970
2017-06-19,470.2,473.4,465,469.3,32497
2017-06-20,469.3,470.15,464.2,468.45,20199
2017-06-21,468.45,477,462.25,473.85,43552
2017-06-22,474.9,484,466,472.9,29215
2017-06-23,474,474,457.65,460.15,23739
2017-06-27,460,463.45,448.5,451.95,32491
2017-06-28,451,458,448.5,450.8,14605
2017-06-29,454,457,437,443.1,16688
2017-06-30,447.1,455.95,439.05,443.5,25855
2017-07-03,449.7,468,443.6,464.5,19122
2017-07-04,464.5,466.4,454.1,457.7,17341
2017-07-05,457.95,464,447.1,463.1,24437
2017-07-06,463.2,463.95,450.55,453.7,10059
2017-07-07,454,460.9,447.05,456.75,25166
2017-07-10,463,463.1,444.05,456.55,1930
2017-07-11,459.9,465,458,460.9,10942
2017-07-12,454.6,465,452.6,456.75,11853
2017-07-13,458,462.35,445.2,447.4,28077
2017-07-14,448.1,456.85,448.1,453.85,16291
2017-07-17,467,467,447,450.1,25337
2017-07-18,448.05,456.95,446.25,448.65,11398
2017-07-19,450.95,452,447,447.65,9104
2017-07-20,447.5,449.5,443.05,444.75,12756
2017-07-21,446.1,450,437,440.7,14979
2017-07-24,441.05,457.95,438.25,447.6,14325
2017-07-25,449.05,453.2,447.65,450.8,11897
2017-07-26,450.9,469,450.85,461.25,20838
2017-07-27,463.15,469.45,457.55,459.7,31096
2017-07-28,459.9,459.9,448.6,451.55,23310
2017-07-31,450,453.05,445.05,452,10367
2017-08-01,452,453.15,444.05,446.15,10165
2017-08-02,454.05,454.1,438.15,440.25,17366
2017-08-03,443.9,450,437.2,439.8,9736
2017-08-04,435.05,443,430.05,433.35,8769
2017-08-07,438.7,441,430,435.7,6547
2017-08-08,438.9,442,427.2,439.5,6936
2017-08-09,435.05,435.95,427.05,433.75,7237
2017-08-10,432,437.8,420,424.15,22177
2017-08-11,421.3,432.35,415,418.4,12793
2017-08-14,420.05,430.9,406.95,410,23882
2017-08-16,398,409.95,384.15,394.6,44766
2017-08-17,400.1,414.75,394,397.75,25300
2017-08-18,399.4,404,389.95,399.85,25201
2017-08-21,400.95,407.55,394,396.35,17821
2017-08-22,397.95,399.95,380.1,383.85,16677
2017-08-23,385,399.95,385,389.4,17443
2017-08-24,395,395.15,383.25,387.8,18353
2017-08-28,392,402,387.15,399.9,10565
2017-08-29,400.2,440,400,418.2,59613
2017-08-30,424.95,429.55,418,424.25,13407
2017-08-31,420.05,420.05,416,418.45,9001
2017-09-01,418,430,415,418.85,10907
2017-09-04,429,429,404,406.25,14820
2017-09-05,409.95,417,395.1,411.45,23251
2017-09-06,415.05,420,405.55,408.65,25325
2017-09-07,413,424.45,406.95,419.95,44738
2017-09-08,421.1,421.1,403.25,410.85,14576
2017-09-11,412.5,421,392.15,404.6,28751
2017-09-12,413.9,423,399.95,404.65,371515
2017-09-13,409.9,412,405,408.4,49006
2017-09-14,406,410,402.05,408.05,17789
2017-09-15,403,410.35,402,405.95,73176
2017-09-18,406.9,410,398.05,407.9,16745
2017-09-19,413.45,419,402.95,416.2,37960
2017-09-20,423,424.45,416.1,418.8,16863
2017-09-21,421.85,421.85,410.5,415.1,19792
2017-09-22,415.8,419,405.15,409.6,36391
2017-09-25,405.95,405.95,379.25,383.05,47236
2017-09-26,385.75,404.35,378.4,395.25,25325
2017-09-27,400.4,400.45,380.1,384.85,11707
2017-09-28,384.05,394.05,373.1,387.15,36397
2017-09-29,391.05,403.05,387.5,391.4,10301
2017-10-03,398.95,400,387.2,397.7,9963
2017-10-04,403,403,392,394.55,12337
2017-10-05,399.95,399.95,388.55,389.55,10802
2017-10-06,397.15,401.95,390,396.15,15977
2017-10-09,409,411.9,391,398.8,18537
2017-10-10,402,408,395,402.4,14859
2017-10-11,408.75,423.4,402.45,410.05,45664
2017-10-12,421.8,421.8,402.1,405.6,16423
2017-10-13,413,415,403.85,405.15,9717
2017-10-16,407.95,412.95,398,399.9,10119
2017-10-17,400.95,403.05,396,397.95,17198
2017-10-18,403.75,403.75,396.2,400.8,13728
2017-10-19,410,425,402,405.45,15355
2017-10-23,411,411,392,394.7,15157
2017-10-24,402.75,402.75,391.1,392.2,44862
2017-10-25,394.95,399,383.05,385.95,21650
2017-10-26,389.3,395.35,382.05,388.55,62467
2017-10-27,400,405,393.5,396.6,35011
2017-10-30,397.95,405,389.25,393.5,31198
2017-10-31,395.85,405,392,401.9,14297
2017-11-01,404,404,389,390.05,23214
2017-11-02,391.9,392.75,385.05,386.85,19705
2017-11-03,388.95,399,388.95,396.1,15024
2017-11-06,398.7,411,390.2,402.75,50338
2017-11-07,404.2,404.7,389.25,392.8,32329
2017-11-08,396.95,403.95,385,388.3,10046
2017-11-09,389.05,395.9,380.1,381.85,18324
2017-11-10,385.8,390.4,371.5,379.4,27031
2017-11-13,379.9,385.9,376.3,378.7,12112
2017-11-14,380.1,390,376,383.75,9409
2017-11-15,370,380.15,360,376.2,73058
2017-11-16,373.05,379.95,359.9,367.1,30409
2017-11-17,374.7,382.9,370.2,381.05,36316
2017-11-20,385.9,385.9,373.6,377.8,28948
2017-11-21,380.95,388.8,370.5,372.15,28208
2017-11-22,372,377.95,368,368.75,28827
2017-11-23,370.95,387.95,370.95,377.65,55183
2017-11-24,387,387,374.4,382.8,59962
2017-11-27,381.1,395.95,381.1,392.2,67622
2017-11-28,393.5,398,384,393.45,23334
2017-11-29,399,399.95,390,395.05,13652
2017-11-30,396,396,383.55,387.35,11292
2017-12-01,393,398.95,384.1,386.85,9557
2017-12-04,381.1,389.85,380,380.8,11488
2017-12-05,387.95,387.95,380.1,382.35,17254
2017-12-06,385,389.8,373.55,377,40393
2017-12-07,382.95,383,373.5,374.3,11715
2017-12-08,373,401.25,373,398.85,118390
2017-12-11,407.95,407.95,391.75,399.6,16400
