Date,Open,High,Low,Close,Volume
2022-08-24,110.3,112.305,102.26,103.095,593390
2022-08-25,106.565,109,102.01,103.185,229770
2022-08-26,103,104.89,98.965,99.65,241830
2022-08-29,95,97,90.97,94.625,424180
2022-08-30,96.59,96.6,92.025,92.695,411030
2022-09-01,92.995,94.905,92.64,92.9,298880
2022-09-02,93.8,93.8,90.005,90.865,361110
2022-09-05,91.8,93.47,89.845,91.745,422060
2022-09-06,92.5,93,89.7,89.865,372180
2022-09-07,90.69,91.89,88.61,89.69,315230
2022-09-08,91.29,91.5,90,91.12,235270
2022-09-09,92.3,92.69,89.295,89.915,309790
2022-09-12,90.995,90.995,89.645,89.89,250000
2022-09-13,90.495,91.105,89,89.195,129610
2022-09-14,87.1,89.66,87.1,88.11,366600
2022-09-15,88.8,89.875,88.005,88.325,251920
2022-09-16,88.4,88.995,86.5,86.72,263060
2022-09-19,87.5,89.485,86.525,86.725,505810
2022-09-20,86.6,88.62,85.1,85.53,640720
2022-09-21,85,87.4,85,85.425,450270
2022-09-22,85.15,86.455,84.965,85.235,414800
2022-09-23,85.9,85.9,82.785,83.03,287080
2022-09-26,81.01,83.025,76.88,77.9,618600
2022-09-27,79.065,79.07,77.255,77.685,752340
2022-09-28,77.495,77.495,72.5,73.085,1052100
2022-09-29,73.98,75.9,73.2,74.665,396920
2022-09-30,74,74.9,72.155,72.685,604500
2022-10-03,72.1,77.4,72.1,76.48,630310
2022-10-04,79.4,87.865,77.215,85.955,2469420
2022-10-06,87,90.5,84.01,85.46,1213140
2022-10-07,85.46,87.47,84.905,85.52,744400
2022-10-10,84.235,86.875,84,85.06,519040
2022-10-11,85.5,91.445,85.315,86.405,837850
2022-10-12,86.7,90.95,83.795,84.54,1403820
2022-10-13,84.29,85.81,83.005,83.655,745460
2022-10-14,84.7,87.495,84.26,84.845,473370
2022-10-17,84.995,85.82,83.505,84.36,145490
2022-10-18,85.1,85.78,83.635,84.075,145990
2022-10-19,84.45,85.625,82.235,82.895,169700
2022-10-20,83.7,83.7,79.5,80.36,195700
2022-10-21,81.145,81.46,78.885,79.225,137480
2022-10-24,80.57,80.98,80,80.83,57400
2022-10-25,81.6,81.6,79.755,80.25,62550
2022-10-27,80.75,81.395,78.235,79.115,160290
2022-10-28,79.97,79.97,79.3,79.39,116510
2022-10-31,70.405,72.36,66.015,66.94,1848240
2022-11-01,67.88,72.18,64.3,70.45,1199660
2022-11-02,71,71.44,69.305,69.925,235960
2022-11-03,70.2,70.445,68.715,69.04,135210
2022-11-04,69.73,69.73,68.5,68.73,113020
2022-11-07,69.2,69.37,67.325,67.88,103220
2022-11-09,68.48,69.53,67.87,68.41,206930
2022-11-10,68.41,68.695,67.3,67.48,63630
2022-11-11,68,68.605,67,68.1,119100
2022-11-14,68.12,68.125,67.41,67.805,59740
2022-11-15,67.8,68.395,67.395,67.96,107480
2022-11-16,67.505,68.54,67.505,67.635,83760
2022-11-17,67.51,68.25,67.495,67.605,80420
2022-11-18,68.185,68.22,66.5,67.095,78320
2022-11-21,67.74,67.74,65.53,65.985,80460
2022-11-22,66.445,67.845,64.75,65.045,80440
2022-11-23,65.54,66.44,64.085,64.34,68330
2022-11-24,64.1,65,64.1,64.48,111480
2022-11-25,64.945,65.505,64.48,64.965,113690
2022-11-28,65.48,74.39,64.905,71.455,719300
2022-11-29,72,74.38,71.4,72.02,250700
2022-11-30,72.8,72.8,70.495,71.125,116840
2022-12-01,71.2,72,70.655,71.475,95970
2022-12-02,71.98,79.8,71.045,76.395,582570
2022-12-05,76.995,79.5,75,76.885,288020
2022-12-06,77.655,77.655,76.495,76.815,104240
2022-12-07,77.495,78.075,72.695,74.42,355800
2022-12-08,74.9,75.385,73.225,73.46,108610
2022-12-09,73.945,74.535,72.305,72.57,79640
2022-12-12,72.31,73.185,71.36,72.305,128850
2022-12-13,72.8,72.8,70.9,71.505,74800
2022-12-14,71.945,72.44,71.2,71.67,42650
2022-12-15,72.365,73.68,70.235,70.805,99020
2022-12-16,70.8,71.4,68.49,69.205,91600
2022-12-19,70.195,70.375,68.87,69.895,125310
2022-12-20,70.89,71,69.005,70.57,92310
2022-12-21,70.945,71.23,67.11,68.385,130620
2022-12-22,68.385,69.48,66.005,68.525,168840
2022-12-23,68.05,68.05,63.8,64.545,132670
2022-12-26,65.445,68.47,63.8,66.67,152500
2022-12-27,67.67,69.4,66.645,68.71,183850
2022-12-28,68.71,70.475,68.365,69.55,112020
2022-12-29,69,72.415,67.905,69.805,114780
2022-12-30,70.8,71.935,69.75,70.86,196580
2023-01-02,71.925,72,70.2,71.125,99320
2023-01-03,71.115,74.405,70.405,72.64,148890
2023-01-04,72.595,74,71.31,72.345,77160
2023-01-05,72.235,72.395,71.405,72.1,57940
2023-01-06,73.18,73.18,69.96,71.4,94800
2023-01-09,72.465,73.19,69.7,70.18,222680
2023-01-10,70.18,70.65,68.235,69.25,77860
2023-01-11,69.04,70.5,68.02,68.55,105410
2023-01-12,68.89,70.5,68.89,69.745,69880
2023-01-13,70.205,71,69.25,70.46,37730
2023-01-16,71,72.875,68.235,68.885,121810
2023-01-17,69.92,69.92,67.5,67.88,123140
2023-01-18,68.56,68.755,67,67.615,75570
2023-01-19,68.09,68.625,67.205,67.7,45340
2023-01-20,67.695,68.175,66.25,66.775,73330
2023-01-23,69.11,80.13,69.005,78.795,7577080
2023-01-24,77.44,78.2,74.46,74.92,752380
2023-01-25,74.9,75.205,70.5,71.02,530520
2023-01-27,71.2,71.895,68.57,70.64,373910
2023-01-30,71,71.5,66.995,69.26,372130
2023-01-31,69.265,71.79,69.265,70.94,242560
2023-02-01,71.1,72.1,68.495,68.945,237040
2023-02-02,69.59,70.475,68.755,69.31,88520
2023-02-03,69.125,70.975,69.125,69.875,215940
2023-02-06,70.7,74,70.15,72.61,430580
2023-02-07,72.71,73.2,71.925,72.615,204280
2023-02-08,73.29,74.855,73.15,74.605,292280
2023-02-09,74.895,75.5,74.1,74.64,405180
2023-02-10,69.105,70.495,68.28,69.94,594890
2023-02-13,69.5,69.5,68.28,68.6,172580
2023-02-14,69,69,67.5,67.55,139000
2023-02-15,67.55,68.45,67.5,67.645,75930
2023-02-16,68,68.945,67.5,67.69,42320
2023-02-17,68.67,68.675,67.3,67.535,43230
2023-02-20,67.805,67.825,67.36,67.685,51560
2023-02-21,67.8,68,66.9,67.075,46080
2023-02-22,67.075,67.575,65.91,66.18,58630
2023-02-23,66,67.945,65.7,65.9,68600
2023-02-24,65.74,66.625,65.7,66.025,37440
2023-02-27,66,66.395,63.93,64.1,105210
2023-02-28,64.505,66.16,63.875,64.915,173280
2023-03-01,65.8,68.29,65.325,66.98,89810
2023-03-02,67.61,67.89,66.65,66.93,49070
2023-03-03,68.2,68.2,66.11,66.39,51020
2023-03-06,66.13,70.29,66.13,69.77,228380
2023-03-08,69.5,70.475,68.6,69.535,115800
2023-03-09,70.88,70.88,68.16,69.205,68510
2023-03-10,69,70.49,68.305,69.98,91100
2023-03-13,70.4,70.41,67.55,68.33,42550
2023-03-14,67.555,69.44,66.635,67.245,100800
2023-03-15,68.9,69.905,67.6,67.995,109660
2023-03-16,67.695,67.93,66.485,67.275,47060
2023-03-17,68.195,68.435,66.22,66.845,36700
2023-03-20,67.98,67.98,65,65.725,84490
2023-03-21,66.2,69.85,64.86,65.555,212650
2023-03-22,65.76,66.305,64.725,65.535,95370
2023-03-23,65.535,66.04,65.3,65.45,68670
2023-03-24,65.47,66.2,64.895,65.07,82860
2023-03-27,65.7,67.5,64.8,65.5,104340
2023-03-28,65.445,66.26,63.97,64.25,90810
2023-03-29,64.5,65.19,63.96,64.515,95320
2023-03-31,65.495,65.5,64,64.67,119830
2023-04-03,67.79,67.79,65.1,66.25,66060
2023-04-05,66.945,69.03,65.63,68.835,138660
2023-04-06,68.835,69.095,68.1,68.715,41820
2023-04-10,69.785,69.785,67,67.62,106490
2023-04-11,67.895,68.585,66.235,66.79,221300
2023-04-12,66.2,67.425,65.8,66.185,205730
2023-04-13,66.7,67.16,66.185,66.665,105510
2023-04-17,66.9,66.955,65.14,65.58,104820
2023-04-18,65.58,65.995,64.8,65.07,98990
2023-04-19,65.5,66,64.8,65.03,115130
2023-04-20,65.2,65.7,64.8,65.135,88450
2023-04-21,65.505,67.67,64.8,66.475,92220
2023-04-24,66.3,66.57,65.685,65.9,53050
2023-04-25,66.1,66.45,65.51,65.985,52300
2023-04-26,66.19,72.4,66.19,69.15,478270
2023-04-27,69.15,71.47,69.15,69.595,190760
2023-04-28,70.2,71.5,69.6,70.155,136400
2023-05-02,70,70.15,66.505,67.24,338150
2023-05-03,67.405,68.45,65.395,66.415,134400
2023-05-04,66.5,69.5,66.5,67.375,261110
2023-05-05,68,68.38,67.18,67.695,160680
2023-05-08,68.43,70.1,67.785,69.555,155700
2023-05-09,69.555,70.96,69.5,70.105,121890
2023-05-10,70.105,70.89,69.165,69.645,55280
2023-05-11,69.965,70.695,69.665,70.12,88450
2023-05-12,70.7,70.81,68.69,69.01,98090
2023-05-15,69.8,72.5,69.205,69.76,114260
2023-05-16,70.09,70.295,68.84,69.955,98620
2023-05-17,68.66,70.795,68.66,69.255,77660
2023-05-18,69.99,70.445,69.315,69.34,49270
2023-05-19,70,70.03,69,69.3,49760
2023-05-22,68.7,70.365,67.945,68.18,85770
2023-05-23,68.68,69.095,68.1,68.235,57060
2023-05-24,68.235,68.795,67.61,67.785,36300
2023-05-25,68.15,68.615,67.7,68.195,55450
2023-05-26,67.6,69,67.6,68.22,64570
2023-05-29,68.22,68.22,66.6,66.875,191450
2023-05-30,66.8,67.39,66.6,66.69,77220
2023-05-31,66.645,66.995,66.2,66.58,54470
2023-06-01,66.625,67.775,66.625,67.34,109050
2023-06-02,67.79,68.65,66.905,68.475,100530
2023-06-05,69.5,72.83,68.93,71.755,302450
2023-06-06,72.495,79.39,71.13,78.09,857440
2023-06-07,78.7,79.5,77.1,78.4,274420
2023-06-08,78.4,79.295,75.96,76.805,94580
2023-06-09,76,77.495,75.58,76.975,85760
2023-06-12,77.4,79.6,77.4,78.2,160650
2023-06-13,78.2,79.98,76.45,77.165,128920
2023-06-14,77.1,77.77,75.705,77.025,71570
2023-06-15,76.6,78.8,76.575,76.705,129000
2023-06-16,77.265,84.85,77.26,80.71,864530
