Date,Open,High,Low,Close,Volume
2025-07-21,151,158.55,151,158.55,2703600
2025-07-22,166.45,166.45,154.05,160.45,1888800
2025-07-23,156,157.9,152.45,152.45,248400
2025-07-24,144.85,156.65,144.85,155.45,927600
2025-07-25,150,154,147.7,148.85,472800
2025-07-28,146,154.3,143.6,145.7,236400
2025-07-29,149.1,149.1,138.45,142.05,224400
2025-07-30,142.8,149.15,140,149.15,117600
2025-07-31,149.5,156.6,147,156.05,308400
2025-08-01,156,161.4,153,153.75,79200
2025-08-04,150,155,142.55,146.35,136800
2025-08-05,142.05,149.3,140.5,141.75,60000
2025-08-06,141.05,149.05,133.6,145.8,153600
2025-08-07,145.1,150.25,142.05,146.6,88800
2025-08-08,143.25,145,136,138.9,78000
2025-08-11,141.45,144.95,137.5,143.75,73200
2025-08-12,140.1,144.8,137.3,137.85,73200
2025-08-13,138,138,131.5,133.75,163200
2025-08-14,133.75,136.25,130.5,134.25,195600
2025-08-18,135.25,137.75,133.25,135.55,158400
2025-08-19,139.95,148.1,137.5,146.1,313200
2025-08-20,147,149.4,139,142.3,294000
2025-08-21,141,156.5,140,152.45,164400
2025-08-22,153,153,149.95,151,64800
2025-08-25,154.75,155,150,150,36000
2025-08-26,154.8,154.8,142.1,144.1,97200
2025-08-28,141.1,146.45,141.1,141.85,21600
2025-08-29,142.15,145.85,138,138.05,46800
2025-09-01,140,143.1,139,143.1,14400
2025-09-02,143.1,144,139,140.95,49200
2025-09-03,143.8,143.8,139.65,143.7,19200
