Date,Open,High,Low,Close,Volume
2015-09-07,50,51.05,47.95,49.9,3200
2015-09-08,48,52,48,51.5,3694
2015-09-09,53,53.05,50.15,53.05,4342
2015-09-10,50.15,54,50.15,53.05,1490
2015-09-11,57.75,62.95,50.25,53.5,1236
2015-09-14,53.5,57.35,53.5,57,3646
2015-09-15,55,60.8,51.5,53.25,1764
2015-09-16,52.1,57.95,52.1,57.2,2015
2015-09-18,55,57.15,54.8,57.15,258
2015-09-21,54.5,58,54.5,57.8,818
2015-09-22,53,59.9,51.35,56.15,5343
2015-09-23,53.4,57.3,53.4,55.3,174
2015-09-24,55.25,59,55.25,56.55,16861
2015-09-28,58,58,55.1,55.1,218
2015-09-29,54.2,57.65,54.15,56.95,778
2015-09-30,54.05,56.85,52.55,54.7,4977
2015-10-01,59.45,59.45,53.3,53.3,538
2015-10-05,54,59.25,54,56.1,1508
2015-10-06,56.1,58.85,55.15,55.3,957
2015-10-07,53.05,59.4,53.05,57.45,4201
2015-10-08,59.35,62.9,59.2,60.5,6551
2015-10-09,62,62.9,60,61.65,14863
2015-10-12,73,73,63.6,68.3,16699
2015-10-13,68.3,69.85,65.6,66.05,2787
2015-10-14,72.5,72.5,65.6,67.3,6433
2015-10-15,69.5,70,65.1,66.9,2970
2015-10-16,68.2,70.9,63.75,64.75,15859
2015-10-19,58.05,68.8,58.05,64.85,1887
2015-10-20,62.55,66.9,62.5,62.5,5044
2015-10-21,62.5,67.7,61.25,61.55,7990
2015-10-23,60.05,67,60.05,62.15,1980
2015-10-26,61.05,65.9,56.35,61,4738
2015-10-27,67.7,68.35,60.3,60.9,477
2015-10-28,57.65,65,57.6,61.45,9599
2015-10-29,62,63,61.4,62.9,1726
2015-10-30,62.95,63,61.8,61.9,2929
2015-11-02,59,62.9,59,61.1,235
2015-11-03,60.7,62.75,60.7,61.65,1478
2015-11-04,69.35,69.35,62,63.8,9201
2015-11-05,64,65,60.9,61.4,5488
2015-11-06,59,63,59,60.35,1425
2015-11-09,59,61.95,55.7,61.05,394
2015-11-10,61,61.9,61,61.1,475
2015-11-11,61,65,61,62.05,401
2015-11-13,61.5,61.5,60.55,60.55,196
2015-11-16,58,59.5,55.5,58,5656
2015-11-17,55.4,58.45,55.4,57.9,6058
2015-11-18,60,62.85,56.05,58.7,2007
2015-11-19,56,61.45,55.35,59.9,2641
2015-11-20,57,60.6,57,60.6,146
2015-11-23,62.8,62.8,58.25,60.85,7254
2015-11-24,63,68,62.8,63.3,24186
2015-11-26,64.4,66.9,60.75,65.3,4996
2015-11-27,61.75,64.5,61.3,62.35,3895
2015-11-30,61.35,64.95,61.35,64.5,1697
2015-12-01,63.5,64.45,62.15,63.05,2534
2015-12-02,63.9,63.9,61.6,62,979
2015-12-03,67.9,67.9,62.3,63.8,2467
2015-12-04,63,65.45,61.85,63.65,2310
2015-12-07,66.85,66.85,63.6,64.65,1970
2015-12-08,65,68,64.15,64.85,6876
2015-12-09,64,64.8,61.7,62,2545
2015-12-10,66.3,68,60.25,61.55,1989
2015-12-11,62.5,62.5,59.2,60.95,1250
2015-12-16,67.9,72.9,67,67,14800
2015-12-17,63,70.7,62.55,66.9,5417
2015-12-18,70.7,70.7,63.25,65.85,2601
2015-12-21,67,68.9,65.1,66.75,3496
2015-12-22,67.95,68,64.1,65.85,3756
2015-12-23,66,72,66,68.95,13978
2015-12-24,71,71,65.35,70.05,6876
2015-12-28,70.8,72.5,69.7,71.95,8158
2015-12-29,71,72.8,68.05,69.5,2651
2015-12-30,68,73.7,65.7,71.2,1654
2015-12-31,71.2,71.2,69.1,69.4,994
2016-01-01,70.45,73,69.45,72.05,1386
2016-01-04,71.95,72,67.6,68.35,1624
2016-01-05,67.1,76.4,67.1,74.9,22890
2016-01-06,73.5,78.7,68.2,77.7,20544
2016-01-07,74.45,77.7,71.7,72.4,9961
2016-01-08,72.4,74.95,72,73.9,2724
2016-01-11,61,77.9,61,76.85,8962
2016-01-12,76.05,77.85,76,77.2,3797
2016-01-13,81.8,83.95,65.1,74.4,20296
2016-01-14,69.05,74,69.05,71.55,5712
2016-01-15,71.4,74.3,61.25,65.35,3294
2016-01-18,62,66.4,57.6,62.45,1951
2016-01-19,60.6,66.3,59.3,65.8,1349
2016-01-20,70,70,60.5,62.6,3880
2016-01-21,66.4,66.4,62,63.15,154
2016-01-22,64.35,65.8,61.55,63.75,791
2016-01-25,67.4,68,63.95,63.95,10059
2016-01-27,66.6,66.6,62.05,64,1783
2016-01-28,65.45,65.45,62.05,63.15,876
2016-01-29,61.15,64.6,61.15,64.45,622
2016-02-01,61.6,64.95,61.6,64.9,424
2016-02-02,64.95,65.1,63.1,64.75,750
2016-02-03,67.8,67.8,58.3,60.5,2438
2016-02-04,58.1,60.9,55.6,56.35,3503
2016-02-05,58.7,58.7,55,55.15,7582
2016-02-08,56.9,58.9,55.7,57.15,4755
2016-02-09,58.6,58.6,52.1,54,4449
2016-02-10,57,57,54.05,54.7,2062
2016-02-11,55.5,55.5,49,49.05,3211
2016-02-12,54.4,54.4,46,52.65,5211
2016-02-15,57,60,55,59.15,13001
2016-02-16,59.15,60.9,57.35,57.4,3150
2016-02-17,56,57.95,54.1,57.2,2378
2016-02-18,57.5,58.9,56.8,57.7,1086
2016-02-19,56.1,58.85,55.1,58,295
2016-02-22,58.95,59,54,58.75,3575
2016-02-23,58.6,59,52,52.85,8191
2016-02-24,55.5,55.5,49.7,50.05,12759
2016-02-25,51.95,51.95,50.95,51,2255
2016-02-26,52.55,52.55,50,51.4,37112
2016-02-29,48.2,53.5,48.2,52.7,1175
2016-03-01,51.25,55,51.2,53.65,22429
2016-03-02,56.95,56.95,53.5,54.2,9697
2016-03-03,55.95,57.4,54.65,56.3,3532
2016-03-04,55,57.9,54.3,57.15,1269
2016-03-08,59,59,56.15,56.45,350
2016-03-09,61,61,55.3,56.8,461
2016-03-10,62,62,55.7,57,468
2016-03-11,60.9,60.9,54.05,57.3,3435
2016-03-14,58.9,58.9,55.15,56.15,16114
2016-03-15,55.5,57.7,55.5,57.7,4164
2016-03-16,55.9,57.85,55.3,55.9,2306
2016-03-17,59.75,59.75,55.3,56.5,10481
2016-03-18,56.5,56.95,56,56,1114
2016-03-21,54.8,59.8,52,58.05,5521
2016-03-22,60.8,60.8,57.05,58.3,4547
2016-03-23,60.5,61.45,58.2,58.65,19760
2016-03-28,59.5,60.95,57.65,58.3,4592
2016-03-29,56.1,61.25,56.1,58.7,21006
2016-03-30,59,62,59,61.9,6286
2016-03-31,64,67.7,59.55,66.6,30779
2016-04-01,67.5,69.5,65.6,68.4,17438
2016-04-04,70,74.2,68.25,72.1,48742
2016-04-05,71.5,77.7,71.5,73.7,44908
2016-04-06,71.5,77,71.5,75.65,10384
2016-04-07,78.7,78.7,73,73.7,7105
2016-04-08,73.25,75,70.65,72.7,11279
2016-04-11,71.85,74,71.7,73.2,5569
2016-04-12,72.95,73.5,68,69.85,8085
2016-04-13,67.85,75.8,67.85,71.65,30875
2016-04-18,71,73.5,69.3,69.35,3038
2016-04-20,69.35,71.9,68,69.5,6429
2016-04-21,69.2,71.9,68.95,68.95,1635
2016-04-22,68.05,70.5,68.05,69,624
2016-04-25,71,71.6,68.35,69.3,1549
2016-04-26,69.4,70,69.2,69.75,2386
2016-04-27,69,70.2,67,70.1,6279
2016-04-28,70.4,70.4,66.5,68.85,7362
2016-04-29,69.9,71,69.9,70.5,3087
2016-05-02,71,71,69,70,2622
2016-05-03,69.25,72,68.55,70.95,2976
2016-05-04,71,71,68.95,70,1883
2016-05-05,69,71.8,65.5,69.1,4079
2016-05-06,68.25,69.8,66.2,67.15,9223
2016-05-09,69,70,67.8,69.95,3490
2016-05-10,67.6,70.5,67,69.95,10460
2016-05-11,70.1,71.65,70,71,1786
2016-05-12,70.45,75.8,69.85,71.55,41146
2016-05-13,71.1,73.4,70.7,70.75,6613
2016-05-16,72.9,77,71.5,76,17383
2016-05-17,77,77,74,75.95,10862
2016-05-18,75,76,72.2,72.95,3515
2016-05-19,75.75,75.75,72,72.35,7471
2016-05-20,71.3,75.65,68,73.8,5218
2016-05-23,72.9,74.5,72.9,73.25,1571
2016-05-24,74,76,73.4,73.4,7380
2016-05-25,72.7,77,72.7,74.65,14117
2016-05-26,73.55,75.65,70.35,74.05,2575
2016-05-27,73,74,72.6,73,4105
2016-05-30,72.6,77.75,69.05,74.1,8144
2016-05-31,76.1,88.9,74.05,85.45,151046
2016-06-01,85.05,85.9,81.3,84.7,9631
2016-06-02,85.95,85.95,82.15,83.4,8334
2016-06-03,83.4,84.4,81.85,83.35,12644
2016-06-06,83,86.25,77.5,84.6,26236
2016-06-07,86.45,87,84.15,84.95,13452
2016-06-08,85,90.3,83.05,88.7,36890
2016-06-09,90.9,91.8,87.6,88.15,31950
2016-06-10,89.45,89.5,87.15,87.65,8516
2016-06-13,89.9,89.95,84.55,86.3,6729
2016-06-14,85,86.45,82.5,84.05,15504
2016-06-15,85.5,89.8,85.5,88.55,13552
2016-06-16,88.5,98.5,84.3,95.95,55211
2016-06-17,96.95,112.05,96,107.45,241443
2016-06-20,105,108.85,100.6,105.6,62566
2016-06-21,106,106.8,102,102.8,36983
2016-06-22,104.6,104.6,96.65,97.55,27725
2016-06-23,97,99,93.25,94.2,34009
2016-06-24,91,93.8,83.8,89.4,56257
2016-06-27,93,96.25,90.3,93.15,31927
2016-06-28,93,98.3,93,96.1,26652
2016-06-29,97,101.7,95.15,96.4,20935
2016-06-30,96.2,101,96.2,97.2,14629
2016-07-01,98.9,98.95,93,94.1,6385
2016-07-04,97,99,93.6,94.95,7570
2016-07-05,96.95,98,92.3,93.15,15172
2016-07-07,93.2,98.5,92.15,97.95,22116
2016-07-08,98.2,99.85,97,97.7,10320
2016-07-11,99.45,107.4,97.05,105,57930
2016-07-12,103,110,102.1,102.75,24041
2016-07-13,102.75,104.9,97,97.7,17274
2016-07-14,97.1,102.9,97.1,98.2,6806
2016-07-15,98,100.6,97.3,98.35,4462
2016-07-18,98.35,99.05,95.05,95.1,6224
2016-07-19,95.15,98.5,92.2,95.25,6723
2016-07-20,95.25,98,92.75,96.85,4367
2016-07-21,96.8,98.5,94,95.1,6193
2016-07-22,95.1,111.9,95.1,109.85,90720
2016-07-25,118,118,109.1,112.5,33826
2016-07-26,112.55,113.9,105.35,106.95,20265
2016-07-27,109.7,109.7,100,106.15,6826
2016-07-28,109.05,112.05,106.3,111.2,5795
2016-07-29,110.15,112.9,106.1,106.6,8469
2016-08-01,109.8,110,104,106.25,30778
2016-08-02,106.25,109.9,102,104.2,11915
2016-08-03,104.2,106.85,92.25,104.5,44863
2016-08-04,102.55,107.4,101.1,104.45,7793
2016-08-05,103,109.95,103,104.4,4135
2016-08-08,103.7,108.8,102,102.9,4549
2016-08-09,102.25,105.2,100,103.55,2252
2016-08-10,101.75,104.9,98.55,99,5265
2016-08-11,99.25,103,98.25,99.45,2319
2016-08-12,100.25,103.8,99.6,101.5,6506
2016-08-16,95,95.25,88,92.85,51243
2016-08-17,95,97.8,92.5,93.15,7334
2016-08-18,93.15,97,93.15,94.25,13678
2016-08-19,94.25,99,94.25,95.9,10984
2016-08-22,95.5,97.8,95,96.6,8647
2016-08-23,96.6,103.2,95.6,100.3,10793
2016-08-24,100.3,108.75,100.3,104.65,29189
2016-08-25,106.3,106.9,96.65,99.55,6804
2016-08-26,99.5,104.8,99.5,103.7,15029
2016-08-29,103.7,105.5,101.6,103.35,3030
2016-08-30,103.35,110.9,102,107.35,33283
2016-08-31,107.35,109,103,104.35,7266
2016-09-01,106,108.4,100.8,101.35,6739
2016-09-02,101.3,105,99.95,102,4581
2016-09-06,101.95,104.95,100.5,100.9,1623
2016-09-07,100.35,107.9,100.35,106.3,27207
2016-09-08,106.25,110.9,105.9,108,64241
2016-09-09,106,107.95,105,105.25,2662
2016-09-12,102.15,105,98.5,99.95,57804
2016-09-14,99.95,102.6,99.95,101.7,12923
2016-09-15,101.7,107.7,101.7,107.1,10382
2016-09-16,107,110.9,105,105.35,19379
2016-09-19,105.35,107.9,102.05,104.85,10506
2016-09-20,104.75,124,102.25,123.65,257542
2016-09-21,128.35,131.4,119.1,122.35,83506
2016-09-22,123.95,128.5,118.6,119.7,20609
2016-09-23,124,128,118,124.45,45779
2016-09-26,127,128.3,120,123.75,15504
2016-09-27,122.25,123.85,120.1,121.45,7016
2016-09-28,122,127.3,121,122.9,18992
2016-09-29,124,127,102,109.6,59845
2016-09-30,115,120.65,108.45,119.5,30281
2016-10-03,119.45,126.9,119.45,122.3,13687
2016-10-04,123.5,130,118,127.7,43655
2016-10-05,130,144.7,130,142,140500
2016-10-06,143.1,148.35,137,139.15,68426
2016-10-07,140.4,142,136,137.65,21872
2016-10-10,135.1,141.95,135.1,136.2,16336
2016-10-13,140.5,140.5,127,128.75,20665
2016-10-14,128,136,122.35,127.6,20641
2016-10-17,127.5,133.9,122.85,126.4,19177
2016-10-18,126.25,128.75,124.6,126.3,9911
2016-10-19,126.25,129.9,125.55,127.25,9746
2016-10-20,127.25,137.95,127.25,133.95,27302
2016-10-21,133.75,137.5,129,132,26076
2016-10-24,136.9,136.9,130,131.85,18503
2016-10-25,131,139,129.5,136.95,15800
2016-10-26,136.75,150,135.65,144.3,63633
2016-10-27,146,149.9,142.25,142.55,16070
2016-10-28,142.5,146,139.1,142.7,16762
2016-10-30,142.05,145,138.85,140.25,7169
2016-11-01,139,142.5,138,138.1,8890
2016-11-02,133.6,162,132.7,153.9,218839
2016-11-03,154.4,178,154.4,165.5,482937
2016-11-04,167.9,173.5,158.9,161.9,106097
2016-11-07,168,168,148.5,158.35,58135
2016-11-08,153.55,163,153.1,156.7,28185
2016-11-09,127.05,144.2,125.4,142.05,79687
2016-11-10,154,159.95,149.95,153.25,33034
2016-11-11,154,154,141.5,149,18678
2016-11-15,150.9,151,131,132.85,20518
2016-11-16,136.05,141.95,125.25,126.85,36148
2016-11-17,139,139,123.1,134.8,42187
2016-11-18,134.9,137,128.1,131.4,19595
2016-11-21,128.2,134.9,121.7,124.45,20561
2016-11-22,117,133.8,117,132.1,25623
