Date,Open,High,Low,Close,Volume
2015-09-07,65.6,72.4,64.98,66.34,14040
2015-09-08,67,70.6,65.4,67.16,10185
2015-09-09,69,69.6,66.6,66.79,8065
2015-09-10,64.18,68,64.18,67.4,3390
2015-09-11,68,68,66.01,66.65,3495
2015-09-14,66.01,67.89,65,65.81,13235
2015-09-15,66.1,66.21,62,63.27,15255
2015-09-16,63.21,66.4,63.21,66,7345
2015-09-18,66,67.2,65.4,65.47,3540
2015-09-21,67.79,67.79,64.02,67.55,3000
2015-09-22,67.79,68.2,66,66.4,4690
2015-09-23,64.43,67.32,63.6,65.06,5060
2015-09-24,64.08,67.98,64.08,64.46,3285
2015-09-28,65.4,67.57,64.64,64.9,1155
2015-09-29,63.33,65.99,63.33,65.02,430
2015-09-30,67.56,67.57,65.2,66,550
2015-10-01,67.4,67.8,66.01,66.5,6790
2015-10-05,67.98,70,67.2,69.13,11825
2015-10-06,68.1,69.4,68.02,68.26,4480
2015-10-07,67.81,69.4,67.81,68.28,2065
2015-10-08,68,68.01,66.25,66.67,3425
2015-10-09,68.38,69,66.03,68.96,3610
2015-10-12,72.76,72.76,66.35,68.19,3470
2015-10-13,65.51,70.32,65.5,68.98,2085
2015-10-14,67.27,69.79,67.27,68.53,2210
2015-10-15,69.01,71,69,69.5,7020
2015-10-16,70,70,68.05,69.2,5475
2015-10-19,68.4,71.99,68.4,69.29,2230
2015-10-20,68.5,69.1,66.8,67.64,5435
2015-10-21,68.6,70,66,69.36,12940
2015-10-23,69.8,72,69.8,71.05,7195
2015-10-26,70.24,71,68.73,70.84,1390
2015-10-27,70.8,72.6,70.8,72.36,2465
2015-10-28,72.4,74,70.52,73.47,17420
2015-10-29,70.4,75.99,70.4,71.8,260
2015-10-30,73,73.4,69.6,70.05,11175
2015-11-02,71.77,75.8,69.8,74.4,13545
2015-11-03,71.32,76,71.32,74.94,12115
2015-11-04,73.26,76.77,73,74.86,20690
2015-11-05,87.6,89.83,87.6,89.83,86215
2015-11-06,88.6,96.99,85.62,86.79,105690
2015-11-09,82.64,89.98,82.4,86.98,44335
2015-11-10,88,88,83.61,87.05,16535
2015-11-11,88,88,86.21,87.35,6200
2015-11-13,84.6,87.77,83.21,87.17,4520
2015-11-16,87.2,90,85.8,86.62,20115
2015-11-17,88.68,88.68,84.05,84.93,7525
2015-11-18,84.8,86.6,83.3,84.73,8620
2015-11-19,84.52,93,84.52,90.63,80060
2015-11-20,90.2,93.38,90.02,92.34,48305
2015-11-23,91.2,96.8,90.41,95.4,69730
2015-11-24,96.96,99.66,95.4,98.84,65085
2015-11-26,99.8,102.4,98.23,99.1,55350
2015-11-27,99.01,107.2,99,103.89,73180
