Date,Open,High,Low,Close,Volume
2021-08-02,1280,1366.9,1216,1278.85,68770
2021-08-03,1298.9,1339.9,1219.15,1267.9,27847
2021-08-04,1289.85,1348,1270,1313,52273
2021-08-05,1336,1419.9,1295,1381.4,48894
2021-08-06,1410,1410,1330.3,1372.4,13092
2021-08-09,1392,1398.55,1265,1297.1,11888
2021-08-10,1301.6,1313,1062.2,1136.1,47397
2021-08-11,1136.1,1200,1030,1123.95,27610
2021-08-12,1090,1164.6,1090,1142.35,8539
2021-08-13,1164.9,1164.9,1052.05,1094.2,12312
2021-08-16,1094.2,1140.05,1076,1094.35,10555
2021-08-17,1106.1,1135,1030,1086.4,16702
2021-08-18,1118.95,1202,1092.25,1141.6,40271
2021-08-20,1130,1137.15,1079.45,1089.9,11261
2021-08-23,1100,1108.8,1011.55,1022.6,11707
2021-08-24,1039.9,1090.9,1021,1076.05,6855
2021-08-25,1075,1110,1067.3,1090.35,4883
2021-08-26,1089.95,1092,1045,1066.9,4565
2021-08-27,1080.7,1111.1,1074.6,1084.8,10344
2021-08-30,1089.9,1145.8,1061.5,1131.65,11434
2021-08-31,1157.95,1159,1099.25,1104.75,6255
2021-09-01,1090,1141.45,1090,1110.5,9572
2021-09-02,1100,1128,1040,1068.05,19332
2021-09-03,1050,1077.45,1025,1040.4,9538
2021-09-06,1058.8,1066.15,1014.35,1031.6,13018
2021-09-07,1034.95,1056.2,1005,1036.9,10618
2021-09-08,1061,1061,1020.55,1032.05,7146
2021-09-09,1054,1055,1021,1048.2,7791
2021-09-13,1048,1120,1048,1099.7,32830
2021-09-14,1124.95,1319.6,1115,1222.95,58446
2021-09-15,1254,1270.5,1125.25,1203.7,44977
2021-09-16,1222,1223.95,1170,1177.4,11981
2021-09-17,1195,1195,1108.85,1128.9,14069
2021-09-20,1140,1144,1080,1082.3,12687
2021-09-21,1082,1120,1055,1112,12552
2021-09-22,1120,1163.85,1080.1,1111.9,17221
2021-09-23,1135,1194.9,1114,1123.3,21254
2021-09-24,1135,1154,1102.15,1147.4,24771
2021-09-27,1147.4,1149.9,1102.2,1112.65,13456
2021-09-28,1102,1126.8,1084.1,1106.3,15318
2021-09-29,1102.6,1113.55,1040,1056.1,17180
2021-09-30,1094.5,1094.5,1045,1070.4,17026
2021-10-01,1060,1130.25,1045.15,1114.6,24634
2021-10-04,1139,1149,1101.3,1120.85,10404
2021-10-05,1130.75,1133.3,1100.75,1116.2,18215
2021-10-06,1116,1124.65,1081.1,1087.7,11948
2021-10-07,1109.45,1159,1100,1142,25015
