Date,Open,High,Low,Close,Volume
2022-11-07,218.675,221.375,201.125,215.825,24836
2022-11-09,215.825,219.95,209.975,212.5,9350
2022-11-10,213.575,213.575,208.2,208.675,3548
2022-11-11,203.075,214.475,203.075,208.65,4230
2022-11-14,212.2,212.45,208.175,208.975,2084
2022-11-15,208.35,212.95,204.475,210.675,3744
2022-11-16,205.125,210.5,204,206.1,7030
2022-11-17,208.975,209.775,192.3,196.025,29354
2022-11-18,195.025,199.5,193.5,195.7,9740
2022-11-21,199.375,200.225,196.75,197.25,4168
2022-11-22,199.25,200.65,182.775,188.2,25286
2022-11-23,186.2,199.225,186.2,197.35,6898
2022-11-24,197.35,207.925,197.35,206.3,9736
2022-11-25,206.325,213.475,204.55,211.8,10118
2022-11-28,212,213.95,209.875,210.475,2768
2022-11-29,208.825,213,208.025,210.7,7944
2022-11-30,213.05,213.05,209.05,211.575,6432
2022-12-01,213,217.425,212.5,213.825,7332
2022-12-02,213.825,214.025,210.5,213.425,4068
2022-12-05,217.125,224.5,212.575,222.825,36320
2022-12-06,227.5,233.975,225,229.725,34866
2022-12-07,232,232,223.55,228.575,11752
2022-12-08,232.5,232.5,226.55,228.05,9216
2022-12-09,232,232,226.95,228.2,15408
2022-12-12,234.5,237.275,225,229.45,21388
2022-12-13,229.5,235.1,228,232.775,37530
2022-12-14,234.95,237,227.275,234.125,34540
2022-12-15,232.5,233.95,227.55,229.95,6948
2022-12-16,226,227.45,221.3,224.25,5710
2022-12-19,220.075,231.4,213.525,215.775,8240
2022-12-20,212.8,215.775,207.625,209.05,7274
2022-12-21,206.125,213.525,205.5,207.3,7316
2022-12-22,207.3,207.925,198,201.025,92230
2022-12-23,209.3,209.3,197.5,198.05,8004
2022-12-26,198.05,204.825,198.05,202.35,5424
2022-12-27,205.65,207.5,204.2,205.525,3372
2022-12-28,207.125,209.225,203.425,208.9,3654
2022-12-29,206.5,211.075,205.15,206.825,2060
2022-12-30,209.975,211.275,207.05,210.225,2990
2023-01-02,211,215,210.775,213.775,6650
2023-01-03,218.475,218.475,212.3,216.325,2098
2023-01-04,213.325,218.3,212.05,216.45,4868
2023-01-05,220,220,212.55,216.9,1902
2023-01-06,212.2,224.4,212.025,222.525,7296
2023-01-09,220.175,225,215.55,220.6,8204
2023-01-10,218,229.775,216.05,228.325,13640
2023-01-11,234.775,234.775,220.525,224.275,7262
2023-01-12,227.6,228.425,219,220.525,3106
2023-01-13,223.45,223.45,218.65,220.525,1752
2023-01-16,221.075,230.45,220,225.45,7592
2023-01-17,224.975,232,223.525,228.7,16510
2023-01-18,230.5,230.975,223.05,228.15,5732
2023-01-19,227.2,230.975,226,226.525,3142
2023-01-20,227.525,231.05,224.675,227.05,5524
2023-01-23,225.775,225.775,217.75,219.025,3742
2023-01-24,216.25,223.5,216.25,222.95,1708
2023-01-25,220.225,230,209.525,217.4,13452
2023-01-27,218.95,224.2,206.15,215.3,4902
2023-01-30,214.55,224,214.1,218,1990
2023-01-31,217.075,226.45,216.8,219.825,2926
2023-02-01,226.425,226.425,206.625,210,3742
2023-02-02,218,226,208.15,213.575,21110
2023-02-03,220.475,223.475,211,212.675,7496
2023-02-06,212.025,212.5,195.55,203.2,17942
2023-02-07,205.55,209.075,203.025,208.3,5108
2023-02-08,198.25,211.475,198.25,206.475,2044
2023-02-09,207.425,207.75,199.9,201.775,6232
2023-02-10,202.5,212.025,195,198.35,36752
2023-02-13,195,204.475,194.5,197.675,8240
2023-02-14,201.475,201.475,192.5,195.925,12808
2023-02-15,197.75,203.375,195.925,200.775,9086
2023-02-16,200.35,201.55,197.975,198.9,4062
2023-02-17,199.05,201.25,198,200.025,5126
2023-02-20,198.35,202.5,197.425,199.025,3774
2023-02-21,199.75,201,197.4,198.05,2884
2023-02-22,200.15,200.15,197.275,199.1,5698
2023-02-23,197.325,201.475,197,199.95,8710
2023-02-24,199.2,202.225,197.725,201.075,4016
2023-02-27,196,200.4,195.125,196.85,4026
2023-02-28,198.65,199.775,195,196.2,6150
2023-03-01,197.35,201.475,195,196.575,14004
2023-03-02,199.425,199.425,189.85,192.075,7424
2023-03-03,193.25,197.7,185,185.85,34946
2023-03-06,186.875,191.975,181.975,182.325,27962
2023-03-08,185,190,182.775,188.7,15994
2023-03-09,193.5,193.5,188,190.575,18968
2023-03-10,189.25,191.5,188.15,190.5,13954
2023-03-13,190.25,193.55,187.55,188.85,21708
2023-03-14,188.5,192.725,186,187.625,16634
2023-03-15,188.35,191.5,187.275,190.65,18610
2023-03-16,188.35,192.475,188.05,191.65,13466
2023-03-17,190.225,193.275,189.05,191.65,11710
2023-03-20,191.5,192.525,189.025,190.35,13942
2023-03-21,190.55,193.675,188.5,189.05,9238
2023-03-22,191.35,192.375,188,190.475,10720
2023-03-23,189.55,192.25,189.25,190.475,10382
2023-03-24,188.625,190.85,180.725,184.425,25656
2023-03-27,184.525,192.25,180.15,186.45,26398
2023-03-28,186.375,190,182,185.875,11180
2023-03-29,192.3,197.275,182.525,190.75,21880
2023-03-31,192.275,194.975,186.9,188.25,10476
2023-04-03,189.05,193.75,187.5,190.125,6776
2023-04-05,190.55,197.975,188.5,195.1,16458
2023-04-06,195.425,201.9,195.425,199.525,9248
2023-04-10,202,203.4,195.1,196.475,13532
2023-04-11,198.625,200,195.525,199.1,11748
2023-04-12,197.95,200.5,193.525,194.975,14456
2023-04-13,198.025,199.775,196.225,197.4,10028
2023-04-17,196.15,200.075,195.175,197.525,12200
2023-04-18,200,202.525,197.45,199.425,14596
2023-04-19,199.525,201.425,190.55,195.4,28832
2023-04-20,197.35,199.95,195.225,197.175,11472
2023-04-21,199.375,199.9,196.55,198.55,10602
2023-04-24,198.975,201.575,196.525,198.9,18390
2023-04-25,199.75,203,199.275,200.975,12000
2023-04-26,201.5,201.5,196.3,197.9,12550
2023-04-27,198.125,201.25,197.45,199.775,11216
2023-04-28,199.55,201.7,196.5,200.425,18838
2023-05-02,204.3,204.3,198.275,199.1,13374
2023-05-03,198.375,200.35,198.025,198.375,11848
2023-05-04,199.6,200.025,198.475,199.6,9604
2023-05-05,203.375,203.45,200.025,200.4,19358
2023-05-08,201,202.525,196.15,197.175,20046
2023-05-09,199.35,202.5,198.05,201.85,23512
2023-05-10,203.5,204.05,201.85,203.1,12118
2023-05-11,203.125,208.475,197.475,201.65,16662
2023-05-12,202.05,206.975,201.775,205.1,10000
2023-05-15,223.95,241.975,220.575,230.65,288606
2023-05-16,232.375,236,228.925,234.5,72990
2023-05-17,234.5,236.95,224.85,226.125,51536
2023-05-18,226.025,229.45,217.55,218.9,34150
2023-05-19,222,222.95,212.525,213.725,32720
2023-05-22,217.5,221.875,215.8,218.1,19908
2023-05-23,220.5,222.45,213.05,214.8,36746
2023-05-24,217.825,218.9,213.075,215.725,12082
2023-05-25,213.9,224.375,213.9,223.075,23858
2023-05-26,225.45,229.475,216.05,218.3,25948
2023-05-29,215.025,222.5,207.4,208.9,46366
2023-05-30,212,212,207.5,208.85,20170
2023-05-31,209.95,211.025,208.525,209.825,17890
2023-06-01,219.475,219.475,209,209.95,25772
2023-06-02,212.975,213.5,207.8,208.8,24448
2023-06-05,212.25,213,210.525,211.85,17548
2023-06-06,211.3,215.775,210,213.05,20492
2023-06-07,215,232,214.975,229.675,98814
2023-06-08,234.725,234.725,226,228.3,43792
2023-06-09,229.975,231.95,220.3,224.7,28666
2023-06-12,225.925,227.5,222.75,223.35,12060
2023-06-13,225.725,225.85,220.525,222.85,18028
2023-06-14,226.975,226.975,219.125,220.55,36492
2023-06-15,220.025,223.225,218,219.325,29318
2023-06-16,222.625,222.975,217.125,218.15,17264
2023-06-19,224.75,224.75,216.55,217.475,13250
2023-06-20,224.5,224.5,217.5,218.175,10282
2023-06-21,221.1,221.1,216.15,216.775,16700
2023-06-22,218.55,219.375,211.975,213.825,31344
2023-06-23,211.325,214.45,210.5,210.95,15760
2023-06-26,212.05,213.55,209.925,210.175,15382
2023-06-27,214.975,214.975,206.35,208.55,21320
2023-06-28,211.15,214.375,207.625,213.15,24098
2023-06-30,211.75,214.475,209.25,211.4,23268
2023-07-03,214.975,214.975,210.45,213.225,13028
2023-07-04,213.275,214.475,211,212.35,8216
2023-07-05,210.75,213.7,210.75,212.025,4432
2023-07-06,212.55,212.55,208,209.1,28736
2023-07-07,207.5,211.175,207.5,208.5,17324
2023-07-10,208.55,212.45,207.55,210.475,9416
2023-07-11,212.05,213.85,210.175,210.6,10896
2023-07-12,211.8,211.8,208.525,210.125,5726
2023-07-13,211.05,214.5,208.1,210.075,14654
2023-07-14,210.5,211.825,208,209,8996
2023-07-17,212.5,215,206,206.375,16488
2023-07-18,207.8,209.375,205.375,207.5,7234
2023-07-19,208.225,210,206.575,208.875,7486
2023-07-20,208.625,210.225,204.625,205.5,25462
2023-07-21,206.975,207.95,202.5,203.025,21048
2023-07-24,202.95,210.05,202.15,205.925,17042
2023-07-25,206.325,213.95,205,212.875,27076
2023-07-26,222,222,211.775,214.175,15172
