Date,Open,High,Low,Close,Volume
2023-12-29,1439.8,1511.75,1439.8,1511.75,157065
2024-01-01,1540,1587.3,1539.7,1587.3,18955
2024-01-02,1666.65,1666.65,1600,1666.65,63174
2024-01-03,1711,1729.9,1583.35,1619.4,69735
2024-01-04,1640,1642.4,1580,1607.2,47046
2024-01-05,1607.2,1664.9,1545,1581.25,54198
2024-01-08,1585,1620,1570,1575.8,17033
2024-01-09,1581,1605,1510,1518.4,22097
2024-01-10,1530,1550,1500,1512.95,228060
2024-01-11,1513.9,1588.55,1513.9,1569.55,19162
2024-01-12,1580,1783.75,1575,1606.25,49857
2024-01-15,1614.5,1614.5,1552.1,1581.95,13671
2024-01-16,1581.95,1619.9,1541,1555.55,7897
2024-01-17,1517.45,1593.8,1517.45,1565.4,6946
2024-01-18,1552,1586.35,1525,1531.55,12786
2024-01-19,1549.4,1595.9,1536.1,1568.95,5848
2024-01-20,1594.4,1594.4,1558,1572.45,5390
2024-01-23,1584.9,1598,1560.05,1577.9,11862
2024-01-24,1579.65,1589.9,1525,1537.15,19012
2024-01-25,1557.7,1575.95,1525,1527.1,22092
2024-01-29,1732.7,1732.7,1562,1582.75,24441
2024-01-30,1582.75,1590.45,1521,1525.2,93243
2024-01-31,1525.2,1565.95,1497.1,1513.4,56837
2024-02-01,1532.8,1541.85,1497.7,1504.2,17555
2024-02-02,1527.45,1555.7,1507.55,1537.85,4361
2024-02-05,1538,1554.95,1508,1529.75,12657
2024-02-06,1540.05,1543,1508,1521.7,30510
2024-02-07,1539.25,1567,1516,1533.75,12712
2024-02-08,1555.45,1609.9,1535.25,1572.5,8681
2024-02-09,1570,1572,1515.25,1540,6230
2024-02-12,1452.35,1522.45,1452.35,1475.5,28371
2024-02-13,1475.5,1509.95,1463.05,1481.95,27789
2024-02-14,1485.3,1524.55,1471.45,1511.95,9018
2024-02-15,1534.65,1534.65,1488.05,1494.75,7185
2024-02-16,1494.75,1523.95,1491.85,1498.85,4530
2024-02-19,1498.85,1518.45,1496.05,1500.05,18868
2024-02-20,1500.1,1518,1496.7,1505.95,16989
2024-02-21,1518,1549,1495.1,1511.45,4409
2024-02-22,1524.25,1544,1495.6,1514.95,2272
2024-02-23,1599.9,1600,1499.95,1505.9,7894
2024-02-26,1490,1542,1482.1,1510.15,14572
2024-02-27,1505.95,1556.6,1496.05,1512.1,6672
2024-02-28,1498,1527.95,1490.1,1494.6,9303
2024-02-29,1517,1519.75,1472,1478.4,4674
2024-03-01,1492.5,1501.95,1464.1,1481.05,1926
2024-03-02,1485.05,1504.5,1477,1483,401
2024-03-04,1481,1500.65,1451.1,1458.15,3669
2024-03-05,1467.3,1469.95,1436.15,1452.75,2291
2024-03-06,1469.2,1469.2,1398.5,1403.3,4175
2024-03-07,1415.75,1425,1395.05,1402.25,2704
2024-03-11,1415,1415,1305,1332.4,9517
2024-03-12,1339.2,1402.3,1301,1318.5,10482
2024-03-13,1318,1331.2,1251.1,1274.75,10755
2024-03-14,1255.05,1346.65,1203.9,1259.55,1463776
2024-03-15,1278,1350,1262.4,1272.05,65254
2024-03-18,1290,1339.5,1241.2,1271.6,26053
2024-03-19,1271.6,1338.85,1240,1280.05,60836
2024-03-20,1292.85,1314.6,1281,1307.9,8704
2024-03-21,1307.85,1344,1301.05,1336.65,9781
2024-03-22,1350,1369.9,1322.75,1356.35,8400
2024-03-26,1369.9,1369.9,1340,1349,8723
2024-03-27,1331.6,1415.15,1331.6,1398.2,31022
2024-03-28,1412.2,1426,1392.25,1403.75,9527
2024-04-01,1443,1463.95,1424,1429.25,13748
2024-04-02,1430,1523.9,1425.15,1480.05,21279
2024-04-03,1494.85,1494.85,1466,1477.7,9438
2024-04-04,1490,1507,1455,1480.1,8217
2024-04-05,1480.1,1483.5,1464.7,1467.5,3734
2024-04-08,1476.5,1599.9,1463.5,1562.15,17195
2024-04-09,1562,1652,1562,1598.35,20991
2024-04-10,1610,1650,1600.05,1619.2,13104
2024-04-12,1625,1625,1549.95,1573.85,10110
2024-04-15,1554.85,1570.5,1518.05,1546.2,5542
2024-04-16,1535,1558.4,1525.9,1539.9,14894
2024-04-18,1520.35,1558.95,1520.35,1535.5,6709
2024-04-19,1505,1593.75,1505,1571.3,16106
2024-04-22,1599.9,1599.9,1548.45,1564.25,89365
2024-04-23,1607,1607,1530.05,1574,6445
2024-04-24,1593.7,1598.05,1555.1,1560.6,12663
2024-04-25,1584,1607.8,1517.35,1539.15,38828
2024-04-26,1544.2,1575,1535.45,1565.4,11592
2024-04-29,1565.45,1616.95,1559,1598.3,14531
2024-04-30,1607,1690.05,1572.05,1655.45,22959
2024-05-02,1655.45,1675.95,1624.65,1655.9,16368
2024-05-03,1641.2,1745,1640.95,1695.95,27505
2024-05-06,1690.2,1777.1,1683.8,1714.95,15101
2024-05-07,1689.25,1776,1689.25,1754.5,26046
2024-05-08,1754.5,1815.05,1732.15,1795.3,31921
2024-05-09,1795.35,1845.05,1765,1780.75,13036
2024-05-10,1801,1805,1591.1,1653.05,30403
2024-05-13,1628.25,1629.7,1530,1559.5,21433
2024-05-14,1530.4,1610.8,1530.4,1552.65,9915
2024-05-15,1575.95,1598.95,1548.9,1584.75,8434
2024-05-16,1583.9,1612.4,1570.55,1579.95,4465
2024-05-17,1588.25,1634.3,1570.55,1591.7,12821
2024-05-18,1576,1635,1559.2,1585.35,1043
2024-05-21,1586.75,1597.45,1555.55,1581.2,8586
2024-05-22,1581,1600.4,1550,1581.8,5837
2024-05-23,1588.7,1588.7,1550.55,1558.95,4486
2024-05-24,1582.35,1582.35,1531.1,1546.9,3325
2024-05-27,1564.95,1569.9,1525,1560.1,2437
2024-05-28,1572.2,1579.9,1539.85,1574.7,3805
2024-05-29,1573.95,1574,1525,1537.2,4413
2024-05-30,1531,1550,1511,1534.15,3767
2024-05-31,1534.15,1611.9,1489.7,1540.15,22163
2024-06-03,1555,1596.85,1525,1546.9,6345
2024-06-04,1560,1566.05,1394.9,1538.35,12760
2024-06-05,1538,1538,1490,1500.15,9511
2024-06-06,1558.8,1564.65,1489.4,1531.45,4089
2024-06-07,1540.45,1551.4,1504.95,1535.25,10088
2024-06-10,1535,1565,1516,1529.3,3751
2024-06-11,1530,1564,1518,1540.2,8257
2024-06-12,1540.2,1608,1540.2,1549.7,7382
2024-06-13,1550.05,1585,1532,1568.1,8911
2024-06-14,1567.45,1599,1559.5,1593.25,4506
2024-06-18,1593.75,1609.4,1569.05,1595.15,2870
2024-06-19,1590.3,1621.25,1545.15,1591.9,8127
2024-06-20,1592.25,1609.2,1565.1,1573.05,6561
2024-06-21,1575.85,1593,1560,1569.05,5307
2024-06-24,1570,1572.55,1501,1540.35,9270
2024-06-25,1544.05,1560,1530.1,1538.65,7566
2024-06-26,1538.65,1545.3,1518,1529.1,4156
2024-06-27,1536.75,1544.1,1521.2,1532.15,4921
2024-06-28,1533.1,1556.05,1525.05,1543.2,5693
2024-07-01,1559.9,1586.95,1545,1563.2,7234
2024-07-02,1580.2,1580.2,1518.25,1536.05,38815
2024-07-03,1546,1719,1540,1674.85,64369
2024-07-04,1675,1787.85,1655.85,1747.3,70757
2024-07-05,1731,1815.7,1727,1739.8,69927
2024-07-08,1720,1782,1682.1,1766.7,34692
2024-07-09,1775.8,1787.35,1741.4,1744.95,8364
2024-07-10,1700,1760,1685.05,1702.9,8028
2024-07-11,1714,1808,1695.3,1703.45,87570
2024-07-12,1703.45,1763.5,1686,1740.8,69857
2024-07-15,1739.95,1758,1701.1,1749.75,10315
2024-07-16,1744.6,1764.6,1707.1,1735.35,13659
2024-07-18,1745,1769.85,1675.6,1699.6,38149
2024-07-19,1701,1721.4,1625,1678.7,13304
2024-07-22,1653.5,1775,1634.1,1757.25,21865
2024-07-23,1769.7,1824.8,1686.05,1754.75,86709
2024-07-24,1755,1925.25,1728,1896.35,49440
2024-07-25,1890,1950,1849.65,1902,37093
2024-07-26,1905,2057.3,1905,1949.65,53496
2024-07-29,1969.1,1969.1,1919.8,1924,17579
2024-07-30,1943.2,1989.8,1871.3,1909.7,25173
2024-07-31,1928.8,1928.8,1882,1897.05,8846
2024-08-01,1875,1904.25,1872,1886.35,4860
2024-08-02,1878,1912.9,1863.4,1899.4,9487
2024-08-05,1891,1903.25,1845,1876.25,14308
2024-08-06,1894.85,1942.5,1822.15,1837.25,15084
2024-08-07,1880,1893.3,1853.05,1875.2,8436
2024-08-08,1875,1898.6,1829,1835.9,8251
2024-08-09,1895.7,1960,1725.55,1792.2,40822
2024-08-12,1799,1872.4,1731.45,1807.5,15490
2024-08-13,1788.95,1817.45,1755,1766.3,11618
2024-08-14,1777.8,1777.8,1701.15,1718.1,17530
2024-08-16,1743.85,1745.85,1684.5,1691.95,6938
2024-08-19,1696.95,1745,1660.35,1695.5,12046
2024-08-20,1722,1722,1672.35,1703.1,7725
2024-08-21,1722.4,1722.4,1666.55,1700,5458
2024-08-22,1696.3,1798,1693.95,1740.1,16167
2024-08-23,1738,1757.5,1690,1707.65,8543
2024-08-26,1708.25,1767,1690.55,1729.25,6075
2024-08-27,1711.95,1760,1711.95,1741.8,8669
2024-08-28,1796.85,1796.85,1712,1721.75,18367
2024-08-29,1719,1763.95,1719,1742.05,5791
2024-08-30,1746.8,1755,1719,1744.1,8834
2024-09-02,1760,1766.55,1729.55,1746.45,9972
2024-09-03,1723.6,1762.45,1723.6,1741.25,14488
2024-09-04,1731.15,1755.95,1725.15,1746.1,3449
2024-09-05,1760.2,1848,1747.55,1787.45,47091
2024-09-06,1840,1870.4,1774.05,1779.75,44049
2024-09-09,1779.75,1836,1731.55,1800.1,37536
2024-09-10,1827.1,1828.45,1794.05,1814.8,48717
2024-09-11,1822,1879.95,1775,1792.45,67558
2024-09-12,1833.85,1949,1814.6,1919.85,64475
2024-09-13,1929,2303.8,1910.1,2239.05,175000
2024-09-16,2289.05,2513,2200.1,2375.05,177953
2024-09-17,2360.05,2600,2319.85,2537.55,76609
2024-09-18,2550,2550,2387.45,2405.55,27330
2024-09-19,2415,2550,2376.45,2447.85,27643
2024-09-20,2425,2505,2378,2395.55,10778
2024-09-23,2455,2485,2275.45,2329.65,9015
2024-09-24,2300.05,2383.1,2259.05,2278.25,8409
2024-09-25,2278.25,2374,2232.05,2256.4,16165
2024-09-26,2204.4,2319.75,2193.95,2262.2,25460
2024-09-27,2299.9,2352.25,2200.7,2212.9,31634
2024-09-30,2213,2330.25,2213,2225.95,37323
2024-10-01,2241.75,2390,2241.75,2365.95,11728
2024-10-03,2360.2,2400,2314,2350.05,17544
2024-10-04,2347,2549.1,2305,2347.05,52012
2024-10-07,2357.35,2367.05,2225,2273,12836
2024-10-08,2271.25,2359,2251.95,2347.95,12662
2024-10-09,2366.9,2460,2286.75,2407.5,13072
2024-10-10,2407.5,2487,2371.2,2397.7,8250
2024-10-11,2406.05,2448.95,2314,2369.25,106017
2024-10-14,2354,2430.6,2222.35,2338.35,87238
2024-10-15,2338.35,2394.4,2255.55,2367.2,49723
2024-10-16,2355,2373.4,2265,2332.5,46613
2024-10-17,2378.8,2378.8,2250.5,2267.85,22006
2024-10-18,2286.2,2289.8,2175.25,2215.05,42528
2024-10-21,2215.05,2297.9,2207.85,2251,8732
2024-10-22,2252.9,2269.9,2149.95,2244.45,29249
2024-10-23,2244.45,2265,2151.65,2236.8,30045
2024-10-24,2255.2,2255.2,2155.1,2172.4,12320
2024-10-25,2160,2190,2099,2135.1,12836
2024-10-28,2111.3,2225,2100,2187.05,22557
2024-10-29,2190,2298,2155.3,2275.35,10904
2024-10-30,2241.2,2344,2241.2,2328.25,6717
2024-10-31,2319.85,2324.1,2230.45,2255.45,7533
2024-11-01,2298,2404.65,2265.25,2303.35,6669
2024-11-04,2315.1,2320,2245.65,2300.7,3123
2024-11-05,2287.7,2337.95,2265.75,2273.05,5711
2024-11-06,2273.05,2333.85,2217.55,2298.5,20297
2024-11-07,2321.5,2394.5,2290.05,2354.4,10840
2024-11-08,2380,2428.85,2337.8,2403.05,20075
2024-11-11,2451.05,2538,2400,2430,39465
2024-11-12,2383,2480,2383,2419.2,16708
2024-11-13,2256,2391.85,2203,2226.35,40011
2024-11-14,2259.75,2323,2231,2273.35,10168
2024-11-18,2280,2324,2200.05,2282.25,9849
2024-11-19,2282.15,2330.85,2229.75,2237.7,5725
2024-11-21,2216,2262.95,2170.05,2186.6,8814
2024-11-22,2193,2217.4,2153,2169.45,4344
2024-11-25,2175.85,2227,2112.2,2134.8,14024
2024-11-26,2134.8,2224,2134.8,2214.55,8239
2024-11-27,2245,2324.9,2208.35,2299.85,18431
2024-11-28,2306.5,2386,2270.05,2363.55,10358
2024-11-29,2379.9,2390,2314.4,2370.3,5400
2024-12-02,2367.6,2400,2315.35,2363.15,4923
2024-12-03,2371,2469.9,2363,2425.5,9155
2024-12-04,2477.95,2600,2385,2545.5,34702
2024-12-05,2570.95,2598,2466.05,2561.55,20177
2024-12-06,2575,2675,2550,2601.35,30248
2024-12-09,2609,2773.65,2569.35,2694.6,40838
2024-12-10,2735,2810,2654.8,2718.6,20297
2024-12-11,2749.95,2751.85,2619.95,2653.75,10403
2024-12-12,2655.6,2655.6,2565.05,2584.75,6565
2024-12-13,2584.75,2645.05,2520.05,2624.55,6601
2024-12-16,2636,2684.95,2559,2614.25,8774
2024-12-17,2588.1,2612.95,2540,2564.35,6018
2024-12-18,2584,2613,2525.05,2547.5,4545
2024-12-19,2524.3,2554.15,2451.2,2480.2,6586
2024-12-20,2476.75,2527.9,2405,2413.2,5231
2024-12-23,2413.2,2469.8,2374.2,2422.65,3593
2024-12-24,2409.8,2492.4,2367.1,2434.35,6232
2024-12-26,2412.25,2496.45,2412.2,2476.9,3728
2024-12-27,2476.9,2560,2454.4,2550.85,4877
2024-12-30,2522,2557.95,2485,2524.9,2451
2024-12-31,2531.5,2623.65,2507.6,2546.85,9468
2025-01-01,2557.05,2575,2512.6,2550.05,4566
2025-01-02,2550,2644,2543.55,2577.25,7578
2025-01-03,2582.45,2689,2576.8,2637.9,7702
2025-01-06,2651.8,2675.45,2581.6,2600.3,6193
2025-01-07,2592.8,2745,2592.8,2730.5,17185
2025-01-08,2735,2864.2,2711.3,2849.7,33780
2025-01-09,2850,2934,2790.15,2813.4,31167
2025-01-10,2816.15,2878,2754.9,2805.9,34019
2025-01-13,2780,2848,2751.1,2801.9,12189
2025-01-14,2844,2867.9,2682.4,2792.5,20216
2025-01-15,2792.45,2838,2727.65,2808.5,11189
2025-01-16,2802.75,2914.25,2802.75,2873.5,15306
2025-01-17,2869.85,2870.7,2772,2796.9,5197
2025-01-20,2735,2740.55,2601,2655.2,17575
