Date,Open,High,Low,Close,Volume
2015-09-07,860.15,866,832,836.5,2479603
2015-09-08,842,850,815,844.6,3192919
2015-09-09,856.65,860,835.2,839.05,2164371
2015-09-10,835,844.05,824.9,839.7,2478514
2015-09-11,844,851.95,840.35,846.05,2710761
2015-09-14,854.2,858.95,845.35,857.05,2590701
2015-09-15,858.6,871.5,855,866.6,3818309
2015-09-16,879.2,891.8,875.65,887.2,5674983
2015-09-18,897,920.8,888.45,905.2,5214357
2015-09-21,908.3,912.95,895.1,899.95,3137037
2015-09-22,909,909,891.55,900.6,3447182
2015-09-23,895,905.2,888.3,896.75,1895163
2015-09-24,900.9,900.9,888.25,891.9,4615659
2015-09-28,895,895,857.2,861,3862676
2015-09-29,861,861,840.25,848.25,2137288
2015-09-30,860,872,858.2,868.4,2861245
2015-10-01,875,895,873.25,891,2278061
2015-10-05,899,902.2,880.2,897.95,3142118
2015-10-06,905.95,915.9,902.25,909.95,2368600
2015-10-07,915,928.7,903,926.2,2899026
2015-10-08,930,933.95,910.6,915.65,2018360
2015-10-09,922.5,922.8,901.2,906.2,1963120
2015-10-12,910,914.95,883.2,892,2057784
2015-10-13,894,896.75,874,881.6,1526300
2015-10-14,884.1,894,881.6,883.7,1468468
2015-10-15,889.95,892.5,880.05,888,2180779
2015-10-16,888,892,881,889.45,1209569
2015-10-19,895,911,886.55,905.95,2000070
2015-10-20,911,913.1,899.7,902.55,1880891
2015-10-21,901.9,902.25,886.5,889,1272841
2015-10-23,901.95,903.85,883.05,884.6,1916780
2015-10-26,890,894.1,886.1,888.8,1770689
2015-10-27,888,912.45,885,908.65,2896574
2015-10-28,903,907.5,895.05,901.55,1939812
2015-10-29,902,902,875.55,878.9,3272915
2015-10-30,880.2,893,876.7,889.55,2387217
2015-11-02,875.05,878.15,857.55,865.35,1982404
2015-11-03,870,877.8,862.8,868.55,1547053
2015-11-04,867,874.5,850,852.5,2275409
2015-11-05,848,849.9,809,815.95,4038115
2015-11-06,816.05,822.35,800.55,803.4,3763950
2015-11-09,761,771.85,744.95,756.95,7903526
2015-11-10,753.1,764.2,724.05,731.95,7024856
2015-11-11,738.6,748.1,737,746.6,838885
2015-11-13,745.1,752.4,736,740.6,4665553
2015-11-16,743,747.5,732.55,738.65,3357919
2015-11-17,746,755.55,743.95,753.35,3853257
2015-11-18,755,761.3,748.5,753.75,2521801
2015-11-19,758,761,738.4,742.5,4059404
2015-11-20,739.8,741,723.9,725.85,5345428
2015-11-23,726,728.9,713.5,717.1,5781403
2015-11-24,717,719.55,704,706.2,9846509
2015-11-26,716.85,740,716.5,735.9,8438968
2015-11-27,742,742.35,731,739.85,4475863
2015-11-30,732.5,737.5,727.35,729.65,8738130
2015-12-01,732,733.8,727,729.25,3183165
2015-12-02,739,739,725,731.8,5136352
2015-12-03,729.85,732.4,724,726.9,3079014
2015-12-04,722.5,773.9,721.5,755.4,24605807
2015-12-07,765.3,781.5,762.05,777.35,7139702
2015-12-08,776,779.85,767.5,770.9,3655120
2015-12-09,772.5,775.4,750.15,759.15,4935349
2015-12-10,769.85,769.85,733.3,756.8,4496091
2015-12-11,759.65,766,748.5,757.8,2852880
2015-12-16,780,785.5,775.8,784.1,2864795
2015-12-17,791.05,805,788,802.25,3491346
2015-12-18,799.6,809,787.2,790.15,4125199
2015-12-21,738,756.8,731,754.2,12310649
2015-12-22,756.2,768.9,756.2,763.7,3734881
2015-12-23,771,793.5,770,790.4,6651886
2015-12-24,797,798.4,786.4,790.85,2053955
2015-12-28,791.65,815,791.65,811.6,4287383
2015-12-29,815,819.9,805.5,811.35,2702847
2015-12-30,814,826,806.45,810.15,1919186
2015-12-31,812,825,804.1,820.15,2590518
2016-01-01,810.05,817.9,806.2,815.55,986728
2016-01-04,813.9,821.3,795.1,799.1,2388588
2016-01-05,807,807,792.05,800.5,1632394
2016-01-06,805,805.8,790.75,791.95,2168214
2016-01-07,788,799,778.65,783.8,2082334
2016-01-08,795,805.8,786,794.15,2315237
2016-01-11,789.5,804.5,779.1,782.25,3424538
2016-01-12,784,794,784,788.15,1787888
2016-01-13,795,804.65,781.5,796.6,3447651
2016-01-14,789.8,796.4,785.7,791.85,3233849
2016-01-15,797.75,799,780.2,787.1,2370237
2016-01-18,787,797.5,775,784.95,4202772
2016-01-19,786,796.8,781.25,793.9,2169752
2016-01-20,785.5,805,775.6,792.6,4222563
2016-01-21,800,803.4,764,773.15,3264178
2016-01-22,779,794,773.3,789.2,1970106
2016-01-25,795,814.9,794.45,807.25,2905098
2016-01-27,817,823.25,809.3,821.15,3609838
2016-01-28,817,836.8,817,834.15,4368190
2016-01-29,843,878,839.1,872.95,4709689
2016-02-01,880.8,888.3,861.9,872.3,3252050
2016-02-02,879.85,883.35,831.1,835.15,2676955
2016-02-03,836.8,855,829.3,834.9,2630864
2016-02-04,840,847.8,818.15,835.6,2287218
2016-02-05,839,860,836.55,857.55,2250196
2016-02-08,855,864.8,830,835.65,1198192
2016-02-09,830,860.9,828.1,854.05,2340243
2016-02-10,851.05,865.75,838.2,855.75,3530848
2016-02-11,851,858.9,827,830.4,2067334
2016-02-12,845,884.7,802.45,847.35,5260215
2016-02-15,855,867,845.1,850.2,3592947
2016-02-16,850.6,857.15,820.2,827.8,1957372
2016-02-17,831.95,859.35,828,855.8,1975343
2016-02-18,869.7,876.5,858.1,870.45,2342525
2016-02-19,870.4,870.4,857,864.2,1561649
2016-02-22,871.95,885.8,868,882.45,2302969
2016-02-23,884.7,898.45,866.25,871.1,2470030
2016-02-24,866.35,870,849.6,854.55,1716644
2016-02-25,857.45,880,855.55,875.35,3898475
2016-02-26,885,890,869.1,871.9,2409042
2016-02-29,880.8,880.8,833.7,853.9,3546392
2016-03-01,861.7,873,851.3,868.4,2354037
2016-03-02,876,877.1,850,851.85,3184958
