Date,Open,High,Low,Close,Volume
2015-09-07,3.8,3.8,3.35,3.65,23870
2015-09-08,3.8,3.8,3.3,3.4,286960
2015-09-09,3.5,3.7,3.5,3.7,37216
2015-09-10,3.65,3.85,3.35,3.4,621514
2015-09-11,3.45,3.55,3.1,3.2,376593
2015-09-14,3.2,3.5,3.1,3.45,34794
2015-09-15,3.55,3.55,3.3,3.5,10994
2015-09-16,3.55,3.6,3.35,3.5,34305
2015-09-18,3.75,3.75,3.45,3.65,22916
2015-09-21,3.75,3.75,3.55,3.7,4190
2015-09-22,3.8,3.8,3.6,3.65,27283
2015-09-23,3.8,3.8,3.3,3.5,27833
2015-09-24,3.75,3.75,3.45,3.7,21290
2015-09-28,3.85,4.05,3.65,4.05,36273
2015-09-29,4.1,4.45,4.1,4.45,62981
2015-09-30,4.6,4.65,4.6,4.65,87857
2015-10-01,4.85,4.85,4.45,4.45,60366
2015-10-05,4.5,4.65,4.25,4.65,39073
2015-10-06,4.85,4.85,4.85,4.85,13915
2015-10-07,5.05,5.05,5,5,18921
2015-10-08,5,5.25,5,5.2,34609
2015-10-09,5.25,5.35,4.95,5.25,54712
2015-10-12,5.3,5.5,5,5.5,56952
2015-10-13,5.7,5.7,5.25,5.25,30966
2015-10-14,5.2,5.25,5,5,50730
2015-10-15,5,5.15,4.8,5,27086
2015-10-16,5,5.15,4.8,4.95,8156
2015-10-19,4.8,5.1,4.75,5,9016
2015-10-20,5.15,5.15,5,5.05,4480
2015-10-21,4.8,5.05,4.8,4.9,860
2015-10-23,5,5.1,4.85,5.1,6625
2015-10-26,4.85,5,4.85,5,16840
2015-10-27,4.95,4.95,4.75,4.75,10202
2015-10-28,4.75,4.9,4.55,4.9,5691
2015-10-29,4.75,5,4.7,4.85,3268
2015-10-30,5,5,4.7,4.7,10980
2015-11-02,4.6,4.9,4.6,4.85,12253
2015-11-03,5,5,4.65,4.7,17301
2015-11-04,4.9,4.9,4.55,4.9,9586
2015-11-05,5,5,4.8,4.8,3095
2015-11-06,4.35,5,4.35,4.6,48307
2015-11-09,4.4,4.7,4.4,4.65,7486
2015-11-10,4.7,5.05,4.65,4.7,10156
2015-11-11,4.55,4.55,4.55,4.55,40
2015-11-13,4.9,4.9,4.5,4.5,14389
2015-11-16,4.95,4.95,4.65,4.75,10280
2015-11-17,5.2,5.2,4.5,4.85,1849
