Date,Open,High,Low,Close,Volume
2022-05-30,41.5,41.5,41.5,41.5,2000
2022-05-31,43.5,43.5,39.45,39.45,24000
2022-06-02,41,41,37.5,37.5,8000
2022-06-03,38.5,39.35,37.5,37.5,6000
2022-06-08,38.75,39.35,36,37.3,16000
2022-06-09,38.75,38.8,36.15,38.8,12000
2022-06-10,39.2,40.65,39.1,40.25,10000
2022-06-13,40.4,40.4,38.25,38.25,4000
2022-06-14,39.4,39.45,38,38.1,32000
2022-06-15,39.75,39.75,36.2,36.2,24000
2022-06-16,35.1,35.1,35.1,35.1,2000
2022-06-20,36.45,36.45,36.45,36.45,2000
2022-06-27,35.85,36.8,35.85,36.75,38000
2022-06-28,36.4,36.4,36.4,36.4,2000
2022-06-29,38,38,38,38,2000
2022-06-30,39.4,39.4,39,39,4000
2022-07-04,38.85,38.85,38.85,38.85,14000
2022-07-05,37.95,38.2,37.9,38.2,14000
2022-07-06,38,39.3,38,38.45,6000
2022-07-08,37.95,37.95,37.95,37.95,6000
2022-07-12,37.75,37.75,37.75,37.75,2000
2022-07-13,37.4,37.4,37.4,37.4,2000
2022-07-18,36,36,36,36,2000
2022-07-21,35,37.8,35,37.25,24000
2022-07-22,37,37.2,37,37.2,4000
2022-07-29,37.2,38,37.2,38,4000
2022-08-01,38,38,38,38,2000
2022-08-02,36.1,37.8,36.1,37.8,8000
2022-08-03,37.95,37.95,37.95,37.95,4000
2022-08-11,39,39,36.1,36.1,4000
2022-08-18,37.7,37.7,37.7,37.7,2000
2022-08-19,37.9,37.9,35.85,35.85,4000
2022-08-30,35,35,35,35,2000
2022-09-01,36.75,36.75,34,34,4000
2022-09-02,34,34,32.3,32.3,4000
2022-09-07,32.3,32.3,32.3,32.3,6000
2022-09-08,32.3,33,32.3,33,4000
2022-09-09,34,34,32,32,14000
2022-09-12,32,32,32,32,2000
2022-09-13,30.4,30.4,30.4,30.4,2000
2022-09-14,30.4,30.4,30.4,30.4,2000
2022-09-19,30.4,30.4,30.4,30.4,2000
2022-09-20,30.4,30.4,30.4,30.4,2000
2022-09-28,29,29,29,29,8000
2022-09-29,27.55,27.55,27.55,27.55,2000
2022-09-30,27,27,27,27,8000
2022-10-03,26.95,26.95,26.95,26.95,12000
2022-10-04,26,26,26,26,4000
2022-10-06,24.7,27.3,24.7,27.3,6000
2022-10-10,27.3,27.3,27.3,27.3,2000
2022-10-13,25.95,25.95,25.95,25.95,4000
2022-11-17,24.7,24.7,24.7,24.7,4000
2022-11-23,23.5,24,23.5,23.65,10000
2022-11-24,23.5,23.5,22.5,22.5,6000
2022-11-25,22,22,22,22,2000
2022-12-01,22,22,22,22,4000
2022-12-02,22,22,22,22,4000
2022-12-09,21,21,21,21,4000
2022-12-13,19.95,20,19.95,20,4000
2022-12-14,20,20,20,20,2000
2022-12-15,20,20,19,19.2,10000
2022-12-16,19.2,19.2,19.2,19.2,2000
2022-12-19,20.15,20.15,20.15,20.15,2000
2022-12-20,20.15,20.15,19.15,19.15,6000
2022-12-21,20.1,20.1,20.1,20.1,6000
2022-12-22,20.1,21,20.1,21,4000
2022-12-23,21,21,21,21,2000
2022-12-27,19.95,20.5,19.95,20.5,4000
2023-01-02,20,20,20,20,4000
2023-01-03,19,21,19,21,14000
2023-01-04,21,22.05,21,22.05,8000
2023-01-05,23.15,23.15,23.15,23.15,2000
2023-01-06,24.3,24.3,24.3,24.3,6000
2023-01-09,25.5,25.5,25.5,25.5,4000
2023-01-12,26.75,26.75,26.75,26.75,2000
2023-01-13,28.05,28.05,28.05,28.05,2000
2023-01-16,29.45,29.45,29.45,29.45,2000
2023-01-17,30.9,30.9,30.9,30.9,2000
2023-01-18,32.4,32.4,32.4,32.4,14000
2023-01-19,34,34,34,34,10000
2023-01-20,35.7,35.7,35.7,35.7,30000
2023-01-23,37.45,37.45,37.45,37.45,8000
2023-01-24,39.3,39.3,39.3,39.3,4000
2023-01-25,41.25,41.25,41.25,41.25,10000
2023-01-27,43.3,43.3,41.25,43.3,136000
2023-01-30,45.45,45.45,45.45,45.45,118000
2023-01-31,47.7,47.7,43.2,43.2,46000
2023-02-01,41.05,41.1,41.05,41.05,14000
2023-02-02,39,39,39,39,14000
2023-02-03,37.5,37.5,37.5,37.5,8000
2023-02-06,37.45,37.45,37,37,6000
2023-02-08,36.95,36.95,36.95,36.95,2000
2023-02-09,35.1,35.1,35.1,35.1,2000
2023-02-10,33.35,34.9,33.35,34,6000
2023-02-14,32.3,32.3,32.3,32.3,2000
2023-02-16,32.3,32.3,30.7,30.7,4000
2023-02-17,29.2,29.2,29.2,29.2,4000
