Date,Open,High,Low,Close,Volume
2015-09-07,213.5,215,201.5,203.35,357666
2015-09-08,203.5,205.9,192.5,202.05,588115
2015-09-09,206,210.8,205.15,207.05,298175
2015-09-10,203.3,234.4,197.65,230.8,3789463
2015-09-11,236.9,241.9,230.05,232.1,1677181
2015-09-14,232,234,226,229.2,429209
2015-09-15,229.45,239.7,228,232.8,1086445
2015-09-16,235,245,235,242.35,2044750
2015-09-18,245,250,244.4,248.35,795146
2015-09-21,246.6,264.4,244.6,261.65,997827
2015-09-22,264,267.9,254,257.15,834148
2015-09-23,253,265,252.05,260.75,787487
2015-09-24,260,263.7,256.5,257.6,492696
2015-09-28,259,262.8,251.25,254.2,448436
2015-09-29,252,259,251.7,254.65,468967
2015-09-30,258,269.2,256.1,266.7,1088724
2015-10-01,270.75,292.9,268.1,286.1,4765867
2015-10-05,290.3,308.7,290,294.75,2795155
2015-10-06,296.6,303.3,292.6,294.9,1220321
2015-10-07,295.15,298.8,287,292.5,751755
2015-10-08,293,294.2,280.25,281.85,586052
2015-10-09,283.9,292,279.55,281.45,985198
2015-10-12,283.6,283.75,275.95,279.25,557286
2015-10-13,279,295.9,278.4,289.35,1677326
2015-10-14,292,295,286.5,288,704866
2015-10-15,290,290.8,280.1,282.05,620561
2015-10-16,282.9,289.15,279.95,284.15,654890
2015-10-19,285.5,288.6,282.05,285,518619
2015-10-20,286.3,286.75,280,282.35,384064
2015-10-21,282.9,285.5,278.45,281.95,391692
2015-10-23,284.9,293.75,280.75,287.4,1194719
2015-10-26,288.95,291.5,285.05,286.4,516478
2015-10-27,287.6,290,283.4,285.2,449051
2015-10-28,285.5,287.2,277,280.85,393505
2015-10-29,281.5,284.6,276.2,278.05,309381
2015-10-30,279.25,282.75,267.25,271.05,413188
2015-11-02,272,272.9,261.5,270.2,368060
2015-11-03,272,279,271.25,274.55,380753
2015-11-04,275.8,282,274,274.95,499148
2015-11-05,274.8,275,264,265.8,287006
2015-11-06,265.9,271.55,260.1,262,382266
2015-11-09,250,266.9,249.3,264.75,469692
2015-11-10,265,276.8,255,269,1362215
2015-11-11,272,277.8,270,274.9,355260
2015-11-13,274,274.9,265.2,267.2,289190
2015-11-16,266.1,270.9,265,267.5,378741
2015-11-17,270.8,270.8,260.2,265.4,372227
2015-11-18,266,266.4,258,260.4,360515
2015-11-19,262.5,263.65,257,259.25,211640
2015-11-20,259.25,267.65,255,261.65,448045
2015-11-23,261.65,267,261.65,262.6,332538
2015-11-24,263.6,265.4,259,261.3,253519
2015-11-26,262,274.4,260.1,269.65,960773
2015-11-27,270.8,272.65,265,266.85,391022
2015-11-30,268.95,268.95,263.4,264.45,212263
2015-12-01,264.35,267.7,261,263.4,297850
2015-12-02,263.6,273,262.05,265.75,549060
2015-12-03,265.75,266.95,262,262.55,239571
2015-12-04,262,266.8,260,261.15,301979
2015-12-07,263.35,272,262.5,264.4,755552
2015-12-08,264,264.9,257.7,259,284340
2015-12-09,259.2,261.75,247.6,248.8,367021
2015-12-10,250.1,252.8,245,250.45,280335
2015-12-11,251.9,263.5,250.05,255.05,1012688
2015-12-16,254.3,258,250.7,251.8,267221
2015-12-17,255,255.95,251.55,253.7,254758
2015-12-18,254.5,258.9,253.2,255.75,376184
2015-12-21,256.8,260.5,256.05,257.9,300352
2015-12-22,256,259.9,255,255.75,182613
2015-12-23,256.2,272.6,256.2,265.2,1506835
2015-12-24,267.95,273.3,266.2,267.5,689365
2015-12-28,268,268.95,261.1,262,258319
2015-12-29,263.8,274.9,228.7,268.8,1175624
2015-12-30,270.4,272.8,265.15,267.25,433331
2015-12-31,268.45,268.8,265,265.75,189211
2016-01-01,266,268.4,263.5,264.4,207040
2016-01-04,264.4,268.5,259.2,260.45,266361
2016-01-05,262.4,269,257.1,263.2,513991
2016-01-06,264.75,268,260,261.35,283893
2016-01-07,253.1,259.1,252,253.2,271414
2016-01-08,251.6,258,251.6,254.8,152472
2016-01-11,253,254.4,250,251.4,210587
2016-01-12,254,255,248,249.7,171909
