Date,Open,High,Low,Close,Volume
2020-10-01,54.3333,54.3333,54.3333,54.3333,1500
2020-10-05,54.4667,54.4667,54.4667,54.4667,1500
2020-10-06,54.1,54.1,54.1,54.1,1500
2020-10-07,54.3667,54.3667,54.3667,54.3667,1500
2020-10-12,54.4667,54.4667,54.4667,54.4667,1500
2020-10-13,54.5333,54.5333,54.5333,54.5333,1500
2020-10-16,54.5667,54.5667,54.5667,54.5667,1500
2020-10-19,53.3333,53.3333,53.1667,53.1667,3000
2020-10-20,54.0333,54.0333,54.0333,54.0333,1500
2020-10-21,54.5333,54.5333,54.5333,54.5333,1500
2020-10-22,53.4333,54.8667,53.4333,54.8667,3000
2020-10-23,55.1333,55.1333,55.1333,55.1333,1500
2020-10-26,55.3,55.3,55.3,55.3,1500
2020-10-27,55.5,55.5,55.5,55.5,1500
2020-10-29,55.8,55.8,55.8,55.8,1500
2020-10-30,56.1667,56.1667,56.1667,56.1667,1500
2020-11-04,56.4667,56.4667,56.4667,56.4667,1500
2020-11-06,56.6333,56.6333,56.6333,56.6333,1500
2020-11-09,54.6667,55.9333,54.3333,54.8667,10500
2020-11-11,55.2,55.2,55.2,55.2,1500
2020-11-13,55.4333,55.4333,55.4333,55.4333,1500
2020-11-14,55.5667,55.5667,55.5667,55.5667,1500
2020-11-17,54.5333,54.5333,54.5333,54.5333,1500
2020-11-19,54.5,54.5,54.5,54.5,1500
2020-11-23,54.3333,54.3333,54.3333,54.3333,1500
2020-11-24,54.4333,54.4333,54.4333,54.4333,1500
2020-11-26,55.6,55.6,55.6,55.6,1500
2020-11-27,55.9667,55.9667,55.9667,55.9667,1500
2020-12-01,56.6333,56.6333,56.6333,56.6333,1500
2020-12-02,56.9333,56.9333,56.9333,56.9333,1500
2020-12-03,57,57,57,57,1500
2020-12-04,56.9333,56.9333,56.9333,56.9333,1500
2020-12-07,56.3333,56.8333,56.2667,56.8333,6000
2020-12-08,57.3,57.3,57.3,57.3,1500
2020-12-09,56.6667,57.2667,56.6667,57.2667,4500
2020-12-10,57.3333,58.8,57.3333,58.7333,7500
2020-12-11,59.6667,60,59.6667,59.9,6000
2020-12-14,60.1333,60.1333,60.1333,60.1333,1500
2020-12-16,60.0333,60.0333,60.0333,60.0333,1500
2020-12-17,60.2667,60.2667,60.2667,60.2667,1500
2020-12-18,60.3,60.3,60.3,60.3,1500
2020-12-22,59.9333,59.9333,59.9333,59.9333,1500
2020-12-23,60.1333,60.1333,60.1333,60.1333,1500
2020-12-29,59.9667,59.9667,59.9667,59.9667,1500
2020-12-30,58.6667,58.6667,58.6667,58.6667,1500
2020-12-31,58.9667,58.9667,58.9667,58.9667,1500
2021-01-01,59.1667,59.1667,59.1667,59.1667,1500
2021-01-04,58.7,58.7,58.7,58.7,1500
2021-01-05,58.7333,58.7333,58.7333,58.7333,1500
2021-01-07,58.9,58.9,58.9,58.9,1500
2021-01-11,59.1,59.1,59.1,59.1,1500
2021-01-22,59.3333,59.4667,59.3333,59.4667,3000
2021-01-29,58,60.1333,58,59.7667,13500
2021-02-01,60.1333,61.6667,58.3333,58.3667,12000
2021-02-02,60,62.6667,60,62.6667,19500
