Date,Open,High,Low,Close,Volume
2022-08-26,260,312,256.4,310.5,59961608
2022-08-29,309,342.8,302.1,326.25,26916230
2022-08-30,328.75,334.9,297.45,309.75,14738635
2022-09-01,307,322.75,302.55,310.55,6675246
2022-09-02,314.85,317.75,307.15,308.6,3200134
2022-09-05,309.7,311.15,296.2,297.95,2385633
2022-09-06,297.95,301.7,285.65,292.45,3059543
2022-09-07,290.05,304,290.05,298.6,2129454
2022-09-08,304,317.6,301,305.25,3704362
2022-09-09,308,312,302.75,303.7,1348278
2022-09-12,304.5,307.95,300,300.75,1008692
2022-09-13,302.6,309,300.5,302.8,1412597
2022-09-14,297,304,295,296.65,828216
2022-09-15,299.75,302,295,295.65,696342
2022-09-16,296,299.7,285,287.25,895009
2022-09-19,289,295.5,288.1,291.45,503976
2022-09-20,291.45,306.8,291,304.25,1551226
2022-09-21,306,311.9,300,301,1467410
2022-09-22,300,304.7,293.35,297,589415
2022-09-23,298,299.9,286.5,288.7,527352
2022-09-26,287.5,287.5,270.9,272.7,778954
2022-09-27,279,282,272.2,274.25,876305
2022-09-28,270,276,269.7,274.8,330342
2022-09-29,278,286,275.85,278.55,628845
2022-09-30,280,285.95,276.05,282.2,377671
2022-10-03,282,300.9,280.2,289.6,1094337
2022-10-04,295.8,299.3,290.55,294.2,472956
2022-10-06,295.5,305.85,295.15,303.2,1724316
2022-10-07,304.65,310.25,300.35,301.5,703871
2022-10-10,297,302.6,295.5,297.3,292804
2022-10-11,300,302,290.1,291.55,471211
2022-10-12,293,295.55,288.05,293,224818
2022-10-13,292.55,292.55,283.05,285.15,215455
2022-10-14,291.15,296.95,285.5,287.6,293417
2022-10-17,289.9,289.9,281.8,283,317836
2022-10-18,285.1,291.85,279,279.85,557666
2022-10-19,282,284.4,279.9,281.45,262682
2022-10-20,280,281,276.8,278.2,191623
2022-10-21,280.9,281.65,268.5,273.25,359130
2022-10-24,275,275.9,272.5,273.25,117471
2022-10-25,274.1,280,271.4,278.85,279243
2022-10-27,280,280.7,274.25,275.75,167308
2022-10-28,277.45,280,272.9,277.75,281734
2022-10-31,276.55,279.35,271.1,274.75,304743
2022-11-01,278.45,295,278.45,285.2,903885
2022-11-02,282.35,289.6,282.2,285.4,266298
2022-11-03,284.5,288.7,282.5,284.2,217089
2022-11-04,285.7,289.6,283.05,285.4,264036
2022-11-07,289,296.5,286.4,288.35,507607
2022-11-09,289.95,294,284.45,288.85,273028
2022-11-10,289.65,289.65,283.65,285.85,194794
2022-11-11,289.95,298.15,285.75,286.55,756714
2022-11-14,289.8,289.8,277,278.2,400970
2022-11-15,300,309,288.6,305.8,3613436
2022-11-16,309,317.55,302.15,310.35,2452899
2022-11-17,310,310,297.4,300.15,771828
2022-11-18,302.4,306,282.1,292.7,724776
2022-11-21,292.85,302.5,291.15,301.25,555283
2022-11-22,307.8,307.8,285.15,287.5,1724629
2022-11-23,288.45,289.85,282.5,284.7,369393
2022-11-24,285,286.3,282.1,282.7,369729
2022-11-25,284.15,285.4,278,282.55,562366
2022-11-28,284,289.4,281.55,284.75,488700
2022-11-29,284,289,282.3,286.25,289105
2022-11-30,285.1,286.1,280.5,281.4,385831
2022-12-01,282.9,287.6,282.3,284.7,390147
2022-12-02,284.7,285,279.5,282.4,342158
2022-12-05,282.7,284.55,278.8,279.25,291609
2022-12-06,279.5,280.4,276.25,279.3,271878
2022-12-07,279.75,283.95,275,278.5,292919
2022-12-08,279.9,286,277.55,283.35,353518
2022-12-09,281.25,285.2,277.7,280.25,304037
2022-12-12,279.9,285,276.3,283.45,349818
2022-12-13,284,293.75,281.8,285.8,513303
2022-12-14,286.1,308,286.1,297,2012107
2022-12-15,298.35,301,290.9,292.8,593139
2022-12-16,291.9,293.6,283.5,284.4,402334
2022-12-19,285.8,285.95,280.55,281.6,251717
2022-12-20,283,284.2,278.45,283.1,255727
2022-12-21,283.65,288.2,275.05,276.95,547863
2022-12-22,277.9,280,263.5,268,594673
2022-12-23,264.5,268.4,249.15,254.15,940384
2022-12-26,255.25,271.15,255,267.75,395719
2022-12-27,269.35,278,269.35,273.3,289935
2022-12-28,273.2,276,268,273.5,192557
2022-12-29,272,272.7,268.45,269.2,143032
2022-12-30,273.05,285,273.05,280.85,321265
2023-01-02,280.85,281,275.8,276.5,154868
2023-01-03,277,279.9,275.75,277.9,166635
2023-01-04,277,278.75,271.35,275.7,204555
2023-01-05,275,276.9,269.5,271.6,160103
2023-01-06,272,274.7,268.95,270.15,220496
2023-01-09,272,275.5,270.3,274.05,141630
2023-01-10,272.05,273.4,270,270.8,131269
2023-01-11,271,273.15,269.4,272.5,105729
2023-01-12,273,275.8,270.25,274.4,100915
2023-01-13,274,274.05,272,272.95,54049
2023-01-16,273.8,274,270,270.6,66265
2023-01-17,271.45,272.3,265.5,266.45,111377
2023-01-18,266.45,269.9,265.05,266,68689
2023-01-19,266.5,269.9,264.35,268.9,179445
2023-01-20,270,272,266.6,271.3,129117
2023-01-23,275,276.95,266.3,268,194585
2023-01-24,266.1,270.3,264.05,265.3,145200
2023-01-25,265,265.9,259.7,261.6,125206
2023-01-27,261.6,263.45,251,259.55,464459
2023-01-30,259.7,261.1,248.1,252.15,312901
2023-01-31,254.45,257.25,251.5,255.55,233618
2023-02-01,256.05,271.7,253.65,258,630417
2023-02-02,258.05,260.8,253.7,254.45,175442
2023-02-03,254.95,258.5,249.05,253.2,209805
2023-02-06,254.5,260.9,250.35,258.45,240722
2023-02-07,260.5,270.55,260.5,267.7,374176
2023-02-08,267.95,269,259.65,263.05,323026
2023-02-09,268.15,274.95,262.2,265.4,914899
2023-02-10,265.4,281,262.35,276.8,786270
2023-02-13,278,280.95,262.65,267.9,565375
2023-02-14,269.25,271.7,265,266.95,196260
2023-02-15,266.95,269.55,262.7,263.85,197852
2023-02-16,262.55,268.25,262.55,263.8,197890
2023-02-17,263.8,266.8,260.1,260.95,304498
2023-02-20,261.95,263.55,257,258.25,167898
2023-02-21,258.3,266.9,256.8,265.4,313877
2023-02-22,264.75,267,261.45,264.9,186439
2023-02-23,263.75,283.95,261.85,278.75,771556
2023-02-24,280,287.3,274,277.05,1020161
2023-02-27,277.1,282.8,265.25,267.4,422566
2023-02-28,267.4,269,263.05,265.4,170172
2023-03-01,266.85,278.95,263.8,275.4,508172
2023-03-02,272.6,277.85,265.5,266.45,151215
2023-03-03,270.45,272.45,267.2,269.6,141522
2023-03-06,271,282.5,271,279.45,658753
2023-03-08,276.1,287.4,274.4,283.65,661387
2023-03-09,284,288,281,282.9,318220
2023-03-10,276.35,280.6,274.5,277.9,183178
2023-03-13,271.1,280.45,263.05,264.6,760003
2023-03-14,265.9,267.8,258.7,259.85,326325
2023-03-15,266,266,257.6,260.65,279287
2023-03-16,261.8,261.8,257.05,258.25,167630
2023-03-17,260.1,262.85,257,258.6,168579
2023-03-20,258.9,262.75,250.6,260.75,396123
2023-03-21,262.1,267.1,258.05,264.9,300321
2023-03-22,266.25,266.5,263.25,265,276961
2023-03-23,265.35,268.7,262.75,267.1,449196
2023-03-24,267.1,267.1,259,260.3,373447
2023-03-27,261,261.3,252.3,256.15,396876
