Date,Open,High,Low,Close,Volume
2015-09-07,890,905,856.5,861.95,1414520
2015-09-08,875.375,957.4,862,940.375,3703738
2015-09-09,964.85,1005.45,964.85,974.05,3389974
2015-09-10,949,972.5,931,963.9,2289844
2015-09-11,977.5,1005,976.5,986.175,2284048
2015-09-14,999.975,1012,991.825,999.6,1656808
2015-09-15,1000.85,1008.45,950.75,956.55,1637646
2015-09-16,971.9,978.425,918.35,930.8,1907526
2015-09-18,945.725,965.5,928.25,938.5,1405410
2015-09-21,930,963.9,914,958.725,1509806
2015-09-22,963.45,977.5,933.675,939.8,1714696
2015-09-23,925,959.4,915.875,947.1,1524940
2015-09-24,942.5,956.5,937.025,943.275,947466
2015-09-28,947.5,964.25,937.125,940.925,1162708
2015-09-29,922.5,953.5,917.8,935.15,1107712
2015-09-30,944,953.85,936,939.975,760160
2015-10-01,947.5,959,937.55,940.3,1090788
2015-10-05,949.7,985.5,946,971.525,2118436
2015-10-06,977.5,994.425,971.25,976.25,1472150
2015-10-07,980.65,982.975,955.25,958.325,900626
2015-10-08,961.15,962.875,923.775,926.825,1196784
2015-10-09,932.45,942,906.1,912.55,1076924
2015-10-12,918.4,919.625,885.925,891.675,876408
2015-10-13,894.5,928,876,921.225,2050200
2015-10-14,925,942.275,920.05,923.95,1431916
2015-10-15,929.3,933,905.325,911,741750
2015-10-16,914.95,934,909.025,923.15,1072250
2015-10-19,927,930.6,911,921.05,640464
2015-10-20,925,953.9,922.5,933.5,1711848
2015-10-21,935.65,947.25,927.825,930.975,830382
2015-10-23,940,944.15,917.875,924.65,721672
2015-10-26,931.975,931.975,914,919.025,581020
2015-10-27,919.9,933.5,915.05,925.525,623922
2015-10-28,928.45,971.35,907.55,929.775,4343824
2015-10-29,929,944,922.5,927.275,942974
2015-10-30,930,934.4,905.775,913.25,611174
2015-11-02,915,916.9,896,909.6,575024
2015-11-03,915.025,924.75,904.4,907.6,719790
2015-11-04,912.15,920.5,905.325,908.6,611098
2015-11-05,910,911.475,875.625,880.5,757262
2015-11-06,884.95,893.5,872.9,877.775,675694
2015-11-09,854.5,921.05,839.4,916.75,1381564
2015-11-10,912.5,922.4,881.05,886.075,686798
2015-11-11,891.5,898.05,889.5,894.875,143626
2015-11-13,889.85,889.85,874.5,882.75,312168
2015-11-16,879.975,909,869,900.025,684484
2015-11-17,905,907.4,886.05,892.05,441804
2015-11-18,891.1,894.65,865,869.375,539762
2015-11-19,876,892.5,871.275,886.35,579984
2015-11-20,887.5,892,875.9,881.025,520928
2015-11-23,886,938.5,882.5,923.75,2706836
2015-11-24,921.25,942.45,915.55,933.025,1419936
2015-11-26,934.9,942,924.05,938.8,662026
2015-11-27,943,988.35,938.475,980.525,2969090
2015-11-30,979.05,1029.03,979.05,1015.85,2382834
2015-12-01,1018,1029,991.5,1002.47,1265950
2015-12-02,1001,1006,980.65,985.075,587424
2015-12-03,984,1027.5,960.75,998.4,2509424
2015-12-04,988.95,1017.5,980.5,988.075,1220258
2015-12-07,995.5,1011.28,985.55,989.9,841064
2015-12-08,986,1007.5,970.55,978.05,1023202
2015-12-09,975,989.95,911.325,924,1304198
2015-12-10,933.5,977.5,918,969.5,1518616
2015-12-11,975.5,1001.95,970.05,994.75,1758944
2015-12-16,1097.75,1107.43,1073.25,1088.28,2004646
2015-12-17,1097,1136.5,1095.47,1125.7,2804070
2015-12-18,1117.5,1117.5,1088.25,1098.28,1170508
2015-12-21,1099,1111.2,1078.15,1104.82,1264966
2015-12-22,1107.65,1152.45,1095.55,1130.68,2697334
2015-12-23,1135.5,1164.95,1135.03,1141.68,1718676
2015-12-24,1147,1155.9,1125.88,1133.93,890862
2015-12-28,1137,1140.43,1116,1123.28,538516
2015-12-29,1125.5,1149,1113.1,1128.6,1257478
2015-12-30,1132,1146,1117.5,1121.5,784558
2015-12-31,1125,1132.4,1113,1122.03,567932
2016-01-01,1126,1140.6,1111.75,1125.38,841908
2016-01-04,1121.5,1140.5,1092.5,1105.97,909452
2016-01-05,1111.35,1119,1085,1090.03,666638
2016-01-06,1090.35,1121.25,1077.5,1084.12,1070664
2016-01-07,1067.15,1072.5,1037.5,1041.75,716812
2016-01-08,1051.5,1062,1019.5,1026.12,652588
2016-01-11,1010,1024.95,987.85,1012.35,797908
2016-01-12,1020,1031.75,1001.35,1009.15,636544
2016-01-13,1017,1024.5,925.775,966.3,1550238
2016-01-14,947.45,972,920.75,945.175,1086290
2016-01-15,950.85,964,858.5,891.45,989926
2016-01-18,887,894.65,825,832.325,1375840
2016-01-19,844.4,876,818.325,864.25,1424502
2016-01-20,850,880,826,850.55,2271322
2016-01-21,865.5,873.975,847,856.7,1025892
2016-01-22,870.5,889.95,862.5,879.15,926018
2016-01-25,889,929.4,886.5,913.375,1275808
2016-01-27,923.5,988.5,920,977.1,1777120
2016-01-28,980.9,1009.7,980.1,995.2,1346958
2016-01-29,997.025,1048,995.2,1041.3,1834528
2016-02-01,1047.55,1138.5,1042.8,1125.18,3238614
2016-02-02,1122.5,1201.5,1121,1149.3,4966954
2016-02-03,1124,1131,1066,1073.47,2026526
2016-02-04,1087.5,1117.47,1016.05,1037.9,2030150
2016-02-05,1040.07,1082.82,1010,1059.3,2114600
2016-02-08,1079.5,1091,1044.15,1054.3,1355194
2016-02-09,1037,1045,1013.5,1023.65,1064610
2016-02-10,1017.5,1027.5,987.5,998.25,1207930
2016-02-11,995,1001,920.75,930.55,1129262
2016-02-12,937.5,944,877.5,892.325,1500422
2016-02-15,917.5,964.5,917.5,956.25,1391726
2016-02-16,972.5,983.85,929,934.325,1254948
2016-02-17,940,961.5,895.375,953.2,1607404
2016-02-18,977,987,946.5,960.625,1220630
2016-02-19,956.5,962,938,947.575,1079158
2016-02-22,957.85,970,948.05,956.625,764688
2016-02-23,959.5,960.9,934.1,942.025,645086
2016-02-24,930,951.7,886.8,892.375,1461994
2016-02-25,895.75,908.55,876.5,885.225,1125596
2016-02-26,902.5,914.5,828,841.175,3031426
2016-02-29,836,865,797.5,847.125,2689902
2016-03-01,855,906.475,850,896.375,2037486
