Date,Open,High,Low,Close,Volume
2015-09-07,123,126.7,115.1,117.85,122154
2015-09-08,116.1,122.55,116.1,120.65,64300
2015-09-09,122.55,126.6,120.55,124.25,71389
2015-09-10,119.55,122.85,119.4,120.85,27582
2015-09-11,120.2,124.25,118.85,120.75,34442
2015-09-14,118.9,128.25,118.3,118.95,90551
2015-09-15,118.6,127.7,117.5,123.3,119082
2015-09-16,122.15,124.65,119.15,120.6,29333
2015-09-18,119.6,124.9,119.6,123.95,17443
2015-09-21,121.65,127.7,120.55,125,25892
2015-09-22,123.15,126.55,118.85,119.15,84389
2015-09-23,119,121.3,115.4,119.75,14552
2015-09-24,118.45,121.25,115.25,115.7,38947
2015-09-28,115.7,118.2,104.15,105.35,118257
2015-09-29,101.7,107.75,98.4,104.35,230312
2015-09-30,106.4,114.7,106.4,114.25,150304
2015-10-01,117.95,117.95,108.35,110.95,65563
2015-10-05,113.6,113.6,108.5,109.45,112250
2015-10-06,108.9,113.3,107.25,107.75,67213
2015-10-07,107.8,115.8,106.95,109.7,288722
2015-10-08,111.9,112.5,106.95,108.15,63758
2015-10-09,108.5,111.95,107.25,110.65,75318
2015-10-12,109.35,111.1,105.35,106.7,56474
2015-10-13,106.4,125.45,104.45,121.6,1393283
2015-10-14,122.35,122.35,115.5,117.8,157392
2015-10-15,119.2,128.25,116.9,124.75,402149
2015-10-16,126.55,131.25,124.7,126.5,306452
2015-10-19,125.75,133.6,124.85,131.4,144316
2015-10-20,131.55,142.05,130.45,134.4,307736
2015-10-21,134.05,137.35,131.85,133.95,50276
2015-10-23,135.95,136,128.8,130,41664
2015-10-26,129.25,134,128.5,129.1,33353
2015-10-27,130.95,131.5,126.55,127.05,28031
2015-10-28,125.85,130.05,124.95,126.3,29673
2015-10-29,125.2,128.25,123.7,124.7,27249
2015-10-30,126.25,128.5,121.35,123.1,31110
2015-11-02,130.5,130.5,122.3,123.75,49436
2015-11-03,126.85,126.85,122.45,123.6,15641
2015-11-04,123.55,125.45,122.4,123.1,14379
2015-11-05,122.7,123.4,120.2,120.85,22979
2015-11-06,121.2,122.7,117.75,118.65,22871
2015-11-09,117.75,132.2,105.05,110.2,110788
2015-11-10,110.25,112.75,106.4,107.1,90403
2015-11-11,108.9,111.65,108.9,109.55,7341
2015-11-13,110.35,111.95,108.35,108.8,12841
2015-11-16,110.35,110.55,108.05,109.6,7265
2015-11-17,109.15,112.05,109.15,109.85,16470
2015-11-18,109.75,110.15,106.4,107.15,8126
2015-11-19,109.2,111.1,107,110.35,19643
2015-11-20,111.1,113.2,109.5,110.65,13467
2015-11-23,113.05,113.05,107.25,107.95,24463
2015-11-24,107.8,117.15,107.25,116.2,94546
2015-11-26,116.4,121.6,116.2,118.9,62249
2015-11-27,118.7,127.1,118.65,125.4,97701
2015-11-30,125.05,133.2,124.9,131.35,107054
2015-12-01,131,134.85,130.25,133.2,132364
2015-12-02,134.85,145.9,132.65,136.2,190015
2015-12-03,137.55,138.2,130.6,132.1,91014
2015-12-04,130.6,131.55,129.05,131,21822
2015-12-07,135.15,144.55,127.2,129.45,32387
2015-12-08,130.15,132.6,125.2,126.15,12953
2015-12-09,128.5,128.5,114.7,116.1,54307
2015-12-10,117.5,133.75,116.65,131.45,175068
2015-12-11,132.65,132.65,119.65,120.85,62687
2015-12-16,136.75,137.9,130.8,136.8,94922
2015-12-17,135.45,144.25,135.4,141.7,208620
2015-12-18,139.55,148.65,139.55,147.75,326530
2015-12-21,148.1,150.55,141.75,143.35,76147
2015-12-22,141.25,145.65,139.55,140.6,37333
2015-12-23,143.15,144.1,140.95,143.55,37326
2015-12-24,145.05,151.75,143.7,150.1,216656
2015-12-28,150.65,151.65,147.05,147.9,36686
2015-12-29,151.55,152.55,146.75,149.15,90312
2015-12-30,149.15,149.5,143.7,144.4,26446
2015-12-31,143.45,148.4,143.45,144.55,70224
2016-01-01,146.45,146.45,142.35,142.8,26069
2016-01-04,141.8,144.55,132.05,135,85366
2016-01-05,133.75,138.2,133.75,135.8,66772
2016-01-06,133,137.6,132.35,133.25,21105
2016-01-07,132.65,132.65,119.55,121.4,91926
2016-01-08,124.9,128.5,124.35,127.2,44964
2016-01-11,125.75,126.9,122.35,125.05,9689
2016-01-12,125.2,127.55,121.25,121.9,18912
2016-01-13,125.2,125.45,114.7,120.5,41921
2016-01-14,116.1,121.6,113.4,116.75,28197
2016-01-15,118.85,123,111.85,114.1,98262
2016-01-18,113.3,114.95,103.65,105.5,206655
2016-01-19,106.4,108.85,102.15,102.4,93511
2016-01-20,102.25,103.55,99.5,101.85,46603
2016-01-21,105.15,107.75,100.6,101.9,26352
2016-01-22,105,110.85,103.9,109.65,52736
2016-01-25,111.95,115.25,110.55,110.85,53275
2016-01-27,114.05,118.85,111.65,117.3,105339
2016-01-28,115.85,119.9,114.7,118.65,30520
2016-01-29,118.85,121.05,114.95,115.9,51557
2016-02-01,117.45,126.5,116.5,122,127469
2016-02-02,123,124.9,118.85,120.8,193966
2016-02-03,116.1,118.85,110.55,112.05,66540
2016-02-04,114.1,115.5,101.3,103.95,178252
2016-02-05,108,111.95,102.8,111.3,108194
2016-02-08,105.15,119.65,105.15,111,181450
2016-02-09,110.25,111.4,105.3,106.5,151444
2016-02-10,107.8,108.35,103.65,104.6,159086
2016-02-11,101.7,105.3,90.1,94.5,178823
2016-02-12,94.5,99.2,90.1,93.5,64355
2016-02-15,95.35,103.65,95.35,98.65,60042
2016-02-16,99.75,102,92.9,94.7,30292
2016-02-17,92.85,96.7,89.15,95.6,42471
2016-02-18,96.75,100.6,93.75,94.55,27752
2016-02-19,95.35,97.55,91.2,93.85,26384
2016-02-22,93.95,99.2,93.95,97.15,33939
2016-02-23,96.75,98.05,89.8,92.15,36117
2016-02-24,92.85,92.85,88.45,89.55,51293
2016-02-25,90.1,92,81,82.5,106674
2016-02-26,83.45,85.4,80.4,82.1,42677
2016-02-29,82.9,84.3,78.75,82.25,30791
2016-03-01,82.9,88.45,82.9,87.15,79711
2016-03-02,88.45,91.2,86.8,87.95,56315
2016-03-03,88.45,93.95,87.9,93.4,76179
2016-03-04,94.55,95.9,91.5,94.1,81690
2016-03-08,94,96.45,89.8,90.9,47439
2016-03-09,88.45,92.6,85.45,90.8,38462
2016-03-10,95.05,95.05,92.15,92.75,69185
2016-03-11,94.25,94.25,90.95,93.05,17556
2016-03-14,95.6,95.6,91.5,92.35,44516
2016-03-15,93.7,93.7,90.1,90.7,28682
2016-03-16,91.75,91.75,87.2,89.2,32836
2016-03-17,89.95,92.7,89.8,90.35,51593
2016-03-18,91.2,91.6,88.9,89.6,34073
2016-03-21,89.3,93.15,89.05,91.9,61323
2016-03-22,92.3,95.6,91.15,94.1,43835
2016-03-23,95,100.6,94.55,98.35,123362
2016-03-28,98.1,98.95,93.15,95.1,87559
2016-03-29,95.35,97.25,90.85,93.65,120569
2016-03-30,96.45,98.35,93.95,95.4,79041
2016-03-31,96.4,97.5,93.3,94.3,21264
2016-04-01,94.8,98.65,93.7,97,22769
2016-04-04,98.35,102.6,97.4,101.35,45814
2016-04-05,100.6,111.3,100.45,109.75,223325
2016-04-06,109.2,113.9,108.2,113.2,113477
2016-04-07,111.4,112.9,108.6,109.6,58822
2016-04-08,108.4,111.65,107.45,108.4,34609
2016-04-11,109.15,110.85,106.75,107.75,12790
2016-04-12,109.7,115.5,108.1,112.05,168092
2016-04-13,113.25,117.35,108.4,109.6,183867
2016-04-18,111.1,111.65,108.8,109.5,32351
2016-04-20,108.05,112.35,108.05,111.5,54896
2016-04-21,111.95,111.95,95.45,97.2,457191
2016-04-22,87.05,102.8,83.2,100.25,3848770
2016-04-25,99.4,99.4,91.25,92.15,484918
2016-04-26,93.4,95.85,91.55,94.3,241453
2016-04-27,95.35,95.35,87.9,89.65,307396
2016-04-28,87.6,92.6,87.6,89.4,91488
2016-04-29,88.15,91.6,88.15,90.9,70357
2016-05-02,89.55,90.05,87.75,88.9,50276
2016-05-03,88.45,91.15,87.45,88.1,54325
2016-05-04,88.65,88.65,85.1,85.55,52143
2016-05-05,84.05,86.45,84.05,84.35,63197
2016-05-06,84,84.25,80.4,81.2,74696
2016-05-09,81.65,83.45,81.3,81.65,83434
2016-05-10,82.6,82.9,80.75,82.45,38560
2016-05-11,81.55,82.1,79.9,80.45,56655
2016-05-12,81.25,81.55,79.05,79.45,33462
2016-05-13,79.05,81.25,78.75,79.25,47323
2016-05-16,79.45,80.15,78.8,79.4,28063
2016-05-17,80.15,85.4,79.6,83.15,139257
2016-05-18,81.8,84.2,81.25,82.85,32666
2016-05-19,82.2,83.75,80.45,81.15,22346
2016-05-20,81.55,82.1,79.75,80.55,26974
2016-05-23,80.7,81.5,78.8,79.55,14469
2016-05-24,79.2,82.05,79.2,81.15,35093
2016-05-25,81.15,84.55,81.1,82.4,40818
2016-05-26,82.9,83.75,80.85,81.75,56250
2016-05-27,82.3,89.8,81.65,85.1,166749
2016-05-30,82.65,84.2,80.75,81,45999
2016-05-31,82.35,82.35,79.45,80.1,45536
2016-06-01,78.9,81.5,78.9,79.5,23225
2016-06-02,80.7,80.7,78.8,79.35,41650
2016-06-03,78.2,80.1,76,76.4,63591
2016-06-06,77.4,77.4,72.35,73.35,50793
2016-06-07,75.65,75.65,73.45,73.65,65462
2016-06-08,75.9,75.9,72.8,73.3,87074
2016-06-09,73.5,74.35,73,73.75,21181
2016-06-10,74.35,78.6,73.1,75.75,137879
2016-06-13,74.55,76.8,74.35,74.7,32239
2016-06-14,74.85,75.7,73.5,73.75,30925
2016-06-15,74.55,76.05,74.5,75.35,74352
2016-06-16,75.75,75.75,73.35,73.65,29872
2016-06-17,75.75,75.75,72.35,73.1,39993
2016-06-20,72.55,73.25,69.45,70.8,77015
2016-06-21,70.9,71.8,69.5,70.05,49328
2016-06-22,69.95,73.2,68.8,69.5,100125
2016-06-23,69.8,70.4,67.15,67.75,60157
2016-06-24,67.3,67.3,63.85,65.8,135024
2016-06-27,64.25,72.4,64.25,69.75,108455
2016-06-28,69.4,75.7,69.4,73.55,237201
2016-06-29,73.55,76,71.45,72.65,63794
2016-06-30,72,74.15,70.8,71.15,63146
2016-07-01,71.85,73.05,71.45,71.7,42753
2016-07-04,73.5,73.5,69.3,70.05,88359
2016-07-05,69.95,71.3,69.4,70.7,35839
2016-07-07,72.95,72.95,70.5,71.3,49064
2016-07-08,70.75,71.85,69.95,70.3,15052
2016-07-11,71.15,71.15,70.25,70.45,15341
2016-07-12,69.65,74.45,69.65,73.5,81585
2016-07-13,73.5,74.25,71.05,71.6,18536
2016-07-14,71.9,73.9,71.85,72.85,63642
2016-07-15,73.25,74,70.75,71.1,26815
2016-07-18,70.65,73.7,70.55,72.55,31964
2016-07-19,72.5,73.1,69.9,70.3,45058
2016-07-20,70.5,72.7,70.45,71.75,28135
2016-07-21,71.85,76,71.85,74.35,143972
2016-07-22,74.1,87.05,73.85,82.9,4868807
2016-07-25,82.85,84.3,78.9,80.25,495729
2016-07-26,80.65,80.95,77.15,77.8,142897
2016-07-27,77.45,80.15,75.55,76.45,145922
