Date,Open,High,Low,Close,Volume
2024-09-16,228,239.4,227.5,239.4,2169949
2024-09-17,234.8,234.8,227.43,227.43,518853
2024-09-18,216.05,222.54,216.05,216.47,799907
2024-09-19,210.25,214.99,205.64,205.64,257503
2024-09-20,197,206,195.36,200.14,445161
2024-09-23,200.14,209,195.55,206.81,226860
2024-09-24,206.81,207.5,200.75,201.16,140077
2024-09-25,198.4,201,196.2,196.83,137777
2024-09-26,197,201.75,192,193.32,128877
2024-09-27,194.95,199.95,191.1,198.47,94549
2024-09-30,196.01,197.68,188.3,190.44,180397
2024-10-01,191.53,195,186,190,141022
2024-10-03,187.99,191.5,185,186.99,207644
2024-10-04,187,190,181.58,183.18,225633
2024-10-07,194.99,196.59,178.5,186.34,371284
2024-10-08,182.48,188.01,182.48,184.91,202860
2024-10-09,189.99,190.33,186.71,187.37,86001
2024-10-10,189.25,212,188.71,196.14,897725
2024-10-11,196.5,202.14,193.14,194.89,186636
2024-10-14,198.74,198.74,186.41,188.11,162016
2024-10-15,188,189,182.19,183.19,214042
2024-10-16,183.19,189.49,183.19,187.69,91617
2024-10-17,187,191.08,185.07,186.41,96785
2024-10-18,186.41,186.99,183,183.95,55603
2024-10-21,183,186.4,180.1,180.54,62757
2024-10-22,180.5,181.5,168.51,170.52,123286
2024-10-23,171.99,174.48,170.72,173.55,54644
2024-10-24,173.55,174.6,167.11,170.76,110790
2024-10-25,170,172.95,163.9,165.64,85780
2024-10-28,167.49,173.12,159.2,170.86,180996
2024-10-29,171.14,171.14,162.77,166.69,91265
2024-10-30,164,167.67,161.68,164.3,142474
2024-10-31,163.86,168,163.24,167.09,69971
2024-11-01,170.99,173,168.47,172.43,53345
2024-11-04,173.5,173.5,165.52,167.82,69539
2024-11-05,167.94,172,165.25,169.19,97156
2024-11-06,169.29,172.8,166.06,171.09,144713
2024-11-07,172.9,175.97,168.05,170.44,173733
2024-11-08,170.95,172.9,167.34,170.03,59767
2024-11-11,170.92,170.92,167,167.44,43026
2024-11-12,168.01,173.7,166.81,169.16,163589
2024-11-13,167.7,170,156.4,160.24,131567
2024-11-14,165.29,169.01,158.02,166.85,172489
2024-11-18,172.99,186,168.48,183.4,686015
2024-11-19,184.55,193.99,182.3,184.33,407591
2024-11-21,181.96,187,174,180.97,236643
2024-11-22,182.86,182.86,179,180.08,66969
2024-11-25,181.4,185.99,175.5,176.58,80387
2024-11-26,177,211.89,177,211.89,1163040
2024-11-27,220,233,217.11,223.78,2808209
2024-11-28,221,225.34,215.63,218.6,396960
2024-11-29,218,227.99,217.6,222.1,602912
2024-12-02,220,234.15,212.21,229.34,1063831
2024-12-03,233,254.95,224.43,245.74,3455876
2024-12-04,246.85,253.3,235,246.97,859773
2024-12-05,249.5,259.2,242.3,246.84,1279696
2024-12-06,250,254.3,240,246.35,557221
2024-12-09,248.8,257.58,235.35,240.49,750828
2024-12-10,241.8,243.44,220,225,675599
2024-12-11,226,236.6,221.49,234.34,458595
2024-12-12,236,244,227.51,229.36,816852
2024-12-13,227,227,214.56,218.4,793381
2024-12-16,214,221.19,213.71,215.29,280072
2024-12-17,216.01,225.09,212.61,218.63,530154
2024-12-18,217.9,221.6,215,215.69,345399
2024-12-19,214.89,220.9,207.29,212.03,642937
2024-12-20,214.35,217.2,201,203.82,327329
2024-12-23,206.99,212.66,205.05,210.97,313772
2024-12-24,211.05,215.5,208,208.8,145179
2024-12-26,209.65,209.65,202.13,203.1,129309
2024-12-27,204.4,205.99,199.55,200.96,127851
2024-12-30,202.5,202.5,196.06,196.46,166539
2024-12-31,196.46,198.08,194.11,196.48,203996
2025-01-01,196,201.69,196,198.75,164276
2025-01-02,199.9,217,199.4,215.68,658814
2025-01-03,217.42,220.64,214.55,218.25,377676
2025-01-06,222.64,223.5,200.26,203.03,575523
2025-01-07,205,220,204.04,215.21,425724
2025-01-08,215.5,216.89,205,207.43,261011
2025-01-09,207.1,207.86,199.41,201.17,125895
2025-01-10,202,203.39,194.45,196.35,142125
2025-01-13,196.35,196.99,181.24,182.75,244147
2025-01-14,185.03,192.47,184.71,187.33,150119
2025-01-15,190.95,191.14,180.51,181.32,252065
2025-01-16,184.05,190,183,184.9,137940
2025-01-17,185.95,188.75,183.35,185.98,71391
2025-01-20,185.98,188.89,185.11,187.86,66111
2025-01-21,188.5,189.2,181.5,183.31,85821
