Date,Open,High,Low,Close,Volume
2025-07-02,10.96,10.96,10.37,10.41,343101
2025-07-03,10.46,10.46,10.3,10.31,117532
2025-07-04,10.37,10.67,10.36,10.43,86096
2025-07-07,10.5,10.5,10.36,10.43,43099
2025-07-08,10.45,10.47,10.4,10.44,50746
2025-07-09,10.7,10.7,10.35,10.43,146401
2025-07-10,10.7,10.7,10.41,10.41,20842
2025-07-11,10.7,10.7,10.33,10.35,39665
2025-07-14,10.7,10.7,10.3,10.32,53556
2025-07-15,10.7,10.7,10.31,10.35,73164
2025-07-16,10.7,10.7,10.3,10.38,24533
2025-07-17,10.4,10.41,10.32,10.32,27110
2025-07-18,10.7,10.7,10.21,10.29,70745
2025-07-21,10.7,10.7,10.2,10.3,40174
2025-07-22,10.7,10.7,10.27,10.3,110555
2025-07-23,10.59,10.59,10.31,10.34,44810
2025-07-24,10.7,10.7,10.21,10.29,21544
2025-07-25,10.38,10.38,10.15,10.17,79833
2025-07-28,10.7,10.7,10.05,10.07,61323
2025-07-29,10.2,10.2,10.02,10.1,41124
2025-07-30,10.15,10.15,10.09,10.11,17879
2025-07-31,10.16,10.17,10.04,10.14,38099
2025-08-01,10.16,10.17,10.07,10.1,29399
2025-08-04,10.23,10.23,10.06,10.13,54284
2025-08-05,10.17,10.18,10.08,10.14,21829
2025-08-06,10.19,10.19,10.09,10.1,58499
2025-08-07,10.15,10.15,10.03,10.1,18183
2025-08-08,10.19,10.19,10.02,10.02,29318
2025-08-11,10.07,10.11,10,10.07,14443
2025-08-12,10.12,10.15,10.05,10.06,11686
2025-08-13,10.06,10.15,10.06,10.09,12037
2025-08-14,10.09,10.15,10.05,10.1,17038
2025-08-18,10.3,10.37,10.24,10.27,41390
2025-08-19,10.46,10.56,10.07,10.27,12664
2025-08-20,10.46,10.46,10.25,10.3,38311
2025-08-21,10.35,10.38,10.31,10.31,12025
2025-08-22,10.36,10.39,10.25,10.29,107785
2025-08-25,10.49,10.49,10.29,10.33,25604
2025-08-26,10.49,10.49,10.2,10.24,57638
2025-08-28,10.42,10.42,10.18,10.2,14780
2025-08-29,10.24,10.29,10.15,10.18,4315478
2025-09-01,10.38,10.38,10,10.23,218263
2025-09-02,10.42,10.42,10.14,10.2,54423
2025-09-03,10.19,10.24,10.15,10.22,24432
