Date,Open,High,Low,Close,Volume
2022-09-01,96.95,100.8,88.25,98.7,1340348
2022-09-02,100.95,101,93.8,93.8,1139532
2022-09-05,90.1,94.7,89.15,89.75,1451845
2022-09-06,91.4,91.4,85.3,85.3,474482
2022-09-07,83.7,83.7,81.05,81.05,110066
2022-09-08,79.05,85.1,77.5,81.9,705779
2022-09-09,82.7,84.4,78.2,78.8,336587
2022-09-12,78.8,81.65,75.3,76.15,286521
2022-09-13,77,78,75.75,77.2,756659
2022-09-14,76,81.05,75.5,77.2,350474
2022-09-15,77.95,79.3,74,74.75,325166
2022-09-16,74.9,78.45,72.5,74.2,303466
2022-09-19,74.85,75.2,72.55,73,391176
2022-09-20,74.5,76,71.15,71.85,203672
2022-09-21,72.25,72.25,68.3,68.35,483430
2022-09-22,67.7,71.7,64.95,67.75,777780
2022-09-23,68.75,70.9,66,66.7,590737
2022-09-26,66.7,68.5,64.3,65.9,549431
2022-09-27,66.55,67.25,62.65,62.65,365777
2022-09-28,60,61.4,59.55,59.55,255584
2022-09-29,56.6,62.5,56.6,57.85,620251
2022-09-30,60.6,60.7,59,60.7,355693
2022-10-03,62.8,63.7,61.65,63.7,592617
2022-10-04,63.9,66.85,63.9,66.85,397072
2022-10-06,66.75,69.45,65,65.75,261988
2022-10-07,65.75,66.5,63.55,64.25,182668
2022-10-10,63.85,65,60.55,61.6,373450
2022-10-11,63.6,63.6,59.8,61,101634
2022-10-12,61.8,63,59.55,60.75,124893
2022-10-13,61.7,64.7,58.8,60.05,230284
2022-10-14,60.3,62.1,57.4,58.45,276408
2022-10-17,58.95,60,57.1,57.9,155571
2022-10-18,59.65,59.65,56.4,57.1,199664
2022-10-19,58.4,58.4,53.8,57.05,637317
2022-10-20,57.35,57.8,56,56.25,169514
2022-10-21,56.5,57.35,53.2,56.7,194966
2022-10-24,58.05,62.35,58,62,349258
2022-10-25,61.7,65,60.5,64.05,402335
2022-10-27,64.05,65.7,60.35,61.1,233357
2022-10-28,61.15,64,60.35,60.75,167074
2022-10-31,62.65,62.65,59.2,59.7,142551
2022-11-01,60.8,62,58,58.7,135052
2022-11-02,58.95,62.2,57.95,60.05,212832
2022-11-03,59,61.25,58.95,60.05,189018
2022-11-04,60.05,61.8,59.5,60.1,111702
2022-11-07,60.3,64.8,59.4,60.75,308150
2022-11-09,60.8,64.4,60.55,61.55,227976
2022-11-10,61.9,64.45,59.25,60.4,161070
2022-11-11,61,61.5,59.7,60.7,76314
2022-11-14,60.9,60.9,55.5,58.95,147952
2022-11-15,58.8,59.4,57.3,57.75,84888
2022-11-16,58.8,60.95,55.9,57.65,304042
2022-11-17,58,60.35,55.5,59.1,410872
2022-11-18,60.3,60.85,57.9,59.2,141341
2022-11-21,58.55,58.8,56.35,56.9,113381
2022-11-22,57.9,57.9,55.6,56.05,115515
2022-11-23,57.4,57.4,55.1,55.8,128608
2022-11-24,55.8,58.4,54.85,56.65,187303
2022-11-25,57.45,57.9,56.15,56.4,58550
2022-11-28,56.5,61.8,54.55,60.1,406884
2022-11-29,59.95,62.4,58.5,60.15,131172
2022-11-30,60.5,61.3,58.75,60.65,115862
2022-12-01,60,61.65,58.8,59.55,332563
2022-12-02,60.45,60.85,59,59.1,91593
2022-12-05,59.95,61.3,59.25,60.1,85703
2022-12-06,60.1,61.45,58.5,58.85,216639
2022-12-07,59.75,59.75,58.45,58.85,85109
2022-12-08,59.45,70.6,58.9,67.85,1947943
2022-12-09,68.25,77.6,67.1,73.05,3858387
2022-12-12,74.7,79.9,72.2,78.85,1059353
2022-12-13,79.5,84.3,76.5,83.35,1016305
2022-12-14,82.35,82.85,76.95,78.25,469074
2022-12-15,79.1,79.1,75.55,75.8,191569
2022-12-16,75.8,77.2,72.4,74.3,252489
2022-12-19,73.95,74.9,71.5,72.1,134633
2022-12-20,72.25,79.3,67,75.5,1508343
2022-12-21,78.25,82.45,74,75.35,1073033
2022-12-22,75.35,80.25,69.25,77,948278
2022-12-23,76.8,78.45,69.65,72.25,751747
2022-12-26,72.05,78.35,71,73.4,518041
2022-12-27,74.75,75.7,71.35,73.45,532732
2022-12-28,72.85,75.65,71,71.9,267902
2022-12-29,71,74.7,70.4,71.65,406799
2022-12-30,72.4,74.45,71.15,72.45,195412
2023-01-02,72.45,76.9,65.85,72.35,2337273
2023-01-03,73.45,73.7,70.3,71.3,266768
2023-01-04,71.35,72.15,70.85,71.45,278408
2023-01-05,72,72.4,68.25,69.05,219062
2023-01-06,68.4,70,68,68.45,188686
2023-01-09,71,71,67.4,67.8,89047
2023-01-10,68.3,68.3,65.9,66.3,117419
2023-01-11,67.3,68.1,65.5,65.85,87739
2023-01-12,65.6,66.65,64.25,64.45,288640
2023-01-13,64.45,64.8,59.7,61.5,441400
2023-01-16,60,62,59.8,60.8,113118
2023-01-17,59.9,66.85,59.9,66.85,907759
2023-01-18,67,71.45,63.2,67.8,499541
2023-01-19,66.8,72.95,66.25,71.5,515371
2023-01-20,70.45,74,70.25,72.15,744636
2023-01-23,72.15,78,67.2,75.3,1759196
2023-01-24,76.15,77.4,70.1,70.65,603892
2023-01-25,70,71.95,66.6,67.55,275833
2023-01-27,67,70.5,61.25,63.65,561494
2023-01-30,63.6,66.75,62.25,63.35,727303
2023-01-31,64.3,69.65,62.6,67.35,828478
2023-02-01,69.9,71.85,65.55,66.65,2708912
2023-02-02,66.45,68.1,64.25,65.35,179544
2023-02-03,65.3,66.9,59.65,63.3,1095047
2023-02-06,63.4,63.85,60,60.9,471874
2023-02-07,61.3,65.95,60.85,62.55,1144203
2023-02-08,62.75,63.65,60.9,61.95,1538452
2023-02-09,61.2,64.3,60.6,61.05,907644
2023-02-10,60.65,61.85,59.7,60.25,284566
2023-02-13,60.35,61,59.55,60.2,101591
2023-02-14,60.7,61.35,59.35,60.5,142145
2023-02-15,60.45,64.2,60.05,61.45,1273072
2023-02-16,61.95,62.5,59.65,60.15,941296
2023-02-17,59.85,61.45,59.5,60.95,209244
2023-02-20,61.55,61.9,60.2,60.7,198052
2023-02-21,60.7,66.25,60.15,65.5,4097584
2023-02-22,64.85,65.3,62.75,63.05,408675
2023-02-23,63,63.5,60.1,60.5,726651
2023-02-24,61.05,62.2,60.8,61.55,381032
2023-02-27,61.5,61.55,59.4,60.05,443912
2023-02-28,60.05,60.6,59.75,60.1,383041
2023-03-01,60.05,60.75,58.25,60.65,610404
2023-03-02,60.65,62.6,59.2,60.5,967895
2023-03-03,60.5,61.55,59.4,59.9,255848
2023-03-06,60.1,60.7,59.65,60,172906
2023-03-08,59.5,61.1,59.5,60.3,66927
