Date,Open,High,Low,Close,Volume
2015-12-02,1035,1044,964,990.65,1309
2015-12-03,975,975,938,970.5,143
2015-12-04,951.1,970.5,951.1,970.1,16
2015-12-07,950,986.95,938,983.6,148
2015-12-08,936,951,935,950,55
2015-12-09,944,950,930,930,76
2015-12-10,889,947.95,889,947.95,2
2015-12-11,979,979,901,929,41
2015-12-16,962,991,960,965.1,261
2015-12-17,965.1,997.95,925.05,975.5,110
2015-12-18,989,990,940,959.65,337
2015-12-21,998,1124,973,1076.3,40462
2015-12-22,1080,1080,1035,1040.65,2521
2015-12-23,1020,1055,1002,1040.4,972
2015-12-24,1049,1055,1035,1051.85,448
2015-12-28,1050,1059.8,1024.95,1055.05,1587
2015-12-29,1054.95,1068.95,1030,1046.45,1921
2015-12-30,1011,1070,1011,1048.55,302
2015-12-31,1060,1060,1040,1049.45,271
2016-01-01,1026,1059.95,1025,1045.8,231
2016-01-04,1027,1055,1015.5,1050.05,1358
2016-01-05,1060,1069,1026,1050,61165
2016-01-06,1048.95,1050,1001,1018.35,386
2016-01-07,1002,1045.05,1001,1007.65,416
2016-01-08,1000,1007.8,981,990.55,446
2016-01-11,975,976.6,900,948.7,1773
2016-01-12,980,998,920,946.7,978
2016-01-13,921.2,985,921.2,956.7,943
2016-01-14,920.05,949,891,944.8,174
2016-01-15,960,960,925,949,1510
2016-01-18,920,922,901.2,912.3,122
2016-01-19,870,950,870,911.85,292
2016-01-20,905,905.55,856.5,886.45,687
2016-01-21,896.2,948.6,871,914.15,396
2016-01-22,892.05,915,891,907.65,169
2016-01-25,907,909,891,897.75,272
2016-01-27,897.8,903,890,894.35,354
2016-01-28,890.1,927.55,890,921.45,27
2016-01-29,900.05,949,888,906.6,332
2016-02-01,949,1029,849,926.95,940
2016-02-02,945,969.9,900,910,161
2016-02-03,917.5,1020,890,938.2,14065
2016-02-04,939.25,940,913,926.9,1923
2016-02-05,929,930,903,916.45,559
2016-02-08,904.15,940,903,917.2,294
2016-02-09,914.45,925,893,897.9,800
2016-02-10,895,910,883.4,890.85,6467
2016-02-11,888,919.8,875,875,712
2016-02-12,875.05,940,830,889.35,1217
2016-02-15,940,940,872.1,925,434
2016-02-16,905.05,912.7,805.5,849.55,551
2016-02-17,868.05,889.9,846.05,878.75,349
2016-02-18,880,899.5,880,891.8,471
2016-02-19,914,914,875.1,893.25,185
2016-02-22,930,930,880,891.9,268
2016-02-23,905,905,880,890,199
2016-02-24,890,890,851.2,862.15,506
2016-02-25,857.4,879.95,855,861.85,26
2016-02-26,894,894,833,861.9,85
2016-02-29,861.9,873,861.9,872.05,160
2016-03-01,861.1,924.95,861.1,895.15,544
2016-03-02,899,936,885.25,907.55,371
2016-03-03,907,919,878.1,897.45,324
2016-03-04,914.8,914.8,885,898.2,515
2016-03-08,897.85,933,897.85,924.4,273
2016-03-09,979.9,1007,905.1,905.1,172
2016-03-10,929,929,910,917.7,44
2016-03-11,910,910,905,905,50
2016-03-14,905,942.9,905,938.8,1528
2016-03-15,915,940,915,934.6,137
2016-03-16,941,950,930,940.05,325
2016-03-17,974,974,915,915.05,304
2016-03-18,915.1,955,912,937.65,962
2016-03-21,958.5,959,940,952,564
2016-03-22,921,950,921,946.6,562
2016-03-23,944,959.8,921.3,950.05,263
2016-03-28,950,950,921.15,928.05,12
2016-03-29,950,965,916,922.85,530
2016-03-30,941.95,950.05,941.95,950,203
2016-03-31,950.05,950.05,920.75,938.7,200
2016-04-01,922.15,1000,922.15,980.35,807
2016-04-04,1039,1039,940.05,984.3,1019
2016-04-05,966.05,975,964,968.65,851
2016-04-06,970.1,970.1,941,955.9,2433
2016-04-07,951.35,970,950,955.05,1352
2016-04-08,951.15,969.9,936,960,972
2016-04-11,1000,1000,931.05,945.35,610
2016-04-12,950,973.95,930,949.05,669
2016-04-13,973,974.8,934.1,949.5,630
2016-04-18,888,986,888,976.7,762
2016-04-20,974.8,974.8,950,960,511
2016-04-21,910.05,975,910,953.6,389
2016-04-22,950,960,950,960,258
2016-04-25,940.55,974.9,940.5,967,100
2016-04-26,960,979.9,955,979.9,1043
2016-04-27,970,979,955.2,970.85,252
2016-04-28,961.05,975,951.05,970.15,222
2016-04-29,985,1010,982,998.8,906
2016-05-02,999.05,1040,981.05,1027.7,1076
2016-05-03,990.5,1025,989,990.15,3776
2016-05-04,980,980.1,980,980.1,21
2016-05-05,998,1018,998,1015.2,1425
2016-05-06,980,1010.1,974.4,1010.1,67
2016-05-09,979.7,993.05,968.3,990,467
2016-05-10,980,1024.95,976,1024.95,148
2016-05-11,962,1050,961.2,979.75,1021
2016-05-12,976.05,980,966,968.65,487
2016-05-13,942,970,942,970,447
2016-05-16,979.65,985,965,979.15,5653
2016-05-17,980.05,980.05,967,977.05,199
2016-05-18,986,986,980,985,301
2016-05-19,999.85,999.9,955.3,980,15
2016-05-23,986,986,960,960.05,747
2016-05-24,993,993,953,965,158
2016-05-25,983.65,985,965,965.5,431
2016-05-26,965,984,942.1,952.85,703
2016-05-27,950,964.1,943,944.1,469
2016-05-30,980,985,942,976.5,2818
2016-05-31,960.05,964,930,936,438
2016-06-01,940.05,950,940,940.05,162
2016-06-02,940.9,940.9,920,924.75,573
2016-06-03,939,944.5,916,925.4,224
2016-06-06,954.95,954.95,901,922.5,677
2016-06-07,938,938,911,920.05,321
2016-06-08,930.05,940,930,934,644
2016-06-09,917.5,929,910,919.95,1466
2016-06-10,918.55,936.5,912,922.75,564
2016-06-13,911.35,924.9,901,922.4,61
2016-06-14,940,945,920,938.75,433
2016-06-15,945,950.05,916,943.8,540
2016-06-16,920.15,937.4,901.25,920,816
2016-06-17,915.05,930,910.7,920.5,307
2016-06-20,915,944,915,942.95,803
2016-06-21,945,947.6,923,925.15,97
2016-06-22,921,929.7,915.2,921,236
2016-06-23,924,929.6,903.05,925.95,305
2016-06-24,920,945,900,927.3,480
2016-06-27,903.1,933.95,903,929.4,1104
2016-06-28,934,945,917,928.05,2404
2016-06-29,926.05,945,922.95,940.4,599
2016-06-30,936,944,936,944,15
2016-07-01,942.9,945,935.05,945,46
2016-07-04,921.1,945,921.1,940,611
2016-07-05,940,940.05,922.1,923.95,107
2016-07-07,944.95,970,930,947.5,758
2016-07-08,949.95,957,898,950.95,792
2016-07-11,926.35,955,925.2,938.65,285
2016-07-12,926.2,959,920.05,952.85,1006
2016-07-13,942.05,952.85,935,952.85,41
2016-07-14,952.85,959.8,949.5,951.2,221
2016-07-15,942.05,954.95,940,941.7,122
2016-07-18,935.05,960,932.1,948.35,554
2016-07-19,948.3,950.05,932.5,932.5,144
2016-07-20,935.15,960,935.15,959.35,301
2016-07-21,947.05,957.85,947,950,371
2016-07-22,959.75,971.4,950,958.2,235
2016-07-25,955.05,966,955,963.95,762
2016-07-26,950.15,964.9,940,962.45,234
2016-07-27,950.05,994.9,950,984.6,764
2016-07-28,962.4,983,962.35,978.75,360
2016-07-29,953.05,980,953.05,977.9,225
2016-08-01,980,980,955.5,975,217
2016-08-02,979.95,980,970,979.85,457
2016-08-03,951.25,954,929,943.9,808
2016-08-04,944,950.05,930,930,84
2016-08-05,948.75,1045,948.75,1006.2,5049
2016-08-08,1000.05,1000.05,963,977.5,371
2016-08-09,977.5,982.75,950.1,982.2,631
2016-08-10,980,1009,975.95,1002.55,1073
2016-08-11,1000,1018,998.95,1002.7,768
2016-08-12,1042.8,1042.8,971,1000.05,528
2016-08-16,1040.1,1040.1,985.3,1005.1,728
2016-08-17,1011.95,1020,1001,1010,309
2016-08-18,1005,1010,987.35,1001.15,7184
2016-08-19,1030,1033,998,1014.6,269
2016-08-22,1031.95,1032,993.1,1003.95,127
2016-08-23,1019.9,1020,976.6,1000,2358
2016-08-24,1020,1020,1000,1001.4,1452
2016-08-25,991.6,1005,980.2,988.75,434
2016-08-26,985,1000.25,984.95,1000,694
2016-08-29,1010,1020,1000,1015.85,768
2016-08-30,991.15,1054,991.15,1034.2,736
2016-08-31,1035.05,1053.8,1023.15,1050,243
2016-09-01,1026.5,1050,1015.95,1015.95,378
2016-09-02,1016.15,1050,1016.1,1031.05,430
2016-09-06,1050,1064.95,1012.2,1049.45,674
2016-09-07,1062.9,1065,1031,1059.1,569
2016-09-08,1069.75,1069.75,1036,1061.9,650
2016-09-09,1055.05,1070,1050,1067.3,685
2016-09-12,1009.2,1100,1002.15,1068.5,689
2016-09-14,1031.1,1085,1031.1,1053.6,6802
2016-09-15,1079,1079,1033.05,1062.6,192
2016-09-16,1050,1059.9,1015.05,1029.5,724
2016-09-19,1035.9,1035.9,1004.55,1020,296
2016-09-20,1010,1015,987,996.35,1109
2016-09-21,1000,1000,966.5,979.95,5887
2016-09-22,994.85,994.95,944.95,950,4619
2016-09-23,980,989,927,977,1798
2016-09-26,987.9,987.9,957,961,52
2016-09-27,978.95,990,970,978.55,978
2016-09-28,981.4,1013,980,1000.55,989
2016-09-29,1023.9,1023.9,970,985.75,887
2016-09-30,982.05,1013,982.05,1007.85,49
2016-10-03,1010.05,1020,1000,1008.65,322
2016-10-04,1024,1035,987,992.35,496
2016-10-05,1019.85,1031,1000,1027.45,820
2016-10-06,1015.05,1032.9,1011.55,1027.65,667
2016-10-07,1040,1040,1025,1025,60
2016-10-10,1040,1040,1020,1038,192
2016-10-13,1030,1039,998.05,1027.3,564
2016-10-14,1000.75,1020,1000,1016.35,190
2016-10-17,1044,1044,1003,1023.75,986
2016-10-18,1020,1045,1003.3,1030.15,237
2016-10-19,1040,1049,1029.95,1043.95,1304
2016-10-20,1050,1060,1021,1022.65,401
2016-10-21,1024,1024,1006.7,1015,25128
2016-10-24,1009,1013.3,995.05,997.35,573
2016-10-25,1010,1013,980,1011.5,380
2016-10-26,983,1016.95,983,984,377
