Date,Open,High,Low,Close,Volume
2015-09-07,4.77,4.85,4.56,4.72,101175
2015-09-08,4.99,5,4.6,4.69,106720
2015-09-09,4.92,4.92,4.72,4.75,169184
2015-09-10,4.72,4.91,4.6,4.83,268418
2015-09-11,4.88,5.06,4.87,4.91,106084
2015-09-14,4.91,5.15,4.87,4.95,104071
2015-09-15,4.92,5.2,4.9,5.03,103937
2015-09-16,5.07,5.07,4.87,4.91,108312
2015-09-18,5.05,5.05,4.9,5,65030
2015-09-21,4.97,5.89,4.87,5.4,395553
2015-09-22,5.36,5.49,4.98,5.12,160476
2015-09-23,5.07,5.26,5.07,5.16,132094
2015-09-24,5.12,5.16,5.06,5.08,67423
2015-09-28,5.03,5.24,4.73,4.91,127206
2015-09-29,4.87,5.05,4.77,4.99,68809
2015-09-30,4.97,5.19,4.97,5,106843
2015-10-01,5.03,5.08,4.95,4.97,63038
2015-10-05,5.06,5.18,5.02,5.05,81316
2015-10-06,5.11,5.2,5.06,5.11,124043
2015-10-07,5.26,5.39,5.08,5.28,295301
2015-10-08,5.3,5.5,5.21,5.36,180962
2015-10-09,5.45,5.46,5.18,5.29,164932
2015-10-12,5.3,5.35,5.16,5.26,158751
2015-10-13,5.26,5.28,5.16,5.2,123468
2015-10-14,5.18,5.31,5.17,5.26,91995
2015-10-15,5.24,5.84,5.23,5.63,1946592
2015-10-16,5.69,5.78,5.55,5.58,385623
2015-10-19,5.41,5.7,5.39,5.41,173096
2015-10-20,5.41,5.54,5.21,5.28,383652
2015-10-21,5.34,5.53,5.32,5.36,466087
2015-10-23,5.55,5.55,5.22,5.32,523108
2015-10-26,5.45,5.45,5.14,5.17,121722
2015-10-27,5.17,5.32,5.09,5.17,113302
2015-10-28,5.18,5.26,5.17,5.18,141376
2015-10-29,5.3,5.31,5.04,5.07,141818
2015-10-30,5.2,5.2,4.88,4.99,174944
2015-11-02,4.97,5.02,4.72,4.79,457944
2015-11-03,4.96,5.06,4.79,4.86,208276
2015-11-04,4.83,5.03,4.7,4.77,230815
2015-11-05,4.87,4.87,4.69,4.72,102962
2015-11-06,4.72,5.01,4.68,4.84,312984
2015-11-09,4.81,4.91,4.67,4.8,125008
2015-11-10,4.79,4.85,4.63,4.69,150556
2015-11-11,4.77,4.83,4.73,4.77,23514
2015-11-13,4.63,4.81,4.59,4.66,187277
2015-11-16,4.68,4.76,4.65,4.72,78328
2015-11-17,4.77,4.87,4.71,4.75,100364
2015-11-18,4.73,4.89,4.73,4.76,112542
2015-11-19,4.77,5.01,4.77,4.93,120326
2015-11-20,4.99,5.01,4.77,4.81,117399
2015-11-23,4.83,4.95,4.81,4.85,132833
2015-11-24,4.78,5.01,4.78,4.97,195902
2015-11-26,4.95,5.77,4.95,5.56,2806241
2015-11-27,5.55,5.78,5.22,5.43,1669547
2015-11-30,5.55,5.65,5.47,5.49,892138
2015-12-01,5.47,5.68,5.4,5.43,345063
2015-12-02,5.41,5.55,5.28,5.4,332104
2015-12-03,5.37,5.84,5.3,5.71,1203665
2015-12-04,5.4,5.65,5.4,5.51,366041
2015-12-07,5.51,5.55,5.31,5.37,196200
2015-12-08,5.36,5.43,5.21,5.23,187410
2015-12-09,5.16,5.38,5.07,5.11,321147
2015-12-10,5.08,5.24,5.02,5.12,180962
2015-12-11,5.2,5.23,5.08,5.14,176217
2015-12-16,5.26,5.36,5.24,5.3,276346
2015-12-17,5.32,5.43,5.24,5.31,165240
2015-12-18,5.36,5.41,5.26,5.29,97992
2015-12-21,5.26,5.53,5.04,5.31,379390
2015-12-22,5.36,5.5,5.31,5.36,201509
2015-12-23,5.37,5.55,5.37,5.4,235107
2015-12-24,5.39,5.45,5.31,5.38,193263
2015-12-28,5.5,5.5,5.28,5.36,251496
2015-12-29,5.4,5.45,5.22,5.38,391014
2015-12-30,5.28,5.4,5.24,5.31,381988
2015-12-31,5.36,5.5,5.28,5.37,212147
2016-01-01,5.4,5.55,5.33,5.51,396200
2016-01-04,5.41,5.49,5.38,5.45,243055
2016-01-05,5.54,5.54,5.35,5.38,349940
2016-01-06,5.53,5.53,5.36,5.38,163012
2016-01-07,5.36,5.36,5.14,5.18,170642
2016-01-08,5.26,5.29,5.12,5.15,150125
2016-01-11,5.1,5.22,5.08,5.16,71859
2016-01-12,5.25,5.25,4.99,5.05,306833
2016-01-13,5.08,5.14,4.67,4.95,318909
2016-01-14,4.82,5.01,4.81,4.9,303855
2016-01-15,4.89,4.97,4.75,4.76,119525
2016-01-18,4.87,4.87,4.48,4.52,136427
2016-01-19,4.74,4.74,4.21,4.53,430692
2016-01-20,4.43,4.43,4.04,4.13,277712
2016-01-21,4.24,4.24,4.11,4.2,84489
2016-01-22,4.2,4.57,4.2,4.44,82702
2016-01-25,4.68,5.03,4.39,4.58,465800
2016-01-27,4.67,4.92,4.6,4.76,198500
2016-01-28,4.8,4.8,4.68,4.79,67197
2016-01-29,4.78,4.92,4.77,4.83,73368
