Date,Open,High,Low,Close,Volume
2015-09-07,1870,1870,1810,1827.6,752
2015-09-08,1850,1850,1825,1826.4,161
2015-09-09,1839.6,1860.95,1831.05,1835.75,155
2015-09-10,1830,1830,1791,1829,281
2015-09-11,1876.9,1876.9,1802,1850,282
2015-09-14,1890,1894.95,1830,1859.75,209
2015-09-15,1841.05,1887.45,1841,1849.55,187
2015-09-16,1885.5,1885.5,1850,1850,152
2015-09-18,1851,1880,1851,1866.95,212
2015-09-21,1899,1899,1845,1854.7,289
2015-09-22,1856.55,1879,1842,1859.4,785
2015-09-23,1840,1840,1820,1837.45,272
2015-09-24,1845,1845,1789.65,1808.75,666
2015-09-28,1821.65,1882.55,1796.5,1798.15,281
2015-09-29,1847.7,1847.7,1802,1815.95,56
2015-09-30,1816,1929.95,1815.05,1873.5,495
2015-10-01,1939.9,1939.9,1821.7,1852.15,572
2015-10-05,1852.3,1884.55,1830,1855.6,174
2015-10-06,1932.7,1932.7,1840,1864.45,584
2015-10-07,1936,1936,1850,1854.6,289
2015-10-08,1840.05,1850,1840,1845.25,159
2015-10-09,1845.05,1874.85,1800.3,1846.95,469
2015-10-12,1879.95,1879.95,1846,1855.05,167
2015-10-13,1800,1849,1800,1819.7,341
2015-10-14,1846.95,1849,1823,1833.1,81
2015-10-15,1830,1890,1801,1847.35,756
2015-10-16,1898.8,1898.85,1832,1854.6,578
2015-10-19,1860,1860,1830,1835.55,552
2015-10-20,1895.55,1895.55,1805,1811.3,727
2015-10-21,1829,1869,1815.4,1836.9,647
2015-10-23,1830.6,1844.9,1807.25,1841,975
2015-10-26,1825.2,1835,1810,1830.75,744
2015-10-27,1825,1869,1810.2,1849.35,3699
2015-10-28,1843.9,1845,1820,1840,741
2015-10-29,1828.95,1829.95,1800,1814.6,782
2015-10-30,1815.2,1884,1790,1842.6,2817
2015-11-02,1842.65,1842.65,1806,1822.5,911
2015-11-03,1822.05,1845,1802,1815.3,871
2015-11-04,1814.5,1840,1814.5,1827.5,690
2015-11-05,1801.15,1860.05,1755.55,1782.35,8393
2015-11-06,1820,1829,1761.55,1806.95,1370
2015-11-09,1775,1819.7,1755.45,1814.95,3099
2015-11-10,1821.95,1844,1775,1816.8,1975
