Date,Open,High,Low,Close,Volume
2015-09-07,2385,2448,2300,2339.85,10664
2015-09-08,2311.1,2406,2250,2375.75,15588
2015-09-09,2422.95,2510,2395,2492.55,11205
2015-09-10,2450,2538.85,2375,2465.3,18947
2015-09-11,2500,2686,2480,2652.05,29934
2015-09-14,2653.1,2788.4,2620,2740.1,23188
2015-09-15,2750,2797.05,2623,2651.2,17384
2015-09-16,2693.35,2708.65,2625,2676.3,10136
2015-09-18,2710,2737,2659.65,2674.9,6756
2015-09-21,2675,2754,2664.4,2734.05,10795
2015-09-22,2755.05,2800,2685,2709,12367
2015-09-23,2685,2710,2630.1,2652.75,9844
2015-09-24,2660.2,2705,2650,2660.3,6423
2015-09-28,2714,2714,2560,2579.25,6645
2015-09-29,2579.25,2590,2521,2551.7,7316
2015-09-30,2601,2620,2571.05,2588.85,5381
2015-10-01,2632,2632,2505.2,2578.8,6350
2015-10-05,2595.05,2615,2560.15,2578.2,9914
2015-10-06,2585.05,2670,2585,2617.55,12501
2015-10-07,2628.95,2680.05,2600.1,2652,13110
2015-10-08,2690,2690,2580,2618.05,9622
2015-10-09,2648.95,2790,2610,2766.35,21762
2015-10-12,2800,2944.95,2799,2903.2,36376
2015-10-13,2925,2949,2861.3,2878.4,11501
2015-10-14,2894.25,3100,2873.9,3002.8,47722
2015-10-15,3038.95,3148,3011,3076.6,27920
2015-10-16,3100,3125,3035.05,3056.8,15473
2015-10-19,3084.4,3099.95,2990.1,3005.45,8673
2015-10-20,3033,3062.45,2950,2994.2,12859
2015-10-21,2992.95,3020.95,2930.8,2945.6,9089
2015-10-23,2973.95,2985,2909.05,2921,6497
2015-10-26,2952.65,3098,2945,3028,21834
2015-10-27,3060,3060,2961,2989.4,9573
2015-10-28,3015,3079,2901,2988.5,11979
2015-10-29,3029,3049,2940,2962.9,9178
2015-10-30,2989.3,2989.35,2816.25,2927.35,13065
2015-11-02,2930.75,2930.75,2852,2884.05,5397
2015-11-03,2908.65,2912.15,2799,2828.95,8724
2015-11-04,2879.6,2886,2800,2805.5,8791
2015-11-05,2794.75,2844.9,2769.8,2783.15,5645
2015-11-06,2760.05,2825,2754.95,2798.9,6685
2015-11-09,2800,2873,2709.95,2724.35,22692
2015-11-10,2726.05,2789.85,2697,2705.15,6511
2015-11-11,2740,2790,2656,2771.35,3339
2015-11-13,2766,2819.8,2728.65,2745.65,15253
2015-11-16,2711,2789,2681,2699.25,8027
2015-11-17,2737.95,2752,2685,2740.2,11094
2015-11-18,2740,2784.2,2701.1,2712.4,10771
2015-11-19,2747,2760,2720.05,2726.15,7875
2015-11-20,2731.35,2754.95,2730.3,2747.6,5613
2015-11-23,2740,2810,2730,2760.95,6314
2015-11-24,2772.65,2825,2749.6,2807.05,14171
2015-11-26,2807.1,2919.95,2807.1,2897.1,18442
2015-11-27,2900,2979.95,2884.5,2942.35,11345
2015-11-30,2999,2999,2898,2913.95,6558
2015-12-01,2926,2930,2815.7,2877.7,6153
2015-12-02,2875.15,2925.95,2845,2860,3478
2015-12-03,2862.05,2898,2815.05,2824.8,6388
2015-12-04,2822.1,2861.75,2786.7,2827.65,6281
2015-12-07,2882.95,2882.95,2810.1,2845.65,3914
2015-12-08,2842.95,2862.05,2731.8,2761.15,4846
2015-12-09,2785.9,2785.9,2701.05,2721.8,4391
2015-12-10,2780,2780,2700,2733.85,5933
2015-12-11,2734.8,2790.5,2718,2727.95,5900
2015-12-16,2750.05,2824.7,2730,2797.8,8443
2015-12-17,2864,2872,2788.95,2863.2,8358
2015-12-18,2827.45,2875,2810,2837.85,5096
2015-12-21,2871,2871,2810,2814.65,1751
2015-12-22,2810,2849,2780.05,2789.15,3365
2015-12-23,2843.8,2843.8,2780.15,2796.95,3671
2015-12-24,2844,2844.65,2780.05,2787.9,2135
2015-12-28,2831.9,2831.9,2770,2785.85,3761
2015-12-29,2828.8,2828.8,2780,2798.65,7536
2015-12-30,2828,2828,2781.3,2798.9,2451
2015-12-31,2771,2816.6,2771,2796.55,3134
2016-01-01,2806.75,2960,2781.05,2880.05,18032
2016-01-04,2880,2898.5,2822,2827.9,3346
2016-01-05,2815,2831.95,2805,2814.8,2595
2016-01-06,2817,2845,2775.2,2784.25,3576
2016-01-07,2769.05,2772.05,2726,2743.95,5021
2016-01-08,2633,2769.95,2633,2736.75,3287
2016-01-11,2789,2789,2701,2731.1,2914
2016-01-12,2774,2774,2672.1,2688.6,3471
2016-01-13,2740,2740,2580,2630.55,4775
2016-01-14,2630,2639.9,2525.05,2565.8,3238
2016-01-15,2541.3,2625.55,2452.05,2481.9,4213
2016-01-18,2400.05,2500,2281,2478,14234
2016-01-19,2528.75,2528.8,2388,2462.6,6813
2016-01-20,2465,2465,2355,2368.65,4781
2016-01-21,2375,2424.4,2351,2408.3,5695
2016-01-22,2411.3,2600,2411.3,2535.75,7749
2016-01-25,2625.95,2626,2520,2554.1,2756
2016-01-27,2625,2625,2504,2532.05,2016
2016-01-28,2500,2624.85,2500,2563.2,6356
2016-01-29,2560,2593.85,2531.65,2553.85,2715
2016-02-01,2580,2590,2461.05,2494.75,4856
2016-02-02,2490,2524.65,2475,2486.8,1335
2016-02-03,2475.3,2560,2451.1,2472.3,6515
2016-02-04,2519,2540,2307.3,2490.75,8074
2016-02-05,2420.1,2642,2420.1,2603.4,6420
2016-02-08,2650,2689.95,2515.65,2532.2,13434
2016-02-09,2540,2540.05,2456,2483.7,7229
2016-02-10,2536,2536,2417.45,2426.9,11195
2016-02-11,2426,2426,2260,2299.5,6482
2016-02-12,2300,2313.6,2174.1,2230.45,8193
2016-02-15,2315,2331,2259.95,2322.15,5550
2016-02-16,2346,2389.7,2263.75,2282.5,3015
2016-02-17,2282.05,2282.05,2220,2233.3,3125
2016-02-18,2267.95,2289.55,2231.05,2247,2412
2016-02-19,2290,2290,2201,2211.8,4100
2016-02-22,2240,2298,2240,2273.45,4071
2016-02-23,2251.35,2281.45,2039.95,2100.4,13816
2016-02-24,2120,2120,1985,2016.35,24392
2016-02-25,1985,2129.05,1985,2082.8,6473
2016-02-26,2100,2149.9,2050,2061.45,4176
2016-02-29,2097.95,2097.95,1946,1985.15,8197
2016-03-01,2020,2060,1990.2,2049.05,3269
2016-03-02,2115,2210,2114.2,2187.8,14423
2016-03-03,2211.15,2291.95,2190,2198.15,6637
2016-03-04,2241,2249,2171.15,2239.45,6353
2016-03-08,2250.05,2311,2240,2249.1,8569
2016-03-09,2244.65,2269.95,2220,2250.85,3974
2016-03-10,2260,2296,2239,2243.55,2574
2016-03-11,2289.85,2300,2240,2290.3,5962
2016-03-14,2295,2390,2295,2361.2,8905
2016-03-15,2366,2366,2325,2349.05,2205
2016-03-16,2329,2420,2329,2411.1,4230
2016-03-17,2420,2448.8,2341,2355.9,3361
2016-03-18,2354.9,2400.1,2326,2352.2,3098
2016-03-21,2389.95,2460,2354.4,2430.3,5435
2016-03-22,2430.35,2448.75,2350,2365.4,3477
2016-03-23,2373.75,2415,2351,2375.15,3282
2016-03-28,2414,2414,2300,2308.5,2404
2016-03-29,2300.1,2350,2291,2300.95,4933
2016-03-30,2310.05,2340,2292,2310.8,2620
2016-03-31,2309,2323.7,2290,2310.25,3241
2016-04-01,2303.15,2334,2287.1,2328.15,1471
2016-04-04,2370,2370,2313.1,2337.6,2926
2016-04-05,2368.95,2390,2335.35,2382.65,7668
2016-04-06,2399,2424.9,2380,2417.1,3644
2016-04-07,2417.1,2447.75,2415,2420.9,3041
2016-04-08,2418,2554.5,2410,2496.6,5821
2016-04-11,2570,2570,2465.05,2477.05,2346
2016-04-12,2500,2505,2477,2492.15,1956
2016-04-13,2505,2580,2505,2525.55,7281
2016-04-18,2590,2590,2472,2556.75,3723
2016-04-20,2531.2,2589.9,2510,2521.85,1998
2016-04-21,2505.05,2549.9,2484.95,2486.55,2325
2016-04-22,2472,2510.8,2451,2463.45,1772
2016-04-25,2460,2508.55,2381.1,2391.7,5480
2016-04-26,2371,2421.95,2350.1,2354.85,7275
2016-04-27,2340.1,2378.95,2278.85,2291.25,8429
2016-04-28,2313,2329.45,2270.2,2276,3486
2016-04-29,2280.8,2318,2269.85,2294.15,3467
2016-05-02,2340,2350.2,2299.6,2330.15,6215
2016-05-03,2310,2380,2310,2350.95,3387
2016-05-04,2375,2375,2305,2342.45,1847
2016-05-05,2320,2380,2300.15,2356.15,3375
2016-05-06,2335.85,2367.9,2332.65,2349.75,1295
2016-05-09,2379,2379.9,2327.7,2374.1,2261
2016-05-10,2406.95,2435,2385,2424.35,3563
2016-05-11,2400.1,2465.4,2392,2458.9,4724
2016-05-12,2510,2550,2460,2490.6,27895
2016-05-13,2519,2545,2502,2511.2,7328
2016-05-16,2510,2524.05,2470,2486.75,3161
2016-05-17,2500,2500,2412,2422.8,3712
2016-05-18,2401.05,2436.7,2360,2368.45,4670
2016-05-19,2365,2419,2354,2360.2,2083
2016-05-20,2320,2372.95,2320,2334.85,2848
2016-05-23,2330,2370.05,2302,2309.25,2033
2016-05-24,2338,2348,2320,2321.25,1980
2016-05-25,2329.95,2338.7,2320,2321.95,1800
2016-05-26,2328.5,2338,2320,2325.15,1574
2016-05-27,2337.95,2394.55,2336.6,2359.8,1565
2016-05-30,2336.2,2390,2336.2,2352.25,2046
2016-05-31,2352.05,2370.9,2328.7,2347.85,1121
2016-06-01,2347.05,2388.9,2347,2350.2,1455
2016-06-02,2328,2350,2311.1,2331.35,1845
2016-06-03,2302.5,2364.9,2302.5,2319.85,7169
2016-06-06,2320.05,2374.8,2320,2361.85,2044
2016-06-07,2388,2388,2322,2335.3,1296
2016-06-08,2315,2358.4,2315,2345.05,2525
2016-06-09,2345,2352,2325,2329.25,671
2016-06-10,2329.05,2349,2311,2324.85,1342
2016-06-13,2320,2430,2295,2369,3414
2016-06-14,2369,2386.95,2337.1,2370.75,1617
2016-06-15,2370.05,2378.9,2330,2338.8,1658
2016-06-16,2340.05,2361,2325,2345.35,874
2016-06-17,2356.65,2380,2350,2354.1,1520
2016-06-20,2343.65,2350,2322.5,2332.35,2305
2016-06-21,2335,2360,2320,2334.65,2249
2016-06-22,2334.05,2356,2334,2347.25,1756
2016-06-23,2375,2375,2286,2315.85,5669
2016-06-24,2348,2348,2241,2317.95,4371
2016-06-27,2318,2367,2304.15,2320.6,1375
2016-06-28,2325.05,2408.45,2325,2360.75,4234
2016-06-29,2361.05,2405,2350,2364.65,2384
2016-06-30,2404.85,2419,2376.45,2397.6,2843
2016-07-01,2397.6,2397.6,2355,2360.9,1813
2016-07-04,2365.05,2460,2365,2443.05,9048
2016-07-05,2480,2480,2394,2408.7,3118
2016-07-07,2407.1,2447.8,2404,2412.9,1445
2016-07-08,2416.75,2416.75,2377,2390.4,1576
2016-07-11,2366.5,2432,2365.55,2394,6152
2016-07-12,2396.55,2396.55,2360.6,2370.2,2906
2016-07-13,2375.05,2384.8,2335,2367.35,2349
2016-07-14,2367.05,2385,2365,2375.55,892
2016-07-15,2374.05,2380.1,2352,2373.4,1556
2016-07-18,2394.65,2394.7,2370,2381.35,1932
2016-07-19,2390.05,2390.05,2371,2379.9,5824
2016-07-20,2370.05,2380,2356.15,2369.7,4163
2016-07-21,2394.5,2439.85,2372,2396,4255
2016-07-22,2439.7,2454.8,2380,2392.5,2085
2016-07-25,2423.75,2430,2385.1,2415.95,5202
2016-07-26,2439,2439,2364.9,2369.7,12257
2016-07-27,2416.35,2416.4,2370,2399.55,7594
2016-07-28,2416.4,2416.4,2385,2392.4,3590
2016-07-29,2397.8,2400,2335,2347.25,4888
2016-08-01,2390,2399.85,2295,2347.65,7286
2016-08-02,2324.25,2392,2324.25,2367.65,2509
2016-08-03,2385,2385.05,2325.05,2337.75,2912
2016-08-04,2384.95,2385,2348.4,2356.95,2457
2016-08-05,2375.55,2477.5,2363.2,2421.55,22361
2016-08-08,2435,2474.85,2400,2406.1,5638
2016-08-09,2424.9,2445,2395,2408.5,5656
2016-08-10,2432,2445,2402.95,2412.05,6193
2016-08-11,2425.85,2425.85,2379.9,2386,7241
2016-08-12,2419.95,2419.95,2375,2388.6,2146
2016-08-16,2444,2444,2380,2389.3,1305
2016-08-17,2389.1,2421.4,2389.05,2414,2496
2016-08-18,2430,2578,2399,2533.25,19939
2016-08-19,2545,2584,2521.1,2537,7436
2016-08-22,2503,2525,2430,2502.1,13448
2016-08-23,2530,2534,2490,2512.15,5632
2016-08-24,2520.05,2536.8,2503.9,2519.8,1719
2016-08-25,2550,2554.9,2508.75,2525.75,3617
2016-08-26,2541.1,2549.95,2505,2511.05,3668
