Date,Open,High,Low,Close,Volume
2021-08-11,112.53,113.51,106.36,112.19,22198
2021-08-12,106.89,119.83,106.89,118.31,111790
2021-08-13,119.04,126.39,113.9,118.9,44408
2021-08-16,119.78,141.09,116.2,119.63,52953
2021-08-17,125.12,125.12,116.99,121.49,24904
2021-08-18,118.06,135.85,118.06,128.74,320689
2021-08-20,129.58,131.29,119.53,125.76,71797
2021-08-23,125.66,131.63,117.57,120.02,66885
2021-08-24,118.55,126.29,112.68,113.12,45887
2021-08-25,115.42,115.42,110.57,112.72,82241
2021-08-26,115.61,115.61,109.98,112.04,28252
2021-08-27,111.94,113.46,110.72,113.21,24725
2021-08-30,113.65,119.44,113.65,115.17,34454
2021-08-31,117.38,117.38,113.65,114.73,36446
2021-09-01,116.2,116.2,112.68,115.66,13343
2021-09-02,117.43,118.46,114.63,116.55,13040
2021-09-03,114.24,118.55,114.24,116.5,21645
2021-09-06,117.48,121.3,115.17,116.94,9840
2021-09-07,120.51,120.51,115.27,118.41,27834
2021-09-08,119.34,120.02,116.45,117.08,26834
2021-09-09,117.38,118.55,116.59,116.89,9874
2021-09-13,115.37,117.57,115.37,115.76,12919
2021-09-14,115.32,117.33,114.39,114.73,30317
2021-09-15,117.08,117.08,113.65,114.83,30767
2021-09-16,116.59,121.44,114.73,118.11,37330
2021-09-17,119.44,127.13,115.66,121.2,141534
2021-09-20,121.25,127.37,118.55,123.16,126782
2021-09-21,123.55,127.37,118.06,125.76,139756
2021-09-22,124.48,131,124.48,126.2,50767
2021-09-23,126.78,130.31,123.4,124.73,231951
2021-09-24,129.33,130.21,123.21,125.31,31383
2021-09-27,127.18,129.33,124.97,126.2,44496
2021-09-28,128.25,128.25,123.94,125.51,24704
2021-09-29,124.43,127.22,119.63,121.69,27079
2021-09-30,121.69,126.88,121.49,125.95,46614
2021-10-01,125.9,125.9,118.55,122.67,57765
2021-10-04,123.35,125.41,122.18,124.29,82377
2021-10-05,125.61,126.39,121.98,124.43,86373
2021-10-06,125.31,145.69,124.09,128.74,663714
2021-10-07,140.99,140.99,124.78,125.36,395552
2021-10-08,127.03,127.71,123.45,124.92,146467
2021-10-11,134.23,134.23,124.92,126.05,168571
2021-10-12,127.47,127.47,125.51,126.34,51238
2021-10-13,129.72,129.72,126.73,127.42,73703
2021-10-14,129.87,129.87,125.46,127.32,84619
2021-10-18,129.87,129.87,127.13,127.62,327950
2021-10-19,129.77,131.34,127.37,128.65,150687
2021-10-20,131.29,154.36,127.37,149.86,1191868
2021-10-21,155.93,179.25,154.81,163.13,1767376
2021-10-22,164.95,172.39,159.17,168.87,409345
2021-10-25,171.9,197.92,143.15,173.03,804870
2021-10-26,175.77,197.87,172.54,181.26,374440
2021-10-27,185.08,190.08,171.46,174.94,201925
2021-10-28,178.32,180.18,168.52,172.15,70661
2021-10-29,175.28,179.3,157.94,162.4,116140
2021-11-01,170.09,176.36,163.13,171.27,100141
2021-11-02,173.76,174.35,162.64,164.75,75730
2021-11-03,170.48,170.48,160.83,163.87,111919
2021-11-04,166.47,170.34,165.09,168.42,42186
2021-11-08,168.52,168.52,164.95,166.42,226290
2021-11-09,166.51,168.33,161.57,162.35,576604
2021-11-10,165.09,167.54,161.66,162.35,609393
2021-11-11,166.27,166.27,160.73,161.96,541854
2021-11-12,166.07,170.73,161.57,166.37,409365
2021-11-15,168.52,181.06,166.56,167.1,510411
2021-11-16,167.64,179.35,167.64,175.87,585198
2021-11-17,181.16,193.46,179.4,189.39,1111332
2021-11-18,190.96,207.71,189.78,202.03,595469
2021-11-22,205.75,210.65,191.94,191.94,251506
2021-11-23,182.73,198.5,182.73,195.22,119861
2021-11-24,199.88,199.88,189.1,190.76,163737
2021-11-25,191.06,193.21,186.16,187.14,91030
2021-11-26,184.1,193.02,177.78,186.6,99854
2021-11-29,184.2,190.52,178.42,183.95,155606
2021-11-30,180.28,188.56,180.28,185.33,170583
2021-12-01,182.53,191.06,182.53,184.25,397310
2021-12-02,181.36,188.12,180.28,184.3,161743
2021-12-03,183.22,189.1,181.26,187.43,73523
2021-12-06,189.1,196.79,189.1,192.04,370959
2021-12-07,194.88,199.88,191.2,192.28,143425
2021-12-08,194.05,195.71,188.17,192.63,142149
2021-12-09,196.94,196.94,189.15,191.01,90941
2021-12-10,193.9,196.89,190.08,194.73,190699
2021-12-13,197.62,214.18,196.35,200.9,233062
2021-12-14,188.12,200.9,181.41,186.8,1361463
2021-12-15,187.14,200.32,186.45,195.71,721344
2021-12-16,196.84,203.5,194.44,198.6,203777
2021-12-17,196.05,198.9,188.31,189.34,261565
2021-12-20,189.1,194.19,188.12,191.16,189233
2021-12-21,194.98,196.89,192.09,194.19,291211
2021-12-22,196.84,202.96,191.55,192.43,140370
2021-12-23,195.32,196.64,193.07,193.75,84028
2021-12-24,193.02,197.13,192.04,192.87,83339
2021-12-27,194.88,194.88,188.76,191.2,118942
2021-12-28,189.15,194.34,189.15,193.61,41144
2021-12-29,193.02,196.25,193.02,194.93,151082
2021-12-30,194.93,199.63,193.02,195.03,184441
2021-12-31,195.03,198.11,190.08,192.18,95430
2022-01-03,194.98,194.98,191.11,193.26,87930
2022-01-04,194.29,200.56,192.18,196.54,223193
2022-01-05,198.7,201.44,195.96,197.82,404123
2022-01-06,196.94,198.41,194,196.64,75181
2022-01-07,199.68,216.29,196.94,198.55,379519
2022-01-10,201.69,201.69,196.25,200.07,122587
2022-01-11,210.56,210.56,202.33,205.02,278750
2022-01-12,207.62,210.65,207.27,208.45,420385
2022-01-13,211.63,214.47,205.31,208.45,471018
2022-01-14,210.65,214.62,209.33,214.47,173148
2022-01-17,217.51,225.69,210.65,212.86,739019
2022-01-18,210.65,214.52,210.65,211.44,711075
2022-01-19,215.45,218.49,211.63,215.41,740456
2022-01-20,212.22,217.51,212.22,217.36,119492
2022-01-21,215.16,220.16,213.54,216.73,182805
2022-01-24,216.53,218.44,208.94,211.68,538607
2022-01-25,215.36,215.36,206.64,213.49,144285
2022-01-27,213.49,219.47,212.37,219.32,181911
2022-01-28,220.45,222.8,216.53,217.46,130911
2022-01-31,217.51,222.12,214.57,216.83,96476
2022-02-01,219.28,219.37,208.89,214.08,123264
2022-02-02,217.22,220.7,216.09,218.44,72549
2022-02-03,218.44,219.47,215.55,219.13,66326
2022-02-04,218.98,218.98,215.55,217.07,34569
2022-02-07,217.07,220.99,213.59,214.77,87098
2022-02-08,219.47,219.47,210.95,212.81,63478
2022-02-09,215.65,215.65,208.99,210.16,101367
2022-02-10,210.65,210.65,202.82,206.15,216571
2022-02-11,205.66,205.75,182.24,184.54,498167
2022-02-14,177.44,194.88,172.78,180.48,314124
2022-02-15,186.16,193.9,177.44,190.96,251786
2022-02-16,194.78,195.47,188.22,190.22,113051
2022-02-17,192.92,205.71,191.06,204.04,224035
2022-02-18,201.84,205.61,196.94,197.97,89730
2022-02-21,194.98,197.77,188.31,190.86,104135
2022-02-22,178.12,188.07,178.12,184.54,291555
2022-02-23,184.54,191.06,182.19,185.62,100975
2022-02-24,181.26,182.24,164.85,166.86,279931
2022-02-25,174.4,178.17,174.4,176.65,227489
2022-02-28,176.12,181.26,162.99,177.83,235616
2022-03-02,172.74,180.18,172.69,177.73,75703
2022-03-03,174.7,177.34,173.76,174.74,214722
2022-03-04,169.75,176.56,166.86,170.24,156634
2022-03-07,160.88,169.5,160.88,163.43,286579
2022-03-08,168.47,169.06,161.76,167.1,851402
