Date,Open,High,Low,Close,Volume
2020-10-05,8.85,8.85,8.85,8.85,2000
2020-10-06,9,9,9,9,2000
2020-10-08,9,9,9,9,2000
2020-10-12,8.55,8.75,8.55,8.65,6000
2020-10-16,8.65,8.65,8.65,8.65,10000
2020-10-20,8.25,8.25,8.25,8.25,2000
2020-10-22,7.85,8.65,7.85,8.65,4000
2020-10-23,8.25,8.25,8.25,8.25,2000
2020-10-28,7.85,7.85,7.85,7.85,2000
2020-11-03,8,8,8,8,4000
2020-11-04,8.3,8.4,8.3,8.4,4000
2020-11-05,8.8,8.8,8.8,8.8,6000
2020-11-06,9.2,9.2,9.2,9.2,10000
2020-11-09,9.6,9.65,9.6,9.65,12000
2020-11-10,9.95,10.1,9.95,10.1,8000
2020-11-11,9.65,10.6,9.65,10.6,210000
2020-11-12,11.1,11.1,11.1,11.1,2000
2020-11-13,11.65,11.65,11.65,11.65,2000
2020-11-14,12.2,12.2,12.2,12.2,2000
2020-11-17,12.8,12.8,12.8,12.8,2000
2020-11-18,13.4,13.4,13.4,13.4,2000
2020-11-19,14.05,14.05,14.05,14.05,18000
2020-11-20,14.75,14.75,14.05,14.75,8000
2020-11-23,14.75,14.75,14.75,14.75,2000
2020-11-24,14.75,14.75,14.75,14.75,2000
2020-11-25,14.85,15.45,14.85,15.45,4000
2020-11-26,16.2,16.2,16.2,16.2,2000
2020-11-27,15.75,15.75,15.75,15.75,4000
2020-12-01,16.5,16.5,16.5,16.5,6000
2020-12-02,17.3,17.3,17.3,17.3,2000
2020-12-03,18.15,18.15,18.15,18.15,32000
2020-12-04,19.05,19.05,19,19.05,8000
2020-12-07,20,20,20,20,4000
2020-12-08,21,21,21,21,2000
2020-12-09,22.05,22.05,22.05,22.05,6000
2020-12-10,23.15,23.15,23.15,23.15,4000
2020-12-11,24.3,24.3,22,24.3,10000
2020-12-14,25.5,25.5,25.5,25.5,8000
2020-12-15,26.45,26.75,24.3,26.5,30000
2020-12-16,25.35,27.45,25.2,25.2,16000
2020-12-17,23.95,25,23.95,24.95,10000
2020-12-18,25.4,25.4,23.75,24.95,10000
2020-12-21,23.75,25,23.75,25,4000
2020-12-22,23.75,23.75,23.75,23.75,2000
2020-12-23,22.6,24.9,22.6,24.9,6000
2020-12-24,26.1,26.1,26.1,26.1,2000
2020-12-28,24.8,24.8,24.8,24.8,2000
2020-12-30,25.9,25.9,25.9,25.9,6000
2020-12-31,25,25,25,25,2000
2021-01-04,23.75,25,23.75,25,4000
2021-01-05,23.75,23.75,23.75,23.75,4000
2021-01-06,22.6,24.85,22.6,23.9,10000
2021-01-07,22.75,24,22.75,23.35,6000
2021-01-13,22.2,23.85,22.2,23.85,4000
2021-01-14,22.75,22.75,22.7,22.7,4000
2021-01-15,23.8,23.8,23.8,23.8,6000
2021-01-18,23.05,23.05,22.65,22.65,6000
2021-01-19,21.6,23,21.55,22.25,6000
2021-01-20,23.35,23.35,23.35,23.35,4000
2021-01-21,23.05,23.5,22.2,22.9,8000
2021-01-22,22.95,23.95,22.95,23.6,8000
2021-01-25,23.05,24.75,23,23.6,6000
2021-01-27,24.6,24.6,24.6,24.6,2000
2021-01-28,23.5,23.5,23.4,23.4,4000
2021-02-03,22.25,22.3,22.25,22.3,4000
2021-02-04,21.2,21.2,21.2,21.2,2000
2021-02-15,20.4,20.4,20.15,20.15,6000
2021-02-17,19.15,21.15,19.15,21.1,6000
2021-02-18,20.1,20.1,20.05,20.05,4000
2021-02-19,19.05,19.05,19.05,19.05,2000
2021-02-22,18.1,18.1,18.1,18.1,2000
2021-02-23,17.25,17.25,17.2,17.2,6000
2021-02-25,16.35,16.35,16.35,16.35,2000
2021-03-01,15.55,16.85,15.55,15.55,10000
2021-03-05,15.5,15.5,15.5,15.5,2000
2021-03-09,15.55,16.2,15.55,16.2,4000
2021-03-10,15.65,17,15.65,17,72000
2021-03-12,17.85,17.85,17.85,17.85,2000
2021-03-15,18.7,18.7,18.7,18.7,2000
2021-03-16,19.6,19.6,19.6,19.6,4000
2021-03-17,20.55,20.55,20.55,20.55,2000
2021-03-26,19.55,19.55,19.55,19.55,8000
2021-04-26,18.6,18.6,18.6,18.6,2000
2021-04-29,18.95,18.95,18.95,18.95,4000
2021-05-31,18.9,18.9,18.05,18.05,4000
2021-06-01,17.15,17.15,17.15,17.15,2000
2021-06-02,18,18,18,18,4000
2021-06-07,17.1,17.1,17.1,17.1,2000
2021-06-08,16.3,16.3,16.25,16.25,4000
2021-06-14,17,17.05,17,17.05,4000
2021-06-17,17.9,17.9,17.5,17.5,4000
2021-06-18,18.35,18.35,17.6,17.6,4000
2021-06-21,18.45,18.45,18.25,18.45,16000
2021-06-22,19.35,19.35,18.45,18.45,8000
2021-06-23,19.35,19.35,18.8,18.8,4000
2021-06-24,18.8,18.8,18.8,18.8,2000
2021-06-29,19.5,19.5,18.1,18.1,6000
2021-06-30,18.1,18.1,18.1,18.1,20000
2021-07-05,19,19,17.2,18.4,10000
2021-07-06,19.3,19.3,17.5,17.5,4000
2021-07-07,16.65,16.65,16.65,16.65,2000
2021-07-08,15.85,15.85,15.85,15.85,2000
2021-07-12,16,16.5,16,16.5,6000
2021-07-13,15.7,17,15.7,17,6000
2021-07-20,17.85,17.85,17.85,17.85,14000
2021-07-22,18.7,18.7,17.5,18.5,10000
2021-07-23,18.5,19.4,18.5,19.4,12000
2021-07-26,20.35,20.35,20.35,20.35,4000
2021-07-27,21.35,21.35,21.35,21.35,2000
2021-07-28,22.4,22.4,22.4,22.4,2000
2021-07-29,23.5,23.5,23.5,23.5,24000
2021-07-30,24.65,24.65,24.65,24.65,6000
2021-08-02,23.5,25.85,23.5,25.85,14000
2021-08-03,27.1,27.1,25,25.5,14000
2021-08-04,26.55,26.55,26.55,26.55,2000
2021-08-05,26.55,26.55,26.55,26.55,2000
2021-08-06,26.5,26.5,26.5,26.5,2000
2021-08-10,25.2,25.2,25.2,25.2,2000
2021-08-13,25.2,25.2,25.2,25.2,2000
2021-08-16,26,26,26,26,2000
2021-08-17,27.3,27.3,25.9,25.9,4000
2021-08-18,26.5,26.5,26.5,26.5,2000
2021-08-24,25.6,25.6,25.6,25.6,2000
2021-08-25,25.55,25.55,25.55,25.55,2000
2021-08-26,24.3,25.5,24.3,25.5,4000
2021-08-27,24.25,26.75,24.25,25.85,10000
2021-08-30,24.6,24.6,24.6,24.6,2000
2021-08-31,23.85,25,23.85,25,4000
2021-09-01,26,26,26,26,2000
2021-09-02,25.5,25.5,25.5,25.5,2000
2021-09-06,24.25,24.9,24.25,24.65,8000
2021-09-07,23.45,24.9,23.45,24.9,4000
2021-09-08,26.1,26.1,23.7,25.8,6000
2021-09-09,25.95,25.95,24.55,25.25,4000
2021-09-14,24,26,24,24.8,8000
2021-09-15,23.6,26,23.6,24.85,12000
2021-09-16,23.65,24.4,23.65,24.4,4000
2021-09-17,23.2,25.4,23.2,25.3,8000
2021-09-21,24.4,25,24.4,25,4000
2021-09-22,24.95,24.95,24.95,24.95,4000
2021-09-23,25.5,25.5,23.75,23.75,8000
2021-09-24,24.75,24.8,24,24.75,20000
2021-09-27,24.75,24.75,24.75,24.75,4000
2021-09-28,25.8,25.8,24,24,10000
2021-09-29,24,24.65,24,24.65,8000
2021-09-30,24.75,24.8,23.5,24.8,8000
2021-10-01,24.75,24.75,24.75,24.75,2000
2021-10-04,24.75,24.75,24.75,24.75,2000
2021-10-05,24.7,24.7,24,24.45,6000
2021-10-06,24.75,24.75,23.25,24,12000
2021-10-07,24.55,24.55,24.55,24.55,2000
2021-10-08,24.65,24.65,24.65,24.65,2000
2021-10-11,24.7,24.7,24,24.35,4000
2021-10-13,25.15,25.3,24.5,24.5,10000
2021-10-14,25.15,25.15,25,25,4000
2021-10-19,25,25,24.8,24.8,4000
2021-10-20,25,25,25,25,2000
2021-10-21,24.9,24.9,24.9,24.9,2000
2021-10-22,23.75,24.9,23.75,24.9,4000
2021-10-29,24.8,24.8,24.8,24.8,2000
2021-11-01,23.6,24.95,23.6,24.25,4000
2021-11-03,24.95,25,24.95,24.95,4000
2021-11-08,24.95,24.95,24,24,4000
2021-11-09,24.75,24.75,24,24.75,8000
2021-11-10,24.85,25.95,24.85,25.95,12000
2021-11-11,25,25.95,25,25.95,6000
2021-11-15,24.7,24.7,24.7,24.7,4000
2021-11-16,23.5,25,23.5,25,12000
2021-11-17,24.3,24.3,24.05,24.05,4000
2021-11-18,23.05,25.1,23.05,25.1,6000
2021-11-22,25.5,25.5,25.3,25.5,6000
2021-11-23,24.7,25.9,24.3,25.9,6000
2021-11-24,26,27,26,27,8000
2021-11-25,27.5,28.35,27.5,28.35,4000
2021-11-26,29.75,29.75,29.75,29.75,8000
2021-11-29,31.2,31.2,31.2,31.2,14000
2021-11-30,32.75,32.75,32.75,32.75,16000
2021-12-01,34.35,34.35,33.5,33.5,56000
2021-12-02,35.1,35.15,34.1,34.1,12000
2021-12-03,32.7,34.8,32.7,34.5,10000
2021-12-06,34.75,36.2,34.75,36.05,40000
2021-12-07,37.85,37.85,37.85,37.85,2000
2021-12-08,36.05,37,36.05,37,4000
2021-12-09,38.6,38.6,38.6,38.6,2000
2021-12-10,39.8,40.5,39.8,40.5,78000
2021-12-13,42.4,42.5,39,39.5,60000
2021-12-14,38.05,38.05,38.05,38.05,4000
2021-12-15,38.05,38.05,37.95,37.95,6000
2021-12-17,36.1,36.1,36.1,36.1,2000
2021-12-20,36.1,36.1,36.1,36.1,2000
2021-12-21,34.3,34.3,34.3,34.3,2000
2021-12-28,36,36,36,36,4000
2021-12-29,37.8,37.8,37.75,37.8,12000
2022-01-05,39.65,39.65,39,39.65,12000
2022-01-07,37.7,41,37.7,41,4000
2022-01-10,41,43.05,41,43.05,76000
2022-01-11,45.2,45.2,40.9,40.9,132000
2022-01-12,42.9,42.9,38.9,38.9,51512
2022-01-13,39.75,40.8,37,37.3,55040
2022-01-14,38.9,38.9,37.25,37.8,11619
2022-01-17,37.8,39.65,36.6,39.65,34063
2022-01-18,41.6,41.6,38.5,39.65,8946
2022-01-19,40.65,40.65,38.1,38.6,4808
2022-01-20,38.6,39.5,37,37.3,16310
