Date,Open,High,Low,Close,Volume
2015-09-07,349,396.8,335,343.8,2927
2015-09-08,347,347,285.15,293.35,2147
2015-09-09,251.6,308,251.6,287.85,1453
2015-09-10,268,295.95,268,286.85,234
2015-09-11,294.95,344,287,342.85,4242
2015-09-14,317.9,365.8,317.9,347.2,358
2015-09-15,350,350,330.1,331.7,756
2015-09-16,349.9,375,348,351.45,2407
2015-09-18,365.55,370,342.55,353.85,1495
2015-09-21,350,359.9,325,340,774
2015-09-22,348,348,323.3,333.1,1133
2015-09-23,339,354,339,339,421
2015-09-24,332,342,325.1,338.45,583
2015-09-28,360,360,337,348.2,811
2015-09-29,344.9,348.5,330,332.2,406
2015-09-30,307,340,307,322.3,670
2015-10-01,343.9,355,296.5,316.85,2091
2015-10-05,325.1,340.9,301.65,320.35,355
2015-10-06,320.35,333.7,305.2,328.2,648
2015-10-07,323,330,313.1,317.55,295
2015-10-08,310,314,292.2,297.1,823
2015-10-09,298,307,298,307,4
2015-10-12,310,315,294,297.4,585
2015-10-13,309,334.95,307,332.95,1012
2015-10-14,320,350,320,327,64
2015-10-15,327,348.8,320,320.95,75
2015-10-16,314,347,298.2,316,168
2015-10-19,316,339.1,295,337,270
2015-10-20,295,399,295,323.85,132
2015-10-21,327.2,327.5,327.2,327.5,20
2015-10-23,343,343,321.1,322.5,40
2015-10-26,323.1,340,323.1,329.85,359
2015-10-27,339.9,350,331,331,426
2015-10-28,330,338,320,321,143
2015-10-29,320,335,320,321,402
2015-10-30,308,317,292.1,317,48
2015-11-02,317,325,315,315.9,64
2015-11-03,317,317,317,317,7
2015-11-04,319,328,310.05,310.1,506
2015-11-05,315,323.8,304,304,100
2015-11-06,312,327.7,306,315.95,1627
2015-11-09,286.25,306.9,286.25,296.25,5
2015-11-10,295.5,310,295.5,310,221
2015-11-11,291,323.9,291,313.95,17
2015-11-13,310,317,300,314,352
2015-11-16,321,344.9,311,335.6,665
2015-11-17,335,335,325,330,475
2015-11-18,340,340,311.3,320,1743
2015-11-19,312.5,329.95,312.5,321,771
2015-11-20,321,334,321,329.9,604
2015-11-23,333,343.8,333,343.8,430
2015-11-24,343,343,343,343,20
2015-11-26,325,337,317.1,337,189
2015-11-27,326,345.4,318.1,319.9,1278
2015-11-30,336.9,377,332,335.7,4982
2015-12-01,335.7,340,325.55,328.75,293
2015-12-02,335.1,340,327.1,328,180
2015-12-03,340,347,322.5,332,3132
2015-12-04,335,355,335,338.55,326
2015-12-07,323.1,347.3,323,342.9,882
2015-12-08,351.45,351.45,330.2,334.55,1439
2015-12-09,327.3,346.8,327.2,330.35,233
2015-12-10,322,336,321.5,327.9,1166
2015-12-11,354,354,330,330,45
2015-12-16,342,342,331.5,335,254
2015-12-17,330.2,336,330.2,336,3
2015-12-18,341,341,335,335,100
2015-12-21,349,355,330.35,351.5,232
2015-12-22,351,351,329,336,259
2015-12-23,337,340,335,335.1,178
2015-12-24,327,348,327,347.95,4
2015-12-28,347.9,360,347.05,355.65,475
2015-12-29,360,373.85,360,366.6,163
2015-12-30,333,379.95,333,346.25,829
2015-12-31,363,365,348.55,350.6,330
2016-01-01,358.95,364,358.45,363.2,77
2016-01-04,360,435.8,360,430.35,5028
2016-01-05,405,516.4,405,516.4,6289
2016-01-06,567,568,550,563.3,4680
2016-01-07,516,569,516,541.05,1953
2016-01-08,538,558,530,540.15,664
2016-01-11,544.95,544.95,518.1,541.7,490
2016-01-12,516,534,493.1,509.25,1198
2016-01-13,500.95,514.95,490,500.45,853
2016-01-14,451,502,451,481.25,1368
2016-01-15,491,512.1,466.1,495.1,1441
2016-01-18,448,510,447.1,499,443
2016-01-19,462.2,499,462.2,495.15,462
2016-01-20,500,505,499,499.95,626
2016-01-21,490,549.8,454.3,500,3428
2016-01-22,501,502,490.1,500.55,562
2016-01-25,544.95,549.95,515,538,1331
2016-01-27,540,540,506,511.3,706
2016-01-28,500.05,500.05,490,490.05,813
2016-01-29,460,524,456,491.6,1598
2016-02-01,498.4,516.4,483.1,491,777
2016-02-02,507,522,468.15,472.55,856
2016-02-03,451,470,451,464.6,427
2016-02-04,441.5,479.95,441.5,454,539
2016-02-05,465,467.9,451.05,452.3,918
2016-02-08,500,506,470,490.15,635
2016-02-09,490,495,455.3,472.75,751
2016-02-10,465,465,450,450.2,228
2016-02-11,467.9,475,449.95,463,1463
2016-02-12,470,470,450,454.75,665
2016-02-15,460.25,499,460.25,478.45,1293
2016-02-16,478.5,497.5,447.05,457.75,590
2016-02-17,441,442.25,430,436.25,822
2016-02-18,432.3,449.9,413,417.6,526
2016-02-19,417.6,442,417.6,425.95,89
2016-02-22,444,445,444,444.5,60
2016-02-23,425,425,356.1,360.6,8122
2016-02-24,361.9,380,349.8,362.55,1244
2016-02-25,368,411.95,366,383.25,1189
2016-02-26,371,383.9,369,370.9,162
2016-02-29,360,383,360,360.1,2776
2016-03-01,368.9,387.4,361,369.15,671
2016-03-02,370,423.3,370,400,693
2016-03-03,408.4,408.4,382.25,389.75,70
2016-03-04,398.95,398.95,380.15,384.6,208
2016-03-08,365.3,424,365.25,399.9,192
2016-03-09,397.95,398,375,398,178
2016-03-10,412,414.4,398,399.25,273
2016-03-11,399,399,377,377,45
2016-03-14,381,419.2,380,411.75,1599
2016-03-15,405,408,381,385.75,1715
2016-03-16,386.95,393.95,366,369.4,653
2016-03-17,398.7,398.7,376,376.1,501
2016-03-18,397.4,397.4,376,376.1,36
2016-03-21,376,405,376,400.8,840
2016-03-22,399,407,391,402,238
2016-03-23,399.05,409.7,377,384.45,290
2016-03-28,384.5,404.95,376,390.75,1169
2016-03-29,396,408,395,407.15,432
2016-03-30,409.95,417.75,409.95,417.35,3
2016-03-31,409.95,409.95,406.9,406.9,4
2016-04-01,406.9,423.1,391.05,415.55,2060
2016-04-04,400,417.95,400,400,194
2016-04-05,409,409.4,385,392.05,450
2016-04-06,400,425,400,424.1,1190
2016-04-07,425,464,425,440,1035
2016-04-08,440,489.95,440,481.75,858
2016-04-11,479.9,499,470.4,475.9,457
2016-04-12,470,470,458.05,460.4,159
2016-04-13,451.2,471.4,430.05,443.5,266
2016-04-18,461.35,485,441.65,477,498
2016-04-20,514.4,520,466.4,494.1,1219
2016-04-21,539.4,539.4,495,497.15,346
2016-04-22,496.4,511.95,492.5,499.85,881
2016-04-25,500.35,500.35,496,496,74
2016-04-26,455,533.4,455,501,40
2016-04-27,499.5,499.5,496.75,496.75,72
2016-04-28,487.5,509.4,487.5,492,255
2016-04-29,509.95,509.95,484,484,351
2016-05-02,509.9,520,509.9,519.6,64
2016-05-03,529,529,491.2,496.8,558
2016-05-04,497.05,504.95,493.45,493.45,288
2016-05-05,486.1,496,486.1,496,50
2016-05-06,504.4,504.4,496,500,389
2016-05-09,487,487,475.1,475.1,217
2016-05-10,498.4,500,475,476.8,1032
2016-05-11,476.45,493.25,475,475,303
2016-05-12,475.4,476.8,464.55,473.4,2134
2016-05-13,475.4,485,456,463.25,1025
2016-05-16,456.05,478.05,440,442.35,1193
2016-05-17,465,473.95,446,446.45,529
2016-05-18,455,455,440,442.15,124
2016-05-19,450.1,469.4,450.1,462.9,220
2016-05-20,467.1,473,466.95,466.95,55
2016-05-23,432.4,452.7,430,440.95,841
2016-05-24,460,460,460,460,1
2016-05-25,432.05,456,424,431.55,220
2016-05-26,440,451,440,451,195
2016-05-27,450,451,436,438.55,133
2016-05-31,431.5,466.95,431.5,457.65,20
2016-06-01,452,452,425.55,449.2,53
2016-06-02,440,445,435,435,220
2016-06-03,435.05,455,423.7,430.7,508
2016-06-06,431,431,420,424,370
2016-06-07,425,430,405,421.05,1262
2016-06-08,421.05,424.95,407.2,413.2,578
2016-06-09,449.9,449.9,413,414.85,645
2016-06-10,413.15,420.05,406,409.55,266
2016-06-13,407,482.7,380.05,443.25,666
2016-06-14,429,487.95,429,441.75,416
2016-06-15,444.9,444.9,417,428.65,594
2016-06-16,425.6,430,425.6,430,30
2016-06-17,416,430,413.5,427.95,110
2016-06-20,403.5,435,403.5,435,267
2016-06-21,435,439,427,433.65,618
2016-06-22,408,520.35,408,471.05,2777
2016-06-23,471,475,448.7,454.9,416
2016-06-24,430,464.4,422.2,460,1059
2016-06-27,451,469,443,445.6,1596
2016-06-28,489.4,489.4,448,455.95,763
2016-06-29,465,478,465,471.75,450
2016-06-30,496.9,496.9,469.95,470,177
2016-07-01,444,480,444,475.2,2405
2016-07-04,472,472,465,467.6,371
2016-07-05,472,472,450,455.65,659
2016-07-07,452.15,464,440.05,451.2,435
2016-07-08,464,529.7,460.2,475.35,2167
2016-07-11,520,520,479.95,509.65,3574
2016-07-12,514,514,490,498.15,1047
2016-07-13,496,496.1,470,477.75,2026
2016-07-14,489.95,500,452.3,494.6,2006
2016-07-15,490,490,480,483.95,638
2016-07-18,466,539.95,466,490.1,2079
2016-07-19,462,510,462,486.8,322
2016-07-20,498.3,498.35,476.05,477.15,873
2016-07-21,509.95,509.95,480.15,481.55,174
2016-07-22,494,496.5,480,486.5,627
2016-07-25,494,494,470,473.2,2606
2016-07-26,474.95,479,470,473,550
2016-07-27,479.9,486.7,470,470.8,690
2016-07-28,472.05,477.4,450,456.3,1323
2016-07-29,473.4,475,460,474.4,659
2016-08-01,470.05,479.5,445,450.55,1580
2016-08-02,448.05,470,448,450,1529
2016-08-03,447,466.95,447,449.1,597
2016-08-04,449.2,451,449.1,451,15
2016-08-05,451,463.85,446,448.1,574
2016-08-08,446,460,446,450,85
2016-08-09,448,471,448,461.45,321
2016-08-10,446,462,440,442.75,299
2016-08-11,442.05,465,442.05,462.85,115
2016-08-12,471.95,472,471,471,14
2016-08-16,470,484,385,399.85,5535
2016-08-17,388.3,419.95,388.3,401.45,2891
2016-08-18,395,405.85,391,392.15,1105
2016-08-19,394,409.4,390.25,408.4,397
2016-08-22,405,405,398.2,399.9,521
2016-08-23,399.35,408,396.05,404,233
2016-08-24,407.95,415.8,403.95,413.5,533
2016-08-25,405,405,398.1,400.35,105
2016-08-26,419.95,420,402,402,1419
2016-08-29,392.2,415.95,392.15,405.2,1722
2016-08-30,411.95,411.95,394,395.05,374
