Date,Open,High,Low,Close,Volume
2015-09-07,16.9,17.3333,16.3666,16.4816,60718
2015-09-08,16.7017,17.0017,15.7183,16.455,98308
2015-09-09,17.15,17.835,16.8166,16.9367,75898
2015-09-10,16.7017,17.6583,16.7,16.9667,89758
2015-09-11,17.0017,17.33,16.975,17.1366,71308
2015-09-14,17.9667,17.9667,16.8533,17.01,104338
2015-09-15,16.7017,17.33,16.3033,16.755,81928
2015-09-16,17.0017,17.3,16.6667,16.7017,33988
2015-09-18,17.15,17.29,16.5034,16.775,66568
2015-09-21,17.5983,18,16.835,17.4916,213868
2015-09-22,17.5384,17.9983,16.835,17.2217,170488
2015-09-23,17.49,17.6334,16.9816,17.5166,34948
2015-09-24,17.4017,17.7,17.1667,17.2767,39118
2015-09-28,17.7833,17.7833,17.1667,17.215,18478
2015-09-29,17.1684,17.6267,16.735,17.115,50248
2015-09-30,17.34,17.34,16.84,16.9983,41818
2015-10-01,17.3333,17.335,16.7017,16.91,91738
2015-10-05,17.3333,17.5,16.7334,16.895,70018
2015-10-06,17.1,17.2334,16.735,16.8434,86098
2015-10-07,17.0017,17.0017,16.7334,16.8566,69838
2015-10-08,16.865,16.8666,16.4334,16.7966,50878
2015-10-09,17,17.1667,16.5666,16.665,63028
2015-10-12,17.0567,17.0567,16.6667,16.7734,19168
2015-10-13,17,17.6134,16.7666,17.005,241768
2015-10-14,17.2316,17.2666,16.87,17.0883,88468
2015-10-15,17.0883,17.3333,17,17.06,91438
2015-10-16,17.465,17.465,16.85,16.9484,125968
2015-10-19,17.3333,17.3333,16.8666,17.1533,114448
2015-10-20,17.1667,17.2966,16.8666,17.01,115108
2015-10-21,17.1684,17.1684,16.8316,17.0384,148438
2015-10-23,17.0384,17.26,16.7167,16.875,95428
2015-10-26,17.2833,17.2833,16.6733,17.045,100078
2015-10-27,17.165,17.3,17,17.1467,178888
2015-10-28,17.5,17.5,17,17.065,111358
2015-10-29,17.065,17.2334,17,17.14,83488
2015-10-30,17.0666,18.1233,17.0666,17.3366,113098
2015-11-02,17.4017,19.5,17.0666,18.97,712108
2015-11-03,19.1667,19.63,18.9,19.3316,1050838
2015-11-04,21.8333,23.1967,21.5,23.1967,4998988
2015-11-05,24.1667,25.7283,23.3417,23.5516,11513398
2015-11-06,23.2666,25.0333,23.2666,24.915,5141188
2015-11-09,23.7334,25,23.7334,24.5934,1246888
2015-11-10,24.4667,24.8333,24,24.1783,491698
2015-11-11,24.1783,25.4,24.1783,24.9583,491068
2015-11-13,24.8417,25,24.1667,24.3467,395908
2015-11-16,24.4667,25.3,24.0034,24.9433,505468
2015-11-17,25.0166,25.0166,24.3666,24.77,423508
2015-11-18,24.4367,25,24.3417,24.57,530578
2015-11-19,24.4017,26.5333,24.4017,24.9134,4047958
2015-11-20,24.7334,27.4033,24.7334,27.0917,2075128
2015-11-23,27.5,29.8,27.21,28.4484,3551728
2015-11-24,28.48,28.5017,27.7017,28.0084,1598758
2015-11-26,28.33,30.8084,28,30.6984,5774488
2015-11-27,30.7334,31.4334,29.1667,29.4334,1685098
2015-11-30,29.4334,30.0666,28.555,28.865,869398
2015-12-01,28.865,30.1667,28.865,29.565,989398
2015-12-02,30,30,29.01,29.7116,229108
2015-12-03,29.8333,30.0017,29.1334,29.4033,361378
2015-12-04,29.135,29.565,28.6667,28.8316,226378
2015-12-07,29.5,29.9566,28.5084,28.645,127078
2015-12-08,28.6684,29.19,27.8333,28.2884,388228
2015-12-09,28.265,29.23,26.875,26.9517,454258
2015-12-10,27.235,28.2983,26.6667,28.1667,518818
2015-12-11,28.3333,28.8333,27.2466,27.3784,200788
2015-12-16,29.6834,29.8883,29.1834,29.4783,120598
2015-12-17,29.2684,29.6667,29.1667,29.4884,498238
2015-12-18,29.5,29.8316,29.0333,29.275,194308
2015-12-21,29.2334,29.7316,29,29.1416,386308
2015-12-22,29.8,30.5,28.4534,30.3183,620548
2015-12-23,30.965,31,29.8666,29.9667,431128
2015-12-24,30.1484,30.6334,29.8984,30.105,237838
2015-12-28,30.695,30.6967,29.7334,30.3883,196648
2015-12-29,30.3683,30.5,29.925,30.0833,153268
2015-12-30,30.5434,31.2066,29.5,31.1484,1651708
2015-12-31,31.4283,31.4283,30.7334,30.8366,792808
2016-01-01,31.6334,31.6334,30.4667,30.5717,646348
2016-01-04,30.5633,33.1,30.5633,31.3967,2301088
2016-01-05,31.71,31.965,31.0333,31.3183,1601938
2016-01-06,31.6317,31.6317,30.2666,30.5166,310738
2016-01-07,30.3,30.3,28.75,28.9916,575848
2016-01-08,29.6416,30.2316,29.135,29.6084,274438
2016-01-11,29.2666,30.2917,28.8333,29.9317,358138
2016-01-12,30.0983,30.1667,28.5434,28.7816,277108
2016-01-13,29.93,30.0666,26,27.9467,1024888
2016-01-14,26.6667,28,26.2066,27.0367,306238
2016-01-15,27.6317,28.2567,26.5034,26.945,678868
2016-01-18,25.3733,26.9,24.1667,24.6183,336388
2016-01-19,24.6,26.0883,24.4,25.8883,451708
2016-01-20,25.6667,25.7334,24.6667,25.2167,167128
2016-01-21,26.2334,26.3333,24.7266,25.3566,107098
2016-01-22,25.7666,26.5,25.6667,26.2384,85438
2016-01-25,26.5666,27.1566,26.5666,26.8866,207448
2016-01-27,27.2567,27.2567,26.6667,26.8716,197938
2016-01-28,26.8316,27.42,26.6667,26.6984,95848
2016-01-29,27.1334,27.2666,26.7,26.995,124738
2016-02-01,27.4334,27.6667,26.7184,27.245,204658
2016-02-02,27.3333,28.3333,27,27.7416,476908
2016-02-03,28.9334,30.7983,27.88,30.0184,6656998
2016-02-04,30.3333,30.6566,28.82,29.4534,1626178
2016-02-05,29.4534,29.9484,29.1984,29.4017,252628
2016-02-08,29.4017,29.8166,29.0833,29.175,128218
2016-02-09,29.5,29.5,27.7334,28.2217,363118
2016-02-10,29,29,27.45,27.7767,135118
2016-02-11,28.165,28.1667,25.3666,26.0816,352168
2016-02-12,27.1317,27.4667,24,25.7534,391858
2016-02-15,26.3333,27.7,26.3316,27.23,246028
2016-02-16,27.1667,27.5633,25.2,25.41,253948
2016-02-17,25.3984,25.4,24.385,25.085,281788
2016-02-18,25.4,26.2466,25.3383,25.6467,138688
2016-02-19,25.705,26.4083,25.665,26.185,28138
2016-02-22,25.8666,26.6667,25.5,26.0833,132328
2016-02-23,26.0683,26.0683,25.3333,25.5617,124078
2016-02-24,25.535,25.535,24.9,25.1117,99688
2016-02-25,25.8316,26.4334,25.2316,25.9916,190408
2016-02-26,26.43,26.7483,25.9667,26.6383,132898
2016-02-29,27.4667,27.4667,25.3067,25.605,211678
2016-03-01,27.0333,28.2666,25.76,27.685,265018
2016-03-02,27.685,29.17,27.3333,27.4717,120988
2016-03-03,27.5017,28.5,27.3333,28.09,123808
2016-03-04,29.8,33.5,29.3666,33.0466,8080978
2016-03-08,32.82,32.82,31.0333,31.6684,2493478
2016-03-09,31.21,31.8333,30.8883,31.3533,796648
