Date,Open,High,Low,Close,Volume
2015-09-07,342.13,342.23,333.75,335.77,1657353
2015-09-08,336.82,338.93,319.27,331.77,2735282
2015-09-09,337.59,341.43,329.69,332.92,2010395
2015-09-10,325.5,329.34,310.22,317.25,4279098
2015-09-11,317.83,326.01,311.95,323.87,3222506
2015-09-14,326.01,326.14,316.55,321.12,3080603
2015-09-15,322.43,323.58,313.35,314.76,2400048
2015-09-16,317.48,320.39,302.8,305.61,3499049
2015-09-18,312.04,321.28,303.76,307.63,12441930
2015-09-21,305.68,309.52,299.44,301.04,2415022
2015-09-22,305.68,308.24,293.4,295.83,2110400
2015-09-23,291.61,298.64,287.17,297.4,2410907
2015-09-24,297.81,300.05,294.49,298.32,2510864
2015-09-28,299.73,301.75,288.44,290.55,1191781
2015-09-29,285.34,288.51,280.1,282.21,2112134
2015-09-30,287.13,295.26,283.78,293.08,3087396
2015-10-01,296.34,296.41,286.59,290.33,1488361
2015-10-05,292.79,292.79,277.41,289.05,3432130
2015-10-06,292.44,298.45,289.05,297.21,2843222
2015-10-07,298.52,298.52,284.26,287.07,3022424
2015-10-08,287.77,289.44,281.25,284.29,3954233
2015-10-09,284.74,291.58,284.74,289.69,2164532
2015-10-12,292.57,299.92,291.03,298.77,1753073
2015-10-13,301.2,305.33,298.77,304.14,2344830
2015-10-14,303.76,306.29,297.49,300.75,1633191
2015-10-15,301.84,306,299.48,304.69,3379646
2015-10-16,305.04,308.84,296.25,304.75,1851487
2015-10-19,304.75,313.22,304.24,312.11,2058583
2015-10-20,311.43,312.71,303.79,308.08,1288110
2015-10-21,308.17,311.05,300.88,306.73,1242641
2015-10-23,307.92,311.98,294.17,295.29,2002804
2015-10-26,298,299.86,281.89,286.53,6780181
2015-10-27,288.86,302,287.61,299.99,3683360
2015-10-28,301.49,307.21,296.85,303.22,2788993
2015-10-29,303.22,306.64,302.26,304.24,1878453
2015-10-30,305.04,307.34,292.03,293.98,2688945
2015-11-02,294.55,296.73,288.73,292.98,1353554
2015-11-03,292.89,295.38,287.84,288.6,1513813
2015-11-04,289.69,292.19,283.36,290.71,2442573
2015-11-05,289.69,291,279.84,281.09,1626808
2015-11-06,280.71,288.6,276.9,286.85,2476781
2015-11-09,284.51,296.37,278.98,294.68,1979470
2015-11-10,293.53,294.17,286.88,289.88,1219148
2015-11-11,290.71,294.1,288.96,290.27,135954
2015-11-13,283.33,285.22,274.98,278.15,2476377
2015-11-16,277.29,283.87,275.53,280.87,1461453
2015-11-17,285.31,286.49,280.13,284.42,1628502
2015-11-18,286.17,290.33,282.72,284.61,1577444
2015-11-19,287.45,291.45,284.74,287.71,1269429
2015-11-20,290.11,295.99,288.51,293.66,1650226
2015-11-23,296.73,301.84,280.9,282.63,6745792
2015-11-24,285.12,285.6,278.5,279.49,2599886
2015-11-26,280.51,281.7,274.47,275.24,2325202
2015-11-27,277.48,278.47,268.2,269.26,2364502
2015-11-30,268.01,271.75,264.18,265.87,3870532
2015-12-01,267.25,274.98,267.25,271.88,1729952
2015-12-02,272.43,276.2,270.31,271.53,1825194
2015-12-03,269.96,272.52,268.11,269.48,1027489
2015-12-04,266.67,269.39,266.03,267.88,1555586
2015-12-07,269.55,270,261.75,264.59,1431810
2015-12-08,263.47,263.86,257.49,258.71,2483466
2015-12-09,256.28,256.6,249.79,252.44,2506891
2015-12-10,252.41,263.41,247.68,261.17,2674853
2015-12-11,262.83,263.95,252.6,253.62,1829817
2015-12-16,270.38,272.27,268.27,271.4,2405550
2015-12-17,271.79,274.28,266.67,273.1,2445897
2015-12-18,262.19,271.66,262.19,269.96,2155115
2015-12-21,266.48,277.35,266.48,273.8,1620020
2015-12-22,273.7,276.23,271.47,273.19,1545168
2015-12-23,274.06,279.08,273.48,277.64,1407088
2015-12-24,278.18,278.6,274.86,276.93,493058
2015-12-28,276.93,279.33,275.62,278.08,1001659
2015-12-29,277.86,280.1,275.02,277.45,664764
2015-12-30,277.45,280.1,275.17,278.15,696402
2015-12-31,278.18,283.74,275.3,280.16,2721001
2016-01-01,280.16,283.14,278.56,281.6,337395
2016-01-04,279.14,284.58,272.94,277.45,1105725
2016-01-05,279.14,279.88,273.42,278.37,1313902
2016-01-06,277.96,284.7,277.13,283.52,1476445
2016-01-07,282.34,282.34,263.6,266.93,1726954
2016-01-08,269.23,274.06,267.02,272.07,913785
2016-01-11,268.59,273.61,266.86,271.72,1002421
2016-01-12,272.55,276.65,268.43,271.72,1330187
2016-01-13,275.08,275.08,258.55,262.9,1687800
2016-01-14,258.42,259.57,250.46,254.87,2007638
2016-01-15,256.44,259,248.48,249.63,2134379
2016-01-18,246.59,252.12,239.59,248.12,1487163
2016-01-19,248.76,255.09,247.55,250.65,1202455
2016-01-20,246.21,248.41,236.84,238.82,2889441
2016-01-21,237.96,244.54,237.89,241.54,2199997
2016-01-22,244.7,257.24,243.17,255.29,1619423
2016-01-25,257.59,259.06,252.12,256.82,1127358
2016-01-27,258.36,266.48,256.44,264.21,2320607
2016-01-28,264.18,269.23,261.59,262.61,2296395
2016-01-29,264.72,280.67,262.77,279.56,3933903
