Date,Open,High,Low,Close,Volume
2020-10-06,50,50,50,50,9600
2020-10-13,50,50,50,50,252000
2020-10-23,50,50,50,50,26400
2020-10-26,50.5,50.5,50.5,50.5,2400
2020-10-27,50.5,50.5,50.5,50.5,196800
2020-10-28,52.75,54.7,52.75,54.7,271200
2020-10-29,55,55,55,55,74400
2020-10-30,57.3,57.3,57.3,57.3,72000
2020-11-03,58,58,58,58,84000
2020-11-04,56.625,60,56.625,60,120000
2020-11-06,62.5,62.5,62.5,62.5,2743200
2020-11-10,62.5,62.5,62.5,62.5,48000
2020-11-11,62.5,62.5,62.5,62.5,48000
2020-11-13,62.5,62.5,62.5,62.5,48000
2020-11-14,62.5,62.5,62.5,62.5,24000
2020-11-24,60,60.5,60,60.45,26400
2020-12-08,61.25,61.25,61.25,61.25,4800
2020-12-28,62.5,62.5,62.5,62.5,9600
2020-12-29,62.25,62.75,62.25,62.75,7200
2021-01-06,64.125,65,64.125,65,28800
2021-01-08,66.025,66.05,66.025,66.05,96000
2021-01-13,68.5,68.5,68.5,68.5,31200
2021-01-14,70,70,70,70,60000
2021-01-15,70.975,70.975,70.975,70.975,52800
2021-01-18,67.5,67.5,67.5,67.5,2400
2021-02-09,70,70,70,70,2400
2021-02-12,72.5,72.5,72.5,72.5,2400
2021-03-01,72.25,72.25,72.25,72.25,2400
2021-03-03,69,69,69,69,2400
2021-03-04,72.5,72.5,72.5,72.5,26400
2021-03-18,73,73,73,73,57600
2021-04-26,72,72,72,72,52800
2021-04-27,72,72.25,72,72.25,28800
2021-04-29,72.5,72.5,72.5,72.5,14400
2021-04-30,73.5,73.5,73.5,73.5,14400
2021-05-05,75,75,75,75,24000
2021-05-06,77,77,77,77,14400
2021-06-21,77.5,77.5,77.5,77.5,40800
2021-10-06,69,69,69,69,2400
2021-10-12,62.5,62.5,62.5,62.5,96000
2021-12-01,60.875,60.875,60.875,60.875,2400
2021-12-02,63.375,63.375,63.375,63.375,2400
2022-03-04,63,63,63,63,192000
2022-03-09,63,63,63,63,60000
2022-03-29,62.5,62.5,62.5,62.5,2400
2022-04-06,55,62.5,55,55.225,446400
2022-04-07,55.5,56.15,55.5,55.775,172800
2022-04-11,56.5,58,56.5,58,345600
2022-04-12,59.75,59.75,59.75,59.75,43200
2022-04-13,60,60,60,60,50400
2022-04-18,58.5,58.5,58.5,58.5,110400
2022-04-19,55.5,55.5,55.5,55.5,48000
2022-04-20,56.5,56.5,56.5,56.5,81600
2022-04-21,55.5,55.5,55.5,55.5,81600
2022-04-22,55,55,54.95,54.95,76800
2022-04-25,55.5,55.5,55.5,55.5,48000
2022-04-26,57.5,57.5,55.5,55.675,100800
2022-04-27,55,55,55,55,76800
2022-04-28,55,55,55,55,81600
2022-04-29,54.75,56,54.75,56,69600
2022-05-02,56.5,56.5,56.5,56.5,60000
2022-05-04,55,55,55,55,81600
2022-05-05,56,56,56,56,62400
2022-05-06,55,55,55,55,81600
2022-05-09,56,56,56,56,72000
2022-05-12,55,55,55,55,108000
2022-05-13,56.5,56.5,55,55,69600
2022-05-16,55,55,55,55,91200
2022-05-17,55,55,55,55,40800
2022-05-19,57,57,55.5,55.5,62400
2022-05-20,57.25,58,57.25,58,129600
2022-05-23,60.75,62.25,60.75,62.25,98400
2022-05-24,60.1,60.1,60.1,60.1,117600
2022-05-25,60.3,63,60.3,62.8,105600
2022-05-26,63.75,63.75,63.75,63.75,50400
2022-05-27,62.125,67.5,62.125,65.5,91200
2022-05-30,78.6,78.6,78.6,78.6,4800
2022-05-31,90,94.3,90,94.3,19200
2022-06-01,99.5,103.725,98.25,98.25,24000
2022-06-02,102,102,100.5,100.5,4800
2022-06-03,102.5,103,102.5,103,4800
2023-07-05,293.95,294.55,274,277.4,129449
2023-07-06,283.7,291,263.55,288.55,125396
2023-07-07,290,290,281,281.75,80978
2023-07-10,290,292.95,282.1,290.5,70819
2023-07-11,286.85,290,277,280.6,68568
2023-07-12,282,289.4,279,279.95,25172
2023-07-13,287.6,287.6,279,280.9,55899
2023-07-14,284.95,285,276.9,280.2,14191
2023-07-17,280.9,280.9,266.2,266.2,64195
2023-07-18,256.05,274.4,252.9,252.9,37724
2023-07-19,240.25,260.95,240.25,251.55,67967
2023-07-20,263.95,263.95,252,252.05,3122
2023-07-21,259.3,259.3,248.05,253,34269
2023-07-24,263.95,264.9,240.35,252,18020
2023-07-25,255.1,258.25,245.05,246.3,8801
2023-07-26,252.1,253.4,237.05,247.8,10389
2023-07-27,254.9,254.9,237.5,244.75,5024
2023-07-28,253.9,256.95,245.2,256.95,21606
2023-07-31,260,261.05,250.55,255.5,25486
2023-08-01,259.95,260,251.95,256.35,9716
2023-08-02,260,260,245.1,248.8,4900
2023-08-03,248.55,256,245.1,254.35,2651
2023-08-04,259.9,259.9,246.95,254.05,2217
2023-08-07,264.7,264.7,243,254.45,6883
2023-08-08,252.3,260.85,246.05,249.75,8436
2023-08-09,254.95,255.55,241.5,243.65,26831
2023-08-10,243.95,255.8,241.95,252.25,4012
2023-08-11,252.6,253.45,249.7,252.3,561
2023-08-14,264,264,249.65,254.35,2438
2023-08-16,258.4,260,251.85,258.9,28430
2023-08-17,265,270,256.95,267.15,11102
