Date,Open,High,Low,Close,Volume
2023-06-22,70.5,74,70.5,74,1600800
2023-06-23,74,74,70.3,70.3,206400
2023-06-26,66.8,68.95,66.8,66.8,523200
2023-06-27,66.5,70.15,66.5,67.2,338400
2023-06-28,66,66,63.85,63.85,84000
2023-06-30,61,62,60.65,60.65,33600
2023-07-03,58,63.7,57.65,63.7,249600
2023-07-04,63.7,64,60.5,62.9,175200
2023-07-05,62.9,64,61,61.45,120000
2023-07-06,62.4,64.5,61.8,64.5,168000
2023-07-07,65,67.45,62.5,65.2,237600
2023-07-10,64.55,65.85,61.55,62.35,79200
2023-07-11,60.4,63.2,60,60.7,50400
2023-07-12,60.5,61.85,58.4,59.85,67200
2023-07-13,57.65,57.65,48.6,52.65,216000
2023-07-14,54.9,55,51,51.1,76800
2023-07-17,49.5,53.35,45.25,50.15,55200
2023-07-18,51.05,56.75,50,54.4,72000
2023-07-19,55,55.25,52.3,52.85,31200
2023-07-20,51.6,53.9,50,50.65,67200
2023-07-21,51.4,51.95,50.5,51,24000
2023-07-24,52,52,51.2,51.2,9600
2023-07-25,51.2,53,45,52,187200
2023-07-26,51,53.4,51,52,31200
2023-07-27,51,51.9,49.5,51,45600
2023-07-28,51,51,49.9,50.85,24000
2023-07-31,51,51,49.5,49.95,21600
2023-08-01,51.5,51.5,49.25,49.9,36000
2023-08-02,50,51,49.55,50,14400
2023-08-03,49,49,48,49,31200
2023-08-04,49.5,49.5,47.5,49.4,60000
2023-08-07,48,48.25,47,47,45600
2023-08-08,48.4,48.4,45.65,46.3,74400
2023-08-09,47.5,47.5,45.4,46.9,28800
2023-08-10,45.55,45.7,45.1,45.7,26400
2023-08-11,45.45,46,45,45.65,43200
2023-08-14,48,48,45.1,45.1,16800
2023-08-16,43.75,45.3,36.1,45.1,103200
2023-08-17,44.95,45.1,44.95,45,14400
2023-08-18,44.75,45.5,44.75,45.05,16800
2023-08-21,42.75,45,42.75,44.25,16800
2023-08-22,45,53.1,45,53.1,348000
2023-08-23,57,63.7,57,63.7,532800
2023-08-24,68.9,69.2,61.5,64.75,415200
2023-08-25,66,71.2,66,70,444000
2023-08-28,72,73,67.6,68.45,129600
2023-08-29,70,70,66.4,67.45,86400
2023-08-30,69.95,74.2,69.25,74.2,160800
2023-08-31,81.6,81.6,77,81.1,381600
2023-09-01,84,84.45,77,77.1,132000
2023-09-04,78.45,78.45,73.25,73.25,122400
2023-09-05,71.75,73,69.6,69.6,146400
2023-09-06,68.9,70.25,66.1,68.95,115200
2023-09-07,68.5,72.4,66,71,88800
2023-09-08,74.2,74.55,74,74.55,60000
2023-09-11,75,75.7,71.5,74,86400
2023-09-12,72,74,70.3,70.5,24000
2023-09-13,67.5,69.45,66.95,67.65,45600
2023-09-14,70,70,66.05,67,14400
2023-09-15,67.3,67.3,66,66.6,31200
2023-09-18,65.8,69.45,65.5,66.7,81600
2023-09-20,65.55,65.55,63.4,63.4,31200
2023-09-21,62.4,66.45,62.4,63.15,55200
2023-09-22,64.5,66.3,64.5,66.3,31200
2023-09-25,67,68.1,63,63.05,79200
2023-09-26,60.15,61.2,59.9,60,81600
2023-09-27,60.75,61.85,57,61.85,64800
2023-09-28,62.5,64.9,61.85,64.6,88800
2023-09-29,65,66.95,65,66.4,48000
2023-10-03,68.2,68.5,66.5,68,50400
2023-10-04,67,68.85,65.75,65.75,31200
2023-10-05,67.95,68.45,66.5,67.3,40800
2023-10-06,64.95,70,64.95,69.7,50400
2023-10-09,69.7,73.95,67.75,70,52800
2023-10-10,70,70,70,70,4800
2023-10-11,70,70,67.5,67.8,28800
2023-10-12,67.8,70.5,67.25,70.5,19200
2023-10-13,70.5,74.05,65.3,72.8,136800
2023-10-16,78.35,80.1,77.45,80.1,72000
2023-10-17,88.1,88.1,88.1,88.1,36000
2023-10-18,92.5,92.5,89.45,92.5,724800
2023-10-19,95.95,97.1,90.1,97.1,278400
2023-10-20,101.95,101.95,96.25,101.95,232800
2023-10-23,107.05,107.05,103.5,104.5,153600
2023-10-25,104.5,104.5,99.3,102.5,62400
2023-10-26,97.9,99.45,97.4,99,36000
2023-10-27,101.95,103.95,101,102.6,40800
2023-10-30,106,107.75,106,107.75,38400
2023-10-31,111.45,113.1,111.45,113.1,12000
2023-11-01,118.8,118.8,118.8,118.8,4800
2023-11-02,124.7,124.7,124.7,124.7,4800
2023-11-03,130.9,130.9,130.9,130.9,7200
2023-11-06,137.45,137.45,124.4,124.4,211200
2023-11-07,118.3,130.6,118.2,130.6,316800
2023-11-08,134.5,137.1,134.5,137.1,9600
2023-11-09,143.95,143.95,143.95,143.95,28800
2023-11-10,149.5,151.15,138.5,151.15,139200
2023-11-12,158.7,158.7,158.7,158.7,7200
2023-11-13,166.6,166.6,166.6,166.6,31200
2023-11-15,174.95,174.95,174.95,174.95,16800
2023-11-16,183.7,183.7,183.7,183.7,2400
2023-11-17,192.85,192.85,192.85,192.85,4800
2023-11-20,202.45,202.45,202.45,202.45,7200
2023-11-21,212.3,212.3,212.3,212.3,2400
2023-11-22,222.9,222.9,222.9,222.9,9600
2023-11-23,230,234.05,212,231.8,252000
2023-11-24,235.9,238.5,232,238.1,40800
2023-11-28,249,250,226.2,226.2,48000
2023-11-29,215,215,214.9,214.9,4800
2023-11-30,204.2,225.6,204.2,224.4,93600
2023-12-01,235,235.55,220,233.8,40800
2023-12-04,237.65,245.5,237.55,245.5,24000
2023-12-05,257.75,257.75,252.5,257.75,43200
2023-12-06,270.65,270.65,244.9,244.9,48000
2023-12-07,240,244,232.7,236.7,9600
2023-12-08,228.5,228.55,224.9,224.9,40800
2023-12-11,217.5,221.9,217.5,220.95,16800
2023-12-12,215,217.45,212.5,217.45,9600
2023-12-13,215,215,215,215,4800
2023-12-14,207.5,214.5,204.25,205,122400
2023-12-15,205,205,197,199.2,19200
2023-12-18,200,205,200,201.6,12000
2023-12-19,206,206,200,205,7200
2023-12-20,205,205,194.75,195,21600
2023-12-21,185.55,194,185.55,187.5,9600
2023-12-22,193,193,191.75,191.75,4800
2023-12-26,182.2,182.2,182.2,182.2,2400
2023-12-27,186.5,189.95,186.5,189.95,7200
2023-12-28,194.95,197.5,194.95,197.5,12000
2023-12-29,188.6,189.95,187.6,188.4,14400
2024-01-01,187.5,197.8,183.5,197.8,14400
2024-01-02,199.95,199.95,199.95,199.95,2400
2024-01-03,199.95,199.95,199.95,199.95,2400
2024-01-04,202.5,205,197.5,197.5,9600
2024-01-05,189,204.45,189,199.1,9600
2024-01-08,207.5,209.05,206.95,208.5,31200
2024-01-09,205,205,198.05,198.4,21600
2024-01-10,189,189,188.45,188.8,7200
2024-01-11,180.3,198.25,180.3,198.25,38400
2024-01-12,207.5,208.15,207.5,208.15,24000
2024-01-15,218.55,218.55,202.5,218.25,24000
2024-01-16,229,229,207.35,207.35,36000
2024-01-17,200.75,214.5,199.3,207.25,9600
2024-01-18,201,201.1,197.5,197.55,31200
2024-01-19,205,207.4,188.8,195.5,50400
2024-01-20,205,205,192.75,193,52800
2024-01-23,202,202,194,194.1,26400
2024-01-24,195.5,195.5,190,191.5,14400
2024-01-25,183.55,183.55,181.9,181.9,43200
2024-01-29,172.8,181,172.8,176.45,40800
2024-01-30,176.75,185.3,176.5,185.3,21600
2024-01-31,194.5,194.5,190,190,21600
2024-02-01,187.05,187.05,187.05,187.05,2400
2024-02-02,195,195,177.7,177.7,19200
2024-02-05,172,177.45,168.8,168.8,28800
2024-02-06,160.9,162.8,160.4,160.4,60000
2024-02-07,168,176.4,168,176.4,40800
2024-02-08,176.4,176.4,176.4,176.4,2400
2024-02-09,176.4,176.4,167.5,168,9600
2024-02-12,172.5,172.5,151.2,152.1,81600
2024-02-13,152.5,157,151,157,7200
2024-02-14,155,156,149,149,16800
2024-02-15,150,163.9,149.75,163.9,26400
2024-02-16,177.95,180.3,168.5,180.3,16800
2024-02-19,183.5,198.3,171.5,175.4,108000
2024-02-20,177.55,192.95,177.55,192.95,81600
2024-02-21,202.5,211.5,202.5,209.85,60000
2024-02-22,220.3,220.3,219.5,219.95,100800
2024-02-23,224.8,230.9,219.9,230.9,110400
2024-02-26,240,240,222,222.5,74400
2024-02-27,225,225,211.4,211.4,43200
2024-02-28,205,205,200.8,200.8,45600
2024-02-29,192.75,200,192.75,200,31200
2024-03-01,202,202,191.1,191.3,16800
2024-03-04,199,199,199,199,2400
2024-03-05,190.15,190.15,189.05,189.05,38400
2024-03-06,187.2,187.2,179.6,179.6,48000
2024-03-07,172,179.95,170.6,171.45,86400
2024-03-11,171,171,162.9,162.9,26400
2024-03-12,154.8,154.8,154.8,154.8,26400
2024-03-13,147.5,147.5,147.05,147.05,14400
2024-03-14,139.7,147.05,139.7,139.7,72000
2024-03-15,139.7,146.45,132.7,132.7,45600
2024-03-18,139.35,139.35,139.35,139.35,2400
2024-03-19,146.3,146.3,146.3,146.3,7200
2024-03-20,153.6,153.6,153.6,153.6,26400
2024-03-21,161.3,161.3,161.3,161.3,36000
2024-03-22,169,169.3,167.45,169.3,115200
2024-03-26,177.8,177.8,177.8,177.8,12000
2024-03-27,186.65,186.65,177.8,182.5,67200
2024-03-28,191.6,191.6,185,187,26400
2024-04-01,179,179,177.65,177.65,28800
2024-04-02,173.05,173.05,168.8,169.25,38400
2024-04-03,177.7,177.7,174,177.7,19200
2024-04-08,175,175,169,170.05,19200
2024-04-09,167.5,167.5,165.05,165.05,19200
2024-04-10,158.4,167.9,158.4,167.6,36000
2024-04-12,161.55,161.55,159.25,159.25,26400
2024-04-15,151.3,166.95,151.3,166.95,26400
2024-04-16,172,175.3,170.5,175.3,24000
2024-04-18,181.9,184,170,184,88800
2024-04-19,186,187,174.8,174.8,55200
2024-04-22,173.5,174.5,166.1,166.55,38400
2024-04-23,169.8,171,169.8,171,7200
2024-04-25,163.5,171.35,163.5,171.25,14400
2024-04-26,171.25,174.7,163.25,174.7,9600
2024-04-29,174.95,183.4,173.4,175.5,16000
2024-04-30,182,182,170,172.5,13600
2024-05-02,178.9,178.9,167.6,170.9,27200
2024-05-03,170.1,175.25,167.5,172.45,26400
2024-05-06,178.4,181.05,171,178.5,46400
2024-05-07,181.45,187.45,181.45,187.45,32800
2024-05-08,196.45,196.45,187,191,20000
2024-05-09,181.75,196.5,181.75,186.2,24000
2024-05-10,186.5,186.5,176.9,181.5,20000
2024-05-13,181.5,187.2,172.4,172.95,27200
2024-05-14,172.95,181.5,172.95,179.75,8800
2024-05-15,173.55,178.95,170.8,170.8,16800
2024-05-16,167.5,167.9,162.25,162.55,33600
2024-05-17,159.5,170.7,159.5,170.3,13600
2024-05-18,174.55,175.5,174.55,175.5,3200
2024-05-21,170,184.3,167,184.3,36800
2024-05-22,185,191,185,189.75,12000
2024-05-23,185,193.75,185,190,16000
2024-05-24,182.55,199.5,182.55,199.5,36800
2024-05-27,203.5,208.5,199,200.7,22400
2024-05-28,206,206,190.65,190.65,41600
2024-05-29,181.1,181.1,181.1,181.1,20800
2024-05-30,172.5,172.5,172.05,172.05,8800
2024-05-31,163.45,163.45,163.45,163.45,32800
2024-06-03,155.3,159.5,155.3,155.3,72800
2024-06-04,147.55,157.5,147.55,149.7,110400
2024-06-05,150,157.15,148,157.15,21600
2024-06-06,164,165,164,164.95,42400
2024-06-07,166.45,173,164.95,167.5,28000
2024-06-10,167.5,167.5,159.15,161.55,45600
2024-06-11,160,165.1,155.1,161.75,20000
2024-06-12,162,169.8,162,169.45,75200
2024-06-13,169.55,175,161.5,171.7,69600
2024-06-14,172.5,176.5,167,167.9,30400
2024-06-18,168,168,161.8,163,23200
2024-06-19,160.25,162,154.85,158.15,71200
2024-06-20,159.5,159.5,152.5,156.35,48000
2024-06-21,157.95,162.5,155,157,16800
2024-06-24,157,164.85,149.5,164.85,110400
2024-06-25,167,173.05,160.75,161.9,97600
2024-06-26,162.25,162.5,153.8,157.55,102400
2024-06-27,156.5,159.2,150.05,151.05,51200
2024-06-28,151.75,158.6,151.75,158.6,63200
2024-07-01,164.4,166.5,154.4,165.6,114400
2024-07-02,167.5,167.5,161,163.25,35200
2024-07-03,164.55,171,159,168.2,102400
2024-07-04,174.5,176.6,168,174.9,150400
2024-07-05,174.9,183.6,174.9,183.6,76800
2024-07-08,192.8,192.8,192.8,192.8,15200
2024-07-09,202.4,202.4,183.15,197.35,158400
2024-07-10,204.75,206.5,188,195.9,71200
2024-07-11,203.75,205.65,194,203.85,115200
2024-07-12,200.05,200.05,193.7,194.4,73600
2024-07-15,202.5,202.5,188,197.45,35200
2024-07-16,197.5,197.5,189,190.45,28000
2024-07-18,190,190,183.15,184.45,35200
2024-07-19,182.5,182.5,175.25,175.9,30400
2024-07-22,174,179.45,173.2,175.95,28000
2024-07-23,182.5,184.75,177.5,184.6,56800
2024-07-24,191.5,193.85,191,193.85,17600
2024-07-25,203.5,203.5,203.5,203.5,24000
2024-07-26,213.7,213.7,207.5,213.55,196000
2024-07-29,224.25,224.25,215,219.6,132800
2024-07-30,219.6,230.55,219.6,230.55,48800
2024-07-31,239,239,219.05,219.6,59200
2024-08-01,219,219,208.6,208.95,38400
2024-08-02,200.55,219.4,200.55,215.35,84000
2024-08-05,215,219.4,204.6,218.4,85600
2024-08-06,220,223.5,210,211.9,48800
2024-08-07,205,218,201.5,214.75,26400
2024-08-08,209.1,224.75,209.1,222.1,66400
2024-08-09,229,232.45,216,216.6,36000
2024-08-12,221,238.3,221,238.1,360000
2024-08-13,245,261.9,242.9,261.8,477600
2024-08-14,271,287.5,244.4,265,272800
2024-08-16,267,268.55,251.75,254,68800
2024-08-19,261,261.75,250,252.9,36000
2024-08-20,253,260,245,246,40000
2024-08-21,237.5,249.8,230,235.9,86400
2024-08-22,236.5,244.95,225.5,230.2,77600
2024-08-23,240,240,225,236.7,51200
2024-08-26,248.7,248.7,230,232.95,80800
2024-08-27,230.5,238.5,224.5,237,44000
2024-08-28,242.5,242.5,230.65,237,19200
2024-08-29,231,231,225.5,226.8,41600
2024-08-30,225.5,238.5,219.05,236.9,62400
2024-09-02,242,242,225,227.9,59200
2024-09-03,228,232,227.25,228.2,24000
2024-09-04,232.5,234,226.75,231.8,20000
2024-09-05,232.45,237,227.5,229,54400
2024-09-06,238.25,238.25,226.75,228.5,32000
2024-09-09,227.5,234,220.5,231.5,29600
2024-09-10,234.4,236.5,233,234.4,23200
2024-09-11,233,233.05,229.5,230,7200
2024-09-12,230.75,233.95,230.5,232.7,10400
2024-09-13,236,238.5,232.65,235.5,24000
2024-09-16,237.5,240,221.75,227.05,36000
2024-09-17,227.05,227.05,214,215.3,44800
2024-09-18,217,219.05,212.2,214,19200
2024-09-19,210,210,202.8,207.65,27200
2024-09-20,200,215.5,200,215.5,12800
2024-09-23,229.5,229.5,220,220.7,46400
2024-09-24,217.5,219.5,213,216,12800
2024-09-25,222.5,222.5,216.4,219,18400
2024-09-26,225,225.5,220,220.5,18400
2024-09-27,228.9,232,222.9,230.4,51200
2024-09-30,224.6,224.6,211.05,215.5,59200
2024-10-01,219.5,220,211.1,213,14400
2024-10-03,211.75,213,207.75,208.75,19200
2024-10-04,208,213.75,202.5,213.75,22400
2024-10-07,213.75,213.75,199.1,200.75,24800
2024-10-08,195,203,185,203,28000
2024-10-09,200,209,196,203,6400
2024-10-10,200,204,200,204,5600
2024-10-11,204,208,200.5,200.5,9600
2024-10-14,202.5,202.5,190.5,193.05,28800
2024-10-15,190.5,202.7,188.95,202.7,33600
2024-10-16,202.7,211.5,195,208.5,25600
2024-10-17,206,218.9,202.5,214,31200
2024-10-18,210,219.9,210,218,6400
2024-10-21,218,222.5,213,215.2,28800
2024-10-22,209,226,204.45,213.3,52800
2024-10-23,213.3,217.5,205,217.5,14400
2024-10-24,217.5,226.5,217.5,223.05,35200
2024-10-25,232.7,232.7,216,226.95,40800
2024-10-28,238.3,238.3,238.3,238.3,30400
2024-10-29,250.2,250.2,238.3,250.2,305600
2024-10-30,253.5,262,249.5,259.8,118400
2024-10-31,254.6,254.6,254.6,254.6,15200
2024-11-01,249.5,249.5,249.5,249.5,13600
2024-11-04,244.55,244.55,244.55,244.55,9600
2024-11-05,239.7,248,239.7,248,34400
2024-11-06,252.95,252.95,252.95,252.95,8000
2024-11-07,258,258,258,258,8000
2024-11-08,263.15,263.15,263.15,263.15,6400
2024-11-11,268.4,268.4,264.5,264.5,44800
2024-11-12,259.2,259.2,259.2,259.2,15200
2024-11-13,254.05,254.05,254.05,254.05,5600
2024-11-18,249,252,249,251,15200
2024-11-19,251,251,246.5,246.55,16800
2024-11-21,242,244.9,241.6,241.6,12800
2024-11-22,236.8,236.8,236.8,236.8,9600
2024-11-25,241.5,241.5,236.05,236.05,6400
2024-11-26,240.75,240.75,240.75,240.75,15200
2024-11-27,245.55,245.55,245.55,245.55,3200
2024-11-28,250.45,250.45,250.45,250.45,4800
2024-11-29,255.45,255.45,255.45,255.45,4800
2024-12-02,260.55,260.55,255,255,51200
2024-12-03,255,260.1,255,260.1,27200
2024-12-04,265.3,265.3,265,265,15200
2024-12-05,269.5,269.5,259.75,259.75,6400
2024-12-06,256,264,256,264,10400
