Date,Open,High,Low,Close,Volume
2015-09-07,3.26,3.48,3.11,3.27,827
2015-09-08,3.18,3.52,3.01,3.4,3184
2015-09-09,3.53,3.62,3.33,3.62,34037
2015-09-10,3.19,4.27,3.19,3.66,23326
2015-09-11,3.66,3.91,3.63,3.65,14201
2015-09-14,3.65,3.79,3.55,3.63,13363
2015-09-15,3.57,3.63,3.57,3.63,24232
2015-09-16,3.79,3.79,3.53,3.65,20141
2015-09-18,3.54,3.62,3.45,3.54,9044
2015-09-21,3.54,3.71,3.54,3.68,19098
2015-09-22,3.61,3.75,3.56,3.67,173064
2015-09-23,3.59,3.87,3.54,3.67,78275
2015-09-24,3.74,3.74,3.64,3.68,25150
2015-09-28,3.65,3.84,3.48,3.49,5100
2015-09-29,3.53,3.69,3.53,3.69,2312
2015-09-30,3.62,3.78,3.53,3.55,5757
2015-10-01,3.62,3.71,3.62,3.63,2402
2015-10-05,3.74,3.74,3.62,3.62,7877
2015-10-06,3.71,3.83,3.56,3.59,32019
2015-10-07,3.6,3.77,3.6,3.64,20095
2015-10-08,3.66,3.66,3.45,3.49,78184
2015-10-09,3.61,3.62,3.45,3.51,138245
2015-10-12,3.68,3.68,3.46,3.47,76744
2015-10-13,3.61,3.62,3.37,3.58,117537
2015-10-14,3.59,4.3,3.59,4.3,376878
2015-10-15,4.74,4.9,4.34,4.41,1236396
2015-10-16,4.41,4.57,4.08,4.32,139877
2015-10-19,4.5,4.53,3.98,4.05,143526
2015-10-20,3.97,4.06,3.92,4,120212
2015-10-21,4.06,4.06,3.8,3.88,72891
2015-10-23,3.98,3.98,3.72,3.75,168405
2015-10-26,3.73,3.88,3.71,3.72,60083
2015-10-27,3.69,3.86,3.54,3.62,67020
2015-10-28,3.79,4.16,3.64,4.01,400544
2015-10-29,4.32,4.32,3.79,3.85,43761
2015-10-30,3.55,3.94,3.55,3.73,48284
2015-11-02,3.69,3.86,3.62,3.84,74863
2015-11-03,3.87,4.23,3.72,3.78,67473
2015-11-04,3.73,4.41,3.73,3.99,585056
2015-11-05,3.73,4.41,3.73,4.14,467406
2015-11-06,4.23,4.23,3.89,3.93,45575
2015-11-09,3.84,4.23,3.7,4.18,55572
2015-11-10,4.31,4.36,3.99,4.15,35034
2015-11-11,4.07,4.08,3.84,3.91,262367
2015-11-13,3.89,3.97,3.75,3.89,39715
2015-11-16,3.94,3.94,3.84,3.9,17330
2015-11-17,4.05,4.05,3.84,3.87,69910
2015-11-18,3.96,3.96,3.76,3.8,26375
2015-11-19,3.79,3.91,3.79,3.85,35680
2015-11-20,3.74,3.97,3.74,3.93,40395
2015-11-23,4.04,4.04,3.84,3.86,19177
2015-11-24,3.88,4.14,3.8,3.86,161582
2015-11-26,3.86,4.25,3.84,4.07,236445
2015-11-27,4.16,4.58,4.16,4.27,1135294
2015-11-30,4.38,4.5,4.23,4.28,206511
2015-12-01,4.24,4.31,4.08,4.2,21274
2015-12-02,4.23,4.31,4.17,4.31,18871
2015-12-03,4.26,4.26,4.02,4.11,80949
2015-12-04,4.14,4.19,4,4.11,69615
2015-12-07,4.23,4.23,4.09,4.17,6426
2015-12-08,4.17,4.17,3.94,3.98,26726
2015-12-09,3.97,4.05,3.81,3.84,39386
2015-12-10,3.84,3.97,3.81,3.9,10166
2015-12-11,3.83,4.32,3.83,4.02,741652
2015-12-16,4.15,4.32,3.91,3.97,70873
2015-12-17,4.16,4.16,3.91,3.97,57929
2015-12-18,3.95,4.06,3.93,3.93,35397
2015-12-21,3.96,4.23,3.93,4.11,55073
2015-12-22,4.11,4.2,3.98,4.06,54506
2015-12-23,4.09,4.68,4.09,4.4,1119131
2015-12-24,4.43,4.5,4.18,4.3,98778
2015-12-28,4.46,4.98,4.33,4.78,2073597
2015-12-29,4.74,4.98,4.38,4.48,535978
2015-12-30,4.48,4.58,4.38,4.45,28777
2015-12-31,4.58,4.58,4.32,4.39,35102
2016-01-01,4.57,4.63,4.34,4.47,57997
2016-01-04,4.47,4.94,4.17,4.49,997491
2016-01-05,4.35,5.18,4.35,4.87,1346668
2016-01-06,5.01,5.43,4.82,5.02,1342248
2016-01-07,4.94,5.09,4.81,4.87,303488
2016-01-08,5.03,5.06,4.76,4.99,51435
2016-01-11,4.98,5,4.65,4.79,65308
2016-01-12,4.79,5.11,4.67,4.76,45564
2016-01-13,4.74,4.93,4.23,4.48,128338
