Date,Open,High,Low,Close,Volume
2023-03-22,101,106.05,101,103.4,1422000
2023-03-23,98.25,104,98.25,102.65,222000
2023-03-24,101.05,102.15,97.55,99.9,424800
2023-03-27,100.1,101.5,99,99.05,15600
2023-03-28,95.15,96,95.15,96,10800
2023-03-29,93.15,100,93.15,96.3,511200
2023-03-31,96.65,97,96.5,97,20400
2023-04-03,98.05,98.05,98,98,3600
2023-04-05,98,102,98,99.05,32400
2023-04-06,99.25,99.95,98.05,99,73200
2023-04-10,100.95,103,99.55,101.5,97200
2023-04-11,101.7,102,99.9,100.7,27600
2023-04-12,101,113.8,100.5,107,196800
2023-04-13,107.9,110,103,106.35,69600
2023-04-17,106.35,106.35,100,101.05,46800
2023-04-18,101.5,101.5,100,100.5,6000
2023-04-19,100.05,100.05,100.05,100.05,1200
2023-04-20,100.3,100.3,98.4,98.7,6000
2023-04-21,103.9,103.9,99,99,8400
2023-04-24,99.7,99.7,99.7,99.7,1200
2023-04-25,99.65,99.65,98.4,98.4,3600
2023-04-26,97.1,99.7,97,98.55,7200
2023-04-27,98.5,98.5,98.5,98.5,1200
2023-04-28,98.9,99,94.6,97.5,3600
2023-05-02,95,95,95,95,1200
2023-05-03,95,95,93,93.1,16800
2023-05-04,91.3,94,91.3,94,4800
2023-05-05,92,92,92,92,1200
2023-05-09,94,94,92,92.85,7200
2023-05-10,92,92,90.05,90.05,2400
2023-05-15,88.75,88.75,88.75,88.75,1200
2023-05-17,87.35,87.35,87.35,87.35,1200
2023-05-18,90.85,90.85,90.85,90.85,1200
2023-05-22,88,88,88,88,1200
2023-05-23,88.05,88.05,88,88,3600
2023-05-24,88,88,88,88,1200
2023-05-25,89.5,91.55,89.5,91.55,3600
2023-05-26,88.4,92,88.4,90.25,3600
2023-05-29,90.25,91.9,90.25,91.9,2400
2023-05-31,88.2,88.2,88.2,88.2,1200
2023-06-05,91.7,96,91.7,96,25200
2023-06-06,92.15,95.85,92.15,95,45600
2023-06-07,95.95,113,95.95,111.9,248400
2023-06-08,113.75,113.75,101.6,103.55,18000
2023-06-09,101.2,101.2,98,99.5,22800
2023-06-12,100.95,103.5,100.95,102,7200
2023-06-13,103.95,106.85,101,101.8,36000
2023-06-14,102,104,102,103.95,12000
2023-06-15,105.5,105.5,101.4,101.95,13200
2023-06-16,100.25,100.25,98.1,98.1,4800
2023-06-19,98.1,99.5,95.5,95.5,9600
2023-06-20,98.5,100.95,98.5,100.9,12000
2023-06-21,98.5,98.5,97.5,98,2400
2023-06-22,99,99,97,97,2400
2023-06-23,99,99,99,99,1200
2023-06-27,99.95,99.95,99.95,99.95,1200
2023-06-28,99.95,99.95,97,97,2400
2023-06-30,93.25,96.75,90,96.75,4800
2023-07-03,96.75,96.75,95,95,4800
2023-07-04,96,96,90,91.2,18000
2023-07-05,90,90,90,90,1200
2023-07-06,93.4,97,93.4,95.45,8400
2023-07-10,97.5,97.5,97.5,97.5,1200
2023-07-17,94.6,94.6,94.6,94.6,1200
2023-07-18,94,94,94,94,1200
2023-07-19,90.3,90.3,90.3,90.3,1200
2023-07-20,93.85,96.9,93.85,96.9,6000
2023-07-21,93.05,93.05,93.05,93.05,1200
2023-07-31,90,90,89.9,89.95,2400
2023-08-01,90.5,90.5,90.5,90.5,1200
2023-08-02,94.1,100.9,94.1,94.2,21600
2023-08-03,94,94,94,94,2400
2023-08-07,91.05,91.05,91,91,4800
2023-08-08,91.3,94.65,91.3,94.65,2400
2023-08-11,92,92,92,92,1200
2023-08-14,92.25,92.25,92.25,92.25,2400
2023-08-17,93,93,90,90,3600
2023-08-18,90,90,90,90,1200
2023-08-22,87.05,108,86.55,108,220800
2023-08-23,114,129.6,111.05,129.6,339600
2023-08-24,134.95,142.55,134.95,142.55,387600
2023-08-25,144,148.7,133.05,143.35,123600
2023-08-28,143.35,145,135,136.65,38400
2023-08-29,135,135.5,128.05,135.5,36000
2023-08-30,136,149.05,127,149.05,148800
2023-08-31,154,163.95,148.5,152,177600
2023-09-01,152,162,152,156.55,46800
