Date,Open,High,Low,Close,Volume
2024-04-03,35,36.73,35,36.73,1932
2024-04-04,38.54,38.54,38.54,38.54,768
2024-04-05,40.44,40.44,40.44,40.44,302
2024-04-08,42.43,42.43,42.43,42.43,233
2024-04-09,44.55,44.55,44.55,44.55,276
2024-04-10,46.76,46.76,46.76,46.76,246
2024-04-12,49.06,49.06,49.06,49.06,356
2024-04-22,51.49,51.49,51.49,51.49,266
2024-04-29,54.05,54.05,54.05,54.05,603
2024-05-06,56.75,56.75,56.75,56.75,173
2024-05-13,59.58,59.58,59.58,59.58,1131
2024-05-21,62.54,62.54,62.54,62.54,200
2024-05-27,65.63,65.63,65.63,65.63,805
2024-06-03,68.9,68.9,68.9,68.9,3980
2024-06-04,70.71,72.3,70.71,72.3,140
2024-06-05,75.88,75.88,75.88,75.88,306
2024-06-06,79.64,79.64,79.64,79.64,250
2024-06-07,83.62,83.62,83.62,83.62,315
2024-06-10,87.8,87.8,87.8,87.8,119
2024-06-18,92.18,92.18,92.18,92.18,480
2024-06-24,96.79,96.79,96.79,96.79,122
2024-07-01,101.62,101.62,101.62,101.62,183
2024-07-08,106.7,106.7,106.7,106.7,218
2024-07-15,111.77,112.03,111.77,112.03,450
2024-07-22,117.62,117.62,117.62,117.62,463
2024-07-29,117.62,123.5,111.73,123.5,21524
2024-08-01,117.32,117.32,117.32,117.32,7566
2024-08-02,111.45,111.45,111.45,111.45,6946
2024-08-05,105.87,105.87,105.87,105.87,31437
2024-08-06,100.58,101.65,100.58,100.58,388498
2024-08-07,97.81,104.12,97.81,101.54,192916
2024-08-08,102.53,102.53,97.77,100.99,92069
2024-08-09,101.65,105.01,98.56,103.91,34077
2024-08-12,102.53,105.18,100.77,103.78,25140
2024-08-13,103.78,106.07,99.48,104.51,52654
2024-08-14,100.83,106.55,100.83,104.97,9335
2024-08-16,110.05,110.05,104.3,108.23,19307
2024-08-19,109.77,109.77,105.23,107.61,15607
2024-08-20,107.88,107.88,105.18,105.42,8412
2024-08-21,105.41,108.23,101.7,105.01,7718
2024-08-22,109.25,109.25,105.18,105.94,10437
2024-08-23,105.18,109.52,104.31,104.58,17577
2024-08-26,108.9,108.9,101.65,103.41,51771
2024-08-27,105.88,105.89,101.65,101.96,33586
