Date,Open,High,Low,Close,Volume
2015-09-07,49.65,50.9625,47.325,48.7125,125652
2015-09-08,50.025,50.3625,45.45,48.4125,180392
2015-09-09,50.025,50.025,48.75,48.9375,142446
2015-09-10,50.25,50.25,46.875,48.7875,126148
2015-09-11,48.75,50.1,48,49.125,99112
2015-09-14,51.375,51.375,45.75,48.7875,28666
2015-09-15,48.75,51.75,48,49.6875,85062
2015-09-16,51.375,51.375,47.7,48.5625,292354
2015-09-18,48.75,49.275,48,48.4125,203660
2015-09-21,51,51,46.6875,48.5625,139416
2015-09-22,48,48.75,46.725,47.5125,327661
2015-09-23,49.5,49.5,45,45.9,33536
2015-09-24,46.5,47.925,45.375,46.6875,325326
2015-09-28,47.25,49.2375,44.025,46.425,41081
2015-09-29,48.75,48.75,45.75,48.075,73354
2015-09-30,51.6375,51.6375,46.5375,47.6625,110497
2015-10-01,47.325,48.75,46.5,47.175,31612
2015-10-05,51.225,51.225,46.5375,47.3625,6788
2015-10-06,50.175,50.175,46.3125,48.1125,69338
2015-10-07,47.3625,55.0875,46.65,53.85,156450
2015-10-08,51.375,55.1625,51.375,53.7375,202189
2015-10-09,51.75,55.35,51.75,53.5875,200100
2015-10-12,57.75,57.75,53.25,53.8125,115258
2015-10-13,59.25,59.25,52.875,53.5875,186385
2015-10-14,53.25,54,52.725,53.4,154705
2015-10-15,55.3875,55.3875,52.4625,53.3625,443805
2015-10-16,52.4625,53.8125,51.975,52.6125,330834
2015-10-19,53.2875,55.275,52.725,52.9875,117382
2015-10-20,55.2,55.2,52.5,53.85,260628
2015-10-21,52.5375,53.8875,51.5625,52.125,66040
2015-10-23,52.65,57.075,52.65,56.3625,69909
2015-10-26,57,57.7125,54.225,54.6375,49601
2015-10-27,54.3,55.95,54,54.1125,62324
2015-10-28,64.875,64.875,54.2625,54.9375,191948
2015-10-29,55.425,55.875,54.2625,54.5625,60604
2015-10-30,54.225,62.25,54.15,54.75,133738
2015-11-02,55.3875,56.25,54.75,54.9,101333
2015-11-03,54.3,54.6,54,54,471736
2015-11-04,56.2125,56.2125,50.325,52.6875,103053
2015-11-05,56.85,56.85,52.95,53.2125,127880
2015-11-06,53.4,53.625,49.9875,52.9875,81062
2015-11-09,49.5,53.25,49.5,52.725,17828
2015-11-10,57,57,51.7125,52.875,44526
2015-11-11,54.6,54.675,52.725,53.175,19746
2015-11-13,52.65,55.425,52.5,52.6125,17834
2015-11-16,53.925,53.925,49.9875,51.9375,52232
2015-11-17,52.65,54.7125,51.75,53.1,23850
2015-11-18,52.65,53.25,50.25,52.575,73601
2015-11-19,52.65,53.5125,51.75,52.5,174652
2015-11-20,52.95,61.5,52.6125,56.5125,272824
2015-11-23,57.2625,57.2625,55.0125,56.025,49884
2015-11-24,56.4,56.5125,52.5,54.4125,137298
2015-11-26,53.2875,55.0875,52.875,52.9125,151300
2015-11-27,54,58.3125,53.325,54.3375,133449
2015-11-30,54.7875,58.8,54.375,57.9,99706
2015-12-01,58.9875,69,56.25,63.975,227836
2015-12-02,64.425,73.425,62.5125,62.9625,279314
2015-12-03,63.4125,68.4,61.1625,65.1375,155545
2015-12-04,63.7875,68.55,63.75,64.125,118262
2015-12-07,64.7625,66.6,60.75,60.825,122704
2015-12-08,60.675,62.1375,60.3,60.9,20764
2015-12-09,61.425,61.425,60.75,60.8625,40874
2015-12-10,61.125,64.0875,60,60.3,200005
2015-12-11,62.25,69,60.0375,61.275,204762
2015-12-16,61.9875,62.175,60.7875,60.825,104145
2015-12-17,61.125,61.875,61.0125,61.275,66401
2015-12-18,61.125,62.1,60.6,60.75,83288
2015-12-21,64.725,64.725,56.4,56.475,300346
2015-12-22,57.7125,58.0875,54,56.475,238108
2015-12-23,58.35,58.35,55.5,56.625,81225
2015-12-24,57.75,57.75,53.4375,54.9375,91712
2015-12-28,56.4375,56.7,53.3625,56.4,200658
2015-12-29,56.4,57.1125,55.6875,56.4,183020
2015-12-30,59.1375,59.1375,56.625,57,243797
2015-12-31,57,58.125,55.725,55.95,241620
2016-01-01,56.625,57.375,55.4625,57,200297
2016-01-04,57,57.15,53.9625,56.3625,163389
2016-01-05,61.5,61.5,55.4625,56.025,54082
2016-01-06,56.625,59.025,52.9125,53.55,269753
2016-01-07,53.625,53.625,45.075,46.6875,88690
2016-01-08,46.5,46.6125,39.15,42.0375,76762
2016-01-11,42.0375,43.5,41.85,42.525,561977
2016-01-12,40.6125,51,40.5,51,644124
2016-01-13,54,61.2,52.6875,57.1875,1155720
2016-01-14,57.6,60.75,55.5,57.075,723805
2016-01-15,57.675,59.1375,49.05,51.8625,205140
2016-01-18,53.1375,53.625,41.5125,45.0375,484462
2016-01-19,47.25,47.85,43.95,45.3,250640
2016-01-20,44.925,47.85,39.975,43.5,359134
2016-01-21,42.7875,50.7,41.25,49.3125,510696
2016-01-22,52.125,54.6,51.1875,53.175,220568
2016-01-25,53.925,60,53.925,58.2375,836406
2016-01-27,59.25,61.5,57.5625,61.0875,291317
2016-01-28,60.75,62.175,56.775,56.925,391093
2016-01-29,58.8,68.2875,57.9375,68.2875,878924
2016-02-01,72.3,72.3,54.6375,54.6375,1747722
2016-02-02,48.4125,52.35,45.15,46.0875,1090629
2016-02-03,46.95,47.9625,36.9,36.9,773910
2016-02-04,37.875,40.575,34.4625,40.05,659705
2016-02-05,40.05,42.375,37.65,38.7375,370190
2016-02-08,38.4375,40.4625,38.3625,38.925,407848
2016-02-09,37.6875,39.6,37.35,38.25,249865
2016-02-10,38.25,39,34.425,34.425,329908
2016-02-11,34.425,34.425,31.6875,32.475,314549
2016-02-12,30.225,32.1375,29.325,29.8875,101378
2016-02-15,29.8875,31.35,29.8875,31.35,197882
2016-02-16,31.6125,32.8875,30.75,32.8875,369209
2016-02-17,33.3375,34.4625,31.575,31.6125,1367666
2016-02-18,32.025,32.325,30.0375,30.0375,670024
2016-02-19,28.5375,29.5875,28.5375,28.65,220604
2016-02-22,27.375,27.75,27.225,27.225,83433
2016-02-23,25.875,25.875,25.875,25.875,11245
2016-02-24,24.6,24.6,24.6,24.6,6346
2016-02-25,23.4,25.8,23.4,25.6875,346381
2016-02-26,25.6875,26.9625,24.4125,25.3875,230197
2016-02-29,24.675,25.7625,24.525,25.2375,530505
2016-03-01,25.35,26.0625,24.15,25.35,605440
2016-03-02,24.7875,26.55,24.1125,24.1125,170896
2016-03-03,23.9625,23.9625,22.9125,22.95,83244
2016-03-04,21.8625,23.025,20.775,21,380216
2016-03-08,21,21.2625,18.9,19.05,591937
2016-03-09,19.5,20.8875,18.075,19.7625,446437
2016-03-10,20.025,21,18.4125,18.45,339008
2016-03-11,18.9,19.425,18.4125,18.4875,255778
2016-03-14,18.75,18.75,16.9125,17.0625,439752
2016-03-15,17.0625,17.2875,15.825,16.4625,260414
2016-03-16,16.425,16.7625,14.85,14.8875,3241800
2016-03-17,14.8875,14.8875,14.175,14.175,335816
2016-03-18,14.325,14.4375,13.5,13.5,449157
2016-03-21,13.425,13.425,12.825,12.825,324234
2016-03-22,12.7875,13.4625,12.1875,13.4625,442524
2016-03-23,13.875,14.1,13.875,14.1,348581
2016-03-28,14.6625,14.775,13.425,13.5375,884497
2016-03-29,14.1375,14.1375,12.8625,12.8625,594664
2016-03-30,13.45,13.45,13,13.45,260424
2016-03-31,13.6,14.1,12.8,12.8,239513
2016-04-01,12.8,13,12.2,12.2,80058
2016-04-04,11.7,12.5,11.6,11.6,38525
2016-04-05,11.6,12.15,11.05,12.15,227825
2016-04-06,12.65,12.75,12,12.75,531880
2016-04-07,12.75,13.2,12.15,12.15,826489
2016-04-08,12.2,12.35,11.55,11.55,194668
2016-04-11,11.55,12.1,11.05,12.1,240499
2016-04-12,12.5,12.7,12.1,12.7,1267169
2016-04-13,13,13.3,12.1,12.1,2943196
2016-04-18,11.5,12.3,11.5,11.5,1816290
2016-04-20,11.5,11.65,10.95,11.15,1322483
2016-04-21,11.2,11.3,10.6,10.6,510287
2016-04-22,10.1,10.45,10.1,10.1,664454
2016-04-25,10.4,10.4,9.6,9.6,127158
2016-04-26,9.15,9.2,9.15,9.15,328076
2016-04-27,8.7,8.7,8.7,8.7,105118
2016-04-28,8.3,8.3,8.3,8.3,174317
2016-04-29,7.9,7.9,7.9,7.9,33505
2016-05-02,7.55,8.25,7.55,7.6,1113886
2016-05-03,7.4,7.7,7.25,7.25,516107
2016-05-04,7.15,7.15,6.9,6.9,233143
2016-05-05,6.7,6.9,6.6,6.6,592983
2016-05-06,6.5,6.6,6.3,6.3,218347
2016-05-09,6,6.6,6,6.5,504906
2016-05-10,6.75,6.8,6.2,6.3,904995
2016-05-11,6.3,6.45,6,6,957971
2016-05-12,5.85,5.85,5.7,5.7,563353
2016-05-13,5.45,5.7,5.45,5.5,252931
2016-05-16,5.6,5.7,5.25,5.25,744728
2016-05-17,5.4,5.4,5,5,436571
2016-05-18,4.9,4.9,4.75,4.75,130472
2016-05-19,4.55,4.6,4.55,4.55,132178
2016-05-20,4.65,4.75,4.35,4.75,388863
2016-05-23,4.9,4.95,4.9,4.95,958380
2016-05-24,5.15,5.15,5,5.15,462175
2016-05-25,5.35,5.4,5.2,5.4,861126
2016-05-26,5.6,5.65,5.45,5.65,1599174
2016-05-27,5.85,5.9,5.8,5.9,1590843
2016-05-30,5.9,6.15,5.65,5.65,2112391
2016-05-31,5.5,5.5,5.4,5.4,148759
2016-06-01,5.15,5.15,5.15,5.15,53498
2016-06-02,4.9,4.9,4.9,4.9,91253
2016-06-03,4.45,5.05,4.45,4.45,812688
2016-06-06,4.35,4.6,4.05,4.05,325076
2016-06-07,3.95,4.45,3.75,4.05,1778050
2016-06-08,4.15,4.15,3.85,4,357541
2016-06-09,4.1,4.15,3.9,4,444472
2016-06-10,4.05,4.05,3.8,3.9,220344
2016-06-13,3.9,4.05,3.6,4,595527
2016-06-14,4,4,3.65,3.7,1670643
2016-06-15,3.7,4,3.6,3.8,1323774
2016-06-16,3.85,3.9,3.7,3.75,718171
2016-06-17,3.9,3.9,3.65,3.75,839915
2016-06-20,3.75,3.85,3.65,3.75,1003007
2016-06-21,3.7,3.8,3.7,3.7,899850
2016-06-22,3.75,3.95,3.65,3.8,720620
2016-06-23,3.8,3.9,3.75,3.85,1080045
2016-06-24,3.9,3.9,3.65,3.75,647167
2016-06-27,3.65,3.8,3.65,3.75,547673
2016-06-28,3.8,3.85,3.7,3.75,525841
2016-06-29,3.75,3.85,3.75,3.75,606517
2016-06-30,3.75,3.85,3.7,3.75,366009
2016-07-01,3.8,4.5,3.7,4.5,9136233
2016-07-04,4.6,5.25,4,4.1,15925209
2016-07-05,4.3,4.35,4.1,4.15,5226446
2016-07-07,4.2,4.4,3.35,3.35,13259361
2016-07-08,3.45,3.45,2.95,3.35,4687305
2016-07-11,3.45,4,3.2,4,3876974
2016-07-12,4.25,4.3,3.2,3.2,14674534
2016-07-13,3.15,3.5,3.1,3.45,3082839
2016-07-14,3.45,3.55,3.15,3.2,7570261
2016-07-15,3.2,3.3,3.05,3.1,2457154
2016-07-18,3.15,3.25,3.1,3.15,1505638
2016-07-19,3.25,3.25,3,3,2952833
2016-07-20,3.05,3.3,2.9,3,9708535
2016-07-21,3.1,3.1,3,3,3347734
2016-07-22,3.05,3.05,2.7,2.75,5682912
2016-07-25,2.75,3,2.45,2.95,3941867
2016-07-26,2.85,3,2.7,2.7,3263343
2016-07-27,2.7,2.8,2.7,2.75,2481523
2016-07-28,2.8,3,2.7,2.75,3863086
2016-07-29,2.75,2.8,2.7,2.75,3417718
2016-08-01,2.8,2.85,2.65,2.7,4089405
2016-08-02,2.7,2.8,2.7,2.7,888797
2016-08-03,2.75,2.75,2.6,2.65,2197902
2016-08-04,2.7,2.75,2.65,2.7,1644757
2016-08-05,2.7,2.75,2.5,2.55,3752476
2016-08-08,2.55,2.7,2.5,2.5,3914423
2016-08-09,2.55,2.55,2.5,2.5,2153644
2016-08-10,2.5,2.55,2.5,2.5,1019809
2016-08-11,2.5,2.55,2.4,2.45,1189560
2016-08-12,2.45,2.9,2.4,2.5,8171160
2016-08-16,2.6,2.65,2.45,2.45,5387809
2016-08-17,2.45,2.5,2.4,2.4,1176795
2016-08-18,2.45,2.45,2,2.05,7611049
2016-08-19,2.05,2.45,2,2.45,15471820
2016-08-22,2.5,2.8,2.45,2.7,10627850
2016-08-23,2.8,2.85,2.55,2.7,7627401
2016-08-24,2.7,2.7,2.2,2.2,26615351
2016-08-25,2.2,2.35,2.15,2.25,4373574
2016-08-26,2.3,2.3,2.15,2.25,2397089
2016-08-29,2.3,2.3,2.15,2.2,1511851
2016-08-30,2.2,2.3,2.15,2.2,2611502
2016-08-31,2.2,2.25,2,2.05,8827049
2016-09-01,2.1,2.25,2.05,2.1,5063918
2016-09-02,2.1,2.2,2,2.05,8745154
2016-09-06,2.1,2.1,2,2.05,2445486
2016-09-07,2.05,2.15,2.05,2.15,4135252
2016-09-08,2.1,2.15,2.05,2.1,1988745
2016-09-09,2.15,2.15,2.05,2.05,1841238
2016-09-12,2.05,2.1,2,2,6384329
2016-09-14,2.05,2.05,2,2.05,873813
2016-09-15,2,2.05,1.95,2,1849805
2016-09-16,2,2.05,1.95,2,932241
2016-09-19,2.05,2.05,2,2,912802
2016-09-20,2.05,2.05,2,2,571468
2016-09-21,2.05,2.05,2,2.05,1171891
