Date,Open,High,Low,Close,Volume
2024-07-30,79.8,83.75,79.8,83.75,537000
2024-07-31,87.9,87.9,87.9,87.9,87000
2024-08-01,92.25,92.25,92.25,92.25,45000
2024-08-02,96.85,96.85,96.85,96.85,699000
2024-08-05,101.65,101.65,101.65,101.65,1266000
2024-08-06,106.7,106.7,98.15,106.7,1269000
2024-08-07,107.95,111.9,101.4,102.05,858000
2024-08-08,96.95,107.15,96.95,107.15,513000
2024-08-09,108.9,112.5,106,112.5,264000
2024-08-12,117,118.1,114,118.1,210000
2024-08-13,124.9,141,114.5,122.7,1245000
2024-08-14,126.7,130.95,111.3,113,822000
2024-08-16,115,118.8,108.4,110.45,279000
2024-08-19,110,112,102.35,104.25,654000
2024-08-20,103.15,116.15,100,103.5,315000
2024-08-21,102.2,122.15,101.05,115.45,627000
2024-08-22,118.75,126.7,110,115.25,393000
2024-08-23,114,117.15,110,112.05,279000
2024-08-26,113,113.95,108,110.75,276000
2024-08-27,110,110,104,106.45,414000
2024-08-28,106.45,109.4,104,104.6,282000
2024-08-29,101.25,103,95.9,97.25,303000
2024-08-30,97.25,99,92.9,95.4,258000
2024-09-02,93,104.1,93,97.35,447000
2024-09-03,99,103.15,89,90.85,315000
2024-09-04,90.85,91.7,84,84.95,372000
2024-09-05,86,86.9,83.45,85.9,108000
2024-09-06,87.45,89.9,85,86.25,84000
2024-09-09,86,89,86,88,60000
2024-09-10,88.75,88.75,85,85.45,42000
2024-09-11,85.5,87.75,81.8,83.05,45000
2024-09-12,83.9,85.8,83.3,83.7,45000
2024-09-13,85.95,86,82.6,83.55,69000
2024-09-16,81.35,84.2,81.35,82.15,39000
2024-09-17,82.5,82.5,75.1,76.35,126000
2024-09-18,76.6,80.05,71.8,72.9,195000
2024-09-19,73,75.25,65.35,67.3,243000
2024-09-20,71.25,78.95,69,78.2,162000
2024-09-23,78,79.5,77.95,79.1,39000
2024-09-24,74.9,79.95,74.9,75,69000
2024-09-25,75,75,71.9,73.65,84000
2024-09-26,75.4,76.45,74,74.2,33000
2024-09-27,74,75.15,73.65,74.5,30000
2024-09-30,74.5,75.8,74.05,74.05,24000
2024-10-01,76.9,76.9,74.5,75,33000
2024-10-03,69.15,74,69.15,72.65,36000
2024-10-04,70,75.1,70,75,36000
2024-10-07,75.25,75.25,68.25,69,51000
2024-10-08,70.5,71.9,70,70.2,27000
2024-10-09,68.45,71,68.45,69.05,18000
2024-10-10,72.45,72.5,69.05,72.5,36000
2024-10-11,70.8,70.8,69,70,24000
2024-10-14,67.15,68,66.7,66.95,42000
2024-10-15,66.9,66.9,63.8,64.8,66000
2024-10-16,64.8,67.8,64.8,66.25,45000
2024-10-17,68.95,68.95,65,65.3,24000
2024-10-18,65.3,65.3,64,64,9000
2024-10-21,64,64,60.85,62.9,45000
2024-10-22,59.75,61,59.75,59.75,48000
2024-10-23,57.9,57.9,56.8,56.95,42000
2024-10-24,57.2,57.2,54.1,54.85,63000
2024-10-25,54.85,55.8,53,55.6,48000
2024-10-28,55.8,57.5,55.8,57.25,18000
2024-10-29,57.25,58.2,56.5,58,27000
2024-10-30,59,59,55.35,57.15,63000
2024-10-31,57.15,60,57.15,60,45000
2024-11-01,63,63,62.9,63,28500
2024-11-04,66.05,66.15,62.5,65,54000
2024-11-05,67.95,68,63.25,65.5,24000
2024-11-06,64.25,65,62.35,64.95,58500
2024-11-07,63.9,66,63,64.9,28500
2024-11-08,64,67,64,65.55,30000
2024-11-11,65.55,66,64.1,65.25,10500
2024-11-12,64,65.95,64,64.95,18000
2024-11-13,61.75,61.75,61.7,61.7,42000
2024-11-14,58.65,58.65,58.65,58.65,6000
2024-11-18,55.8,55.8,55.75,55.75,6000
2024-11-19,53,56.4,53,54.5,81000
2024-11-21,54.5,54.5,51.8,53.1,58500
2024-11-22,52.15,52.15,50.45,51.15,22500
2024-11-25,50.15,51.15,49,49.7,28500
2024-11-26,49,50.5,47.25,48.05,22500
2024-11-27,49,50.45,48.05,50.35,37500
2024-11-28,52.85,52.85,52.6,52.85,27000
2024-11-29,54.95,55.45,54.6,55.45,40500
2024-12-02,55,58.2,55,57.75,55500
2024-12-03,58.2,60.1,56,59.45,43500
2024-12-04,60.6,60.6,60.55,60.55,16500
2024-12-05,59.35,59.35,59.35,59.35,4500
2024-12-06,59.35,59.35,58.2,58.2,6000
2024-12-09,57.05,57.05,57.05,57.05,12000
2024-12-10,55.9,55.9,55.9,55.9,16500
2024-12-11,54.8,54.8,54.8,54.8,18000
2024-12-12,54,54,53.7,53.7,13500
2024-12-13,52.65,53,52.65,52.7,4500
2024-12-16,53.75,53.75,53.75,53.75,19500
2024-12-17,54.8,54.8,54.8,54.8,1500
2024-12-18,55.85,55.85,55.85,55.85,33000
2024-12-19,54.75,56.85,54.75,56.85,36000
2024-12-20,57.8,57.8,55.75,55.75,15000
2024-12-23,54.65,54.65,54.65,54.65,10500
2024-12-24,53.55,53.55,53.55,53.55,13500
2024-12-26,52.5,52.5,52.5,52.5,19500
2024-12-27,53.55,53.55,52.5,53.55,22500
2024-12-30,54.6,54.6,54.6,54.6,27000
2024-12-31,53.5,55,53.5,55,19500
2025-01-01,53.9,54.5,53.9,54,13500
2025-01-02,53.1,55.05,53.1,55.05,22500
2025-01-03,56.15,56.15,56.15,56.15,7500
2025-01-06,57.25,57.25,57.2,57.25,69000
2025-01-07,58.1,58.35,58.1,58.35,18000
2025-01-08,58.4,58.4,57.2,57.2,27000
2025-01-09,56.05,56.05,56.05,56.05,6000
2025-01-10,54.95,54.95,54.95,54.95,7500
2025-01-13,54.6,57.65,52.2,57.6,123000
2025-01-14,56,57.85,54.75,55.25,16500
2025-01-15,56.8,56.95,55,55,7500
2025-01-16,57,57,53.5,53.5,7500
2025-01-17,52.05,53,52,52.7,61500
2025-01-20,52.7,54.5,52.7,53.2,16500
2025-01-21,55.3,55.3,53,53.25,21000
2025-01-22,52.2,54.05,51.2,53,13500
2025-01-23,51.3,51.75,51.25,51.75,7500
2025-01-24,50.25,50.5,50.05,50.5,10500
2025-01-27,50.5,50.5,48,48,13500
2025-01-28,50.4,50.4,45.6,48.8,39000
2025-01-29,50,50,48.5,49.5,21000
2025-01-30,49.9,51.5,49.9,51.45,12000
2025-01-31,51,51,49.5,51,7500
2025-02-01,50,50,49,49,4500
2025-02-03,51.35,51.35,47.05,47.05,9000
2025-02-04,47.5,47.5,47.5,47.5,3000
