Date,Open,High,Low,Close,Volume
2022-05-30,33.9,33.9,33.9,33.9,3000
2022-05-31,33.1,33.1,33.1,33.1,3000
2022-06-01,35.85,36,35.85,35.9,6000
2022-06-02,36,36,36,36,3000
2022-06-07,36.5,36.5,36,36,6000
2022-06-09,36.5,36.5,36.5,36.5,3000
2022-06-14,33.05,33.05,31,31.3,18000
2022-06-16,32,32,31.3,31.3,6000
2022-06-17,33.5,34,33,34,12000
2022-06-21,33,33,33,33,3000
2022-06-22,33,33,33,33,3000
2022-06-24,31.1,31.1,31.1,31.1,3000
2022-06-27,32.25,32.25,32,32.1,6000
2022-07-01,33,33.8,33,33.8,6000
2022-07-04,35.5,35.5,35.5,35.5,3000
2022-07-06,34.5,34.5,34.5,34.5,3000
2022-07-12,34.5,34.5,34.5,34.5,3000
2022-07-14,34,34,34,34,3000
2022-07-15,33.8,34,33.8,33.8,30000
2022-07-18,32.9,33.25,32.9,32.9,9000
2022-07-19,31.9,31.9,31.9,31.9,3000
2022-07-22,30.15,30.15,30.15,30.15,3000
2022-07-28,33.5,36,33.5,34,15000
2022-07-29,33.5,33.5,33.5,33.5,3000
2022-08-01,32,33,32,32,12000
2022-08-02,30.5,32.5,29,31.9,48000
2022-08-05,34.1,36.8,33.3,35.9,18000
2022-08-08,33,33,33,33,3000
2022-08-12,34,34,34,34,3000
2022-08-16,34,34,34,34,3000
2022-08-17,35.75,35.75,35.75,35.75,3000
2022-08-18,34.75,34.75,34.75,34.75,3000
2022-08-19,34,34,34,34,6000
2022-08-24,32.5,32.5,32.5,32.5,3000
2022-08-25,32.8,32.8,32.8,32.8,3000
2022-08-26,35,35,35,35,3000
2022-08-30,33.2,33.2,33.2,33.2,3000
2022-09-01,35.4,36.6,35,36.3,39000
2022-09-02,38,38.35,35.5,35.5,24000
2022-09-05,37.9,37.9,35.5,35.5,6000
2022-09-06,36.95,37.7,36.95,37.35,12000
2022-09-07,37.85,37.85,37.85,37.85,3000
2022-09-08,36,37,35.8,37,9000
2022-09-12,37,37,35.9,35.9,6000
2022-09-13,35,35.5,35,35.5,6000
2022-09-14,35.5,35.5,35.15,35.15,9000
2022-09-15,35.15,36.2,35.15,35.25,21000
2022-09-19,36.2,37.95,36.2,37,9000
2022-09-20,37.2,37.65,37.2,37.65,6000
2022-09-21,37.45,37.45,35.75,35.75,12000
2022-09-22,35.75,35.75,35.75,35.75,3000
2022-09-26,34.5,34.5,34.5,34.5,3000
2022-09-29,33.9,33.9,33.9,33.9,3000
2022-09-30,32.8,36,32.8,36,6000
2022-10-03,37.7,37.7,37.7,37.7,3000
2022-10-04,35,36,35,36,6000
2022-10-06,38.6,38.6,36.25,36.25,15000
2022-10-10,36.1,37.6,36.1,37.6,12000
2022-10-11,37,41,37,40.35,42000
2022-10-12,40.35,44,38.15,42,60000
2022-10-13,41.25,41.8,39.1,39.1,39000
2022-10-14,39.1,41.5,39.1,41.5,6000
2022-10-17,41,41,41,41,15000
2022-10-19,40,40,39.5,39.5,9000
2022-10-20,39,39,39,39,3000
2022-10-31,39,42,39,40,30000
2022-11-02,38.1,38.1,38.1,38.1,3000
2022-11-03,40.4,40.4,40.4,40.4,3000
2022-11-04,38.2,39,38.2,38.6,6000
2022-11-07,40.5,42,40,41,24000
2022-11-09,40,41.2,40,41.2,9000
2022-11-10,39.7,39.7,39.7,39.7,3000
2022-11-11,40,40,39.7,39.8,9000
2022-11-14,37.1,38,37.1,38,6000
2022-11-15,45.6,45.6,40,42.1,120000
2022-11-16,42.7,46.45,41.05,44.65,180000
2022-11-17,45,48.05,44.5,46.25,117000
2022-11-18,45.4,49,45,48.45,75000
2022-11-21,47,50.8,46.9,49.05,216000
2022-11-22,49.35,58.85,49,58,450000
2022-11-23,62.05,62.05,54.75,56.45,132000
2022-11-24,55,57.45,54,55.05,84000
2022-11-25,54,62.5,53.75,60.65,189000
2022-11-28,58.7,61.8,57,58.2,63000
2022-11-29,57,59,54.3,55.05,78000
2022-11-30,55,55.1,55,55.1,6000
2022-12-01,55.95,57.85,52.8,55,84000
2022-12-02,55,55,53.35,54.5,36000
2022-12-05,54.95,54.95,52.8,52.95,12000
2022-12-06,53,53,51.1,51.5,33000
2022-12-07,51,51,50.7,50.7,15000
2022-12-08,49.1,49.1,45.1,47.15,48000
2022-12-09,49,56,49,50,45000
2022-12-12,49.05,49.05,48,48,21000
2022-12-13,47,57.6,46.5,55.7,489000
2022-12-14,58.25,58.85,54.1,55.05,81000
2022-12-15,55.1,57.85,54.55,57.75,42000
2022-12-16,57.2,58.25,55.55,56.4,63000
2022-12-19,57.9,57.95,55.1,55.1,24000
2022-12-20,55.5,55.5,54.6,55,15000
2022-12-21,58.25,58.95,55.05,55.5,129000
2022-12-22,55,55,48.05,54,87000
2022-12-23,49.6,50,49,49,9000
2022-12-26,49.05,53.75,48,52.5,30000
2022-12-28,50.1,50.2,50.05,50.05,9000
2022-12-29,51,51.1,49.25,50,15000
2022-12-30,51.75,51.75,50,50,18000
2023-01-02,52.5,53.5,51.5,53.45,51000
2023-01-03,52,55.6,51.05,51.6,201000
2023-01-04,51.3,51.3,49.25,49.25,27000
2023-01-06,49.15,50.25,49.15,50.25,6000
2023-01-09,51,51.95,51,51.65,27000
2023-01-10,51.65,51.65,51,51.45,12000
2023-01-11,51,51,51,51,6000
2023-01-12,50.05,51,50.05,50.5,6000
2023-01-13,51,52,51,52,24000
2023-01-16,52,52,52,52,12000
2023-01-17,51,51,48,48.6,33000
2023-01-18,50.4,50.5,49,49,15000
2023-01-19,49.85,50.4,49,49,30000
2023-01-20,48.6,48.6,48.6,48.6,6000
2023-01-23,50,50,50,50,12000
2023-01-24,48.6,49.95,48.6,49.95,12000
2023-01-25,48,48,47.7,47.7,6000
2023-01-27,48.95,48.95,48.95,48.95,6000
2023-01-30,48.5,49.9,48.5,49.65,24000
2023-01-31,49.9,51.95,49.9,50.35,90000
2023-02-01,47.7,47.7,47.7,47.7,3000
2023-02-02,47.15,47.15,47.15,47.15,3000
2023-02-03,46.4,47,46,47,12000
2023-02-07,48,48,46,46.65,15000
