Date,Open,High,Low,Close,Volume
2015-09-07,1836.1,1878.6,1836,1852.65,103
2015-09-08,1826,1856,1810.05,1849.95,134
2015-09-09,1940,1940,1881.05,1888.4,147
2015-09-10,1890,1890,1850,1850,73
2015-09-11,1875,1893.8,1856,1870,74
2015-09-14,1928,1928,1875,1890,128
2015-09-15,1870,1899,1850.05,1856.7,58
2015-09-16,1900,1900,1835,1846.95,155
2015-09-18,1840,1899.95,1840,1890,77
2015-09-21,1890,1935,1865,1906.2,295
2015-09-22,1935,1940,1901,1934.3,199
2015-09-23,1911,1930,1900,1919.95,211
2015-09-24,1949,1949,1900,1930.65,112
2015-09-28,1993.95,1993.95,1892.25,1908.6,98
2015-09-29,1919,1944,1919,1940.95,166
2015-09-30,1951,2000,1951,1992.85,121
2015-10-01,1992,2030,1982,2010,156
2015-10-05,2025,2025,1966.1,1975.45,227
2015-10-06,2015,2017,1980,2005,169
2015-10-07,2030,2055,2006.05,2034.15,221
2015-10-08,2034.05,2075.75,1985,2018.35,295
2015-10-09,2020,2050,2020,2042,88
2015-10-12,2049,2050,2011.25,2017.2,151
2015-10-13,2040,2049,2019.95,2042,321
2015-10-14,2038,2038,2000.05,2015.45,378
2015-10-15,2040,2043,1989.95,2006.25,512
2015-10-16,1990.05,2030,1980,2015.7,266
2015-10-19,2000,2050,2000,2009.1,165
2015-10-20,2020,2070.05,2000,2022.9,198
2015-10-21,2022,2022,1990,1991,149
2015-10-23,2097.95,2097.95,2000,2003,181
2015-10-26,2029,2029,1971.15,1976.7,403
2015-10-27,1978,2017.9,1978,2005,30
2015-10-28,2000,2000,1983.9,1984,97
2015-10-29,2000,2010,1985.1,1990.65,275
2015-10-30,1975.25,2015,1975.05,1982,123
2015-11-02,1985,2000,1935,1945.75,322
2015-11-03,1945,1945,1900,1904,550
2015-11-04,1919.9,1940,1900,1907.15,253
2015-11-05,1907,1907,1820,1828,356
2015-11-06,1811,1859,1776,1796.35,402
2015-11-09,1800,1845.75,1800,1844.15,120
2015-11-10,1844.75,1844.75,1800,1807.5,124
2015-11-11,1849,1870,1849,1864.2,56
2015-11-13,1864,1869.95,1800.1,1846.6,69
2015-11-16,1835,1870,1820,1824.75,161
2015-11-17,1840,1855,1836,1855,142
2015-11-18,1840,1885,1840,1879,28
2015-11-19,1879,1893.7,1863,1865,37
2015-11-20,1871,1950,1871,1890,322
2015-11-23,1920,1935,1831.05,1872.8,75
2015-11-24,1872,1945,1872,1886.25,55
2015-11-26,1919.95,1949,1915.75,1925.35,85
2015-11-27,1910.05,1948,1890,1921.6,86
2015-11-30,1989.95,1989.95,1873.3,1931.6,163
2015-12-01,1950,1950,1934,1936.05,30
2015-12-02,1936,1936,1875,1899.95,175
2015-12-03,1925,1955,1899.05,1932.8,329
2015-12-04,1959,1968,1949,1953.5,264
2015-12-07,1930,1957.9,1925.05,1938.5,22
2015-12-08,1958,1958,1920.1,1940,92
2015-12-09,1890,1913,1880,1902.45,264
2015-12-10,1901,1930,1900,1916,26
2015-12-11,1893,1925,1893,1925,4
2015-12-16,1930,1930,1930,1930,17
2015-12-17,1950,1987.9,1920,1931.05,157
2015-12-18,1930,1964,1925,1964,81
2015-12-21,1974,2020,1951,1968.8,347
2015-12-22,1954.05,1990,1954.05,1980,127
2015-12-23,1932.05,1997.8,1925,1961.5,265
2015-12-24,1960.05,1980,1960,1980,53
2015-12-28,1980,2000,1980,2000,99
2015-12-29,2000.05,2024.95,1980.55,1981.05,51
2015-12-30,1950,2009.95,1820,1972.8,118
2015-12-31,1972,2000,1972,2000,77
2016-01-01,2020,2049,2010,2040,360
2016-01-04,2150,2150,1950.05,1970.85,391
2016-01-05,1952,2027.75,1947,1953.3,622
2016-01-06,1946.4,1998,1946.3,1970.65,379
2016-01-07,1950,1988,1920,1920,172
