Date,Open,High,Low,Close,Volume
2015-09-07,97.85,98.4,96.05,97.5,5709216
2015-09-08,97.2,100.1,97.1,99.65,4094154
2015-09-09,100.3,101.55,98.65,99.2,4099136
2015-09-10,98.05,98.95,97.2,97.5,8775872
2015-09-11,98.05,99.55,98,98.85,4084660
2015-09-14,99.2,101.55,98.85,101.2,10684964
2015-09-15,100.7,101.6,100.15,100.85,4937700
2015-09-16,101.6,103.1,101.15,102.85,9941712
2015-09-18,102.9,105.55,102.75,105,9898912
2015-09-21,104.6,105.95,103.6,105.05,11840736
2015-09-22,105,107.3,104.6,105.75,18028042
2015-09-23,104.45,105.8,103.15,104.75,7529168
2015-09-24,105.4,107.4,104.05,107.05,11094740
2015-09-28,106.9,106.9,104.65,105.2,5322644
2015-09-29,103.8,106.1,103.7,104.3,8118298
2015-09-30,105.4,106.3,105,106.1,9590432
2015-10-01,106.15,109,106,106.45,18667664
2015-10-05,106.6,108.35,105.95,106.55,9100272
2015-10-06,106.95,108.4,106.15,106.4,8106116
2015-10-07,106.45,106.45,103.7,104.4,4985700
2015-10-08,104.9,105.95,103.8,104.6,5878544
2015-10-09,105.7,105.85,103.7,105.05,7196842
2015-10-12,106.5,106.5,103.1,103.5,5656996
2015-10-13,103.7,105.3,103.45,103.75,5195476
2015-10-14,103.15,105.45,102.95,103.3,5600912
2015-10-15,104.25,104.25,102,102.2,4486080
2015-10-16,102.55,103.15,100.05,102.25,4888068
2015-10-19,103.1,103.55,101.1,102.3,5330666
2015-10-20,102.55,102.75,100.9,101.2,7156820
2015-10-21,101.8,102.65,101.1,102.35,5404804
2015-10-23,101.6,101.6,99.85,100.45,9916192
2015-10-26,101,101.7,100.05,100.7,5681968
2015-10-27,100.9,102.25,100.1,101.85,15674234
2015-10-28,101.8,103,100.85,102.4,7496964
2015-10-29,102.55,102.75,101.05,101.75,8150160
2015-10-30,101.35,102.55,100.7,101.4,6049664
2015-11-02,101.55,102.25,100.6,101.85,9695050
2015-11-03,101.85,102.7,101.15,101.65,5637258
2015-11-04,102.2,102.55,101.15,101.45,4350852
